マンガ雑誌名,アニメ化,マンガ作品数,マンガ雑誌名_total,比率,text,アニメ化率
週刊少年チャンピオン,True,11,392,0.02806122448979592,0.03,0.02806122448979592
週刊少年チャンピオン,False,381,392,0.9719387755102041,0.97,0.02806122448979592
週刊少年サンデー,True,32,287,0.11149825783972125,0.11,0.11149825783972125
週刊少年サンデー,False,255,287,0.8885017421602788,0.89,0.11149825783972125
週刊少年マガジン,True,37,321,0.11526479750778816,0.12,0.11526479750778816
週刊少年マガジン,False,284,321,0.8847352024922118,0.88,0.11526479750778816
週刊少年ジャンプ,True,49,337,0.14540059347181009,0.15,0.14540059347181009
週刊少年ジャンプ,False,288,337,0.8545994065281899,0.85,0.14540059347181009
