マンガ作品ID,アニメ化,アニメ化有無ID,合計話数,グループID,マンガ雑誌名
C90829,True,1,93-1008話,3,週刊少年マガジン
C89978,True,1,93-1008話,3,週刊少年マガジン
C89939,True,1,93-1008話,3,週刊少年マガジン
C90482,True,1,93-1008話,3,週刊少年マガジン
C89961,True,1,93-1008話,3,週刊少年マガジン
C91157,True,1,93-1008話,3,週刊少年マガジン
C91340,True,1,93-1008話,3,週刊少年マガジン
C90848,True,1,93-1008話,3,週刊少年マガジン
C91337,True,1,93-1008話,3,週刊少年マガジン
C91918,True,1,93-1008話,3,週刊少年マガジン
C90329,True,1,93-1008話,3,週刊少年マガジン
C89964,True,1,93-1008話,3,週刊少年マガジン
C90528,True,1,93-1008話,3,週刊少年マガジン
C91565,True,1,93-1008話,3,週刊少年マガジン
