acid,acname,asid
C7504,新造人間キャシャーン,C2856
C7506,ドロロンえん魔くん,C2867
C7508,エースをねらえ!,C2878
C7510,冒険コロボックル,C2889
C7512,侍ジャイアンツ,C2900
C7514,キューティーハニー,C2911
C7516,空手バカ一代,C2922
C7518,魔人ハンターミツルギ,C2934
C7520,夢みる国のクリスくん［合作］,C2945
C7522,アルプスの少女ハイジ,C2956
C7524,柔道讃歌,C2978
C7526,星の子ポロン,C2989
C7528,魔女っ子メグちゃん,C3000
C7530,ダメおやじ,C3011
C7532,ゲッターロボ,C3022
C7534,ガンとゴン,C3033
C7536,昆虫物語新みなしごハッチ,C2123
C7538,となりのたまげ太くん,C3045
C7540,星の子チョビン,C3056
C7542,0テスター 地球を守れ!,C3067
C7544,小さなバイキングビッケ,C3078
C7546,グレートマジンガー,C3100
C7548,ウリクペン救助隊,C3111
C7550,ジムボタン,C3122
C7552,破裏拳ポリマー,C3133
C7554,はじめ人間ギャートルズ,C3144
C7556,宇宙戦艦ヤマト,C3157
C7558,てんとう虫の歌,C3168
C7560,カリメロ,C3179
C7562,怪物の狂宴［合作］,C3190
C7564,フランダースの犬,C3212
C7566,まんが日本昔ばなし （第1期）,C3223
C7568,キリンのものしり館,C3234
C7570,まんが名作劇場 サザエさん（再）,C1945
C7572,みつばちマーヤの冒険,C4883
C7574,勇者ライディーン,C3991
C7576,ラ・セーヌの星,C3268
C7578,ドン・チャック物語,C3279
C7580,ガンバの冒険,C3290
C7582,少年徳川家康,C3301
C7584,ゲッターロボG,C3312
C7586,宇宙の騎士テッカマン,C3334
C7588,イルカと少年,C3345
C7590,アラビアンナイト シンドバッドの冒険,C3390
C7592,クムクム,C3401
C7594,タイムボカン,C3412
C7596,鋼鉄ジーグ,C3423
C7598,UFOロボグレンダイザー,C3434
C7600,アンデス少年ペペロの冒険,C3445
C7602,一休さん,C3467
C7604,ハックルベリィの冒険,C3490
C7606,まんが日本昔ばなし （第2期）,C3223
C7608,母をたずねて三千里,C3501
C7610,大空魔竜ガイキング,C3523
C7612,マシンハヤブサ,C3534
C7614,ゴワッパー5ゴーダム,C3545
C7615,ドン・チャック物語（新）,C3279
C7617,超電磁ロボ コン・バトラーV,C3567
C7619,ピノキオ より ピコリーノの冒険,C3578
C7621,グロイザーX,C3589
C7623,マグネロボ ガ・キーン,C3634
C7625,キャンディ・キャンディ,C3645
C7627,恐竜探険隊ボーンフリー,C3656
C7629,ポールのミラクル大作戦,C3667
C7631,花の係長,C3678
C7633,リトル・ルルとちっちゃい仲間,C3689
C7635,ドカベン,C3700
C7637,ほかほか家族,C3712
C7639,まんが世界昔ばなし,C3723
C7641,UFO戦士ダイアポロンⅡ,C3556
C7643,ろぼっ子 ビートン,C3734
C7645,プロレスの星 アステカイザー［アニメ・実写併用］,C3745
C7647,タイムボカンシリーズ ヤッターマン,C3767
C7649,あらいぐまラスカル,C3778
C7651,ジェッター マルス,C3789
C7653,合身戦隊 メカンダーロボ,C3800
C7655,惑星ロボ ダンガードA,C3811
C7657,あしたへアタック!,C3845
C7659,バーバパパ,C3856
C7661,超合体魔術ロボ ギンガイザー,C3867
C7663,氷河戦士ガイスラッガー,C3878
C7665,シートン動物記 くまの子ジャッキー,C3911
C7667,超人戦隊バラタック,C3922
C7669,おれは鉄兵,C3934
C7670,アローエンブレム グランプリの鷹,C3956
C7672,新巨人の星,C1578
C7674,風船少女テンプルちゃん,C3978
C7676,家なき子,C3989
C7678,ルパン三世（新）,C2445
C7680,超スーパーカーガッタイガー,C4000
C7682,とびだせ!マシーン飛竜,C4011
C7684,町一番のけちんぼう,C4379
C7686,赤毛のアン,C4390
C7688,最強ロボダイオージャ,C5211
C7690,タイムボカンシリーズ ヤットデタマン,C5222
C7692,魔法の天使クリィミーマミ,C6656
C7694,超時空世紀オーガス,C6667
C7696,光の伝説,C6866
C7698,マシンロボ クロノスの大逆襲,C6870
C7701,ディズニー劇場　ガミーベアの冒険,C6945
C7703,赤い光弾ジリオン,C6946
C7705,ドリモグだァ!! 第2期,C6894
C7707,ディズニー劇場 チップとデール,C7114
C7709,天空戦記シュラト,C7116
C7711,青いブリンク,C7117
C7712,まんが日本絵巻,C4022
C7714,無敵超人ザンボット3,C4033
C7716,激走ルーベンカイザー,C4045
C7718,若草のシャルロット,C4056
C7720,まんが偉人物語,C4067
C7722,女王陛下のプティ アンジェ,C4078
C7724,野球狂の詩 （スペシャル）,C4089
C7726,恐竜大戦争アイゼンボーグ,C4100
C7728,雪がふるまで,C4111
C7730,ペリーヌ物語,C4133
C7732,すばらしい世界旅行 恐竜王国の興亡,C1501
C7734,魔女っ子チックル,C4144
C7736,一球さん,C4222
C7738,まんがはじめて物語,C4233
C7740,野球狂の詩（シリーズ）,C4089
C7742,はいからさんが通る,C4244
C7744,無敵鋼人ダイターン3,C4255
C7746,星の王子さまプチ・プランス,C4268
C7748,宇宙魔神ダイケンゴー,C4279
C7750,銀河鉄道999,C4312
C7752,科学忍者隊ガッチャマンⅡ,C2623
C7754,宝島,C4323
C7756,宇宙戦艦ヤマト2,C3157
C7758,新・エースをねらえ!,C2878
C7760,ピンクレディー物語 栄光の天使たち,C4334
C7762,まんがこども文庫,C4345
C7764,キャプテンフューチャー,C4356
C7766,大雪山の勇者牙王,C4367
C7768,タイムボカンシリーズ ゼンダマン,C4401
C7770,日本名作童話シリーズ 赤い鳥のこころ,C4412
C7772,花の子ルンルン,C4423
C7774,がんばれ!ぼくらのヒットエンドラン,C4434
C7776,サイボーグ009（新）,C1234
C7778,未来ロボダルタニアス,C4456
C7780,くじらのホセフィーナ,C4478
C7782,ザ・ ウルトラマン,C4490
C7784,アニメーション紀行 マルコ・ポーロの冒険,C4501
C7786,機動戦士ガンダム,C4512
C7788,シートン動物記 りすのバナー,C4523
C7790,新巨人の星Ⅱ,C1578
C7792,まえがみ太郎,C4534
C7794,あしたの勇者たち[アシタノイレブンタチ],C4567
C7796,SF西遊記スタージンガーⅡ,C4200
C7798,科学冒険隊タンサー5,C4578
C7800,円卓の騎士物語燃えろアーサー,C4612
C7802,アンネの日記 アンネフランク物語,C4623
C7804,こぐまのミーシャ,C4634
C7806,科学忍者隊ガッチャマンF,C2623
C7808,大恐竜時代,C4645
C7809,三つのお話,C7104
C7811,インスタントヒストリー,C7115
C7813,おとぎマンガカレンダー,C7137
C7816,闘士ゴーディアン,C4656
C7818,まんが猿飛佐助,C4667
C7820,あしながおじさん,C4678
C7822,ベルサイユのばら,C4689
C7824,銀河鉄道999 君は戦士のように生きられるか,C4312
C7826,宇宙空母ブルーノア,C4700
C7828,ジャン･バルジャン物語,C4734
C7830,キリンあしたのカレンダー,C4756
C7832,トム・ソーヤーの冒険,C4767
C7834,森の陽気な小人たち ベルフィーとリルビット,C4778
C7836,ニルスのふしぎな旅,C4789
C7838,メーテルリンクの青い鳥 チルチルミチルの冒険旅行,C4800
C7840,タイムボカンシリーズ タイムパトロール隊 オタスケマン,C4811
C7842,無敵ロボトライダーG7,C4823
C7844,ふたごのモンチッチ,C4845
C7846,魔法少女ララベル,C4856
C7848,宇宙大帝ゴッドシグマ,C4867
C7850,キャプテン,C4900
C7852,銀河鉄道999 永遠の旅人エメラルダス,C4312
C7854,ムーの白鯨,C4911
C7856,スーキャット,C4922
C7858,燃えろアーサー白馬の王子,C4934
C7860,釣りキチ三平,C4945
C7862,がんばれゴンベ,C4956
C7864,ずっこけナイト ドンデラマンチャ,C4967
C7866,若草物語,C4989
C7868,伝説巨神イデオン,C5000
C7870,宇宙戦士バルディオス,C5022
C7872,がんばれ元気,C5033
C7874,マリンスノーの伝説,C5067
C7876,闇の帝王吸血鬼ドラキュラ,C5078
C7879,鉄腕アトム（新）,C979
C7881,銀河鉄道999 君は母のように愛せるか!!,C4312
C7883,鉄人28号（新）,C3965
C7885,ほえろブンブン （シリーズ）,C5156
C7887,宇宙戦艦ヤマトⅢ,C3157
C7889,まんがことわざ事典,C5133
C7891,あしたのジョー2,C2079
C7893,ピノキオのクリスマス,C5144
C7895,ほえろ ブンブン,C5156
C7897,イルカのクリスマス ジェレミーの木,C5167
C7899,海底大戦争愛の20000マイル,C5178
C7901,荒野の呼び声 吠えろバック,C5189
C7903,家族ロビンソン漂流記 ふしぎな島のフローネ,C5200
C7905,走れメロス,C5233
C7907,ゴールドライタン,C5244
C7909,百獣王ゴライオン,C5255
C7911,ハローサンディベル,C5267
C7913,おはよう!スパンク,C5278
C7915,愛の学校クオレ物語,C5333
C7917,めちゃっこ ドタコン,C5344
C7919,名犬ジョリィ,C5355
