パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名
M734515,2003-11-07,8800.0,ニンテンドーゲームキューブ
M722362,2003-11-07,5800.0,ニンテンドーゲームキューブ
M722363,2003-11-07,6800.0,ニンテンドーゲームキューブ
M722361,2003-11-13,4800.0,プレイステーション2
M742594,2003-11-13,39800.0,ネオジオ
M754323,2003-11-13,4800.0,ゲームボーイアドバンス
M719972,2003-11-13,6800.0,プレイステーション2
M720322,2003-11-13,6800.0,プレイステーション2
M749136,2003-11-13,5800.0,プレイステーション
M766142,2003-11-13,1575.0,プレイステーション2
M720321,2003-11-13,6800.0,プレイステーション2
M722039,2003-11-13,5800.0,プレイステーション2
M722040,2003-11-13,7140.0,プレイステーション2
M759031,2003-11-13,7140.0,プレイステーション2
M762281,2003-11-13,2800.0,プレイステーション2
M735117,2003-11-13,6980.0,MicrosoftWindows
M764101,2003-11-13,2940.0,プレイステーション2
M722360,2003-11-13,4800.0,プレイステーション
M722359,2003-11-14,5800.0,ゲームボーイアドバンス
M748061,2003-11-14,4800.0,ゲームボーイアドバンス
M735075,2003-11-19,1000.0,MicrosoftWindows
M735089,2003-11-19,1000.0,MicrosoftWindows
M722358,2003-11-20,2000.0,プレイステーション2
M765514,2003-11-20,5460.0,プレイステーション2
M750901,2003-11-20,9800.0,プレイステーション2
M755827,2003-11-20,6800.0,Xbox
M753718,2003-11-20,6090.0,プレイステーション2
M752521,2003-11-20,3980.0,ワンダースワン
M757840,2003-11-20,6090.0,プレイステーション2
M748037,2003-11-20,7140.0,プレイステーション2
M746015,2003-11-20,2940.0,プレイステーション2
M720319,2003-11-20,7329.0,プレイステーション2
M720318,2003-11-20,7140.0,プレイステーション2
M734188,2003-11-20,4800.0,プレイステーション2
M734189,2003-11-20,5040.0,プレイステーション2
M740820,2003-11-20,6800.0,Xbox
M765917,2003-11-20,5800.0,Xbox
M765916,2003-11-20,6800.0,Xbox
M722356,2003-11-20,6090.0,プレイステーション2
M722357,2003-11-20,7800.0,プレイステーション2
M719971,2003-11-20,7140.0,プレイステーション2
M744112,2003-11-20,19800.0,Xbox
M747497,2003-11-20,6090.0,プレイステーション2
M720316,2003-11-21,5800.0,ニンテンドーゲームキューブ
M753765,2003-11-21,4800.0,ゲームボーイアドバンス
M757228,2003-11-21,4800.0,ゲームボーイアドバンス
M757379,2003-11-21,3980.0,ゲームボーイアドバンス
M749915,2003-11-21,6800.0,ニンテンドーゲームキューブ
M720317,2003-11-21,4800.0,ゲームボーイアドバンス
M735049,2003-11-21,13800.0,MicrosoftWindows
M719970,2003-11-27,7140.0,Xbox
M738870,2003-11-27,5040.0,プレイステーション2
M719813,2003-11-27,7800.0,ドリームキャスト
M741772,2003-11-27,6800.0,Xbox
M722036,2003-11-27,4179.0,プレイステーション2
M719969,2003-11-27,7140.0,プレイステーション2
M720313,2003-11-27,7140.0,プレイステーション2
M719967,2003-11-27,7140.0,プレイステーション2
M720312,2003-11-27,6090.0,プレイステーション2
M751313,2003-11-27,7140.0,プレイステーション2
M722037,2003-11-27,4179.0,プレイステーション2
M720311,2003-11-27,7140.0,プレイステーション2
M720310,2003-11-27,6980.0,ニンテンドーゲームキューブ
M746675,2003-11-27,6800.0,ニンテンドーゲームキューブ
M754087,2003-11-27,3150.0,プレイステーション2
M754086,2003-11-27,3150.0,プレイステーション2
M752293,2003-11-27,6800.0,Xbox
M742118,2003-11-27,18300.0,ゲームボーイアドバンス
M752292,2003-11-27,7140.0,プレイステーション2
M751758,2003-11-27,5040.0,プレイステーション2
M722038,2003-11-27,4179.0,プレイステーション2
M755634,2003-11-27,6800.0,プレイステーション2
M742439,2003-11-27,2100.0,プレイステーション2
M755633,2003-11-27,5040.0,プレイステーション2
M766834,2003-11-27,6800.0,ドリームキャスト
M720815,2003-11-27,7329.0,プレイステーション2
M757244,2003-11-27,7140.0,プレイステーション2
M720496,2003-11-27,7140.0,プレイステーション2
M720497,2003-11-27,6800.0,プレイステーション2
M720315,2003-11-27,5800.0,ゲームボーイアドバンス
M766778,2003-11-27,7140.0,プレイステーション2
M722355,2003-11-27,4800.0,プレイステーション2
M720314,2003-11-27,4179.0,プレイステーション2
M719051,2003-11-27,4800.0,ドリームキャスト
M760105,2003-11-27,7329.0,プレイステーション2
M757376,2003-11-28,3480.0,ゲームボーイアドバンス
M754286,2003-11-28,4800.0,ゲームボーイアドバンス
M720308,2003-11-28,4800.0,ゲームボーイアドバンス
M757670,2003-11-28,6800.0,ニンテンドーゲームキューブ
M719750,2003-11-28,4800.0,MicrosoftWindows
M735085,2003-11-28,4200.0,MicrosoftWindows
M757059,2003-11-28,5800.0,ニンテンドーゲームキューブ
M735084,2003-11-28,4200.0,MicrosoftWindows
M752562,2003-11-28,6800.0,ニンテンドーゲームキューブ
M722354,2003-12-04,2940.0,プレイステーション2
M720303,2003-12-04,6800.0,ニンテンドーゲームキューブ
M757516,2003-12-04,6800.0,ニンテンドーゲームキューブ
M754088,2003-12-04,3000.0,ニンテンドーゲームキューブ
M754089,2003-12-04,3150.0,プレイステーション2
M720306,2003-12-04,3129.0,プレイステーション2
M743044,2003-12-04,2100.0,プレイステーション2
M719883,2003-12-04,7140.0,プレイステーション2
M757225,2003-12-04,6800.0,ニンテンドーゲームキューブ
M735112,2003-12-04,4980.0,MicrosoftWindows
M720304,2003-12-04,4980.0,ゲームボーイアドバンス
M765803,2003-12-04,6800.0,ゲームボーイアドバンス
M720307,2003-12-04,4980.0,ゲームボーイアドバンス
M760556,2003-12-04,8980.0,プレイステーション2
M720305,2003-12-04,6800.0,プレイステーション2
M749150,2003-12-05,4800.0,ゲームボーイアドバンス
M750790,2003-12-05,2980.0,ゲームボーイアドバンス
M746672,2003-12-05,4800.0,ゲームボーイアドバンス
M760444,2003-12-05,4800.0,ゲームボーイアドバンス
M737494,2003-12-05,6800.0,ニンテンドーゲームキューブ
M722353,2003-12-05,4800.0,ゲームボーイアドバンス
M746671,2003-12-05,4800.0,ゲームボーイアドバンス
M755027,2003-12-06,4800.0,ゲームボーイアドバンス
M755028,2003-12-06,7140.0,プレイステーション2
M758624,2003-12-11,2940.0,プレイステーション2
M742339,2003-12-11,2100.0,プレイステーション2
M738285,2003-12-11,3800.0,Xbox
M742338,2003-12-11,2100.0,プレイステーション2
M754327,2003-12-11,5800.0,ニンテンドーゲームキューブ
M748252,2003-12-11,4800.0,ゲームボーイアドバンス
M755878,2003-12-11,9800.0,プレイステーション
M719881,2003-12-11,6800.0,プレイステーション2
M750483,2003-12-11,6090.0,プレイステーション2
M761505,2003-12-11,2940.0,プレイステーション2
M748253,2003-12-11,5200.0,ゲームボーイアドバンス
M746997,2003-12-11,7140.0,プレイステーション2
M722352,2003-12-11,6800.0,プレイステーション2
M764846,2003-12-11,7140.0,プレイステーション2
M739638,2003-12-11,2940.0,プレイステーション2
M720298,2003-12-11,7329.0,プレイステーション2
M722350,2003-12-11,7140.0,プレイステーション2
M764844,2003-12-11,6800.0,ニンテンドーゲームキューブ
M720299,2003-12-11,7329.0,プレイステーション2
M757416,2003-12-11,3000.0,プレイステーション
M751785,2003-12-11,3800.0,Xbox
M720295,2003-12-11,6800.0,ゲームボーイアドバンス
M720296,2003-12-11,6980.0,ニンテンドーゲームキューブ
M720300,2003-12-11,6800.0,ニンテンドーゲームキューブ
M753530,2003-12-11,8980.0,プレイステーション2
M722351,2003-12-11,6090.0,プレイステーション2
M748886,2003-12-11,39800.0,ネオジオ
M720301,2003-12-11,7140.0,プレイステーション2
M720297,2003-12-11,4980.0,ゲームボーイアドバンス
M759173,2003-12-12,17300.0,ゲームボーイアドバンス
M722349,2003-12-12,8800.0,MicrosoftWindows
M759174,2003-12-12,4800.0,ゲームボーイアドバンス
M746526,2003-12-12,4800.0,ゲームボーイアドバンス
M759175,2003-12-12,17300.0,ゲームボーイアドバンス
M720293,2003-12-12,4800.0,ゲームボーイアドバンス
M735172,2003-12-12,12800.0,MicrosoftWindows
M754568,2003-12-12,4800.0,ゲームボーイアドバンス
M760810,2003-12-12,4800.0,ゲームボーイアドバンス
M720292,2003-12-12,4800.0,ゲームボーイアドバンス
M735002,2003-12-12,8800.0,MicrosoftWindows
M742725,2003-12-18,6800.0,ニンテンドーゲームキューブ
M734317,2003-12-18,3990.0,プレイステーション2
M719966,2003-12-18,7140.0,プレイステーション2
M749540,2003-12-18,6090.0,プレイステーション2
M763911,2003-12-18,3675.0,プレイステーション2
M748049,2003-12-18,3990.0,プレイステーション2
M751952,2003-12-18,6800.0,ニンテンドーゲームキューブ
M765423,2003-12-18,5040.0,プレイステーション2
M748464,2003-12-18,7140.0,プレイステーション2
M757493,2003-12-18,4800.0,ゲームボーイアドバンス
M746357,2003-12-18,5040.0,プレイステーション2
M722342,2003-12-18,2100.0,プレイステーション2
M762469,2003-12-18,11340.0,プレイステーション2
M760109,2003-12-18,6090.0,プレイステーション2
M722343,2003-12-18,6800.0,プレイステーション2
M742188,2003-12-18,2625.0,プレイステーション2
M720289,2003-12-18,4179.0,プレイステーション2
M720290,2003-12-18,6800.0,プレイステーション2
M722346,2003-12-18,3800.0,ニンテンドーゲームキューブ
M720291,2003-12-18,7329.0,プレイステーション2
M742463,2003-12-18,2960.0,ゲームボーイアドバンス
M722344,2003-12-18,6800.0,プレイステーション2
M742464,2003-12-18,2960.0,ゲームボーイアドバンス
M749196,2003-12-18,3800.0,ニンテンドーゲームキューブ
M735079,2003-12-18,5800.0,MicrosoftWindows
M722034,2003-12-18,2940.0,プレイステーション2
M722035,2003-12-18,6800.0,プレイステーション2
M743042,2003-12-18,2100.0,プレイステーション2
M752681,2003-12-18,7140.0,プレイステーション2
M722348,2003-12-18,6800.0,ニンテンドーゲームキューブ
M743721,2003-12-18,3980.0,ニンテンドーゲームキューブ
M754090,2003-12-18,3000.0,ニンテンドーゲームキューブ
M754091,2003-12-18,3150.0,プレイステーション2
M734551,2003-12-18,5040.0,プレイステーション2
M746679,2003-12-18,6090.0,プレイステーション2
M722347,2003-12-18,8800.0,プレイステーション2
M743518,2003-12-18,7140.0,プレイステーション2
M720288,2003-12-18,4980.0,ゲームボーイアドバンス
M722341,2003-12-19,3980.0,ゲームボーイアドバンス
M722340,2003-12-19,2980.0,ゲームボーイアドバンス
M734852,2003-12-19,8800.0,MicrosoftWindows
M718931,2003-12-19,8800.0,MicrosoftWindows
M759559,2003-12-19,4800.0,ゲームボーイアドバンス
M734624,2003-12-20,10290.0,プレイステーション2
M719812,2003-12-25,4800.0,Xbox
M720287,2003-12-25,5040.0,プレイステーション2
M742596,2003-12-25,7140.0,プレイステーション2
M742717,2003-12-25,7140.0,プレイステーション2
M720286,2003-12-25,6800.0,Xbox
M722339,2003-12-25,7800.0,プレイステーション2
M735039,2003-12-25,7980.0,MicrosoftWindows
M737502,2003-12-25,7800.0,プレイステーション2
M733965,2003-12-25,7140.0,プレイステーション2
M754248,2003-12-25,4800.0,Xbox
M741338,2003-12-25,6800.0,Xbox
M748487,2003-12-25,4800.0,Xbox
M749454,2003-12-25,7140.0,プレイステーション2
M719965,2003-12-25,6800.0,ニンテンドーゲームキューブ
M745692,2003-12-25,4800.0,Xbox
M737501,2003-12-25,7140.0,プレイステーション2
M719048,2003-12-25,6800.0,ドリームキャスト
M741337,2003-12-25,6800.0,Xbox
M721275,2003-12-25,7140.0,プレイステーション2
M719049,2003-12-25,3800.0,ドリームキャスト
M758108,2003-12-25,6090.0,プレイステーション2
M722336,2003-12-25,7140.0,プレイステーション2
M719050,2003-12-25,6800.0,ドリームキャスト
M722337,2003-12-25,6800.0,プレイステーション2
M722338,2003-12-25,5800.0,プレイステーション2
M722335,2003-12-25,7140.0,プレイステーション2
M734817,2003-12-30,4800.0,ゲームボーイアドバンス
M750606,2003-12-30,6980.0,ニンテンドーゲームキューブ
M722032,2003-12-30,6980.0,Xbox
M758942,2004-01-08,6800.0,ニンテンドーゲームキューブ
M758943,2004-01-08,4800.0,ゲームボーイアドバンス
M720814,2004-01-08,7140.0,プレイステーション2
M735145,2004-01-08,7980.0,MicrosoftWindows
M754351,2004-01-08,7140.0,プレイステーション2
M761502,2004-01-08,5040.0,プレイステーション2
M722331,2004-01-08,7140.0,プレイステーション2
M722330,2004-01-15,6800.0,Xbox
M742187,2004-01-15,2625.0,プレイステーション2
M719964,2004-01-15,3465.0,プレイステーション2
M720285,2004-01-15,5980.0,ニンテンドーゲームキューブ
M764188,2004-01-15,7329.0,プレイステーション2
M743226,2004-01-22,2800.0,ドリームキャスト
M755159,2004-01-22,8800.0,プレイステーション2
M722326,2004-01-22,7140.0,プレイステーション2
M749931,2004-01-22,7140.0,プレイステーション2
M722327,2004-01-22,3990.0,プレイステーション2
M765368,2004-01-22,7140.0,プレイステーション2
M759733,2004-01-22,7140.0,プレイステーション2
M758625,2004-01-22,2800.0,ドリームキャスト
M764348,2004-01-22,2940.0,プレイステーション2
M722329,2004-01-22,3800.0,プレイステーション2
M748565,2004-01-22,6800.0,ニンテンドーゲームキューブ
M748567,2004-01-22,7140.0,プレイステーション2
M737894,2004-01-22,2800.0,ドリームキャスト
M736955,2004-01-22,5800.0,ニンテンドーゲームキューブ
M722328,2004-01-22,2000.0,プレイステーション2
M748566,2004-01-22,4800.0,ゲームボーイアドバンス
M765633,2004-01-22,2940.0,プレイステーション2
M745279,2004-01-22,4800.0,Xbox
M761313,2004-01-22,7140.0,プレイステーション2
M754330,2004-01-22,6090.0,プレイステーション2
M753279,2004-01-22,7140.0,プレイステーション2
M739414,2004-01-22,4800.0,プレイステーション2
M750796,2004-01-22,7140.0,プレイステーション2
M741084,2004-01-22,4800.0,Xbox
M720813,2004-01-22,7140.0,プレイステーション2
M754507,2004-01-22,4800.0,Xbox
M761317,2004-01-22,10800.0,プレイステーション2
M719963,2004-01-23,4800.0,ゲームボーイアドバンス
M760446,2004-01-23,6090.0,ニンテンドーゲームキューブ
M756558,2004-01-29,3990.0,プレイステーション2
M734671,2004-01-29,6800.0,プレイステーション2
M720284,2004-01-29,4800.0,ゲームボーイアドバンス
M737425,2004-01-29,4800.0,Xbox
M722323,2004-01-29,7140.0,プレイステーション2
M737808,2004-01-29,7140.0,Xbox
M734670,2004-01-29,6090.0,プレイステーション2
M722324,2004-01-29,2800.0,プレイステーション2
M720283,2004-01-29,4800.0,ゲームボーイアドバンス
M722325,2004-01-29,2100.0,プレイステーション2
M722322,2004-01-29,6800.0,プレイステーション2
M755260,2004-01-29,2900.0,プレイステーション
M760144,2004-01-29,2900.0,プレイステーション
M749003,2004-01-29,7140.0,プレイステーション2
M719880,2004-01-29,6800.0,ドリームキャスト
M752306,2004-01-29,5040.0,プレイステーション2
M719047,2004-01-29,4800.0,ドリームキャスト
M756284,2004-01-29,3800.0,ゲームボーイアドバンス
M756556,2004-01-29,2800.0,ニンテンドーゲームキューブ
M719811,2004-01-29,7800.0,ドリームキャスト
M756290,2004-01-29,3800.0,ゲームボーイアドバンス
M719749,2004-01-30,6800.0,MicrosoftWindows
M720282,2004-02-04,5229.0,プレイステーション2
M735174,2004-02-04,6800.0,MicrosoftWindows
M720280,2004-02-05,4800.0,ゲームボーイアドバンス
M757811,2004-02-05,7140.0,プレイステーション2
M761761,2004-02-05,2940.0,プレイステーション2
M761765,2004-02-05,2940.0,プレイステーション2
M761758,2004-02-05,2940.0,プレイステーション2
M722321,2004-02-05,2940.0,プレイステーション2
M761763,2004-02-05,2940.0,プレイステーション2
M722320,2004-02-05,4800.0,ワンダースワン
M720281,2004-02-05,6800.0,プレイステーション2
M766918,2004-02-05,2900.0,プレイステーション
M719748,2004-02-06,8800.0,MicrosoftWindows
M734554,2004-02-11,5040.0,プレイステーション2
M719879,2004-02-11,7140.0,プレイステーション2
M719962,2004-02-11,7140.0,プレイステーション2
M738897,2004-02-11,7329.0,プレイステーション2
M736919,2004-02-11,4800.0,ゲームボーイアドバンス
M736921,2004-02-11,3129.0,プレイステーション2
M763536,2004-02-11,12800.0,プレイステーション2
M765879,2004-02-11,1800.0,プレイステーション
M738898,2004-02-11,7329.0,プレイステーション2
M736918,2004-02-11,6800.0,ニンテンドーゲームキューブ
M764211,2004-02-12,2940.0,プレイステーション2
M722031,2004-02-12,4800.0,ゲームボーイアドバンス
M722319,2004-02-12,2100.0,プレイステーション2
M720279,2004-02-12,4980.0,プレイステーション2
M720272,2004-02-14,2000.0,ゲームボーイアドバンス
M720274,2004-02-14,2000.0,ゲームボーイアドバンス
M720273,2004-02-14,2000.0,ゲームボーイアドバンス
M720270,2004-02-14,2000.0,ゲームボーイアドバンス
M720271,2004-02-14,2000.0,ゲームボーイアドバンス
M720275,2004-02-14,2000.0,ゲームボーイアドバンス
M720276,2004-02-14,2000.0,ゲームボーイアドバンス
M755048,2004-02-14,2000.0,ゲームボーイアドバンス
M755049,2004-02-14,2000.0,ゲームボーイアドバンス
M720277,2004-02-14,2000.0,ゲームボーイアドバンス
M722318,2004-02-19,2800.0,プレイステーション2
M757245,2004-02-19,7140.0,プレイステーション2
M722317,2004-02-19,2100.0,プレイステーション2
M757578,2004-02-19,39800.0,ネオジオ
M747265,2004-02-19,7140.0,プレイステーション2
M719878,2004-02-19,7140.0,プレイステーション2
M722316,2004-02-19,6800.0,プレイステーション2
M734120,2004-02-19,7140.0,プレイステーション2
M722315,2004-02-19,3380.0,MicrosoftWindows
M753267,2004-02-19,3990.0,プレイステーション2
M720268,2004-02-19,5800.0,プレイステーション2
M734121,2004-02-19,9800.0,プレイステーション2
M720269,2004-02-19,7329.0,プレイステーション2
M719747,2004-02-20,5800.0,MicrosoftWindows
M735086,2004-02-20,4500.0,MicrosoftWindows
M722314,2004-02-24,4980.0,ドリームキャスト
M719045,2004-02-26,7800.0,ドリームキャスト
M752008,2004-02-26,7140.0,プレイステーション2
M734555,2004-02-26,3150.0,プレイステーション2
M752009,2004-02-26,8800.0,プレイステーション2
M753773,2004-02-26,7980.0,プレイステーション2
M734797,2004-02-26,11340.0,プレイステーション2
M753774,2004-02-26,2940.0,プレイステーション2
M764925,2004-02-26,2940.0,プレイステーション2
M742609,2004-02-26,7200.0,プレイステーション2
M747232,2004-02-26,7140.0,プレイステーション2
M719046,2004-02-26,5800.0,ドリームキャスト
M722309,2004-02-26,2100.0,プレイステーション2
M722310,2004-02-26,2100.0,プレイステーション2
M722311,2004-02-26,7140.0,プレイステーション2
M720264,2004-02-26,3990.0,プレイステーション2
M720265,2004-02-26,3150.0,プレイステーション2
M720266,2004-02-26,7140.0,プレイステーション2
M722312,2004-02-26,3000.0,プレイステーション2
M722313,2004-02-26,3000.0,プレイステーション2
M764523,2004-02-26,19800.0,Xbox
M744391,2004-02-26,3150.0,プレイステーション2
M719961,2004-02-26,2940.0,プレイステーション2
M764522,2004-02-26,7800.0,Xbox
M752796,2004-02-26,8800.0,プレイステーション2
M720267,2004-02-26,6800.0,Xbox
M732094,2004-02-26,7140.0,プレイステーション2
M760536,2004-02-26,7140.0,プレイステーション2
M719877,2004-02-26,7560.0,プレイステーション2
M742190,2004-02-26,2625.0,プレイステーション2
M742189,2004-02-26,2625.0,プレイステーション2
M719876,2004-02-26,6980.0,プレイステーション2
M732095,2004-02-26,7140.0,プレイステーション2
M755499,2004-02-26,8800.0,プレイステーション2
M760397,2004-02-26,7140.0,プレイステーション2
M764724,2004-02-26,2940.0,プレイステーション2
M752795,2004-02-26,7140.0,プレイステーション2
M719875,2004-02-26,7329.0,プレイステーション2
M747233,2004-02-26,6800.0,プレイステーション2
M750767,2004-02-26,3150.0,プレイステーション2
M734876,2004-02-27,6800.0,MicrosoftWindows
M719746,2004-02-27,8800.0,MicrosoftWindows
M734866,2004-02-27,8800.0,MicrosoftWindows
M735151,2004-02-27,1980.0,MicrosoftWindows
M719745,2004-02-27,6800.0,MicrosoftWindows
M766793,2004-03-04,7140.0,プレイステーション2
M761274,2004-03-04,6090.0,プレイステーション2
M766792,2004-03-04,6800.0,プレイステーション2
M746850,2004-03-04,7329.0,プレイステーション2
M720262,2004-03-04,5800.0,ニンテンドーゲームキューブ
M720263,2004-03-04,4980.0,ゲームボーイアドバンス
M720261,2004-03-04,6279.0,プレイステーション2
M722308,2004-03-04,3129.0,プレイステーション2
M719744,2004-03-05,8800.0,MicrosoftWindows
M722307,2004-03-05,4800.0,ゲームボーイアドバンス
M746309,2004-03-05,4800.0,ゲームボーイアドバンス
M720260,2004-03-05,4800.0,ゲームボーイアドバンス
M722030,2004-03-10,4800.0,プレイステーション2
M749242,2004-03-11,6090.0,プレイステーション2
M719873,2004-03-11,6980.0,ニンテンドーゲームキューブ
M764843,2004-03-11,3990.0,プレイステーション2
M737908,2004-03-11,2800.0,ドリームキャスト
M719810,2004-03-11,7800.0,Xbox
M719874,2004-03-11,6800.0,プレイステーション2
M764959,2004-03-11,2800.0,ドリームキャスト
M741380,2004-03-11,5040.0,ゲームボーイアドバンス
M719809,2004-03-11,7140.0,プレイステーション2
M752288,2004-03-11,4800.0,Xbox
M719872,2004-03-11,8800.0,プレイステーション2
M719871,2004-03-11,7140.0,プレイステーション2
M722029,2004-03-11,3800.0,ニンテンドーゲームキューブ
M743035,2004-03-11,2100.0,プレイステーション2
M735022,2004-03-12,1480.0,MicrosoftWindows
M722305,2004-03-12,1480.0,MicrosoftWindows
M722306,2004-03-12,2079.0,MicrosoftWindows
M735189,2004-03-12,9800.0,MicrosoftWindows
M722302,2004-03-18,2000.0,プレイステーション2
M762106,2004-03-18,7140.0,プレイステーション2
M756477,2004-03-18,6090.0,プレイステーション2
M722301,2004-03-18,2100.0,プレイステーション2
M722300,2004-03-18,8800.0,プレイステーション2
M765365,2004-03-18,7140.0,プレイステーション2
M763335,2004-03-18,4800.0,ゲームボーイアドバンス
M755584,2004-03-18,7140.0,プレイステーション2
M719870,2004-03-18,6090.0,プレイステーション2
M737407,2004-03-18,7329.0,プレイステーション2
M738142,2004-03-18,8800.0,プレイステーション2
M741878,2004-03-18,7140.0,プレイステーション2
M750642,2004-03-18,2800.0,ニンテンドーゲームキューブ
M751954,2004-03-18,4800.0,ゲームボーイアドバンス
M761133,2004-03-18,7140.0,プレイステーション2
M720259,2004-03-18,5800.0,ニンテンドーゲームキューブ
M761549,2004-03-18,7140.0,プレイステーション2
M719960,2004-03-18,4280.0,プレイステーション2
M722028,2004-03-18,7140.0,プレイステーション2
M748524,2004-03-18,39800.0,ネオジオ
M722303,2004-03-18,2100.0,プレイステーション2
M749694,2004-03-18,2800.0,ニンテンドーゲームキューブ
M720258,2004-03-18,4980.0,ゲームボーイアドバンス
M749135,2004-03-18,2500.0,プレイステーション
M762794,2004-03-18,7480.0,プレイステーション2
M720257,2004-03-18,4980.0,ゲームボーイアドバンス
M760823,2004-03-18,8800.0,プレイステーション2
M720256,2004-03-18,3129.0,ニンテンドーゲームキューブ
M720255,2004-03-18,4725.0,プレイステーション2
M720254,2004-03-18,7140.0,プレイステーション2
M720253,2004-03-18,7329.0,プレイステーション2
M720252,2004-03-18,6800.0,ニンテンドーゲームキューブ
M720251,2004-03-18,7140.0,プレイステーション2
M738141,2004-03-18,7140.0,プレイステーション2
M744387,2004-03-18,8190.0,プレイステーション2
M720250,2004-03-24,5229.0,ニンテンドーゲームキューブ
M722295,2004-03-25,2000.0,プレイステーション2
M758582,2004-03-25,4800.0,Xbox
M734673,2004-03-25,7800.0,ドリームキャスト
M719959,2004-03-25,6800.0,プレイステーション2
M757243,2004-03-25,7140.0,プレイステーション2
M722299,2004-03-25,4800.0,プレイステーション2
M752182,2004-03-25,4800.0,Xbox
M751886,2004-03-25,6800.0,ドリームキャスト
M763888,2004-03-25,6980.0,プレイステーション2
M719808,2004-03-25,7140.0,プレイステーション2
M722298,2004-03-25,8800.0,プレイステーション2
M734818,2004-03-25,4800.0,ゲームボーイアドバンス
M751887,2004-03-25,7140.0,プレイステーション2
M746609,2004-03-25,4800.0,Xbox
M722296,2004-03-25,8190.0,プレイステーション2
M743136,2004-03-25,2940.0,プレイステーション2
M760323,2004-03-25,7140.0,プレイステーション2
M720248,2004-03-25,7140.0,プレイステーション2
M722297,2004-03-25,2625.0,プレイステーション2
M743134,2004-03-25,2940.0,プレイステーション2
M749986,2004-03-25,7140.0,プレイステーション2
M720249,2004-03-25,7140.0,プレイステーション2
M758202,2004-03-25,7140.0,プレイステーション2
M749987,2004-03-25,8800.0,プレイステーション2
M734672,2004-03-25,6800.0,ドリームキャスト
M740756,2004-03-25,5800.0,ニンテンドーゲームキューブ
M756613,2004-03-25,5460.0,プレイステーション2
M722027,2004-03-25,7140.0,プレイステーション2
M756466,2004-03-25,4800.0,ゲームボーイアドバンス
M732232,2004-03-25,2625.0,プレイステーション2
M744546,2004-03-26,4800.0,ゲームボーイアドバンス
M722294,2004-03-26,404.0,MicrosoftWindows
M761304,2004-03-26,4800.0,ゲームボーイアドバンス
M762368,2004-03-27,7800.0,プレイステーション2
M763537,2004-03-27,9800.0,プレイステーション2
M755142,2004-04-01,10290.0,プレイステーション2
M762795,2004-04-01,10290.0,プレイステーション2
M751738,2004-04-01,5040.0,ゲームボーイアドバンス
M719681,2004-04-01,7500.0,MicrosoftWindows
M720246,2004-04-01,6090.0,プレイステーション2
M762480,2004-04-01,12390.0,プレイステーション2
M760916,2004-04-01,7140.0,プレイステーション2
M762479,2004-04-01,10290.0,プレイステーション2
M753477,2004-04-01,6090.0,プレイステーション2
M735181,2004-04-02,13800.0,MicrosoftWindows
M757356,2004-04-08,15540.0,プレイステーション2
M719869,2004-04-08,7140.0,プレイステーション2
M720244,2004-04-08,7140.0,プレイステーション2
M753268,2004-04-08,14490.0,プレイステーション2
M722293,2004-04-08,2100.0,プレイステーション2
M742388,2004-04-08,2100.0,プレイステーション2
M743027,2004-04-08,2100.0,プレイステーション2
M761784,2004-04-09,5040.0,ゲームボーイアドバンス
M766076,2004-04-09,5040.0,ゲームボーイアドバンス
M735036,2004-04-12,6800.0,MicrosoftWindows
M747923,2004-04-15,7140.0,プレイステーション2
M719958,2004-04-15,6800.0,プレイステーション2
M738166,2004-04-15,6090.0,プレイステーション2
M756586,2004-04-15,6279.0,プレイステーション2
M734669,2004-04-15,4800.0,Xbox
M761271,2004-04-15,6090.0,プレイステーション2
M765648,2004-04-15,7500.0,ドリームキャスト
M720243,2004-04-15,4800.0,ゲームボーイアドバンス
M747833,2004-04-16,5040.0,ゲームボーイアドバンス
M764725,2004-04-22,6090.0,Xbox
M719868,2004-04-22,7140.0,プレイステーション2
M720812,2004-04-22,6800.0,プレイステーション2
M722026,2004-04-22,3150.0,プレイステーション2
M764213,2004-04-22,6279.0,プレイステーション2
M722291,2004-04-22,2000.0,プレイステーション2
M749430,2004-04-22,5040.0,ゲームボーイアドバンス
M722290,2004-04-22,4179.0,プレイステーション2
M720241,2004-04-22,7140.0,プレイステーション2
M722292,2004-04-22,6800.0,プレイステーション2
M720242,2004-04-22,7140.0,プレイステーション2
M734693,2004-04-22,7140.0,プレイステーション2
M746530,2004-04-23,5040.0,ゲームボーイアドバンス
M759093,2004-04-23,5040.0,ゲームボーイアドバンス
M759732,2004-04-23,6090.0,ゲームボーイアドバンス
M741554,2004-04-23,6195.0,ゲームボーイアドバンス
M722025,2004-04-24,4980.0,Xbox
M763964,2004-04-28,7329.0,プレイステーション2
M720238,2004-04-28,4252.0,プレイステーション2
M746589,2004-04-28,7329.0,プレイステーション2
M756147,2004-04-28,6090.0,プレイステーション2
M720239,2004-04-28,4410.0,プレイステーション2
M737982,2004-04-28,6800.0,ドリームキャスト
M764397,2004-04-28,5040.0,プレイステーション2
M737984,2004-04-28,7800.0,ドリームキャスト
M722289,2004-04-28,5040.0,プレイステーション2
M720236,2004-04-29,2100.0,プレイステーション2
M720237,2004-04-29,5229.0,ゲームボーイアドバンス
M722287,2004-04-29,7140.0,プレイステーション2
M722288,2004-04-29,5040.0,Xbox
