パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名
M727730,1986-02-21,2600.0,ファミリーコンピュータ
M727729,1986-02-21,4900.0,ファミリーコンピュータ
M727728,1986-03-05,4900.0,ファミリーコンピュータ
M727727,1986-03-18,4900.0,ファミリーコンピュータ
M727726,1986-03-19,4900.0,ファミリーコンピュータ
M727725,1986-03-19,4900.0,ファミリーコンピュータ
M736167,1986-03-21,6800.0,PC-8801
M736340,1986-04-05,6800.0,PC-8801
M727724,1986-04-14,2600.0,ファミリーコンピュータ
M727722,1986-04-17,4900.0,ファミリーコンピュータ
M727721,1986-04-18,5800.0,MSX
M727720,1986-04-18,2980.0,ファミリーコンピュータ
M727719,1986-04-24,4980.0,ファミリーコンピュータ
M736590,1986-04-25,6800.0,PC-8801
M727718,1986-04-25,4900.0,ファミリーコンピュータ
M727717,1986-04-26,4900.0,ファミリーコンピュータ
M727716,1986-05-27,5500.0,ファミリーコンピュータ
M727714,1986-06-13,5500.0,ファミリーコンピュータ
M727713,1986-06-15,5000.0,SEGAマーク3
M727712,1986-07-01,9800.0,X1
M727711,1986-07-30,5300.0,ファミリーコンピュータ
M727710,1986-07-30,4900.0,ファミリーコンピュータ
M727709,1986-08-01,3900.0,ファミリーコンピュータ
M727708,1986-08-06,2600.0,ファミリーコンピュータ
M727707,1986-08-08,4900.0,ファミリーコンピュータ
M727706,1986-08-10,4900.0,ファミリーコンピュータ
M727705,1986-08-22,4900.0,ファミリーコンピュータ
M727704,1986-09-12,4900.0,ファミリーコンピュータ
M727703,1986-09-19,4900.0,ファミリーコンピュータ
M727702,1986-09-27,5500.0,ファミリーコンピュータ
M727701,1986-10-08,4900.0,ファミリーコンピュータ
M727700,1986-10-21,2500.0,ファミリーコンピュータ
M736087,1986-10-22,6800.0,PC-8801
M727699,1986-10-23,4900.0,ファミリーコンピュータ
M727697,1986-11-01,2980.0,ファミリーコンピュータ
M727696,1986-11-12,8500.0,ファミリーコンピュータ
M727695,1986-11-13,4900.0,ファミリーコンピュータ
M727694,1986-11-21,5300.0,ファミリーコンピュータ
M727693,1986-11-21,4900.0,ファミリーコンピュータ
M727692,1986-11-26,3900.0,ファミリーコンピュータ
M727691,1986-11-27,4500.0,ファミリーコンピュータ
M727690,1986-11-28,4900.0,ファミリーコンピュータ
M727688,1986-12-05,5500.0,ファミリーコンピュータ
M727689,1986-12-05,4900.0,ファミリーコンピュータ
M727686,1986-12-10,5300.0,ファミリーコンピュータ
M727687,1986-12-10,3900.0,ファミリーコンピュータ
M727685,1986-12-11,5000.0,ファミリーコンピュータ
M727684,1986-12-13,2980.0,ファミリーコンピュータ
M727683,1986-12-16,3900.0,ファミリーコンピュータ
M727682,1986-12-18,5300.0,ファミリーコンピュータ
M727680,1986-12-19,3400.0,ファミリーコンピュータ
M727681,1986-12-19,2600.0,ファミリーコンピュータ
M727678,1986-12-24,5500.0,ファミリーコンピュータ
M727677,1986-12-25,2980.0,ファミリーコンピュータ
M727676,1986-12-25,4900.0,ファミリーコンピュータ
M727675,1986-12-26,4900.0,ファミリーコンピュータ
M727661,1987-01-01,7800.0,MSX2
M727660,1987-01-04,5300.0,ファミリーコンピュータ
M727659,1987-01-07,4900.0,ファミリーコンピュータ
M727658,1987-01-07,4900.0,ファミリーコンピュータ
M727657,1987-01-14,2600.0,ファミリーコンピュータ
M727656,1987-01-26,5500.0,ファミリーコンピュータ
M735477,1987-02-08,3800.0,PC-8801
M727655,1987-02-14,5500.0,ファミリーコンピュータ
M727654,1987-02-26,5800.0,ファミリーコンピュータ
M727653,1987-02-27,5500.0,ファミリーコンピュータ
M727652,1987-03-05,3100.0,ファミリーコンピュータ
M727651,1987-03-06,5300.0,ファミリーコンピュータ
M727650,1987-03-14,4900.0,ファミリーコンピュータ
M727649,1987-03-18,5300.0,ファミリーコンピュータ
M736159,1987-03-20,7200.0,PC-8801
M735853,1987-03-21,7800.0,PC-8801
M727648,1987-03-27,3500.0,ファミリーコンピュータ
M727647,1987-04-02,4900.0,ファミリーコンピュータ
M727646,1987-04-10,4200.0,ファミリーコンピュータ
M727645,1987-04-14,5500.0,ファミリーコンピュータ
M727644,1987-04-14,5500.0,ファミリーコンピュータ
M727643,1987-04-17,5300.0,ファミリーコンピュータ
M736398,1987-04-18,7500.0,PC-8801
M727642,1987-04-24,3300.0,ファミリーコンピュータ
M727641,1987-04-24,2980.0,ファミリーコンピュータ
M727640,1987-04-29,5000.0,SEGAマーク3
M735848,1987-05-28,7800.0,PC-8801
M736458,1987-06-05,6800.0,PC-8801
M727639,1987-06-05,5500.0,ファミリーコンピュータ
M727638,1987-06-12,5300.0,ファミリーコンピュータ
M736555,1987-06-13,7800.0,PC-8801
M727637,1987-06-19,2900.0,ファミリーコンピュータ
M735844,1987-06-20,7800.0,PC-8801
M735834,1987-06-21,7800.0,PC-8801
M727636,1987-06-26,5000.0,ファミリーコンピュータ
M727635,1987-06-26,5500.0,ファミリーコンピュータ
M736146,1987-06-26,9800.0,PC-8801
M727634,1987-06-27,5800.0,ファミリーコンピュータ
M727633,1987-06-27,5800.0,ファミリーコンピュータ
M727632,1987-06-30,5500.0,ファミリーコンピュータ
M733932,1987-07-07,3500.0,PC-8801
M736550,1987-07-10,3500.0,PC-8801
M727630,1987-07-10,2980.0,ファミリーコンピュータ
M728031,1987-07-17,4900.0,ファミリーコンピュータ
M733474,1987-07-18,9800.0,PC-8801
M727629,1987-07-20,5300.0,ファミリーコンピュータ
M736386,1987-07-21,6800.0,PC-8801
M735880,1987-07-24,7800.0,PC-8801
M736091,1987-07-25,6800.0,PC-8801
M727628,1987-07-30,7500.0,ファミリーコンピュータ
M727627,1987-07-31,4900.0,ファミリーコンピュータ
M736041,1987-08-07,2000.0,PC-8801
M735995,1987-08-07,2000.0,PC-8801
M727626,1987-08-10,5500.0,ファミリーコンピュータ
M727624,1987-08-11,3900.0,ファミリーコンピュータ
M727625,1987-08-11,2500.0,ファミリーコンピュータ
M736286,1987-08-26,5800.0,PC-8801
M727623,1987-08-28,2980.0,ファミリーコンピュータ
M727622,1987-09-04,2600.0,ファミリーコンピュータ
M736376,1987-09-07,2000.0,PC-8801
M727621,1987-09-11,4900.0,ファミリーコンピュータ
M736043,1987-09-18,9800.0,PC-8801
M735871,1987-10-08,7800.0,PC-8801
M727620,1987-10-09,5900.0,ファミリーコンピュータ
M735813,1987-10-15,6800.0,PC-8801
M727619,1987-10-20,5300.0,ファミリーコンピュータ
M727618,1987-10-21,2980.0,ファミリーコンピュータ
M727617,1987-10-26,5800.0,ファミリーコンピュータ
M727614,1987-10-30,4500.0,PCエンジン
M727615,1987-10-30,4500.0,PCエンジン
M727616,1987-10-30,3900.0,ファミリーコンピュータ
M727612,1987-11-06,4900.0,ファミリーコンピュータ
M727613,1987-11-06,3900.0,ファミリーコンピュータ
M736409,1987-11-14,9800.0,PC-8801
M727611,1987-11-16,5900.0,ファミリーコンピュータ
M735965,1987-11-20,9800.0,PC-8801
M727610,1987-11-21,4500.0,PCエンジン
M727609,1987-11-27,4900.0,ファミリーコンピュータ
M727608,1987-11-29,2980.0,ファミリーコンピュータ
M727607,1987-11-30,4900.0,PCエンジン
M727606,1987-12-04,5300.0,ファミリーコンピュータ
M727605,1987-12-04,5300.0,ファミリーコンピュータ
M727604,1987-12-04,4900.0,ファミリーコンピュータ
M736452,1987-12-05,6800.0,PC-8801
M727603,1987-12-09,5500.0,ファミリーコンピュータ
M735958,1987-12-10,8000.0,PC-8801
M735960,1987-12-10,7800.0,PC-8801
M727601,1987-12-11,5500.0,ファミリーコンピュータ
M727600,1987-12-11,5300.0,ファミリーコンピュータ
M727602,1987-12-11,3900.0,ファミリーコンピュータ
M727598,1987-12-12,4900.0,ファミリーコンピュータ
M736480,1987-12-14,7800.0,PC-8801
M735940,1987-12-16,7800.0,PC-8801
M727597,1987-12-16,7980.0,ファミリーコンピュータ
M727596,1987-12-18,5500.0,ファミリーコンピュータ
M727595,1987-12-18,5900.0,ファミリーコンピュータ
M735846,1987-12-19,7800.0,PC-8801
