ccid,crtid
C88903,CCRT01295
C88904,CCRT01804
C88908,CCRT02982
C88909,CCRT03353
C88910,CCRT01860
C88911,CCRT02172
C88911,CCRT02815
C88912,CCRT02462
C88913,CCRT00687
C88914,CCRT00271
C88915,CCRT02588
C88916,CCRT01753
C88917,CCRT01926
C88918,CCRT01630
C88918,CCRT01926
C88919,CCRT00395
C88921,CCRT00450
C88922,CCRT02982
C88924,CCRT02270
C88925,CCRT03023
C88926,CCRT01932
C88927,CCRT00570
C88928,CCRT02776
C88928,CCRT03152
C88929,CCRT02394
C88933,CCRT02907
C88934,CCRT01776
C88934,CCRT02234
C88935,CCRT01979
C88936,CCRT00094
C88937,CCRT00780
C88938,CCRT03094
C88939,CCRT01487
C88941,CCRT00681
C88942,CCRT01982
C88944,CCRT02226
C88945,CCRT01431
C88946,CCRT00946
C88947,CCRT00248
C88948,CCRT00462
C88949,CCRT01206
C88950,CCRT02391
C88952,CCRT01045
C88954,CCRT01176
C88955,CCRT02307
C88957,CCRT02987
C88958,CCRT00531
C88963,CCRT03346
C88964,CCRT00719
C88965,CCRT02689
C88966,CCRT02151
C88968,CCRT00681
C88969,CCRT03295
C88970,CCRT00812
C88971,CCRT02006
C88972,CCRT02815
C88973,CCRT01392
C88974,CCRT00426
C88975,CCRT02333
C88976,CCRT00294
C88977,CCRT00075
C88977,CCRT00368
C88978,CCRT02035
C88979,CCRT01154
C88979,CCRT01285
C88980,CCRT01114
C88981,CCRT00195
C88982,CCRT01804
C88983,CCRT01458
C88987,CCRT02321
C88988,CCRT01979
C88989,CCRT03260
C88990,CCRT02294
C88991,CCRT02055
C88992,CCRT00844
C88993,CCRT02096
C88994,CCRT03043
C88996,CCRT01242
C88997,CCRT02583
C88998,CCRT02750
C88999,CCRT02907
C89000,CCRT03217
C89002,CCRT02343
C89003,CCRT02084
C89004,CCRT02112
C89005,CCRT03095
C89006,CCRT01856
C89007,CCRT01155
C89007,CCRT01832
C89008,CCRT01902
C89009,CCRT00868
C89010,CCRT03340
C89011,CCRT03346
C89012,CCRT03000
C89013,CCRT01703
C89014,CCRT01195
C89015,CCRT01195
C89016,CCRT01195
C89017,CCRT01746
C89018,CCRT00494
C89019,CCRT01070
C89020,CCRT03189
C89021,CCRT01050
C89022,CCRT00960
C89022,CCRT02110
C89023,CCRT01771
C89024,CCRT03220
C89025,CCRT00759
C89026,CCRT02911
C89027,CCRT00395
C89028,CCRT02270
C89029,CCRT00385
C89030,CCRT01261
C89031,CCRT02653
C89033,CCRT01718
C89034,CCRT01670
C89035,CCRT01104
C89035,CCRT01267
C89037,CCRT01693
C89038,CCRT02919
C89039,CCRT01604
C89040,CCRT00094
C89041,CCRT01067
C89042,CCRT00094
C89043,CCRT02919
C89044,CCRT03214
C89046,CCRT01281
C89047,CCRT01938
C89048,CCRT00071
C89049,CCRT02732
C89050,CCRT00233
C89051,CCRT01675
C89052,CCRT03332
C89054,CCRT00820
C89055,CCRT00812
C89056,CCRT02343
C89057,CCRT01390
C89057,CCRT01512
C89058,CCRT01832
C89059,CCRT03112
C89060,CCRT03189
C89061,CCRT00460
C89062,CCRT03000
C89063,CCRT01979
C89063,CCRT03278
C89065,CCRT01457
C89065,CCRT02910
C89066,CCRT01485
C89068,CCRT02462
C89069,CCRT02934
C89070,CCRT02886
C89071,CCRT02136
C89072,CCRT00271
C89073,CCRT00468
C89074,CCRT02797
C89075,CCRT00568
C89076,CCRT02163
C89077,CCRT00374
C89078,CCRT01051
C89078,CCRT02317
C89078,CCRT02580
C89079,CCRT01599
C89080,CCRT03353
C89081,CCRT02368
C89082,CCRT00084
C89084,CCRT01242
C89085,CCRT01242
C89086,CCRT03103
C89087,CCRT02276
C89088,CCRT02458
C89089,CCRT01979
C89090,CCRT00109
C89091,CCRT01413
C89092,CCRT01077
C89093,CCRT02948
C89094,CCRT01431
C89095,CCRT02414
C89096,CCRT00239
C89097,CCRT02029
C89098,CCRT02136
C89103,CCRT01295
C89104,CCRT01706
C89105,CCRT01228
C89111,CCRT02588
C89112,CCRT02154
C89112,CCRT02743
C89113,CCRT00568
C89114,CCRT00937
C89115,CCRT02934
C89116,CCRT00348
C89117,CCRT03157
C89119,CCRT01459
C89120,CCRT03315
C89121,CCRT02196
C89122,CCRT02023
C89123,CCRT00094
C89124,CCRT03091
C89124,CCRT03127
C89125,CCRT01377
C89127,CCRT02382
C89128,CCRT01036
C89128,CCRT03046
C89129,CCRT01050
C89129,CCRT02288
C89130,CCRT01716
C89131,CCRT02365
C89132,CCRT02102
C89133,CCRT00056
C89134,CCRT03224
C89135,CCRT02883
C89136,CCRT01206
C89137,CCRT03353
C89139,CCRT01872
C89140,CCRT00442
C89141,CCRT03224
C89142,CCRT02354
C89143,CCRT03295
C89144,CCRT00498
C89145,CCRT02912
C89146,CCRT01866
C89147,CCRT01295
C89149,CCRT01938
C89150,CCRT00163
C89151,CCRT01105
C89152,CCRT02544
C89153,CCRT02651
C89154,CCRT03103
C89155,CCRT03356
C89156,CCRT01680
C89157,CCRT01032
C89158,CCRT01491
C89159,CCRT01105
C89160,CCRT00787
C89161,CCRT00325
C89161,CCRT02356
C89162,CCRT02237
C89163,CCRT00809
C89164,CCRT02440
C89165,CCRT03058
C89166,CCRT02922
C89167,CCRT01228
C89168,CCRT02270
C89168,CCRT02380
C89169,CCRT00531
C89169,CCRT02493
C89171,CCRT02206
C89172,CCRT00968
C89173,CCRT03241
C89174,CCRT01470
C89175,CCRT02327
C89178,CCRT01655
C89178,CCRT02590
C89179,CCRT00732
C89180,CCRT02555
C89182,CCRT01831
C89183,CCRT01680
C89183,CCRT02387
C89184,CCRT02166
C89185,CCRT02969
C89186,CCRT00108
C89187,CCRT00108
C89188,CCRT01098
C89191,CCRT00385
C89192,CCRT02724
C89196,CCRT03112
C89197,CCRT01050
C89198,CCRT01180
C89199,CCRT01266
C89199,CCRT02365
C89200,CCRT02979
C89201,CCRT01421
C89201,CCRT01518
C89202,CCRT01299
C89203,CCRT03195
C89204,CCRT02023
C89204,CCRT02728
C89205,CCRT02934
C89208,CCRT00489
C89209,CCRT02136
C89210,CCRT02136
C89211,CCRT02590
C89213,CCRT01910
C89214,CCRT01677
C89215,CCRT02044
C89216,CCRT02136
C89217,CCRT03206
C89218,CCRT01085
C89219,CCRT03214
C89220,CCRT02876
C89221,CCRT01016
C89222,CCRT01242
C89223,CCRT02529
C89223,CCRT02721
C89224,CCRT01979
C89225,CCRT00957
C89226,CCRT01512
C89226,CCRT01629
C89227,CCRT03277
C89228,CCRT02402
C89229,CCRT01090
C89230,CCRT00248
C89231,CCRT00248
C89231,CCRT02113
C89232,CCRT00248
C89232,CCRT02113
C89232,CCRT03022
C89233,CCRT00248
C89233,CCRT01105
C89235,CCRT02724
C89236,CCRT00460
C89237,CCRT01665
C89237,CCRT02270
C89238,CCRT00330
C89240,CCRT00544
C89242,CCRT00271
C89244,CCRT01475
C89245,CCRT00056
C89246,CCRT01276
C89247,CCRT00195
C89248,CCRT00248
C89249,CCRT01718
C89251,CCRT00291
C89252,CCRT01754
C89252,CCRT02288
C89253,CCRT03276
C89254,CCRT02466
C89255,CCRT02718
C89256,CCRT03019
C89257,CCRT00238
C89259,CCRT00109
C89261,CCRT01227
C89261,CCRT02588
C89262,CCRT01882
C89264,CCRT00507
C89265,CCRT02189
C89266,CCRT01518
C89267,CCRT00248
C89268,CCRT01754
C89271,CCRT01642
C89272,CCRT01281
C89273,CCRT01534
C89274,CCRT00233
C89275,CCRT03355
C89276,CCRT01067
C89276,CCRT01075
C89277,CCRT01067
C89278,CCRT00208
C89278,CCRT00301
C89279,CCRT00328
C89280,CCRT02613
C89280,CCRT03218
C89281,CCRT02044
C89281,CCRT03286
C89285,CCRT01295
C89286,CCRT01691
C89287,CCRT01827
C89289,CCRT00893
C89294,CCRT01377
C89295,CCRT02458
C89296,CCRT00762
C89296,CCRT03170
C89297,CCRT02392
C89298,CCRT03237
C89299,CCRT00094
C89300,CCRT01570
C89301,CCRT01085
C89302,CCRT02216
C89303,CCRT02583
C89304,CCRT03324
C89305,CCRT03324
C89306,CCRT03324
C89307,CCRT01016
C89308,CCRT02060
C89309,CCRT00681
C89310,CCRT01036
C89311,CCRT02743
C89312,CCRT00239
C89313,CCRT02321
C89314,CCRT02006
C89315,CCRT01328
C89317,CCRT00233
C89318,CCRT00851
C89319,CCRT00134
C89320,CCRT00971
C89321,CCRT03154
C89322,CCRT01008
C89323,CCRT00083
C89325,CCRT00485
C89326,CCRT03103
C89327,CCRT01872
C89328,CCRT02255
C89329,CCRT02522
C89330,CCRT01075
C89331,CCRT03324
C89332,CCRT01693
C89333,CCRT01926
C89334,CCRT02321
C89335,CCRT01872
C89336,CCRT00489
C89337,CCRT02865
C89341,CCRT02582
C89342,CCRT02113
C89343,CCRT00442
C89344,CCRT03224
C89345,CCRT03020
C89346,CCRT01281
C89347,CCRT00106
C89348,CCRT01109
C89349,CCRT01979
C89352,CCRT00893
C89354,CCRT03074
C89355,CCRT01252
C89355,CCRT01512
C89357,CCRT01669
C89358,CCRT01669
C89359,CCRT01281
C89360,CCRT01009
C89361,CCRT02321
C89362,CCRT00743
C89362,CCRT01512
C89363,CCRT00738
C89364,CCRT02466
C89365,CCRT01754
C89366,CCRT00454
C89367,CCRT00398
C89368,CCRT03355
C89370,CCRT01792
C89371,CCRT00705
C89372,CCRT01094
C89375,CCRT02365
C89376,CCRT00300
C89378,CCRT02590
C89379,CCRT00266
C89380,CCRT01792
C89381,CCRT02003
C89382,CCRT01491
C89383,CCRT01814
C89384,CCRT00581
C89385,CCRT03310
C89386,CCRT01050
C89386,CCRT03182
C89387,CCRT02810
C89388,CCRT01720
C89388,CCRT02172
C89389,CCRT02560
C89390,CCRT02458
C89391,CCRT00868
C89392,CCRT00187
C89393,CCRT01053
C89394,CCRT00014
C89396,CCRT02270
C89397,CCRT01052
C89398,CCRT00489
C89399,CCRT01575
C89400,CCRT00037
C89400,CCRT01377
C89401,CCRT00109
C89402,CCRT02840
C89403,CCRT03112
C89404,CCRT01760
C89404,CCRT02438
C89405,CCRT01902
C89407,CCRT01979
C89408,CCRT01804
C89409,CCRT03276
C89412,CCRT02321
C89413,CCRT02343
C89414,CCRT01868
C89416,CCRT01350
C89417,CCRT02732
C89420,CCRT00522
C89421,CCRT00395
C89422,CCRT02860
C89425,CCRT01849
C89426,CCRT02974
C89427,CCRT02974
C89428,CCRT00788
C89429,CCRT03283
C89430,CCRT02438
C89431,CCRT00094
C89432,CCRT02569
C89434,CCRT00346
C89435,CCRT00315
C89435,CCRT01512
C89436,CCRT02902
C89437,CCRT01268
C89438,CCRT01268
C89440,CCRT02523
C89441,CCRT00937
C89442,CCRT02288
C89442,CCRT03154
C89445,CCRT01872
C89446,CCRT02191
C89447,CCRT00771
C89449,CCRT02196
C89450,CCRT02530
C89451,CCRT00109
C89452,CCRT02333
C89453,CCRT01725
C89454,CCRT01882
C89455,CCRT01052
C89457,CCRT00600
C89458,CCRT00083
C89459,CCRT00809
C89460,CCRT00094
C89461,CCRT01218
C89463,CCRT00705
C89464,CCRT01295
C89466,CCRT00239
C89467,CCRT00264
C89470,CCRT01001
C89471,CCRT00531
C89472,CCRT01249
C89472,CCRT03133
C89472,CCRT03317
C89473,CCRT02068
C89474,CCRT01229
C89475,CCRT03272
C89476,CCRT01560
C89476,CCRT02929
C89477,CCRT02826
C89485,CCRT01016
C89486,CCRT02320
C89488,CCRT01706
C89489,CCRT03024
C89490,CCRT03189
C89492,CCRT00127
C89493,CCRT00303
C89494,CCRT00108
C89496,CCRT00109
C89497,CCRT01822
C89498,CCRT00069
C89499,CCRT03081
C89500,CCRT00127
C89501,CCRT03219
C89501,CCRT03356
C89502,CCRT00094
C89503,CCRT02864
C89504,CCRT01145
C89505,CCRT02615
C89506,CCRT03224
C89507,CCRT02021
C89508,CCRT00611
C89509,CCRT03310
C89510,CCRT02512
C89511,CCRT02567
C89512,CCRT02653
C89513,CCRT02505
C89513,CCRT02942
C89514,CCRT00114
C89515,CCRT02275
C89516,CCRT02343
C89517,CCRT02255
C89518,CCRT00084
C89519,CCRT00473
C89519,CCRT03170
C89520,CCRT01754
C89521,CCRT00960
C89521,CCRT02109
C89523,CCRT01192
C89523,CCRT02228
C89525,CCRT01086
C89526,CCRT02891
C89527,CCRT01229
C89527,CCRT03029
C89528,CCRT01086
C89529,CCRT02305
C89530,CCRT01389
C89531,CCRT01902
C89532,CCRT01675
C89533,CCRT03058
C89534,CCRT02706
C89536,CCRT00230
C89538,CCRT02166
C89540,CCRT00084
C89541,CCRT01822
C89543,CCRT02970
C89546,CCRT03249
C89547,CCRT01611
C89548,CCRT00619
C89548,CCRT02743
C89550,CCRT00265
C89551,CCRT01512
C89551,CCRT02462
C89552,CCRT02462
C89553,CCRT03324
C89554,CCRT02201
C89555,CCRT00868
C89556,CCRT00395
C89557,CCRT03247
C89558,CCRT00442
C89559,CCRT03211
C89560,CCRT02335
C89561,CCRT00315
C89561,CCRT01512
C89562,CCRT03271
C89563,CCRT01281
C89565,CCRT00982
C89566,CCRT02376
C89567,CCRT02023
C89568,CCRT02724
C89569,CCRT01454
C89571,CCRT02970
C89572,CCRT01947
C89574,CCRT02394
C89575,CCRT02115
C89576,CCRT01599
C89577,CCRT00140
C89579,CCRT01934
C89580,CCRT02335
C89581,CCRT02335
C89582,CCRT01655
C89584,CCRT00137
C89585,CCRT00527
C89586,CCRT02865
C89587,CCRT03271
C89588,CCRT02321
C89589,CCRT02041
C89590,CCRT01365
C89591,CCRT01512
C89591,CCRT02388
C89592,CCRT03324
C89593,CCRT03356
C89594,CCRT02163
C89594,CCRT03154
C89595,CCRT00137
C89596,CCRT01098
C89597,CCRT01932
C89598,CCRT01038
C89599,CCRT02511
C89601,CCRT03023
C89602,CCRT02343
C89603,CCRT01240
C89604,CCRT03324
C89605,CCRT01268
C89606,CCRT00348
C89607,CCRT00670
C89607,CCRT01007
C89608,CCRT00855
C89609,CCRT02020
C89610,CCRT00266
C89611,CCRT00449
C89615,CCRT01671
C89616,CCRT02231
C89619,CCRT02628
C89621,CCRT02231
C89622,CCRT01376
C89622,CCRT02231
C89625,CCRT01981
C89626,CCRT02458
C89627,CCRT01657
C89628,CCRT01843
C89629,CCRT02021
C89630,CCRT01655
C89631,CCRT01438
C89632,CCRT02130
C89633,CCRT03204
C89635,CCRT00971
C89635,CCRT02910
C89636,CCRT03324
C89637,CCRT01304
C89638,CCRT01754
C89639,CCRT01438
C89640,CCRT01438
C89641,CCRT01804
C89643,CCRT00292
C89644,CCRT02650
C89645,CCRT02321
C89646,CCRT00239
C89647,CCRT02555
C89648,CCRT00610
C89648,CCRT02288
C89649,CCRT01038
C89650,CCRT01570
C89651,CCRT03090
C89652,CCRT01295
C89653,CCRT00823
C89654,CCRT00468
C89655,CCRT00705
C89656,CCRT01512
C89657,CCRT01392
C89658,CCRT01979
C89659,CCRT00395
C89660,CCRT02010
C89661,CCRT02462
C89662,CCRT01242
C89663,CCRT03069
C89664,CCRT02365
C89666,CCRT02970
C89667,CCRT00366
C89669,CCRT00364
C89670,CCRT00519
C89671,CCRT02827
C89672,CCRT02340
C89673,CCRT02333
C89674,CCRT01295
C89675,CCRT00413
C89676,CCRT01570
C89677,CCRT00134
C89678,CCRT01780
C89679,CCRT01281
C89680,CCRT01736
C89680,CCRT02949
C89681,CCRT01844
C89682,CCRT03364
C89684,CCRT01295
C89685,CCRT01920
C89685,CCRT02951
C89687,CCRT01953
C89688,CCRT03014
C89689,CCRT02317
C89690,CCRT01736
C89692,CCRT01775
C89692,CCRT03056
C89694,CCRT01145
C89696,CCRT00993
C89696,CCRT02590
C89697,CCRT02440
C89698,CCRT00823
C89700,CCRT00810
C89701,CCRT01176
C89702,CCRT00230
C89703,CCRT01663
C89703,CCRT02006
C89704,CCRT00159
C89704,CCRT02910
C89705,CCRT00893
C89706,CCRT00893
C89708,CCRT01376
C89709,CCRT01193
C89710,CCRT02663
C89711,CCRT01295
C89712,CCRT00232
C89713,CCRT00615
C89714,CCRT00820
C89715,CCRT03353
C89716,CCRT01157
C89717,CCRT02270
C89718,CCRT01242
C89719,CCRT01242
C89721,CCRT02919
C89722,CCRT01491
C89723,CCRT01119
C89724,CCRT00479
C89726,CCRT00135
C89727,CCRT03189
C89728,CCRT02537
C89728,CCRT02907
C89729,CCRT01754
C89729,CCRT03219
C89730,CCRT02305
C89731,CCRT00239
C89732,CCRT00239
C89733,CCRT03058
C89734,CCRT01457
C89734,CCRT02910
C89735,CCRT03074
C89738,CCRT03355
C89739,CCRT02211
C89740,CCRT01457
C89740,CCRT02910
C89741,CCRT02321
C89742,CCRT01105
C89744,CCRT03042
C89745,CCRT02754
C89746,CCRT02719
C89747,CCRT01979
C89748,CCRT01518
C89749,CCRT01984
C89750,CCRT02615
C89751,CCRT00056
C89752,CCRT00982
C89753,CCRT01438
C89754,CCRT00991
C89754,CCRT03250
C89755,CCRT02907
C89756,CCRT02473
C89757,CCRT01376
C89758,CCRT03298
C89759,CCRT02073
C89760,CCRT01878
C89761,CCRT00705
C89762,CCRT03283
C89763,CCRT00492
C89763,CCRT00604
C89763,CCRT03283
C89764,CCRT03271
C89765,CCRT03353
C89766,CCRT00385
C89767,CCRT02233
C89767,CCRT03355
C89768,CCRT00460
C89769,CCRT00134
C89770,CCRT00315
C89770,CCRT02381
C89771,CCRT00828
C89772,CCRT01381
C89773,CCRT00497
C89774,CCRT01613
C89775,CCRT00957
C89776,CCRT00385
C89777,CCRT00786
C89778,CCRT02922
C89779,CCRT01231
C89781,CCRT00901
C89782,CCRT01487
C89783,CCRT02982
C89784,CCRT00094
C89786,CCRT02341
C89787,CCRT00068
C89788,CCRT02982
C89790,CCRT03019
C89791,CCRT01472
C89793,CCRT00848
C89794,CCRT02321
C89798,CCRT02706
C89799,CCRT00068
C89800,CCRT01831
C89801,CCRT02135
C89802,CCRT00623
C89803,CCRT02462
C89804,CCRT00681
C89805,CCRT02270
C89806,CCRT02553
C89807,CCRT02102
C89808,CCRT02821
C89809,CCRT01831
C89810,CCRT03115
C89811,CCRT02724
C89812,CCRT03023
C89813,CCRT01910
C89814,CCRT00482
C89814,CCRT01714
C89815,CCRT03081
C89816,CCRT00314
C89817,CCRT02088
C89818,CCRT01744
C89820,CCRT03080
C89821,CCRT01754
C89822,CCRT01846
C89823,CCRT01350
C89824,CCRT01754
C89825,CCRT03272
C89826,CCRT02521
C89827,CCRT03074
C89829,CCRT02724
C89830,CCRT00094
C89830,CCRT01242
C89830,CCRT01295
C89830,CCRT02462
C89830,CCRT02724
C89831,CCRT02365
C89832,CCRT01754
C89833,CCRT03024
C89834,CCRT02117
C89834,CCRT02357
C89835,CCRT02511
C89836,CCRT01512
C89837,CCRT00681
C89838,CCRT00460
C89839,CCRT01746
C89840,CCRT01145
C89841,CCRT01145
C89842,CCRT01200
C89843,CCRT02270
C89844,CCRT00923
C89844,CCRT02950
C89845,CCRT02321
C89846,CCRT03032
C89847,CCRT00210
C89848,CCRT02886
C89849,CCRT02886
C89850,CCRT00128
C89851,CCRT00957
C89853,CCRT02588
C89854,CCRT01385
C89855,CCRT02912
C89856,CCRT01104
C89857,CCRT03272
C89858,CCRT02196
C89859,CCRT01002
C89860,CCRT00445
C89861,CCRT02349
C89862,CCRT01747
C89863,CCRT00670
C89863,CCRT01036
C89864,CCRT01381
C89864,CCRT02286
C89865,CCRT01793
C89866,CCRT00088
C89867,CCRT00376
C89868,CCRT00083
C89869,CCRT01831
C89870,CCRT02922
C89871,CCRT01438
C89872,CCRT02904
C89873,CCRT03272
C89874,CCRT00390
C89874,CCRT02216
C89875,CCRT00705
C89876,CCRT01104
C89877,CCRT02064
C89878,CCRT02881
C89879,CCRT00266
C89880,CCRT01267
C89880,CCRT02701
C89882,CCRT01716
C89884,CCRT01518
C89884,CCRT03251
C89885,CCRT00395
C89886,CCRT00194
C89887,CCRT03310
C89888,CCRT01002
C89889,CCRT00235
C89890,CCRT03324
C89891,CCRT03091
C89892,CCRT00022
C89892,CCRT02023
C89893,CCRT00971
C89893,CCRT01863
C89895,CCRT00798
C89896,CCRT02021
C89897,CCRT00150
C89897,CCRT00587
C89898,CCRT02064
C89899,CCRT02643
C89900,CCRT02644
C89901,CCRT00575
C89902,CCRT00066
C89903,CCRT01473
C89904,CCRT03309
C89905,CCRT02903
C89906,CCRT01738
C89907,CCRT02459
C89908,CCRT01972
C89908,CCRT02680
C89909,CCRT02175
C89910,CCRT02680
C89910,CCRT03053
C89911,CCRT01351
C89912,CCRT01004
C89913,CCRT02564
C89919,CCRT02021
C89920,CCRT01492
C89920,CCRT02627
C89921,CCRT01082
C89921,CCRT01216
C89922,CCRT00728
C89924,CCRT01925
C89925,CCRT02021
C89926,CCRT00131
C89926,CCRT01852
C89927,CCRT00709
C89927,CCRT01473
C89927,CCRT01475
C89927,CCRT02021
C89927,CCRT02369
C89927,CCRT02383
C89927,CCRT02486
C89928,CCRT03064
C89929,CCRT01737
C89930,CCRT00559
C89930,CCRT01811
C89931,CCRT00620
C89931,CCRT01768
C89932,CCRT00620
C89932,CCRT01768
C89933,CCRT00620
C89934,CCRT03016
C89935,CCRT02640
C89936,CCRT00920
C89936,CCRT01387
C89937,CCRT01387
C89938,CCRT01269
C89939,CCRT01003
C89940,CCRT00283
C89941,CCRT03013
C89942,CCRT00709
C89943,CCRT00709
C89944,CCRT02743
C89945,CCRT01118
C89945,CCRT02217
C89946,CCRT03160
C89947,CCRT00121
C89948,CCRT00378
C89949,CCRT00444
C89949,CCRT01939
C89950,CCRT02930
C89951,CCRT01811
C89951,CCRT03374
C89952,CCRT00411
C89952,CCRT02509
C89953,CCRT00411
C89953,CCRT02509
C89954,CCRT00411
C89954,CCRT02509
C89955,CCRT02230
C89956,CCRT02121
C89957,CCRT02374
C89958,CCRT01616
C89960,CCRT02592
C89961,CCRT00646
C89962,CCRT02471
C89963,CCRT01906
C89963,CCRT02629
C89964,CCRT01361
C89965,CCRT01803
C89966,CCRT02059
C89967,CCRT02602
C89968,CCRT00137
C89969,CCRT03355
C89970,CCRT02953
C89971,CCRT00583
C89971,CCRT01700
C89972,CCRT00351
C89973,CCRT01283
C89975,CCRT00656
C89976,CCRT02212
C89977,CCRT03115
C89978,CCRT02592
C89979,CCRT01095
C89979,CCRT02592
C89980,CCRT02606
C89981,CCRT00089
C89982,CCRT02259
C89983,CCRT02496
C89984,CCRT03159
C89985,CCRT02393
C89986,CCRT02794
C89986,CCRT03203
C89987,CCRT02794
C89987,CCRT03203
C89988,CCRT00504
C89988,CCRT03159
C89989,CCRT00847
C89989,CCRT01925
C89990,CCRT01082
C89990,CCRT01829
C89991,CCRT01636
C89992,CCRT01417
C89993,CCRT02369
C89994,CCRT01542
C89995,CCRT02930
C89996,CCRT02930
C89997,CCRT01757
C89998,CCRT01559
C89998,CCRT02425
C89999,CCRT02953
C90000,CCRT01400
C90001,CCRT02076
C90002,CCRT00082
C90002,CCRT02680
C90003,CCRT02509
C90004,CCRT00010
C90005,CCRT01314
C90006,CCRT01883
C90007,CCRT02498
C90008,CCRT00900
C90009,CCRT00347
C90010,CCRT02467
C90011,CCRT01542
C90012,CCRT00107
C90012,CCRT01933
C90013,CCRT00369
C90014,CCRT01939
C90014,CCRT02670
C90015,CCRT02038
C90016,CCRT01790
C90016,CCRT02681
C90018,CCRT00779
C90019,CCRT00779
C90020,CCRT01211
C90021,CCRT01211
C90022,CCRT01211
C90023,CCRT02467
C90024,CCRT02312
C90025,CCRT00646
C90027,CCRT00352
C90028,CCRT00752
C90029,CCRT01482
C90030,CCRT01897
C90030,CCRT01955
C90031,CCRT00590
C90032,CCRT02374
C90033,CCRT02923
C90034,CCRT01082
C90034,CCRT02163
C90035,CCRT00529
C90035,CCRT01003
C90035,CCRT01108
C90035,CCRT02471
C90036,CCRT02592
C90037,CCRT02930
C90038,CCRT01950
C90039,CCRT01986
C90040,CCRT02113
C90041,CCRT02019
C90042,CCRT00546
C90042,CCRT02397
C90043,CCRT02643
C90044,CCRT01197
C90046,CCRT00458
C90046,CCRT02471
C90047,CCRT02259
C90048,CCRT00302
C90049,CCRT02374
C90050,CCRT02057
C90051,CCRT00216
C90052,CCRT01108
C90053,CCRT02064
C90054,CCRT01308
C90054,CCRT02525
C90055,CCRT00284
C90056,CCRT03077
C90057,CCRT02066
C90058,CCRT02847
C90059,CCRT02247
C90060,CCRT01949
C90060,CCRT02572
C90065,CCRT02658
C90066,CCRT02564
C90067,CCRT02247
C90068,CCRT02339
C90069,CCRT02600
C90070,CCRT01287
C90070,CCRT02712
C90071,CCRT01892
C90072,CCRT00836
C90073,CCRT00790
C90074,CCRT01831
C90076,CCRT00232
C90077,CCRT02301
C90079,CCRT00489
C90080,CCRT01700
C90081,CCRT01700
C90082,CCRT02961
C90085,CCRT01203
C90087,CCRT02931
C90088,CCRT01650
C90089,CCRT00971
C90089,CCRT03047
C90090,CCRT01451
C90091,CCRT01612
C90091,CCRT02663
C90093,CCRT02150
C90093,CCRT02785
C90094,CCRT00214
C90095,CCRT02578
C90096,CCRT00132
C90096,CCRT03183
C90097,CCRT02150
C90098,CCRT01325
C90099,CCRT00659
C90101,CCRT00675
C90101,CCRT02938
C90102,CCRT01539
C90103,CCRT01507
C90103,CCRT02201
C90104,CCRT00563
C90107,CCRT02714
C90108,CCRT00513
C90109,CCRT00175
C90110,CCRT01338
C90111,CCRT01900
C90116,CCRT00590
C90118,CCRT00528
C90118,CCRT02652
C90119,CCRT02083
C90120,CCRT01876
C90121,CCRT00287
C90122,CCRT02271
C90122,CCRT02674
C90123,CCRT01473
C90124,CCRT01979
C90125,CCRT00201
C90126,CCRT01723
C90127,CCRT01704
C90127,CCRT02150
C90128,CCRT00740
C90128,CCRT02919
C90129,CCRT01723
C90130,CCRT01018
C90131,CCRT00620
C90131,CCRT01768
C90132,CCRT02467
C90133,CCRT00874
C90134,CCRT02373
C90135,CCRT02817
C90136,CCRT01542
C90138,CCRT01682
C90139,CCRT01542
C90140,CCRT02301
C90141,CCRT02322
C90142,CCRT02322
C90143,CCRT00800
C90144,CCRT03008
C90145,CCRT01019
C90147,CCRT02658
C90148,CCRT02593
C90149,CCRT01523
C90150,CCRT00623
C90151,CCRT00447
C90151,CCRT01082
C90152,CCRT03084
C90153,CCRT03026
C90154,CCRT02187
C90155,CCRT03341
C90156,CCRT00870
C90156,CCRT01829
C90157,CCRT02564
C90158,CCRT01416
C90158,CCRT02602
C90159,CCRT01986
C90160,CCRT00024
C90160,CCRT02658
C90161,CCRT01624
C90162,CCRT02247
C90163,CCRT00430
C90164,CCRT01892
C90165,CCRT01469
C90165,CCRT01539
C90166,CCRT01766
C90167,CCRT01573
C90168,CCRT00667
C90169,CCRT02928
C90169,CCRT03097
C90170,CCRT02928
C90170,CCRT03097
C90171,CCRT00287
C90172,CCRT00051
C90172,CCRT03299
C90174,CCRT02336
C90175,CCRT03034
C90176,CCRT00986
C90177,CCRT00986
C90177,CCRT02592
C90178,CCRT02663
C90179,CCRT01506
C90179,CCRT02019
C90180,CCRT01783
C90180,CCRT02172
C90181,CCRT00237
C90181,CCRT02172
C90183,CCRT01135
C90184,CCRT02791
C90185,CCRT00565
C90186,CCRT01542
C90187,CCRT01236
C90187,CCRT02087
C90188,CCRT02150
C90188,CCRT02493
C90189,CCRT01631
C90190,CCRT00771
C90191,CCRT02301
C90192,CCRT00709
C90194,CCRT00387
C90195,CCRT02005
C90196,CCRT02431
C90197,CCRT00973
C90198,CCRT01672
C90199,CCRT02064
C90200,CCRT01056
C90200,CCRT02175
C90201,CCRT00387
C90202,CCRT02509
C90203,CCRT03071
C90204,CCRT00218
C90204,CCRT03243
C90205,CCRT01542
C90206,CCRT00289
C90206,CCRT00799
C90207,CCRT02301
