ccid,crtid
C87788,CCRT01086
C87788,CCRT01235
C87789,CCRT00134
C87790,CCRT01438
C87791,CCRT02979
C87792,CCRT02979
C87793,CCRT00708
C87794,CCRT01086
C87796,CCRT03112
C87797,CCRT01872
C87798,CCRT01020
C87798,CCRT02506
C87799,CCRT02912
C87800,CCRT02117
C87800,CCRT02357
C87801,CCRT02166
C87802,CCRT01680
C87804,CCRT02139
C87805,CCRT02139
C87806,CCRT02840
C87807,CCRT01365
C87808,CCRT00985
C87810,CCRT00445
C87811,CCRT03276
C87812,CCRT00382
C87813,CCRT01518
C87815,CCRT00127
C87816,CCRT03008
C87817,CCRT02290
C87818,CCRT01534
C87819,CCRT01329
C87820,CCRT02334
C87821,CCRT01415
C87822,CCRT01962
C87823,CCRT03052
C87824,CCRT02534
C87825,CCRT02333
C87826,CCRT03112
C87828,CCRT02922
C87829,CCRT01657
C87830,CCRT00531
C87831,CCRT02689
C87832,CCRT01232
C87833,CCRT01016
C87834,CCRT02030
C87835,CCRT02270
C87836,CCRT02402
C87837,CCRT01534
C87838,CCRT02196
C87839,CCRT02904
C87840,CCRT02724
C87841,CCRT00486
C87842,CCRT03324
C87843,CCRT02907
C87844,CCRT03115
C87845,CCRT01199
C87846,CCRT01049
C87847,CCRT02136
C87848,CCRT02922
C87849,CCRT03023
C87850,CCRT02136
C87852,CCRT03023
C87853,CCRT00626
C87854,CCRT02770
C87855,CCRT00788
C87858,CCRT02360
C87859,CCRT03324
C87860,CCRT00339
C87861,CCRT02333
C87862,CCRT01427
C87863,CCRT00731
C87864,CCRT01255
C87865,CCRT03118
C87866,CCRT02865
C87867,CCRT02615
C87868,CCRT00445
C87869,CCRT02724
C87870,CCRT02768
C87870,CCRT02994
C87871,CCRT02270
C87872,CCRT02368
C87873,CCRT02166
C87874,CCRT02003
C87875,CCRT02199
C87876,CCRT00985
C87877,CCRT01016
C87879,CCRT01396
C87880,CCRT01753
C87881,CCRT03133
C87882,CCRT00271
C87883,CCRT01017
C87884,CCRT02984
C87884,CCRT03198
C87885,CCRT03324
C87886,CCRT00661
C87886,CCRT00848
C87887,CCRT02615
C87887,CCRT03146
C87888,CCRT01749
C87889,CCRT02615
C87890,CCRT03324
C87892,CCRT00613
C87892,CCRT01968
C87893,CCRT01913
C87894,CCRT03115
C87895,CCRT02544
C87896,CCRT00893
C87897,CCRT02111
C87900,CCRT00260
C87900,CCRT03046
