ccid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname
C102235,さばげぶっ！,1,0,0,2014-08-06,2014-08-06,C119033,週刊少年マガジン
C109295,マウンドの稲妻,10,1,1,1980-08-18,1980-10-20,C119459,週刊少年ジャンプ
C109296,SCRAP三太夫,19,2,3,1988-10-03,1989-09-18,C119459,週刊少年ジャンプ
C109297,IN THE TRAIN,1,0,0,1997-02-03,1997-02-03,C119459,週刊少年ジャンプ
C110879,[編集後記],1,0,0,2001-11-19,2001-11-19,C119459,週刊少年ジャンプ
C110880,[掲載に関するお知らせ],1,0,0,2013-02-25,2013-02-25,C119459,週刊少年ジャンプ
C110884,[懸賞],2,0,0,2010-04-05,2011-05-02,C119459,週刊少年ジャンプ
C110886,血界戦線,1,0,1,2015-04-27,2015-04-27,C119459,週刊少年ジャンプ
C110887,To LOVEる -とらぶる- ダークネス,2,0,1,2015-07-20,2016-01-15,C119459,週刊少年ジャンプ
C110888,テラフォーマーズ[TERRA FORMARS],1,0,1,2014-10-13,2014-10-13,C119459,週刊少年ジャンプ
C110889,終わりのセラフ,3,0,2,2013-06-10,2016-01-15,C119459,週刊少年ジャンプ
C110892,ヨアケモノ,16,0,2,2014-08-04,2014-11-24,C119459,週刊少年ジャンプ
C110893,龍生九子,1,0,1,2014-08-13,2014-08-13,C119033,週刊少年マガジン
C110894,ネジヤマさん。,1,0,1,2014-08-11,2014-08-11,C119459,週刊少年ジャンプ
C110896,DEVILYMAN,1,0,1,2014-08-18,2014-08-18,C119459,週刊少年ジャンプ
C110897,鉄の王,24,0,1,2014-08-27,2015-02-11,C119033,週刊少年マガジン
C110898,徒然チルドレン,110,0,3,2014-08-27,2017-07-26,C119033,週刊少年マガジン
C110899,the Killing Pawn,1,0,1,2014-08-27,2014-08-27,C119033,週刊少年マガジン
C110900,ベイマックス,1,0,1,2014-08-27,2014-08-27,C119033,週刊少年マガジン
C110901,戦争劇場,55,0,1,2014-08-06,2015-10-07,C117607,週刊少年サンデー
C110902,洋菓子店ギャラクシー,1,0,1,2014-08-06,2014-08-06,C117607,週刊少年サンデー
C110903,闘え！春巻 外伝!浦安鉄筋家族,1,0,0,2014-07-31,2014-07-31,C120282,週刊少年チャンピオン
C110904,マリリーン大魔法研究所,3,0,0,2014-08-07,2014-08-28,C120282,週刊少年チャンピオン
C110905,ある朝起きたら,1,0,0,2014-09-01,2014-09-01,C119459,週刊少年ジャンプ
C110906,返信願望!,1,0,0,2014-09-01,2014-09-01,C119459,週刊少年ジャンプ
C110907,噂の噂倶楽部,1,0,0,2014-08-21,2014-08-21,C120282,週刊少年チャンピオン
C110908,肋骨さん,1,0,1,2014-09-08,2014-09-08,C119459,週刊少年ジャンプ
C110909,笠原さんと雨の日に,1,0,0,2014-09-08,2014-09-08,C119459,週刊少年ジャンプ
C110910,ラブひな,1,0,0,2014-09-10,2014-09-10,C119033,週刊少年マガジン
C110911,喧嘩村,8,0,0,2014-08-28,2014-10-16,C120282,週刊少年チャンピオン
C110912,BRAIN BREAKER -ブレイン・ブレイカー-,1,0,1,2014-09-15,2014-09-15,C119459,週刊少年ジャンプ
C110913,デジコン,26,0,4,2014-09-03,2015-03-11,C117607,週刊少年サンデー
C110914,育てち魔おう!,3,0,0,2014-09-17,2016-12-14,C119033,週刊少年マガジン
C110915,HOBBY SEARCHERS ARE GO!,4,0,0,2015-04-09,2016-04-14,C120282,週刊少年チャンピオン
C110916,SF BATTLE ACTION UNI,4,0,0,2014-09-04,2014-09-25,C120282,週刊少年チャンピオン
C110917,少年ナンデヤネン,1,0,0,2014-09-22,2014-09-22,C119459,週刊少年ジャンプ
C110918,魔法少女・オブ・ジ・エンド,1,0,1,2014-09-11,2014-09-11,C120282,週刊少年チャンピオン
C110919,吸血鬼よく死ぬ,1,0,0,2014-09-11,2014-09-11,C120282,週刊少年チャンピオン
C110920,ハイファイクラスタ,18,0,2,2014-09-29,2015-02-09,C119459,週刊少年ジャンプ
C110921,拝啓 運命の人,1,0,0,2014-09-29,2014-09-29,C119459,週刊少年ジャンプ
C110922,星咬の皐月,1,0,1,2014-10-01,2014-10-01,C119033,週刊少年マガジン
C110923,チカカラチカ,18,0,1,2014-09-18,2015-01-29,C120282,週刊少年チャンピオン
C110924,ぽかぽかおふろちゃん,1,0,0,2014-09-18,2014-09-18,C120282,週刊少年チャンピオン
C110925,おいしい神しゃま,39,0,39,2014-09-24,2015-10-28,C117607,週刊少年サンデー
C110926,Sporting Salt,18,0,2,2014-10-06,2015-02-16,C119459,週刊少年ジャンプ
C110927,うちはサスケの写輪眼伝,9,0,0,2014-10-06,2017-07-17,C119459,週刊少年ジャンプ
C110928,れっつ!ハイキュー!?,2,0,1,2014-10-06,2015-06-15,C119459,週刊少年ジャンプ
C110929,本当にはなかったし別に怖くもない話,1,0,0,2014-10-06,2014-10-06,C119459,週刊少年ジャンプ
C110930,せっかち伯爵をせっかちにおさらい,1,0,0,2014-10-08,2014-10-08,C119033,週刊少年マガジン
C110931,実食!ウサキチくん,3,1,0,2014-10-20,2017-07-17,C119459,週刊少年ジャンプ
C110932,なんて古っ代!ファラオくん,4,1,0,2014-10-20,2017-07-17,C119459,週刊少年ジャンプ
C110933,モロモノの事情,3,0,1,2014-10-27,2014-11-10,C119459,週刊少年ジャンプ
C110934,ネイジィ・レター,1,0,0,2014-09-25,2014-09-25,C120282,週刊少年チャンピオン
C110935,ファッキン・ヒットマンベイビー,1,0,0,2014-10-02,2014-10-02,C120282,週刊少年チャンピオン
C110936,私のマカロンくん,1,0,0,2014-10-02,2014-10-02,C120282,週刊少年チャンピオン
C110937,レジコン,1,0,0,2014-10-09,2014-10-09,C120282,週刊少年チャンピオン
C110938,死ぬ運命の男,1,0,0,2014-10-09,2014-10-09,C120282,週刊少年チャンピオン
C110939,出歯の女の子,1,0,0,2014-10-16,2014-10-16,C120282,週刊少年チャンピオン
C110940,辻浦さんとチュパカブラ,35,0,2,2014-10-23,2015-07-09,C120282,週刊少年チャンピオン
C110941,不死身症候群,1,0,0,2014-10-23,2014-10-23,C120282,週刊少年チャンピオン
C110942,行徳の漫画家とイトの日記,21,0,1,2014-10-30,2015-04-02,C120282,週刊少年チャンピオン
C110943,テツねこ,4,0,1,2014-10-30,2014-11-20,C120282,週刊少年チャンピオン
C110944,おいなりさんのいいなりさん,1,0,0,2014-10-30,2014-10-30,C120282,週刊少年チャンピオン
C110945,なんでやねん委員長!,1,0,0,2014-11-06,2014-11-06,C120282,週刊少年チャンピオン
C110946,カナタ,1,0,1,2014-11-12,2014-11-12,C117607,週刊少年サンデー
C110947,阿部のいる町,25,0,1,2014-10-15,2015-03-25,C119033,週刊少年マガジン
C110948,ARGO アルゴ,1,0,1,2014-10-22,2014-10-22,C119033,週刊少年マガジン
C110949,アンズー,1,0,1,2014-10-29,2014-10-29,C119033,週刊少年マガジン
C110950,煉獄のカルマ,39,0,5,2014-11-05,2015-08-12,C119033,週刊少年マガジン
C110951,温泉マガジンひろいんず!,1,0,0,2014-11-05,2014-11-05,C119033,週刊少年マガジン
C110952,男三女四,4,0,0,2014-11-12,2016-12-14,C119033,週刊少年マガジン
C110953,musical AKB49 恋愛禁止条例 みのりの特別ルポ!!,1,0,0,2014-11-26,2014-11-26,C119033,週刊少年マガジン
C110954,明智警部の事件簿,2,0,0,2015-01-01,2015-05-13,C119033,週刊少年マガジン
C110955,娘入り箱,1,0,1,2014-11-17,2014-11-17,C119459,週刊少年ジャンプ
C110956,GARDEN,1,0,1,2014-11-24,2014-11-24,C119459,週刊少年ジャンプ
C110957,元妖怪ポト丸,1,0,0,2014-12-01,2014-12-01,C119459,週刊少年ジャンプ
C110958,学糾法廷,21,0,4,2015-01-01,2015-05-25,C119459,週刊少年ジャンプ
C110961,最強ジャンプ3周年!!,1,0,1,2015-01-08,2015-01-08,C119459,週刊少年ジャンプ
C110962,もめるひと,1,0,1,2015-01-08,2015-01-08,C119459,週刊少年ジャンプ
C110963,オフサイドを教えて,1,0,1,2015-01-15,2015-01-15,C119459,週刊少年ジャンプ
C110964,磯部磯兵衛物語～浮世はつらいよ～,1,0,0,2015-01-21,2015-01-21,C119459,週刊少年ジャンプ
C110965,食戟のソーマ,1,0,0,2015-01-21,2015-01-21,C119459,週刊少年ジャンプ
C110966,ヤンショフ,1,0,0,2015-01-21,2015-01-21,C119459,週刊少年ジャンプ
C110967,誰?,1,0,0,2015-01-21,2015-01-21,C119459,週刊少年ジャンプ
C110968,鶴に恩返し,1,0,0,2015-01-21,2015-01-21,C119459,週刊少年ジャンプ
C110969,エブリタイム子育て,1,0,0,2015-01-21,2015-01-21,C119459,週刊少年ジャンプ
C110970,半見開きまんが,1,0,0,2015-01-21,2015-01-21,C119459,週刊少年ジャンプ
C110971,しりこだま!,5,0,0,2015-01-21,2017-07-17,C119459,週刊少年ジャンプ
C110972,門番カエルはしゃがみたい,1,0,0,2015-01-21,2015-01-21,C119459,週刊少年ジャンプ
C110973,猫田びより,1,0,0,2015-01-21,2015-01-21,C119459,週刊少年ジャンプ
C110974,とんかつDJアゲ太郎,2,0,0,2015-01-21,2015-03-02,C119459,週刊少年ジャンプ
C110975,鮫島、最後の十五日,129,0,16,2014-11-13,2017-07-13,C120282,週刊少年チャンピオン
C110976,兄妹 少女探偵と幽霊警官の怪奇事件簿,61,0,3,2014-11-20,2016-02-25,C120282,週刊少年チャンピオン
C110977,ベルリンは鐘,4,0,1,2014-11-27,2014-12-11,C120282,週刊少年チャンピオン
C110978,Gメン,126,0,9,2014-11-27,2017-07-13,C120282,週刊少年チャンピオン
C110979,おかえりなさいサナギさん,1,0,0,2014-12-11,2014-12-11,C120282,週刊少年チャンピオン
C110980,アルパカかあさん,1,0,0,2014-12-11,2014-12-11,C120282,週刊少年チャンピオン
C110981,ch・BIOHAZARD,1,0,0,2017-01-19,2017-01-19,C120282,週刊少年チャンピオン
C110982,ひざまずけ豚野郎,1,0,0,2014-12-25,2014-12-25,C120282,週刊少年チャンピオン
C110983,ハルカ,1,0,1,2014-11-19,2014-11-19,C117607,週刊少年サンデー
C110984,DEMⅢ,1,0,1,2014-11-26,2014-11-26,C117607,週刊少年サンデー
C110985,トキワ来たれり!!,120,0,11,2014-12-03,2017-06-07,C117607,週刊少年サンデー
C110987,ドリー・マー,32,0,5,2014-12-10,2015-09-02,C117607,週刊少年サンデー
C110988,透視・ミーツ・ガール!,1,0,1,2014-12-10,2014-12-10,C117607,週刊少年サンデー
C110989,天使とアクト!!,125,0,14,2014-12-24,2017-07-12,C117607,週刊少年サンデー
C110990,SEKAI NO OWARI物語,2,0,2,2015-01-08,2015-01-15,C119033,週刊少年マガジン
C110991,「海月姫」をどうかどうかよろしくおねがいします!!,1,0,0,2015-01-08,2015-01-08,C119033,週刊少年マガジン
C110993,リアルアカウント,122,0,12,2015-01-15,2017-07-26,C119033,週刊少年マガジン
C110994,黒緋,1,0,0,2015-01-08,2015-01-08,C120282,週刊少年チャンピオン
C110995,バイオハザード ～ヘヴンリーアイランド～,50,0,8,2015-01-15,2017-02-02,C120282,週刊少年チャンピオン
C110996,僕を守る死の香り,1,0,0,2015-01-22,2015-01-22,C120282,週刊少年チャンピオン
C110997,野球部に花束を,4,0,0,2015-01-29,2015-02-19,C120282,週刊少年チャンピオン
C110998,はらまき,10,0,0,2015-01-29,2015-03-19,C120282,週刊少年チャンピオン
C110999,鈴木家と神童君,1,0,0,2015-01-29,2015-01-29,C120282,週刊少年チャンピオン
C111000,私を食卓に連れてって,8,0,0,2015-02-05,2015-03-26,C120282,週刊少年チャンピオン
C111001,ヒヨコ爆弾,1,0,0,2015-02-05,2015-02-05,C120282,週刊少年チャンピオン
C111002,マジカロマジカル,43,0,3,2015-02-12,2015-12-24,C120282,週刊少年チャンピオン
C111003,僕のクロスロード,3,0,0,2015-02-19,2015-03-05,C120282,週刊少年チャンピオン
C111004,レタス2個分のステキ,44,0,2,2015-01-07,2015-10-14,C117607,週刊少年サンデー
C111005,リオンさん、迷惑です。,33,0,3,2015-01-14,2015-09-16,C117607,週刊少年サンデー
C111006,さえずり高校OK部!,37,0,1,2015-01-21,2015-10-21,C117607,週刊少年サンデー
C111009,SOS,1,0,0,2015-02-11,2015-02-11,C117607,週刊少年サンデー
C111010,MAJOR 2nd,102,0,7,2015-03-11,2017-07-12,C117607,週刊少年サンデー
C111012,タイガー兄とドラゴン,1,0,1,2015-01-28,2015-01-28,C119459,週刊少年ジャンプ
C111013,モテキマジック,1,0,0,2015-01-28,2015-01-28,C119459,週刊少年ジャンプ
C111014,僕らは雑には学ばない,1,0,1,2015-02-02,2015-02-02,C119459,週刊少年ジャンプ
C111015,駄々,1,0,0,2015-02-02,2015-02-02,C119459,週刊少年ジャンプ
C111016,天杖のアルワンド,1,0,1,2015-02-09,2015-02-09,C119459,週刊少年ジャンプ
C111018,オニゴロキ,1,0,1,2015-02-16,2015-02-16,C119459,週刊少年ジャンプ
C111019,エルドライブ[elDLIVE],2,0,1,2015-02-16,2016-01-22,C119459,週刊少年ジャンプ
C111020,カガミガミ,39,0,4,2015-02-23,2015-11-30,C119459,週刊少年ジャンプ
C111022,カラダ探し,1,0,1,2015-02-23,2015-02-23,C119459,週刊少年ジャンプ
C111023,ブラッククローバー,119,0,29,2015-03-02,2017-07-31,C119459,週刊少年ジャンプ
C111025,Ultra Battle Satellite,17,0,2,2015-03-16,2015-07-13,C119459,週刊少年ジャンプ
C111026,新読者ページ,5,0,0,2015-03-16,2015-04-13,C119459,週刊少年ジャンプ
C111027,赤毛のアチョー!!,1,0,1,2015-03-30,2015-03-30,C119459,週刊少年ジャンプ
C111028,休み時間の滑川さん,1,0,0,2015-03-12,2015-03-12,C120282,週刊少年チャンピオン
C111029,夢を犯せ旅人,1,0,0,2015-03-19,2015-03-19,C120282,週刊少年チャンピオン
C111030,恋と嘘,5,0,0,2015-01-29,2017-07-19,C119033,週刊少年マガジン
C111031,センチレンタル少女,5,0,0,2015-02-04,2016-03-02,C119033,週刊少年マガジン
C111032,天空侵犯,10,0,1,2015-02-11,2015-04-15,C119033,週刊少年マガジン
C111033,ホスト漫,1,0,0,2015-02-11,2015-02-11,C119033,週刊少年マガジン
C111034,ルポ魂!,1,0,0,2015-02-11,2015-02-11,C119033,週刊少年マガジン
C111036,TALE OF FAIRY TAIL  ICE TRAIL～氷の軌跡～,1,0,0,2015-02-18,2015-02-18,C119033,週刊少年マガジン
C111037,シンデレラ・ストーリー,1,0,0,2015-02-18,2015-02-18,C119033,週刊少年マガジン
C111038,彼は無機物に欲情する,4,0,0,2015-02-18,2015-06-03,C119033,週刊少年マガジン
C111040,マガジンボーイズバレンタイン!,1,0,0,2015-02-25,2015-02-25,C119033,週刊少年マガジン
C111041,迷え!七つの大罪学園!,2,0,0,2015-03-04,2015-08-26,C119033,週刊少年マガジン
C111042,ドリィ・キルキル,1,0,1,2015-03-11,2015-03-11,C119033,週刊少年マガジン
C111043,GOOD BYE BASEBALL,1,0,1,2015-03-18,2015-03-18,C119033,週刊少年マガジン
C111044,プチプチたんたんプチたんたん,1,0,0,2015-03-25,2015-03-25,C119033,週刊少年マガジン
C111045,将棋の渡辺くん,1,0,0,2015-03-25,2015-03-25,C119033,週刊少年マガジン
C111046,ねこたん,1,0,0,2015-03-25,2015-03-25,C119033,週刊少年マガジン
C111047,がんばる!ストーカー,1,0,0,2015-03-25,2015-03-25,C119033,週刊少年マガジン
C111048,増すコミ,42,0,1,2015-04-01,2016-01-01,C119033,週刊少年マガジン
C111049,FAIRY TAIL of the DEAD MEEEEEEEEEN,1,0,1,2015-04-08,2015-04-08,C119033,週刊少年マガジン
C111050,ドンドハレ,1,0,1,2015-04-06,2015-04-06,C119459,週刊少年ジャンプ
C111051,羽恋らいおん,34,0,2,2015-03-26,2015-11-26,C120282,週刊少年チャンピオン
C111052,みかんくん,1,0,0,2015-04-13,2015-04-13,C119459,週刊少年ジャンプ
C111053,私のお兄ちゃんはサイボーグです。,9,0,0,2015-04-02,2015-06-04,C120282,週刊少年チャンピオン
C111054,紅の暗殺者,1,0,1,2015-04-15,2015-04-15,C119033,週刊少年マガジン
C111055,マガジンOHANAMI!!,1,0,0,2015-04-15,2015-04-15,C119033,週刊少年マガジン
C111056,究極球舞,1,0,1,2015-04-20,2015-04-20,C119459,週刊少年ジャンプ
C111058,なのは洋菓子店のいい仕事,70,0,7,2015-04-08,2016-10-26,C117607,週刊少年サンデー
C111059,漫画家志望必見!!先輩漫画家が極意を伝授!! 進め!漫画道!!,37,0,0,2014-12-10,2016-09-07,C117607,週刊少年サンデー
C111060,漫画家志望必見!!先輩漫画家が極意を伝授!! 進め!漫画道!!,6,0,0,2015-01-28,2015-03-04,C117607,週刊少年サンデー
C111061,漫画家志望必見!!先輩漫画家が極意を伝授!! 進め!漫画道!!,4,0,0,2015-03-11,2015-04-01,C117607,週刊少年サンデー
C111062,漫画家志望必見!!先輩漫画家が極意を伝授!! 進め!漫画道!!,19,0,0,2015-04-08,2015-10-14,C117607,週刊少年サンデー
C111063,ピンキュー★★★,14,0,1,2015-04-22,2015-07-22,C119033,週刊少年マガジン
C111064,待ち人マチ子,1,0,0,2015-04-22,2015-04-22,C119033,週刊少年マガジン
C111065,金田一少年の1泊2日小旅行,1,0,0,2015-04-22,2015-04-22,C119033,週刊少年マガジン
C111066,青春リトルポンコッツ,6,0,0,2015-04-09,2015-05-21,C120282,週刊少年チャンピオン
C111067,グルメ319.5 海の八王!!,1,0,0,2015-04-27,2015-04-27,C119459,週刊少年ジャンプ
C111068,はじめての田中論理,1,0,0,2015-04-29,2015-04-29,C119033,週刊少年マガジン
C111069,蠢くニャグラゾテプ,5,0,0,2015-04-16,2015-05-21,C120282,週刊少年チャンピオン
C111070,いぬやしき,1,0,0,2015-05-13,2015-05-13,C119033,週刊少年マガジン
C111071,金田一少年の事件簿R×明智警部の事件簿,1,0,1,2015-05-13,2015-05-13,C119033,週刊少年マガジン
C111072,魔法が魔法で魔法なんですよ!!,3,0,0,2015-04-23,2015-05-14,C120282,週刊少年チャンピオン
C111073,蠅庭のジグザグ,1,0,1,2015-05-04,2015-05-04,C119459,週刊少年ジャンプ
C111074,マスターマン対懇親会,1,0,0,2015-05-04,2015-05-04,C119459,週刊少年ジャンプ
C111075,～華麗なる晩餐会～,1,0,0,2015-05-11,2015-05-11,C119459,週刊少年ジャンプ
C111076,tutti!,29,0,3,2015-04-29,2015-11-25,C117607,週刊少年サンデー
C111077,背すじをピン!と～鹿高競技ダンス部へようこそ～,88,0,14,2015-05-25,2017-02-27,C119459,週刊少年ジャンプ
C111078,レディ・ジャスティス,16,0,2,2015-06-01,2015-09-21,C119459,週刊少年ジャンプ
C111079,デビリーマン,16,0,2,2015-06-08,2015-09-28,C119459,週刊少年ジャンプ
C111081,マジカルパティシエ小咲ちゃん!!,1,0,0,2015-06-15,2015-06-15,C119459,週刊少年ジャンプ
C111082,食戟のソーマ エトワール,1,0,0,2015-06-15,2015-06-15,C119459,週刊少年ジャンプ
C111083,黒子のバスケ Replace PLUS,1,0,0,2015-06-15,2015-06-15,C119459,週刊少年ジャンプ
C111084,アンペア,27,0,4,2015-06-03,2015-12-09,C117607,週刊少年サンデー
C111085,シックス!,1,0,1,2015-06-10,2015-06-10,C119033,週刊少年マガジン
C111086,凸凹アニメーション,14,0,1,2015-06-17,2015-09-16,C119033,週刊少年マガジン
C111087,零怪層の住人,1,0,0,2015-05-21,2015-05-21,C120282,週刊少年チャンピオン
C111088,REIKA,1,0,0,2015-06-04,2015-06-04,C120282,週刊少年チャンピオン
C111089,笑いの神々～最終回～,1,0,0,2015-06-22,2015-06-22,C119459,週刊少年ジャンプ
C111090,温泉街のメデューサ,1,0,0,2015-06-22,2015-06-22,C119459,週刊少年ジャンプ
C111091,ニコべん!,42,0,4,2015-06-11,2016-04-21,C120282,週刊少年チャンピオン
C111092,天狗警察,1,0,1,2015-06-29,2015-06-29,C119459,週刊少年ジャンプ
C111093,スメラギドレッサーズ,36,0,3,2015-06-18,2016-03-10,C120282,週刊少年チャンピオン
C111094,レポートしよう! ～「実は私は」アフレコ現場直撃～,1,0,0,2015-06-25,2015-06-25,C120282,週刊少年チャンピオン
C111096,アベンジャーズ エイジ・オブ・ウルトロン,1,0,1,2015-07-15,2015-07-15,C119033,週刊少年マガジン
C111097,～「実は私は」アフレコ現場直撃～レポートしよう!,2,0,0,2015-07-02,2015-07-09,C120282,週刊少年チャンピオン
C111098,大改造!サイボーグバレンタイン,1,0,0,2015-07-02,2015-07-02,C120282,週刊少年チャンピオン
C111099,新たなるホライズン,1,0,0,2015-07-20,2015-07-20,C119459,週刊少年ジャンプ
C111100,漫画家志望必見!!先輩漫画家が極意を伝授!! 進め!漫画道!!,6,0,0,2015-07-08,2015-08-19,C117607,週刊少年サンデー
C111101,ベストブルー,19,0,2,2015-07-27,2015-12-07,C119459,週刊少年ジャンプ
C111102,世界の黒さわ,1,0,0,2015-07-27,2015-07-27,C119459,週刊少年ジャンプ
C111103,第伍特捜,14,0,1,2015-07-29,2015-11-04,C119033,週刊少年マガジン
C111104,藍の時代 -Indigo Period- 一期一会,8,0,2,2015-07-16,2015-09-10,C120282,週刊少年チャンピオン
C112579,スピーシーズドメイン,1,0,0,2016-04-07,2016-04-07,C120282,週刊少年チャンピオン
C112580,セトウツミ,3,0,2,2016-02-04,2016-06-30,C120282,週刊少年チャンピオン
C112581,百足 -ムカデ-,1,0,0,2015-12-10,2015-12-10,C120282,週刊少年チャンピオン
C112584,機動戦士ガンダムサンダーボルト,1,0,1,2016-06-29,2016-06-29,C117607,週刊少年サンデー
C112585,AIの遺伝子,82,0,5,2015-11-05,2017-07-13,C120282,週刊少年チャンピオン
C112586,BADBROS,25,0,1,2015-10-29,2016-05-12,C120282,週刊少年チャンピオン
C112587,FALL OUT,1,0,0,2016-07-07,2016-07-07,C120282,週刊少年チャンピオン
C112588,HERO,1,0,0,2016-03-24,2016-03-24,C120282,週刊少年チャンピオン
C112590,イタおのこ,5,0,0,2016-04-14,2016-05-19,C120282,週刊少年チャンピオン
C112591,ヴィジランテ,4,0,1,2016-02-18,2016-03-10,C120282,週刊少年チャンピオン
C112592,永遠の一手 2030年、コンピューター将棋に挑む,14,0,1,2016-06-09,2016-11-17,C120282,週刊少年チャンピオン
C112593,臆病の穴,1,0,0,2015-08-06,2015-08-06,C120282,週刊少年チャンピオン
C112594,ガール★バーサス★ガール!,1,0,1,2015-11-12,2015-11-12,C120282,週刊少年チャンピオン
C112595,きらきら,1,0,0,2016-04-28,2016-04-28,C120282,週刊少年チャンピオン
C112596,劇場霊,8,0,1,2015-11-19,2016-01-21,C120282,週刊少年チャンピオン
C112597,コハクイズム 若き才能、萌芽の時,1,0,0,2016-07-14,2016-07-14,C120282,週刊少年チャンピオン
C112598,こむぎけーしょん,1,0,0,2015-09-24,2015-09-24,C120282,週刊少年チャンピオン
C112599,実は私は×吸血鬼すぐ死ぬ,1,0,1,2016-02-25,2016-02-25,C120282,週刊少年チャンピオン
C112600,正義の殺人鬼,26,0,1,2016-01-28,2016-07-28,C120282,週刊少年チャンピオン
C112601,聖なる星,1,0,0,2016-03-31,2016-03-31,C120282,週刊少年チャンピオン
C112602,前回「聖なる星」で入選受賞!!,1,0,0,2016-05-19,2016-05-19,C120282,週刊少年チャンピオン
C112603,それでも世界を崩すなら,1,0,0,2015-08-06,2015-08-06,C120282,週刊少年チャンピオン
C112604,猫神じゃらし!,66,0,6,2016-04-07,2017-07-13,C120282,週刊少年チャンピオン
C112605,ビーストコンプレックス,4,0,0,2016-03-03,2016-03-24,C120282,週刊少年チャンピオン
C112606,無愛想な天使様,1,0,0,2015-10-22,2015-10-22,C120282,週刊少年チャンピオン
C112607,放課後ウィザード倶楽部,38,0,3,2016-03-17,2017-01-26,C120282,週刊少年チャンピオン
C112608,ボクらの青春目次録,1,0,0,2016-03-10,2016-03-10,C120282,週刊少年チャンピオン
C112609,ぽっぽちゃん恩を返す,1,0,0,2016-05-19,2016-05-19,C120282,週刊少年チャンピオン
C112610,マツタケART,5,0,0,2015-09-17,2015-10-15,C120282,週刊少年チャンピオン
C112611,マヨナカマヒル,1,0,0,2015-10-15,2015-10-15,C120282,週刊少年チャンピオン
C112612,マル勇 九ノ島さん,34,0,4,2016-05-26,2017-02-02,C120282,週刊少年チャンピオン
C112613,ミドリノユーグレ,36,0,2,2016-03-31,2016-12-15,C120282,週刊少年チャンピオン
C112614,もし、函津米典道が週チャンのキャラクターにニコ弁を作ったら…!?,1,0,0,2016-02-04,2016-02-04,C120282,週刊少年チャンピオン
C112615,野球狂の詩,1,0,1,2015-10-22,2015-10-22,C120282,週刊少年チャンピオン
C112616,弱虫ペダル公式アンソロジー放課後ペダル,2,0,0,2015-12-24,2016-08-25,C120282,週刊少年チャンピオン
C112617,恋愛菌糸きのたけさん,6,0,0,2016-04-21,2016-06-02,C120282,週刊少年チャンピオン
C112618,六道の悪女たち,52,0,13,2016-06-23,2017-07-13,C120282,週刊少年チャンピオン
C112619,猫ヶ原,1,0,1,2016-04-27,2016-04-27,C119033,週刊少年マガジン
C112622,双星の陰陽師,1,0,1,2016-04-18,2016-04-18,C119459,週刊少年ジャンプ
C112623,千早さんはそのままでいい,1,0,0,2016-01-15,2016-01-15,C119459,週刊少年ジャンプ
C112624,プラチナエンド,1,0,0,2016-01-15,2016-01-15,C119459,週刊少年ジャンプ
C112625,20周年パーティーの悲劇,1,0,0,2016-01-22,2016-01-22,C119459,週刊少年ジャンプ
C112626,BORUTO-ボルト- -NARUTO NEXT GENERATIONS-,15,0,13,2016-05-23,2017-07-24,C119459,週刊少年ジャンプ
C112627,BORUTO-RODE TO “B”-,1,0,0,2015-08-17,2015-08-17,C119459,週刊少年ジャンプ
C112628,BOZE,1,0,1,2016-04-11,2016-04-11,C119459,週刊少年ジャンプ
C112629,DEADMAN KILLER,1,0,1,2015-08-10,2015-08-10,C119459,週刊少年ジャンプ
C112630,GALAXY GANGS,1,0,1,2015-08-17,2015-08-17,C119459,週刊少年ジャンプ
C112631,KUNG-FU MASTER,1,0,1,2015-11-16,2015-11-16,C119459,週刊少年ジャンプ
C112632,No.9,1,0,1,2015-10-26,2015-10-26,C119459,週刊少年ジャンプ
C112633,「ONE PIECE」公式スピンオフコメディ!!「ワンピースパーティー」JC2巻発売記念SP漫画劇場!!,1,0,0,2016-07-11,2016-07-11,C119459,週刊少年ジャンプ
C112634,Q.E.D!!,1,0,1,2015-11-02,2015-11-02,C119459,週刊少年ジャンプ
C112635,TRANSCEND・GAME 遊☆戯☆王,1,0,1,2016-04-25,2016-04-25,C119459,週刊少年ジャンプ
C112636,あの娘はヤリマン,1,0,0,2016-02-08,2016-02-08,C119459,週刊少年ジャンプ
C112637,妖移植変異体ガロ,1,0,1,2016-01-01,2016-01-01,C119459,週刊少年ジャンプ
C112638,カーボネーター,1,0,1,2015-09-21,2015-09-21,C119459,週刊少年ジャンプ
C112639,カラダ探し,1,0,0,2016-01-22,2016-01-22,C119459,週刊少年ジャンプ
C112640,キセキの待ったなし対決!!,1,0,0,2015-11-23,2015-11-23,C119459,週刊少年ジャンプ
C112641,鬼滅の刃,72,0,14,2016-02-29,2017-07-31,C119459,週刊少年ジャンプ
C112642,クラマの閃,1,0,1,2015-08-24,2015-08-24,C119459,週刊少年ジャンプ
C112643,クリメイターズ,1,0,1,2016-01-15,2016-01-15,C119459,週刊少年ジャンプ
C112644,幻獣医トテク,1,0,1,2015-09-07,2015-09-07,C119459,週刊少年ジャンプ
C112646,殺し屋ドミノ,1,0,1,2016-01-08,2016-01-08,C119459,週刊少年ジャンプ
C112647,殺せんせーQ[クエスト],7,0,1,2016-01-01,2017-03-20,C119459,週刊少年ジャンプ
