ccid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname
C92896,金色のガッシュ!!,323,1,29,2001-01-24,2008-01-14,C117607,週刊少年サンデー
C92900,昆虫物語ピースケの冒険,22,4,0,1989-03-22,1991-10-23,C117607,週刊少年サンデー
C92901,コンドールマン,2,0,0,1975-04-27,1975-06-08,C117607,週刊少年サンデー
C92902,こんなだったら驚く。,1,0,1,2013-01-09,2013-01-09,C117607,週刊少年サンデー
C92905,サイアーライン,1,0,0,1994-10-12,1994-10-12,C117607,週刊少年サンデー
C92908,最強!都立あおい坂高校野球部,249,0,26,2005-01-19,2010-04-14,C117607,週刊少年サンデー
C92910,サイケまたしても,84,0,11,2014-07-09,2017-07-12,C117607,週刊少年サンデー
C92911,最後の顔,2,0,1,1994-02-02,1994-02-09,C117607,週刊少年サンデー
C92913,最後の九九式,1,0,1,1974-05-05,1974-05-05,C117607,週刊少年サンデー
C92914,最後の夏休み,2,0,0,1994-08-31,1994-09-07,C117607,週刊少年サンデー
C92915,最後は?ストレート!!,146,0,7,2010-10-20,2014-01-08,C117607,週刊少年サンデー
C92916,最終テスト,1,0,0,1978-01-01,1978-01-01,C117607,週刊少年サンデー
C92917,最上の命医,109,0,10,2008-01-01,2013-09-11,C117607,週刊少年サンデー
C92918,最上の明医 ～ザ・キング・オブ・ニート～,176,0,17,2010-03-31,2014-04-30,C117607,週刊少年サンデー
C92920,才太郎旋風,1,0,0,1981-01-22,1981-01-22,C117607,週刊少年サンデー
C92921,サイバーコップ THE平次,1,0,0,1991-10-30,1991-10-30,C117607,週刊少年サンデー
C92922,サイボーグ009,100,7,0,1979-02-25,1981-02-25,C117607,週刊少年サンデー
C92923,サイボーグエース,20,0,0,1971-10-24,1972-03-19,C117607,週刊少年サンデー
C92925,サイレント・ブルー,2,0,0,1977-05-08,1977-07-31,C117607,週刊少年サンデー
C92926,ざ・色っぷる,6,0,1,1970-10-04,1970-11-08,C117607,週刊少年サンデー
C92927,サギバッパ,22,0,1,1976-01-11,1976-06-13,C117607,週刊少年サンデー
C92928,サクラにおまかせ,9,0,0,1995-01-04,1995-03-08,C117607,週刊少年サンデー
C92929,さくらんぼ協奏曲,2,1,0,1996-03-20,1996-03-27,C117607,週刊少年サンデー
C92930,ささみさん@がんばらない,36,0,2,2012-10-17,2013-05-08,C117607,週刊少年サンデー
C92931,サスカッチ,1,0,0,1976-06-27,1976-06-27,C117607,週刊少年サンデー
C92932,さすがの猿飛,1,0,0,1982-10-27,1982-10-27,C117607,週刊少年サンデー
C92934,佐助くんちの秘密,1,0,0,2007-03-28,2007-03-28,C117607,週刊少年サンデー
C92935,ザスパ草津物語 ～夢は枯れない～,1,0,0,2005-05-25,2005-05-25,C117607,週刊少年サンデー
C92936,定吉七番,2,1,0,1988-11-30,1988-12-07,C117607,週刊少年サンデー
C92937,殺人無宿!ビリー・ザ・キッド,1,0,0,1976-08-29,1976-08-29,C117607,週刊少年サンデー
C92938,"佐藤琢磨物語 No Attack,No Chance",1,0,0,2006-10-18,2006-10-18,C117607,週刊少年サンデー
C92939,サバイバーモリモリオ,1,0,0,2007-08-08,2007-08-08,C117607,週刊少年サンデー
C92940,サバイバル2000,2,1,0,1999-03-31,1999-04-07,C117607,週刊少年サンデー
C92941,サバイバル,200,18,1,1976-09-19,1980-12-21,C117607,週刊少年サンデー
C92943,砂漠の野球部 第二部砂の嵐編,105,4,1,1995-01-25,1997-03-19,C117607,週刊少年サンデー
C92944,サバンナ物語,1,0,0,1993-02-10,1993-02-10,C117607,週刊少年サンデー
C92945,ザ・ヒューマン,1,0,1,1993-02-03,1993-02-03,C117607,週刊少年サンデー
C92949,ザ・プロフェッショナル,1,0,0,1989-03-29,1989-03-29,C117607,週刊少年サンデー
C92950,ザ・ムーン,55,0,5,1972-03-26,1973-04-22,C117607,週刊少年サンデー
C92951,寒川れぽーと,1,0,0,2009-11-11,2009-11-11,C117607,週刊少年サンデー
C92952,サムライ銀,4,0,0,1988-06-01,1988-06-22,C117607,週刊少年サンデー
C92953,サムライナンバー11,1,0,0,2009-10-14,2009-10-14,C117607,週刊少年サンデー
C92954,サムライハイスクール,2,0,0,2009-10-14,2010-06-23,C117607,週刊少年サンデー
C92955,鮫殺し,1,0,0,1972-01-09,1972-01-09,C117607,週刊少年サンデー
C92956,さよなら三角,165,32,1,1981-01-11,1984-04-18,C117607,週刊少年サンデー
C92958,残暑,1,0,0,1987-06-24,1987-06-24,C117607,週刊少年サンデー
C92960,サンダーマスク,13,0,1,1972-10-08,1973-01-07,C117607,週刊少年サンデー
C92962,サンタの正体は…!?,1,0,1,2013-01-09,2013-01-09,C117607,週刊少年サンデー
C92964,三丁目大学,1,0,0,1977-05-22,1977-05-22,C117607,週刊少年サンデー
C92965,サンデー19ショー,16,0,0,1988-01-01,1988-04-13,C117607,週刊少年サンデー
C92976,サンデーパズルミュージアム,1,0,0,2009-09-09,2009-09-09,C117607,週刊少年サンデー
C92982,しあわせ,1,0,0,1971-05-09,1971-05-09,C117607,週刊少年サンデー
C92983,シークレットボール NOMO,1,0,1,1990-02-21,1990-02-21,C117607,週刊少年サンデー
C92984,ジーコ ザ・グレーテスト,5,0,1,1994-02-16,1994-03-16,C117607,週刊少年サンデー
C92985,ジーザス,125,7,0,1992-10-07,1995-05-03,C117607,週刊少年サンデー
C92986,シーナ先生tion,1,0,0,1988-11-30,1988-11-30,C117607,週刊少年サンデー
C92987,紫雨の鬼,1,0,0,2013-04-17,2013-04-17,C117607,週刊少年サンデー
C92988,ジオと黄金と禁じられた魔法,26,0,2,2009-07-29,2010-01-27,C117607,週刊少年サンデー
C92989,ジオポリス ジョー,25,1,2,1989-09-06,1990-04-25,C117607,週刊少年サンデー
C92991,時限爆弾,1,0,1,1974-12-01,1974-12-01,C117607,週刊少年サンデー
C92995,思春期刑事ミノル小林,67,1,5,2004-03-10,2005-07-13,C117607,週刊少年サンデー
C92996,史上最強の弟子ケンイチ,582,1,61,2002-05-01,2014-09-17,C117607,週刊少年サンデー
C92997,地震は予知できる!,2,0,0,1995-06-21,1995-06-28,C117607,週刊少年サンデー
C92999,7時11分,1,0,0,1984-06-20,1984-06-20,C117607,週刊少年サンデー
C93000,知ってますわっ!,1,0,1,2013-01-09,2013-01-09,C117607,週刊少年サンデー
C93003,シッポ,1,0,0,1971-03-07,1971-03-07,C117607,週刊少年サンデー
C93005,死なせていただきます,1,0,1,1971-04-04,1971-04-04,C117607,週刊少年サンデー
C93007,死に神をせおった男,1,0,0,1976-10-17,1976-10-17,C117607,週刊少年サンデー
