miid,miname,mcid,mcname,date,price
M536241,週刊少年マガジン 1994年 表示号数46,C119033,週刊少年マガジン,1994-11-02,210.0
M557036,週刊少年チャンピオン 1994年 表示号数47,C120282,週刊少年チャンピオン,1994-11-03,200.0
M543573,週刊少年ジャンプ 1994年 表示号数47,C119459,週刊少年ジャンプ,1994-11-07,200.0
M578046,週刊少年サンデー 1994年 表示号数47,C117607,週刊少年サンデー,1994-11-09,200.0
M536240,週刊少年マガジン 1994年 表示号数47,C119033,週刊少年マガジン,1994-11-09,210.0
M557035,週刊少年チャンピオン 1994年 表示号数48,C120282,週刊少年チャンピオン,1994-11-10,200.0
M543572,週刊少年ジャンプ 1994年 表示号数48,C119459,週刊少年ジャンプ,1994-11-14,190.0
M578045,週刊少年サンデー 1994年 表示号数48,C117607,週刊少年サンデー,1994-11-16,200.0
M536239,週刊少年マガジン 1994年 表示号数48,C119033,週刊少年マガジン,1994-11-16,210.0
M557034,週刊少年チャンピオン 1994年 表示号数49,C120282,週刊少年チャンピオン,1994-11-17,200.0
M543571,週刊少年ジャンプ 1994年 表示号数49,C119459,週刊少年ジャンプ,1994-11-21,200.0
M578044,週刊少年サンデー 1994年 表示号数49,C117607,週刊少年サンデー,1994-11-23,200.0
M536238,週刊少年マガジン 1994年 表示号数49,C119033,週刊少年マガジン,1994-11-23,210.0
M557033,週刊少年チャンピオン 1994年 表示号数50,C120282,週刊少年チャンピオン,1994-11-24,200.0
M543570,週刊少年ジャンプ 1994年 表示号数50,C119459,週刊少年ジャンプ,1994-11-28,200.0
M578043,週刊少年サンデー 1994年 表示号数50,C117607,週刊少年サンデー,1994-11-30,200.0
M536237,週刊少年マガジン 1994年 表示号数50,C119033,週刊少年マガジン,1994-11-30,210.0
M557032,週刊少年チャンピオン 1994年 表示号数51,C120282,週刊少年チャンピオン,1994-12-01,200.0
M543569,週刊少年ジャンプ 1994年 表示号数51,C119459,週刊少年ジャンプ,1994-12-05,200.0
M578041,週刊少年サンデー 1994年 表示号数51,C117607,週刊少年サンデー,1994-12-07,200.0
M536236,週刊少年マガジン 1994年 表示号数51,C119033,週刊少年マガジン,1994-12-07,210.0
M557031,週刊少年チャンピオン 1994年 表示号数52,C120282,週刊少年チャンピオン,1994-12-08,200.0
M543568,週刊少年ジャンプ 1994年 表示号数52,C119459,週刊少年ジャンプ,1994-12-12,190.0
M578040,週刊少年サンデー 1994年 表示号数52,C117607,週刊少年サンデー,1994-12-14,200.0
M536234,週刊少年マガジン 1994年 表示号数52,C119033,週刊少年マガジン,1994-12-14,210.0
M557030,週刊少年チャンピオン 1994年 表示号数53,C120282,週刊少年チャンピオン,1994-12-15,200.0
M578039,週刊少年サンデー 1995年 表示号数1,C117607,週刊少年サンデー,1995-01-01,200.0
