acid,acname,初回放送日,アニメ各話数,作品名の文字数
C11906,THE ANIMATIONドルアーガの塔the Sword of URUK,2009-01-09,12,37
C11908,クプ～!!まめゴマ!,2009-01-10,51,10
C11910,エグザムライ戦国,2009-01-11,25,8
C11912,スレイヤーズEVOLUTION-R,2009-01-12,13,17
C11914,源氏物語千年紀Genji,2009-01-16,11,12
C11916,マリア様がみてる[第4期],2009-01-03,13,13
C11918,みなみけおかえり,2009-01-05,13,8
C11920,続夏目友人帳,2009-01-06,13,6
C11922,宇宙[そら]をかける少女,2009-01-06,26,12
C11924,獣の奏者 エリン,2009-01-10,60,8
C11926,鉄腕バーディーDECODE:02,2009-01-01,13,16
C11928,鋼殻のレギオス,2009-01-11,24,7
C11930,RIDEBACK,2009-01-12,12,8
C11932,空を見上げる少女の瞳に映る世界,2009-01-14,9,15
C11934,フレッシュプリキュア!,2009-02-01,50,11
C11936,金色のコルダsecondo passo,2009-03-27,2,19
C11938,クッキンアイドルアイ!マイ!まいん!,2009-03-30,80,18
C11940,チーズスイートホームあたらしいおうち,2009-03-30,104,18
C11944,マリー＆ガリー,2009-03-28,40,7
C11948,キャラディのジョ～クな毎日,2009-04-01,397,13
C11950,QUEEN'S BLADE 流浪の戦士,2009-04-02,12,19
C11952,涼宮ハルヒの憂鬱[第2期],2009-05-22,14,13
C11954,ヒゲぴよ,2009-04-03,39,4
C11955,こんにちは アン before green gables,2009-04-05,39,28
C11957,咲Saki,2009-04-06,25,5
C11959,ティアーズ・トゥ・ティアラ,2009-04-06,26,13
C11963,SUGAR BUNNIES フルール,2009-04-07,26,18
C11965,07-GHOST,2009-04-07,25,8
C11969,毎日かあさん,2009-04-01,142,6
C11971,アスラクライン,2009-04-02,13,7
C11973,アラド戦記スラップアップパーティー,2009-04-04,26,17
C11975,極上!! めちゃモテ 委員長,2009-04-04,53,14
C11976,QUEEN'S BLADE 玉座を継ぐ者,2009-09-24,12,20
C11978,バトルスピリッツ 少年激覇ダン,2009-09-13,50,15
C11983,爆丸 バトルブローラーズ ニューヴェストロイア,2010-03-02,54,23
C11988,デジモン クロスウォーズ,2010-07-06,30,12
C11990,ぬらりひょんの孫,2010-07-06,25,8
C11992,Hello Kitty りんごの森のファンタジー,2006-04-04,13,24
C11994,アニメ 冬のソナタ,2009-10-03,27,9
C11996,ひだまりスケッチ×365[特別編],2009-10-18,4,17
C11998,まほろまてぃっくAutomatic Maidenただいま◇おかえり,2009-10-18,2,33
C12000,アスラ クライン 2,2009-10-01,13,10
C12002,マリー ＆ ガリー Ver[ばーじょん].2.0,2010-03-30,32,24
C12004,一騎当千 XTREME XECUTOR,2010-03-26,12,19
C12005,セキレイ Pure Engagement,2010-07-11,12,20
C12007,世紀末 オカルト学院,2010-07-06,13,10
C12009,真マジンガー衝撃! Z編on television,2009-04-05,26,25
C12013,GUIN SAGA,2009-04-05,26,9
C12015,クロス×ゲーム,2009-04-05,50,7
C12017,ジュエルペット,2009-04-05,52,7
C12019,神曲奏界ポリフォニカcrimson S,2009-04-05,12,19
C12021,戦場のヴァルキュリアVALKYRIA・CHRONICLES,2009-04-05,26,29
C12023,DRAGON BALL KAI,2009-04-05,97,15
C12025,鋼の錬金術師 FULLMETAL ALCHEMIST,2009-04-05,65,26
C12027,花咲ける 青少年,2009-04-05,45,8
C12029,メタルファイトベイブレード,2009-04-05,51,13
C12031,シャングリ・ラ,2009-04-06,24,7
C12033,タユタマkissonmyDeity,2009-04-06,12,17
C12035,夏のあらし!,2009-04-06,13,6
C12037,蒼天航路,2009-04-08,26,4
C12039,うんこさん,2009-04-27,13,5
C12043,ヴァイス・サヴァイヴ,2009-06-06,16,10
C12045,うみものがたり～あなたがいてくれたコト～,2009-06-25,12,20
C12047,ファイト一発!充電ちゃん!!,2009-06-25,12,14
C12049,青い花 Sweet Blue Flowers,2009-07-02,11,22
C12051,NEEDLESS,2009-07-03,23,8
C12053,【懺・】さよなら絶望先生,2009-07-05,13,12
C12055,プリンセスラバー!,2009-07-06,12,9
C12057,GA 芸術科アートデザインクラス,2009-07-07,12,16
C12059,狼と香辛料Ⅱ,2009-07-09,12,6
C12061,よくわかる現代魔法,2009-07-05,13,9
C12063,うみねこのなく頃に,2009-07-02,26,9
C12065,大正野球娘。,2009-07-03,12,6
C12067,化物語,2009-07-03,13,3
C12069,エレメントハンター,2009-07-04,39,9
C12071,CANAAN,2009-07-04,13,6
C12072,アニメ くるねこ[第1期],2009-07-05,50,13
C12074,かなめも,2009-07-06,13,4
C12076,宙[そら]のまにまに,2009-07-07,12,10
C12078,東京マグニチュード8.0,2009-07-03,12,12
C12082,炬燵猫,2009-10-03,26,3
C12084,しゅご キャラ!!! どっきどきっ,2009-10-03,25,17
C12086,しゅご キャラ! ぷっち ぷち,2009-10-03,25,15
C12089,空中ブランコ,2009-10-16,11,6
C12090,けんぷファー,2009-10-02,12,6
C12092,戦う司書 The Book of Bantorra,2009-09-25,28,25
C12094,にゃんこい!,2009-10-02,12,6
C12096,生徒会の一存 碧陽学園生徒会議事録,2009-10-03,12,17
C12098,テガミバチ,2009-10-03,25,5
C12100,とある科学の 超電磁砲[レールガン],2009-10-05,24,18
C12102,犬夜叉 完結編,2009-10-06,26,7
C12104,夢色 パティシエール,2009-10-04,50,10
C12106,あにゃまる探偵 キルミン ずぅ,2009-10-05,50,15
C12108,真 恋姫†無双,2009-10-05,12,7
C12110,夏のあらし! 春夏冬中[あきないちゅう],2009-10-05,13,20
C12112,ミラクル☆トレイン～大江戸線へようこそ～,2009-10-05,13,20
C12114,こばと。,2009-10-06,24,4
C12116,乃木坂春香の 秘密 ぴゅあ れっつぁ♪,2009-10-06,12,19
C12118,11eyes,2009-10-07,12,6
C12120,君に届け,2009-10-07,25,4
C12122,秘密結社鷹の爪カウントダウン,2009-10-07,11,14
C12124,ささめきこと,2009-10-08,13,6
C12126,ご姉弟物語,2009-10-10,32,5
C12128,青い文学,2009-10-11,12,4
C12130,たまごっち!,2009-10-12,144,6
C12132,FAIRY TAIL,2009-10-12,175,10
C12134,怪談レストラン,2009-10-13,23,7
C12135,Disney スティッチ! いたずらエイリアンの大冒険,2009-10-13,29,27
C12137,KIDDY GIRL-AND,2009-10-16,24,14
C12141,ヴァイス* サヴァイヴR,2009-12-05,12,12
C12143,ハヤテのごとく!!Hayate the combat batler2nd season,2009-04-04,25,43
C12144,COBRA THE ANIMATION,2010-01-02,13,19
C12146,ちゅーぶら!!,2010-01-04,12,7
C12150,れでぃ×ぱと! Ladies versus Butlers!,2010-01-05,12,30
C12152,怪盗レーニャ,2010-01-09,12,6
C12156,のだめカンタービレ　フィナーレ,2010-01-08,12,15
C12158,ソ・ラ・ノ・ヲ・ト,2010-01-05,12,9
C12160,増田こうすけ劇場 ギャグ マンガ 日和 +[プラス],2010-01-10,13,26
C12162,おまもりひまり,2010-01-07,12,7
C12164,ダンス イン ザ ヴァンパイアバンド,2010-01-07,13,18
C12166,バカとテスト と召喚獣,2010-01-07,13,11
C12168,おおかみかくし,2010-01-08,12,7
C12170,デュラララ!!,2010-01-08,24,7
C12172,ひだまり スケッチ × ☆☆☆[ほしみっつ],2010-01-08,12,22
C12174,聖痕の クェイサー,2010-01-10,24,9
C12176,フラカッパー,2006-04-04,104,6
C12178,エア・ギア,2006-04-05,25,5
C12179,祝福のカンパネラ,2010-07-05,12,8
C12181,生徒会 役員共,2010-07-04,13,7
C12183,屍鬼,2010-07-09,22,2
C12185,戦国 BASARA弐,2010-07-11,12,10
C12189,あまえ ないでよっ!! 喝!!,2006-01-04,13,15
C12191,鍵姫物語永久アリス輪舞曲［ロンド］,2006-01-04,13,17
C12193,マジカノ,2006-01-01,13,4
C12196,NANA,2006-04-05,55,4
C12198,桜蘭高校ホスト部,2006-04-05,26,8
C12201,はなかっぱ,2010-03-29,75,5
C12203,リトル・チャロ2 英語に恋する物語,2010-03-06,37,17
C12205,真 恋姫†無双 ～乙女大乱～,2010-03-26,12,14
C12209,B型H系,2010-04-05,12,4
C12211,リングにかけろ 1 影道編[SHADOW],2010-04-02,6,21
C12213,Angel Beats!,2010-04-03,13,12
C12215,ジュエルペット　てぃんくる☆,2010-04-03,52,14
C12217,デュエル・マスターズ クロス ショック,2010-04-03,51,19
C12221,GIANT KILLING,2010-04-04,26,13
C12223,ひめ チェン! おとぎちっくアイドル リルぷりっ,2010-04-04,51,24
C12225,Kiss × sis,2010-04-05,12,10
C12227,しまじろう ヘソカ,2010-04-05,105,9
C12231,まじっく快斗 KID THE PHANTOM THIEF 第1話 「蘇る怪盗」,2010-04-17,1,39
C12233,HEROMAN,2010-04-01,26,7
C12235,おおきく 振りかぶって ～夏の大会編～,2010-04-02,13,19
C12237,会長は メイド様!,2010-04-02,26,9
C12239,いちばんうしろの 大魔王,2010-04-05,12,12
C12241,SD ガンダム 三国伝 Brave Battle Warriors,2010-04-03,51,33
C12243,極上!! めちゃモテ 委員長 Second Collection,2010-04-03,51,32
C12245,薄桜鬼 新選組 奇譚,2010-04-08,12,10
C12247,メタルファイト ベイブレード 爆,2010-04-04,51,16
C12249,WORKING!!,2010-04-13,12,9
C12251,荒川アンダー ザ ブリッジ,2010-04-05,13,13
C12253,閃光のナイトレイド,2010-03-30,14,9
C12255,迷い猫 オーバーラン!,2010-04-06,13,11
C12257,けいおん!!,2010-04-07,26,6
C12259,RAINBOW 二舎六房の七人,2010-04-07,26,15
C12261,裏切りは 僕の名前を知っている,2010-04-12,24,15
C12263,さらい屋 五葉,2010-04-16,13,7
C12265,四畳半神話大系,2010-04-23,11,7
C12267,オオカミさんと 七人の仲間たち,2010-07-01,12,15
C12269,黒執事Ⅱ,2010-07-02,12,4
C12271,みつ どもえ,2010-07-05,13,6
C12273,学園黙示録 HIGH SCHOOL OF THE DEAD,2010-07-05,12,29
C12275,女子高生 “GIRL'S-HIGH”,2006-04-04,12,18
C12277,Strawberry Panic,2006-04-04,26,16
C12279,ガラスの艦隊 La legende du vent de l'univers,2006-04-07,26,38
C12282,TOKKÔ 特公,2006-03-25,15,8
C12284,もっと兼本さん宅,2006-05-05,16,8
C12286,TAMA＆FRIENDS 探せ! 魔法のプニプニストーン,2006-05-06,26,28
C12288,機神咆吼デモンベイン,2006-05-19,12,10
C12290,神様家族,2006-05-18,13,4
C12292,蛙男劇場,2006-06-17,59,4
C12295,DiSNEY スティッチ! ずっと最高のトモダチ,2010-07-06,29,24
C12297,ストライク ウィッチーズ2,2010-07-08,12,13
C12299,あそびに いくヨ!,2010-07-13,12,9
C12301,アマガミ SS,2010-07-02,25,7
C12303,伝説の勇者の伝説,2010-07-02,25,8
C12305,キン肉マンⅡ世 ULTIMATE MUSCLE 2,2006-01-05,13,25
C12307,落語天女おゆい,2006-01-06,12,7
C12309,Fate/stay night,2006-01-07,24,15
C12311,LEMON ANGEL PROJECT,2006-01-07,13,19
C12313,ワンワンセレプー それゆけ! 徹之進,2006-01-07,51,18
C12315,陰からマモル!,2006-01-08,12,7
C12317,タクティカルロア,2006-01-08,13,8
C12319,爆球HIT! クラッシュビーダマン,2006-01-09,50,17
C12321,よみがえる空 ──RESCUE WINGS,2006-01-09,13,21
C12323,おろしたてミュージカル 練馬大根ブラザーズ,2006-01-10,12,21
C12325,プレイボール 2nd,2006-01-10,13,10
C12327,Funny Pets [第1期],2006-01-11,12,16
C12329,かしまし ～ガール・ミーツ・ガール～,2006-01-12,12,18
C12331,怪 ～ayakashi～ JAPANESE CLASSIC HORROR,2006-01-13,11,36
C12333,半分の月がのぼる空,2006-01-13,6,9
C12335,お茶犬 ～「ほっ」とものがたり～,2006-01-16,13,16
C12337,吟遊黙示録マイネリーベ wieder,2006-01-22,13,18
C12339,Kin-Qキッズ ★ おたすK隊,2006-02-01,12,16
C12341,びんちょうタン,2006-02-03,12,7
C12343,REC,2006-02-03,10,3
C12345,ふたりは プリキュアSplash★Star,2006-02-05,49,21
C12347,パピヨンローゼ New Season,2006-02-10,6,18
C12349,Ergo Proxy,2006-01-07,25,10
C12351,しにがみのバラッド。 Momo the girl god of death,2006-03-03,6,37
C12355,学園ヘヴン BOY'S LOVE HYPER!,2006-04-01,13,23
C12357,ふしぎ星の★ふたご姫 Gyu!,2006-04-01,52,15
C12359,ぽかぽか森のラスカル,2006-04-01,52,10
C12361,妖怪人間ベム［新］,2006-04-01,26,9
C12363,おねがいマイメロディ くるくるシャッフル!,2006-04-02,52,21
C12365,格闘美神 武龍[ウーロン] REBIRTH,2006-04-02,25,21
C12367,牙 TV ANIMATION SERIES,2006-04-02,51,21
C12369,Soul Link,2006-04-05,13,9
C12371,デジモンセイバーズ,2006-04-02,48,9
C12373,吉永さん家のガーゴイル,2006-04-02,13,11
C12375,アクビ Girl,2006-04-02,26,8
C12377,ARIA The NATURAL,2006-04-03,30,16
C12379,School Rumble 二学期,2006-04-03,26,17
C12381,涼宮ハルヒの憂鬱,2006-04-03,14,8
C12383,ぜんまいざむらい,2006-04-03,176,8
C12385,GEKIFU 妖逆門,2006-04-03,51,10
C12387,味楽る! ミミカ [第1期],2006-04-07,15,14
C12389,うたわれるもの,2006-04-04,26,7
C12391,銀魂,2006-04-04,201,2
C12393,SIMOUN,2006-04-04,26,6
C12394,スパイダーライダーズ オラクルの勇者たち,2006-04-05,26,20
C12396,とっとこ ハム太郎 は～い!,2006-04-05,78,14
C12398,ひぐらしのなく頃に,2006-04-05,26,9
C12400,恋する天使 アンジェリーク ～心のめざめる時～,2006-07-08,13,23
C12402,となグラ!,2006-07-09,13,5
C12404,家庭教師* ヒットマン REBORN! *［かてきょー］,2006-10-07,198,28
C12406,くじびき❤アンバランス,2006-10-07,12,11
C12408,サルゲッチュ ～オンエアー～ 2nd,2006-10-07,51,18
C12410,地獄少女 二籠[ふたこもり],2006-10-07,26,14
C12412,天保異聞 妖奇士,2006-09-30,27,8
C12414,ぷるるんっ! しずくちゃん,2006-10-07,51,13
C12416,流星のロックマン,2006-10-07,56,8
C12419,キティズパラダイス,1999-01-05,39,9
C12421,だんご3兄弟 あっという間劇場,1999-12-06,77,15
C12423,ムーぽん[第2期],2000-04-01,23,9
C12427,おじゃる丸［第3期］,2000-04-03,90,10
C12428,魔界戦記 ディスガイア,2006-04-05,12,11
C12430,ラブゲッCHU❤ ミラクル声優白書,2006-04-05,26,17
C12432,錬金3級 まじかる? ぽか～ん,2006-04-05,24,15
C12434,いぬかみっ!,2006-04-06,26,6
C12436,WITCHBLADE,2006-04-06,24,10
C12438,ゼーガペイン,2006-04-06,26,6
C12440,.hack//Roots,2006-04-06,26,12
C12442,プリンセス・プリンセス,2006-04-06,12,11
C12444,吉宗,2006-04-06,24,2
C12446,RAY THE ANIMATION,2005-12-28,14,17
C12448,ああっ女神さまっ それぞれの翼,2006-04-07,24,15
C12450,きらりん☆ レボリューション,2006-04-07,102,14
C12452,しばわんこの和のこころ,2006-04-07,73,11
C12454,xxxHOLiC,2006-04-07,24,8
C12456,リングにかけろ1 -日米決戦編-,2006-04-07,12,16
C12458,彩雲国物語,2006-04-08,42,5
C12460,サルゲッチュ ～オンエアー～,2006-04-08,26,14
C12462,西の善き魔女 Astrea Testament,2006-04-08,13,23
C12464,ロックマンエグゼBEAST+,2006-04-08,26,14
C12466,ひまわりっ!,2006-04-09,13,6
C12468,BLACK LAGOON,2006-04-09,12,12
C12470,GUN道 MUSASHI,2006-04-09,30,12
C12472,夢使い,2006-04-09,12,3
C12474,新星輝デュエル・マスターズ フラッシュ,2006-04-10,24,19
C12476,ブラック.ジャック21,2006-04-10,19,11
C12478,砂沙美☆魔法少女クラブ,2006-04-13,13,11
C12480,姫様ご用心,2006-04-13,12,5
C12482,ザ・サード 蒼い瞳の少女,2006-04-14,24,12
C12484,獣王星,2006-04-14,11,3
C12485,ハチミツとクローバーⅡ,2006-06-30,12,11
C12487,貧乏姉妹物語,2006-06-30,10,6
C12489,おとぎ銃士 赤ずきん,2006-07-01,39,10
C12491,出ましたっ! パワパフガールズZ,2006-07-01,52,16
C12493,Kanon［新］,2006-10-06,24,8
C12495,Gift -eternal rainbow-,2006-10-06,12,22
C12497,銀色のオリンシス TOKITO,2006-10-06,12,15
C12499,コードギアス 反逆のルルーシュ,2006-09-30,28,15
C12501,すもももももも ～地上最強のヨメ～,2006-10-06,22,17
C12503,009-1,2006-10-06,12,5
C12505,はぴねす! It's a happy ＆ heartful school life.,2006-10-06,13,42
C12507,護くんに女神の祝福を!,2006-10-06,24,11
C12508,乙女はお姉さま［ボク］に恋してる,2006-10-08,12,16
C12509,祝［ハピ★ラキ］ビックリマン,2006-10-15,46,14
C12511,結界師,2006-10-14,54,3
C12512,つよきす Cool×Sweet,2006-07-02,12,15
C12515,まもって! ロリポップ,2006-07-02,13,11
C12517,ゼロの使い魔,2006-07-03,13,6
C12519,和和和 ワッピちゃん,2006-07-03,52,10
C12521,COYOTE Ragtime Show,2006-07-04,12,19
C12523,僕等がいた,2006-07-04,26,5
C12525,無敵看板娘,2006-07-25,24,5
C12527,内閣権力犯罪強制取締官 財前丈太郎,2006-07-06,11,17
C12530,史上最強の弟子 ケンイチ,2006-10-08,50,12
C12532,けろけろけろっぴ はすのうえタウン危機一髪!,2006-10-10,6,22
C12534,働きマン,2006-09-22,12,4
C12536,Bartender,2006-10-15,11,9
C12538,忍たま乱太郎[第7期],1999-04-05,80,11
C12540,ぴりっとQ,2000-01-31,68,5
C12545,N・H・Kにようこそ!,2006-07-10,24,11
C12547,ちょこッとSister,2006-07-12,24,11
C12549,iNNOCENT VENUS,2006-07-27,12,14
C12551,NIGHT HEAD GENESIS,2006-07-29,24,18
C12553,パッタ ポッタ モン太,2006-08-01,44,11
C12555,増田こうすけ劇場 ギャグマンガ日和2,2006-08-05,16,18
C12557,ケモノヅメ,2006-07-02,14,5
C12559,HANOKA 葉ノ香,2006-08-08,12,10
C12561,シュヴァリエ,2006-07-02,25,6
C12563,BLACK BLOOD BROTHERS,2006-09-08,12,20
C12565,シルクロード少年 ユート,2006-09-16,27,12
C12567,ポケットモンスター ダイヤモンド＆パール,2006-09-28,192,20
C12569,GALAXY ANGEL Ⅱ ギャラクシー エンジェる～ん,2006-10-02,13,29
C12571,金色のコルダ ～primo passo～,2006-10-02,25,20
C12573,Marginal Prince ─月桂樹の王子達─,2006-10-02,13,25
C12575,ウサハナ 夢みるバレリーナ,2006-10-03,7,13
C12577,D.Gray-man,2006-10-03,103,10
C12579,ときめき メモリアル Only Love,2006-10-03,25,20
C12581,パンプキン・シザーズ 帝国陸軍情報部第3課,2006-10-03,24,21
C12583,BLACK LAGOON The Second Barrage,2006-10-03,12,31
C12585,らぶドル Lovely Idol,2006-10-03,12,16
C12587,ゴースト ハント,2006-10-04,25,8
C12589,少年陰陽師,2006-10-04,26,5
C12591,DEATH NOTE,2006-10-04,39,10
C12593,ヤマトナデシコ七変化❤,2006-10-04,25,11
C12595,RED GARDEN,2006-10-04,22,10
C12597,銀河鉄道物語 ～永遠への分岐点～,2006-10-05,24,16
C12599,人造昆虫カブトボーグVxV,2006-10-05,52,13
C12601,スーパーロボット大戦 OG -ディバイン・ウォーズ-,2006-10-05,26,26
C12603,蒼天の拳,2006-10-05,22,4
C12605,武装錬金,2006-10-05,26,4
C12607,夜明け前より瑠璃色な ─Crescent Love─,2006-10-05,12,26
C12609,あさって の方向。,2006-10-06,12,9
C12612,魔法食堂チャラポンタン,2006-11-01,13,11
C12614,奏光のストレイン,2006-11-02,13,8
C12616,TOKYO TRIBE 2,2006-11-12,13,13
C12618,RGB ADVENTURE,2006-11-05,10,13
C12620,うっかりペネロペ,2006-11-20,26,8
C12622,すてき!さくらママ,2000-12-02,18,9
C12626,ふしぎ大調査,2005-04-05,20,6
C12628,超ぽじてぃぶ! ファイターズ 燃えるぜ焼けるぜ! シリーズ,2005-04-03,26,29
C12630,おじゃる丸［第8期］,2005-04-04,90,10
C12632,忍たま乱太郎［第13期］,2004-12-31,58,12
C12635,クレイアニメ 太鼓の達人,2005-04-04,13,12
C12637,ミカンせいじんの30秒学習,2005-04-04,45,13
C12639,ドラえもん［新・第2期］,2005-04-15,608,12
C12641,絶体絶命 でんぢゃらす じーさん [第3期],2005-04-18,95,22
C12643,五味太郎 ことわざムービーズ,2005-04-19,52,14
C12645,ななみちゃん ［第2期］,2005-06-17,17,12
C12647,ももんがぁモン,2005-07-04,10,7
C12655,ポケットモンスター ベストウイッシュ,2010-09-16,86,18
C12657,ヒピラくん 原作/大友克洋,2009-12-21,10,13
C12659,機動戦士ガンダム00[ダブルオー][第2期],2008-10-03,27,22
C12663,カウボーイ ビバップ[WOWOW放送版],1998-10-24,26,20
C12681,ドラえもん［新］,1999-12-03,224,8
C12701,ひとりでできるもん!［第1期］,1991-04-01,99,15
C12715,スペースオズの冒険,1992-10-05,26,9
C12729,カラオケ戦士 マイク次郎,1994-04-04,20,12
C12757,あずきちゃん[第2期],1996-04-02,39,11
C12759,バーチャファイター[第2期],1996-04-18,11,14
C12769,あずきちゃん[第3期],1997-04-01,39,11
C12771,はりもぐハーリー[第2期],1997-04-08,60,13
C12783,超特急ヒカリアン JAPAN HIKARIAN RAILROAD[第2期],1998-04-01,52,37
C12785,ようこそロードス島へ!,1998-04-01,27,11
C12797,アニメ!! ピンカと海のお友達,1998-04-13,23,15
C12799,忍たま 乱太郎 [第8期],1999-12-31,83,13
C12801,いない いないばあっ!［第5期］,2000-12-11,31,16
C12803,Slimy Monsters ANGJA MONGJA[第2期],2000-04-03,13,32
C12805,タイニー トゥーンズ,2000-12-11,14,10
C12811,イナズマあざらし,2001-02-10,16,8
C12813,おじゃる丸[第4期],2001-04-02,90,10
C12815,忍たま乱太郎［第9期］,2000-12-23,85,11
C12817,［おどれ!タイポ］［第1期］,2001-04-02,10,14
C12819,いない いない ばあっ!［第6期］,2001-04-02,102,17
C12823,Popin,2001-04-03,10,5
C12825,［ボキャレース］,2001-04-04,10,8
C12827,Yum. Yum. Yummy［第1期］,2001-04-05,10,20
C12829,トッポとロージー,2001-04-07,17,8
C12831,いない いない ばあっ!［第10期］,2005-04-04,91,18
C12833,ポキポキ アニメ,2005-04-05,9,8
C12835,ウキウキ わんちゃんず,2005-04-06,46,11
C12837,オトナ語の謎。,2005-04-08,24,7
C12838,だぁ!だぁ!だぁ! ［第2期］,2001-04-10,41,15
C12840,Mr.Digital TOKORO the comical cartoon [第2期],2001-04-17,120,43
C12844,ムービングマンガ劇場 恐怖の夢路館,2001-06-01,4,17
C12846,兼本さん宅,2001-06-03,31,5
C12848,ミニモニ。やるのだぴょん,2001-06-04,66,12
C12850,伝説のワニ ジェイク,2001-07-01,25,10
C12852,納涼発明大学 ～エジソンになれなかった男達～,2001-08-04,9,22
C12856,クレヨンまる,2001-10-03,25,6
C12858,バブーファクトリー,2001-10-07,23,9
C12860,スマアニメ,2001-10-20,26,5
C12870,火星は ぼくらの惑星だ!,2002-01-03,2,12
C12874,いない いない ばあっ!［第7期］,2002-04-01,100,17
C12876,でこぼこフレンズ,2002-04-01,141,8
C12878,Popin［第2期］,2002-04-02,4,10
C12880,［ボキャレース］［第2期］,2002-04-03,6,13
C12882,クレヨンまるの ミラクルおえかき,2002-04-03,31,16
C12884,Yum. Yum. Yummy[第2期],2002-04-04,6,20
C12888,レッチュ ゲッチュ サルゲッチュ,2002-04-08,76,16
C12890,FRAMY,2003-12-03,7,5
C12892,バブーファクトリー［第2期］,2002-04-27,17,14
C12894,TO-FU OYAKO,2002-07-01,12,11
C12896,よばれてとびでて! アクビちゃん［第2期］,2002-10-01,13,21
C12900,宇宙大作戦チョコベーダー,2002-10-05,27,12
C12902,りぜるまいん［第2期］,2002-10-06,12,11
C12904,ZoomZoo [キャラクター],2002-12-04,12,16
C12906,ZoomZoo [ストーリー],2003-01-22,23,15
C12908,ゴールド マッスル[改],2003-02-15,10,12
C12910,DigiGirlデジガールPOP!STRAWBERRY ＆ POP MIX FLAVOR,2003-02-17,26,44
C12914,マーメイドメロディー ぴちぴちピッチ,2003-04-05,52,18
C12917,［おどれ!タイポ］［第3期］,2003-04-07,6,14
C12919,いない いない ばあっ!［第8期］,2003-04-07,85,17
C12921,てれび絵本,2003-04-07,453,5
C12923,10本アニメ,2003-04-08,23,6
C12925,Yum. Yum. Yummy[第3期],2003-04-08,5,20
C12927,ayupan不思議の扉,2003-05-11,19,11
C12929,ケロケロキングデラックス プラス,2003-06-16,30,16
C12931,Low Brow,2003-07-19,1,8
C12933,えいごでいっしょ! WAKU★WAKU ペンギー★,2004-04-12,13,25
C12935,D.C. サイドエピソード,2003-08-24,13,13
C12937,R.O.D THE TV,2003-09-01,26,12
C12939,ミニモニ。じゃてーびぃー,2003-09-08,15,12
C12941,GAD GUARD ［完全版］,2003-09-04,26,15
C12943,絶体絶命 でんぢゃらす じーさん ［第1期］,2003-09-16,75,22
C12945,トムトム★ブー,2003-10-06,26,7
C12947,ハムハムとボク,2003-10-06,48,7
C12951,ぱずりーず,2003-12-29,20,5
C12958,みさきクロニクル ダイバージェンス・イヴ,2004-01-03,13,20
C12963,どうする? ゆうきくん,2004-04-05,48,11
C12969,CHIBIMARU,2004-10-05,25,9
C12971,CITRUS TOWN,2004-11-06,4,11
C12973,ON THE WAY COMEDY 道草,2004-11-06,88,20
C12975,桂三枝の アニメで一席,2004-11-08,4,11
C12977,PiNMeN ［リワーク］,2004-12-03,8,13
C12979,THE WITCH VILLAGE STORY,2005-01-09,24,23
C12983,ゴキブリ ちゃん,2005-03-21,20,8
C12985,せかいのえほん,2005-03-29,25,7
C12987,今日から〔○マ〕王!［第2期］,2005-04-02,48,15
C12990,OH!くんアニメスペシャル OH!くんの OH!きな世界,2005-07-30,6,28
C12992,Death Panda,2006-11-25,8,11
C12994,トントンあったとにいがたの昔ばなし[第4期],2006-12-03,26,22
C12996,太陽クラブ名作劇場恋の食べものがたり,2006-12-03,4,18
C13000,聖闘士星矢冥王 ハーデス冥界編[後章],2006-01-21,6,19
C13002,もっともっと兼本さん宅[石川番外篇],2006-12-21,3,18
C13004,Rozen Maiden oüverture,2006-12-23,2,22
C13006,Winter Garden,2006-12-23,2,13
C13010,本マグロトロ太郎,2007-07-07,26,8
C13012,ちょぼっと☆ちょボット,2007-07-07,39,11
C13016,シコロボ,2007-07-07,37,4
C13018,なぞなぞう,2007-07-09,5,5
C13020,やさい おうこく ものがたり,2007-07-23,10,14
C13022,東京魔人學園剣風帖 龍* 第弐幕,2007-07-27,12,16
C13024,絶体絶命でんぢゃらすじーさん～おはスタ夏の特別編～,2007-07-30,5,25
C13026,こちら葛飾区亀有公園前派出所 シートン探検隊!隅田川の誓い～思い出の白い鯨を探せ!～,2007-08-05,2,42
C13030,MOONLIGHTMILE2ndシーズン Touch down,2007-08-25,15,31
C13031,猫ラーメン,2006-12-29,13,5
C13033,オリーブさんとモルダウ,2006-12-17,1,11
C13037,闘牌伝説 アカギ 闇に舞い降りた天才 特別編,2007-01-01,4,22
C13042,かくざ父さん,2007-01-15,11,6
C13044,アームズラリー,2007-01-15,11,7
C13046,電脳戦士 土管くん,2007-01-15,11,9
C13048,30秒ケッ作げきじょうその時、彼らは思った。,2007-01-15,11,22
C13050,オリガのロシア語講座,2007-01-15,11,10
C13052,キラキラ小学生セレブちゃん,2007-01-15,11,13
C13056,ビーンワールド,2007-01-19,13,7
C13058,人形アニメーションリカちゃん,2007-02-12,12,14
C13060,日本裏社会の首領＊喝老人 *[ドン],2007-02-17,82,18
C13062,彩雲国物語[総集編]彩雲国絵巻,2007-03-03,9,15
C13064,コロコロアニマル,2007-03-22,60,8
C13066,忍たま 乱太郎[第15期],2007-04-02,53,13
C13068,おじゃる丸[第10期],2007-04-02,91,11
C13070,[おかあさんと あそぼっ!] きょうの おはなし,2007-04-02,15,24
C13071,ななみちゃんのわくわくどうぶつえん,2005-08-23,13,17
