年代,アニメ作品ID,アニメ作品の合計話数
2005,C11660,26
2005,C11662,63
2005,C11664,12
2005,C11666,24
2005,C11668,51
2005,C11670,12
2005,C11672,13
2005,C11674,25
2005,C11676,12
2005,C11677,12
2005,C11679,13
2005,C11681,90
2005,C11683,26
2005,C11684,11
2005,C11686,12
2005,C11687,12
2005,C11689,13
2005,C11691,26
2005,C11693,25
2005,C11695,26
2005,C11697,12
2005,C11699,13
2005,C11701,4
2005,C11703,11
2005,C11706,13
2005,C11708,27
2005,C11710,12
2005,C11712,51
2005,C11714,52
2005,C11716,12
2005,C11718,26
2005,C11720,52
2005,C11722,13
2005,C11724,51
2005,C11726,25
2005,C11728,25
2005,C11730,52
2005,C11732,26
2005,C11734,13
2005,C11736,24
2005,C11738,13
2005,C11740,89
2005,C11742,24
2005,C11744,26
2005,C11746,12
2005,C11748,12
2005,C11750,12
2005,C11752,50
2005,C11754,26
2005,C11756,22
2005,C11760,26
2005,C11762,12
2005,C11764,26
2005,C11766,13
2005,C11768,26
2005,C11772,12
2005,C11774,13
2005,C11776,12
2005,C11778,13
2005,C11780,20
2005,C11782,12
2005,C11784,13
2005,C11786,12
2005,C11788,12
2005,C11790,12
2005,C11792,13
2005,C11794,13
2005,C11796,13
2005,C11798,13
2005,C11800,14
2005,C11802,13
2005,C11810,50
2005,C11812,12
2005,C11814,26
2005,C11816,13
2005,C11818,7
2005,C11820,22
2005,C11822,13
2005,C11824,13
2005,C11826,12
2005,C11828,13
2005,C11830,25
2005,C11832,12
2005,C11834,48
2005,C11838,24
2005,C11840,13
2005,C11842,25
2005,C11844,13
2005,C11846,13
2005,C11848,12
2005,C11850,24
2005,C11852,26
2005,C11854,26
2005,C11856,13
2005,C11858,12
2005,C11860,13
2005,C11862,24
2005,C11864,27
2005,C11866,51
2005,C11868,26
2005,C11871,12
2005,C11879,22
2005,C11881,13
2005,C11883,13
2005,C11887,6
2005,C11890,12
2005,C11892,12
2005,C11894,13
2005,C11896,12
2005,C11898,13
2005,C11900,26
2005,C11902,12
2005,C11904,24
2005,C11906,12
2005,C11908,51
2005,C11910,25
2005,C11912,13
2005,C11914,11
2005,C11916,13
2005,C11918,13
2005,C11920,13
2005,C11922,26
2005,C11924,50
2005,C11926,13
2005,C11928,24
2005,C11930,12
2005,C11932,9
2005,C11934,45
2005,C11936,2
2005,C11938,63
2005,C11940,104
2005,C11944,32
2005,C11948,307
2005,C11950,12
2005,C11952,14
2005,C11954,31
2005,C11955,39
2005,C11957,25
2005,C11959,26
2005,C11963,26
2005,C11965,25
2005,C11969,36
2005,C11971,13
2005,C11973,26
2005,C11975,39
2005,C11976,12
2005,C11978,15
2005,C11992,13
2005,C11994,12
2005,C11996,4
2005,C11998,2
2005,C12000,13
2005,C12009,26
2005,C12013,26
2005,C12015,39
2005,C12017,39
2005,C12019,12
2005,C12021,26
2005,C12023,38
2005,C12025,39
2005,C12027,38
2005,C12029,39
2005,C12031,24
2005,C12033,12
2005,C12035,13
2005,C12037,26
2005,C12039,13
2005,C12043,16
2005,C12045,12
2005,C12047,12
2005,C12049,11
2005,C12051,23
2005,C12053,13
2005,C12055,12
2005,C12057,12
2005,C12059,12
2005,C12061,13
2005,C12063,26
2005,C12065,12
2005,C12067,13
2005,C12069,25
2005,C12071,13
2005,C12072,25
2005,C12074,13
2005,C12076,12
2005,C12078,12
2005,C12082,13
2005,C12084,13
2005,C12086,13
2005,C12089,11
2005,C12090,12
2005,C12092,14
2005,C12094,12
2005,C12096,12
2005,C12098,13
2005,C12100,13
2005,C12102,13
2005,C12104,13
2005,C12106,12
2005,C12108,12
2005,C12110,13
2005,C12112,13
2005,C12114,11
2005,C12116,12
2005,C12118,12
2005,C12120,12
2005,C12122,11
2005,C12124,13
2005,C12126,11
2005,C12128,12
2005,C12130,13
2005,C12132,11
2005,C12134,8
2005,C12135,10
2005,C12137,11
2005,C12141,4
2005,C12143,25
2005,C12176,104
2005,C12178,25
2005,C12189,13
2005,C12191,13
2005,C12193,13
2005,C12196,55
2005,C12198,26
2005,C12275,12
2005,C12277,26
2005,C12279,26
2005,C12282,15
2005,C12284,16
2005,C12286,26
2005,C12288,12
2005,C12290,13
2005,C12292,59
2005,C12305,13
2005,C12307,12
2005,C12309,24
2005,C12311,13
2005,C12313,51
2005,C12315,12
2005,C12317,13
2005,C12319,50
2005,C12321,13
2005,C12323,12
2005,C12325,13
2005,C12327,12
2005,C12329,12
2005,C12331,11
2005,C12333,6
2005,C12335,13
2005,C12337,13
2005,C12339,12
2005,C12341,12
2005,C12343,10
2005,C12345,49
2005,C12347,6
2005,C12349,25
2005,C12351,6
2005,C12355,13
2005,C12357,52
2005,C12359,52
2005,C12361,26
2005,C12363,52
2005,C12365,25
2005,C12367,51
2005,C12369,13
2005,C12371,48
2005,C12373,13
2005,C12375,26
2005,C12377,30
2005,C12379,26
2005,C12381,14
2005,C12383,176
2005,C12385,51
2005,C12387,15
2005,C12389,26
2005,C12391,189
2005,C12393,26
2005,C12394,26
2005,C12396,78
2005,C12398,26
2005,C12400,13
2005,C12402,13
2005,C12404,162
2005,C12406,12
2005,C12408,51
2005,C12410,26
2005,C12412,27
2005,C12414,51
2005,C12416,56
2005,C12428,12
2005,C12430,26
2005,C12432,24
2005,C12434,26
2005,C12436,24
2005,C12438,26
2005,C12440,26
2005,C12442,12
2005,C12444,24
2005,C12446,14
2005,C12448,24
2005,C12450,102
2005,C12452,73
2005,C12454,24
2005,C12456,12
2005,C12458,42
2005,C12460,26
2005,C12462,13
2005,C12464,26
2005,C12466,13
2005,C12468,12
2005,C12470,30
2005,C12472,12
2005,C12474,24
2005,C12476,19
2005,C12478,13
2005,C12480,12
2005,C12482,24
2005,C12484,11
2005,C12485,12
2005,C12487,10
2005,C12489,39
2005,C12491,52
2005,C12493,24
2005,C12495,12
2005,C12497,12
2005,C12499,28
2005,C12501,22
2005,C12503,12
2005,C12505,13
2005,C12507,24
2005,C12508,12
2005,C12509,46
2005,C12511,54
2005,C12512,12
2005,C12515,13
2005,C12517,13
2005,C12519,52
2005,C12521,12
2005,C12523,26
2005,C12525,24
2005,C12527,11
2005,C12530,50
2005,C12532,6
2005,C12534,12
2005,C12536,11
2005,C12545,24
2005,C12547,24
2005,C12549,12
2005,C12551,24
2005,C12553,44
2005,C12555,16
2005,C12557,14
2005,C12559,12
2005,C12561,25
2005,C12563,12
2005,C12565,27
2005,C12567,158
2005,C12569,13
2005,C12571,25
2005,C12573,13
2005,C12575,7
2005,C12577,103
2005,C12579,25
2005,C12581,24
2005,C12583,12
2005,C12585,12
2005,C12587,25
2005,C12589,26
2005,C12591,39
2005,C12593,25
2005,C12595,22
2005,C12597,24
2005,C12599,52
2005,C12601,26
2005,C12603,22
2005,C12605,26
2005,C12607,12
2005,C12609,12
2005,C12612,13
2005,C12614,13
2005,C12616,13
2005,C12618,10
2005,C12620,26
2005,C12626,20
2005,C12628,26
2005,C12630,90
2005,C12632,57
2005,C12635,13
2005,C12637,45
2005,C12639,199
2005,C12641,95
2005,C12643,52
2005,C12645,17
2005,C12647,6
2005,C12657,10
2005,C12659,27
2005,C12681,11
2005,C12831,91
2005,C12833,9
2005,C12835,46
2005,C12837,24
2005,C12876,84
2005,C12890,4
2005,C12921,294
2005,C12923,11
2005,C12945,6
2005,C12951,2
2005,C12963,33
2005,C12969,12
2005,C12973,56
2005,C12977,5
2005,C12979,24
2005,C12983,20
2005,C12985,25
2005,C12987,48
2005,C12990,6
2005,C12992,8
2005,C12994,26
2005,C12996,4
2005,C13000,6
2005,C13002,3
2005,C13004,2
2005,C13006,2
2005,C13010,26
2005,C13012,39
2005,C13016,37
2005,C13018,5
2005,C13020,10
2005,C13022,12
2005,C13024,5
2005,C13026,2
2005,C13030,15
2005,C13031,13
2005,C13033,1
2005,C13037,4
2005,C13042,11
2005,C13044,11
2005,C13046,11
2005,C13048,11
2005,C13050,11
2005,C13052,11
2005,C13056,13
2005,C13058,12
2005,C13060,82
2005,C13062,9
2005,C13064,60
2005,C13066,53
2005,C13068,91
2005,C13070,15
2005,C13071,13
2005,C13073,25
2005,C13075,15
2005,C13077,8
2005,C13081,167
2005,C13085,4
2005,C13087,13
2005,C13089,26
2005,C13091,30
2005,C13093,6
2005,C13095,24
2005,C13097,13
2005,C13103,14
2005,C13105,50
2005,C13107,90
2005,C13109,90
2005,C13111,15
2005,C13113,12
2005,C13114,11
2005,C13116,20
2005,C13118,33
2005,C13120,60
2005,C13122,24
2005,C13124,20
2005,C13126,25
2005,C13128,28
2005,C13130,2
2005,C13132,13
2005,C13134,14
2005,C13138,2
2005,C13140,19
2005,C13144,2
2005,C13154,4
2005,C13156,13
2005,C13158,13
2005,C13164,5
2005,C13166,1
2005,C13168,11
2005,C13170,375
2005,C13172,9
2005,C13174,11
2005,C13176,27
2005,C13180,4
2005,C13182,110
2005,C13184,26
2005,C13189,13
2005,C13203,41
2005,C13205,18
2005,C13207,96
2005,C13211,5
2005,C13213,41
2005,C13215,51
2005,C13217,39
2005,C13219,25
2005,C13221,26
2005,C13225,26
2005,C13227,51
2005,C13229,13
2005,C13231,16
2005,C13233,25
2005,C13235,25
2005,C13237,2
2005,C13240,44
2005,C13242,3
2005,C13244,19
2005,C13246,96
2005,C13248,13
2005,C13250,27
2005,C13252,42
2005,C13254,129
2005,C13256,13
2005,C13258,50
2005,C13260,25
2005,C13262,1
2005,C13264,12
2005,C13266,5
2005,C13269,15
2005,C13271,4
2005,C13273,17
2005,C13275,5
2005,C13277,5
2005,C13279,26
2005,C13281,13
2005,C13283,13
2005,C13288,2
2005,C13290,104
2005,C13292,13
2005,C13294,7
2005,C13296,8
2005,C13298,13
2005,C13300,26
2005,C13302,12
2005,C13304,26
2005,C13306,13
2005,C13308,3
2005,C13310,11
2005,C13312,5
2005,C13314,12
2005,C13316,3
2005,C13320,12
2005,C13330,13
2005,C13332,13
2005,C13334,13
2005,C13336,19
2005,C13338,13
2005,C13340,13
2005,C13346,1
2005,C13348,3
2005,C13350,100
2005,C13354,90
2005,C13356,100
2005,C13358,110
2005,C13360,26
2005,C13363,25
2005,C13366,19
2005,C13368,26
2005,C13370,13
2005,C13372,26
2005,C13374,6
2005,C13376,3
2005,C13378,25
2005,C13380,16
2005,C13382,15
2005,C13384,5
2005,C13386,26
2005,C13390,38
2005,C13392,8
2005,C13396,20
2005,C13400,7
2005,C13402,1
2005,C13404,15
2005,C13410,25
2005,C13423,26
2005,C13429,25
2005,C13431,17
2005,C13433,14
2005,C13435,23
2005,C13441,11
2005,C13445,12
2005,C13447,17
2005,C13449,10
2005,C13453,8
2005,C13457,11
2005,C13581,25
2005,C13909,4
2005,C13913,26
2005,C14530,2
2005,C14531,26
2005,C14532,64
2005,C14535,5
2005,C14538,13
2005,C14539,1
2005,C14550,1
2005,C14551,2
2005,C14553,3
2005,C14554,1
2005,C14560,52
2005,C14561,40
2005,C14562,2
2005,C14575,13
2005,C14576,13
2005,C14577,12
2005,C14579,2
2005,C14580,15
2005,C14581,27
2005,C14582,12
2005,C14583,6
2005,C14584,15
2005,C14585,90
2005,C14586,12
2005,C14587,79
2005,C14588,6
2005,C14589,1
2005,C14590,6
2005,C14591,4
2005,C14593,12
2005,C14594,72
2005,C14595,30
2005,C14596,6
2005,C14597,11
2005,C14599,13
2005,C14600,13
2005,C14601,8
2005,C14602,2
2005,C14603,6
2005,C14604,17
2005,C14605,1
2005,C14606,13
2005,C14607,13
2005,C14609,1
2005,C14612,16
2005,C14614,90
2005,C14615,39
2005,C14616,3
2005,C14617,10
2005,C14618,3
2005,C14620,6
2005,C14621,4
2005,C14622,12
2005,C14623,13
2005,C14624,6
2005,C14625,15
2005,C14629,1
2005,C14631,2
2005,C14643,3
2005,C15343,10
2005,C15349,12
2005,C15350,26
2005,C15351,26
2005,C15352,13
2005,C7207,251
2005,C8504,243
2005,C8825,165
2005,C8849,190
2005,C9080,512
2005,C9122,249
2005,C9189,5
2005,C9197,9
2005,C9203,4
2005,C9283,189
2005,C9341,1
2005,C9798,6
2005,C9855,222
2010,C10797,63
2010,C10847,1
2010,C10992,251
2010,C10997,115
2010,C11521,12
2010,C11527,13
2010,C11654,12
2010,C11662,64
2010,C11681,64
2010,C11701,14
2010,C11740,13
2010,C11873,12
2010,C11875,12
2010,C11877,49
2010,C11924,10
2010,C11934,5
2010,C11938,17
2010,C11944,8
2010,C11948,90
2010,C11954,8
2010,C11969,106
2010,C11975,14
2010,C11978,35
2010,C11983,54
2010,C11988,30
2010,C11990,25
2010,C11994,15
2010,C12002,32
2010,C12004,12
2010,C12005,12
2010,C12007,13
2010,C12015,11
2010,C12017,13
2010,C12023,59
2010,C12025,26
2010,C12027,7
2010,C12029,12
2010,C12069,14
2010,C12072,25
2010,C12082,13
2010,C12084,12
2010,C12086,12
2010,C12092,14
2010,C12098,12
2010,C12100,11
2010,C12102,13
2010,C12104,37
2010,C12106,38
2010,C12114,13
2010,C12120,13
2010,C12126,21
2010,C12130,131
2010,C12132,164
2010,C12134,15
2010,C12135,19
2010,C12137,13
2010,C12141,8
2010,C12144,13
2010,C12146,12
2010,C12150,12
2010,C12152,12
2010,C12156,12
2010,C12158,12
2010,C12160,13
2010,C12162,12
2010,C12164,13
2010,C12166,13
2010,C12168,12
2010,C12170,24
2010,C12172,12
2010,C12174,24
2010,C12179,12
2010,C12181,13
2010,C12183,22
2010,C12185,12
2010,C12201,75
2010,C12203,37
2010,C12205,12
2010,C12209,12
2010,C12211,6
2010,C12213,13
2010,C12215,52
2010,C12217,51
2010,C12221,26
2010,C12223,51
2010,C12225,12
2010,C12227,105
2010,C12231,1
2010,C12233,26
2010,C12235,13
2010,C12237,26
2010,C12239,12
2010,C12241,51
2010,C12243,51
2010,C12245,12
2010,C12247,51
2010,C12249,12
2010,C12251,13
2010,C12253,14
2010,C12255,13
2010,C12257,26
2010,C12259,26
2010,C12261,24
2010,C12263,13
2010,C12265,11
2010,C12267,12
2010,C12269,12
2010,C12271,13
2010,C12273,12
2010,C12295,29
2010,C12297,12
2010,C12299,12
2010,C12301,25
2010,C12303,25
2010,C12391,12
2010,C12404,36
2010,C12567,34
2010,C12639,238
2010,C12647,4
2010,C12655,86
2010,C12921,12
2010,C12923,3
2010,C13191,149
2010,C13194,13
2010,C13198,26
2010,C13199,13
2010,C13201,77
2010,C13242,3
2010,C13254,36
2010,C13271,3
2010,C13322,46
2010,C13323,109
2010,C13325,12
2010,C13408,26
2010,C13412,11
2010,C13414,11
2010,C13416,65
2010,C13418,12
2010,C13420,13
2010,C13422,12
2010,C13459,26
2010,C13461,11
2010,C13463,26
2010,C13465,2
2010,C13467,26
2010,C13469,13
2010,C13471,2
2010,C13473,17
2010,C13475,13
2010,C13477,13
2010,C13481,12
2010,C13483,12
2010,C13485,1
2010,C13487,12
2010,C13490,12
2010,C13492,12
2010,C13494,12
2010,C13496,12
2010,C13498,26
2010,C13500,20
2010,C13502,13
2010,C13504,12
2010,C13506,13
2010,C13508,13
2010,C13510,12
2010,C13512,26
2010,C13514,13
2010,C13518,27
2010,C13520,12
2010,C13522,25
2010,C13524,11
2010,C13526,26
2010,C13528,12
2010,C13530,13
2010,C13534,45
2010,C13536,3
2010,C13538,10
2010,C13540,21
2010,C13545,25
2010,C13547,11
2010,C13549,13
2010,C13553,13
2010,C13557,20
2010,C13560,49
2010,C13566,12
2010,C13568,13
2010,C13570,13
2010,C13573,120
2010,C13575,13
2010,C13577,77
2010,C13579,48
2010,C13583,42
2010,C13585,90
2010,C13587,39
2010,C13590,4
2010,C13592,12
2010,C13595,12
2010,C13601,12
2010,C13603,12
2010,C13607,11
2010,C13609,12
2010,C13611,12
2010,C13613,13
2010,C13615,12
2010,C13617,25
2010,C13620,12
2010,C13622,5
2010,C13624,24
2010,C13626,13
2010,C13628,25
2010,C13630,24
2010,C13632,25
2010,C13634,3
2010,C13635,13
2010,C13637,6
2010,C13639,12
2010,C13641,26
2010,C13643,12
2010,C13645,100
2010,C13647,12
2010,C13650,25
2010,C13653,26
2010,C13655,13
2010,C13658,12
2010,C13662,11
2010,C13665,12
2010,C13667,11
2010,C13669,13
2010,C13673,88
2010,C13675,480
2010,C13677,26
2010,C13679,12
2010,C13682,22
2010,C13684,82
2010,C13686,52
2010,C13688,1
2010,C13690,12
2010,C13692,52
2010,C13694,10
2010,C13696,12
2010,C13698,11
2010,C13700,12
2010,C13702,13
2010,C13705,25
2010,C13707,26
2010,C13709,90
2010,C13711,12
2010,C13713,12
2010,C13716,75
2010,C13718,1
2010,C13720,12
2010,C13722,24
2010,C13725,12
2010,C13727,12
2010,C13729,25
2010,C13730,12
2010,C13732,13
2010,C13734,12
2010,C13736,12
2010,C13738,52
2010,C13740,147
2010,C13742,12
2010,C13746,13
2010,C13748,25
2010,C13750,4
2010,C13752,50
2010,C13754,2
2010,C13756,41
2010,C13759,11
2010,C13761,11
2010,C13763,25
2010,C13765,13
2010,C13767,13
2010,C13769,12
2010,C13771,51
2010,C13774,39
2010,C13776,60
2010,C13778,12
2010,C13780,2
2010,C13782,22
2010,C13784,16
2010,C13786,12
2010,C13788,12
2010,C13790,4
2010,C13792,13
2010,C13794,12
2010,C13797,8
2010,C13799,1
2010,C13801,52
2010,C13803,11
2010,C13807,12
2010,C13809,13
2010,C13811,6
2010,C13813,13
2010,C13815,12
2010,C13817,49
2010,C13819,26
2010,C13822,12
2010,C13824,51
2010,C13826,13
2010,C13828,13
2010,C13830,22
2010,C13832,22
2010,C13834,24
2010,C13840,12
2010,C13842,13
2010,C13844,13
2010,C13846,12
2010,C13849,14
2010,C13851,12
2010,C13853,12
2010,C13855,12
2010,C13857,12
2010,C13859,12
2010,C13861,28
2010,C13863,13
2010,C13865,1
2010,C13869,12
2010,C13871,13
2010,C13873,11
2010,C13875,12
2010,C13877,12
2010,C13879,12
2010,C13883,26
2010,C13885,13
2010,C13887,24
2010,C13903,58
2010,C13905,51
2010,C13907,63
2010,C13915,51
2010,C13917,51
2010,C13919,51
2010,C13925,13
2010,C13927,14
2010,C13930,13
2010,C13932,12
2010,C13934,13
2010,C13936,12
2010,C13939,13
2010,C13941,12
2010,C13944,11
2010,C13946,12
2010,C13948,26
2010,C13950,26
2010,C13952,20
2010,C13954,52
2010,C13958,13
2010,C13960,27
2010,C13961,12
2010,C13964,24
2010,C13966,22
2010,C13969,7
2010,C13971,25
2010,C13973,12
2010,C13976,12
2010,C13978,12
2010,C13980,12
2010,C13982,12
2010,C13984,8
2010,C13992,11
2010,C13999,43
2010,C14001,26
2010,C14003,97
2010,C14007,13
2010,C14009,14
2010,C14011,12
2010,C14013,13
2010,C14015,10
2010,C14017,50
2010,C14019,20
2010,C14021,13
2010,C14023,13
2010,C14025,13
2010,C14027,12
2010,C14029,26
2010,C14031,24
2010,C14033,51
2010,C14036,13
2010,C14039,14
2010,C14041,13
2010,C14043,12
2010,C14045,12
2010,C14047,13
2010,C14048,13
2010,C14079,13
2010,C14081,13
2010,C14083,13
2010,C14085,11
2010,C14087,12
2010,C14092,3
2010,C14096,12
2010,C14098,13
2010,C14100,12
2010,C14102,10
2010,C14104,12
2010,C14106,12
2010,C14108,12
2010,C14110,12
2010,C14112,13
2010,C14114,24
2010,C14117,12
2010,C14119,9
2010,C14121,12
2010,C14123,12
2010,C14125,13
2010,C14127,27
2010,C14130,13
2010,C14132,8
2010,C14134,13
2010,C14136,26
2010,C14138,26
2010,C14140,14
2010,C14142,22
2010,C14144,13
2010,C14146,28
2010,C14150,14
2010,C14156,10
2010,C14158,13
2010,C14160,12
2010,C14162,12
2010,C14164,12
2010,C14166,12
2010,C14168,13
2010,C14170,12
2010,C14172,26
2010,C14174,13
2010,C14176,12
2010,C14178,12
2010,C14250,12
2010,C14252,12
2010,C14254,12
2010,C14256,13
2010,C14258,12
2010,C14260,12
2010,C14280,12
2010,C14282,13
2010,C14525,24
2010,C14528,5
2010,C14529,12
2010,C14530,24
2010,C14533,90
2010,C14534,5
2010,C14536,5
2010,C14537,6
2010,C14539,5
2010,C14540,3
2010,C14541,8
2010,C14542,13
2010,C14543,9
2010,C14544,12
2010,C14545,5
2010,C14547,15
2010,C14548,3
2010,C14549,3
2010,C14550,5
2010,C14551,3
2010,C14552,1
2010,C14553,23
2010,C14554,5
2010,C14555,37
2010,C14556,4
2010,C14557,12
2010,C14558,12
2010,C14559,25
2010,C14584,35
2010,C14585,25
2010,C14587,11
2010,C14589,1
2010,C14594,24
2010,C14606,13
2010,C14607,19
2010,C14615,13
2010,C14619,13
2010,C14620,6
2010,C14624,24
2010,C14625,5
2010,C14626,12
2010,C14627,110
2010,C14628,18
2010,C14629,3
2010,C14630,28
2010,C14631,10
2010,C14632,40
2010,C14633,12
2010,C14634,26
2010,C14635,20
2010,C14636,74
2010,C14637,81
2010,C14638,20
2010,C14640,13
2010,C14641,3
2010,C14643,23
2010,C14645,7
2010,C14646,48
2010,C14647,4
2010,C14648,27
2010,C14649,4
2010,C14651,51
2010,C14652,23
2010,C14653,24
2010,C14654,13
2010,C14655,1
2010,C14656,70
2010,C14657,2
2010,C14658,3
2010,C14659,26
2010,C14660,37
2010,C14661,25
2010,C14662,27
2010,C14663,12
2010,C14664,12
2010,C14665,13
2010,C14666,26
2010,C14667,21
2010,C14668,37
2010,C14669,76
2010,C14670,12
2010,C14671,13
2010,C14673,110
2010,C14675,40
2010,C14676,3
2010,C14677,5
2010,C14678,33
2010,C14679,12
2010,C14681,8
2010,C14683,18
2010,C14684,26
2010,C14685,25
2010,C14687,45
2010,C14688,26
2010,C14689,68
2010,C14691,26
2010,C14692,26
2010,C14693,16
2010,C14695,115
2010,C14696,8
2010,C14697,5
2010,C14698,12
2010,C14699,26
2010,C14701,101
2010,C14702,10
2010,C14703,38
2010,C14704,91
2010,C14705,13
2010,C14706,40
2010,C14707,40
2010,C14708,307
2010,C14709,13
2010,C14710,370
2010,C14711,13
2010,C14712,25
2010,C14713,13
2010,C14714,13
2010,C14716,39
2010,C14717,13
2010,C14718,85
2010,C14719,25
2010,C14720,60
2010,C14721,12
2010,C14722,12
2010,C14723,13
2010,C14724,12
2010,C14725,50
2010,C14726,12
2010,C14727,140
2010,C14728,52
2010,C14729,52
2010,C14730,26
2010,C14731,28
2010,C14732,34
2010,C14733,10
2010,C14734,48
2010,C14735,32
2010,C14736,13
2010,C14737,25
2010,C14738,36
2010,C14739,10
2010,C14740,49
2010,C14741,12
2010,C14742,12
2010,C14743,25
2010,C14744,12
2010,C14745,12
2010,C14746,12
2010,C14747,3
2010,C14748,14
2010,C14749,13
2010,C14750,13
2010,C14751,13
2010,C14752,12
2010,C14753,11
2010,C14755,89
2010,C14756,49
2010,C14757,35
2010,C14758,12
2010,C14759,37
2010,C14760,13
2010,C14761,13
2010,C14762,51
2010,C14763,13
2010,C14764,53
2010,C14765,12
2010,C14767,6
2010,C14768,13
2010,C14769,51
2010,C14770,90
2010,C14772,13
2010,C14773,29
2010,C14774,45
2010,C14775,52
2010,C14776,431
2010,C14777,13
2010,C14778,84
2010,C14779,22
2010,C14780,26
2010,C14781,14
2010,C14782,51
2010,C14783,252
2010,C14784,47
2010,C14785,12
2010,C14786,6
2010,C14787,26
2010,C14788,12
2010,C14789,38
2010,C14790,11
2010,C14791,76
2010,C14792,13
2010,C14793,12
2010,C14794,13
2010,C14795,8
2010,C14796,13
2010,C14797,13
2010,C14799,12
2010,C14800,12
2010,C14801,12
2010,C14802,13
2010,C14803,32
2010,C14804,12
2010,C14806,13
2010,C14808,43
2010,C14809,12
2010,C14810,12
2010,C14811,14
2010,C14812,26
2010,C14813,13
2010,C14814,4
2010,C14815,14
2010,C14816,10
2010,C14817,59
2010,C14818,13
2010,C14819,36
2010,C14820,11
2010,C14821,25
2010,C14822,103
2010,C14824,26
2010,C14825,12
2010,C14826,12
2010,C14827,13
2010,C14828,32
2010,C14829,24
2010,C14830,25
2010,C14831,12
2010,C14832,13
2010,C14833,39
2010,C14834,11
2010,C14835,12
2010,C14836,26
2010,C14837,13
2010,C14839,14
2010,C14840,24
2010,C14842,2
2010,C14843,13
2010,C14844,10
2010,C14845,14
2010,C14846,50
2010,C14847,22
2010,C14848,9
2010,C14849,10
2010,C14850,52
2010,C14851,13
2010,C14852,14
2010,C14853,20
2010,C14854,13
2010,C14855,25
2010,C14856,6
2010,C14857,6
2010,C14858,10
2010,C14859,8
2010,C14860,12
2010,C14861,14
2010,C14862,13
2010,C14863,13
2010,C14864,13
2010,C14865,5
2010,C14866,63
2010,C14867,13
2010,C14868,32
2010,C14869,29
2010,C14870,13
2010,C14871,51
2010,C14872,13
2010,C14873,48
2010,C14875,13
2010,C14877,39
2010,C14878,12
2010,C14879,25
2010,C14881,13
2010,C14882,13
2010,C14884,21
2010,C14885,40
2010,C14887,13
2010,C14888,38
2010,C14889,16
2010,C14890,2
2010,C14891,13
2010,C14892,25
2010,C14893,12
2010,C14894,13
2010,C14895,13
2010,C14896,12
2010,C14897,10
2010,C14898,12
2010,C14899,51
2010,C14900,12
2010,C14901,12
2010,C14902,12
2010,C14903,12
2010,C14904,14
2010,C14905,56
2010,C14906,4
2010,C14907,13
2010,C14908,12
2010,C14909,25
2010,C14910,10
2010,C14911,159
2010,C14912,13
2010,C14913,13
2010,C14914,12
2010,C14915,37
2010,C14916,26
2010,C14917,12
2010,C14918,12
2010,C14919,26
2010,C14920,10
2010,C14921,13
2010,C14922,12
2010,C14923,13
2010,C14924,12
2010,C14925,13
2010,C14927,38
2010,C14928,13
2010,C14929,62
2010,C14931,13
2010,C14932,13
2010,C14933,20
2010,C14934,1
2010,C14937,12
2010,C14938,28
2010,C14939,13
2010,C14941,12
2010,C14942,1
2010,C14943,36
2010,C14944,13
2010,C14945,33
2010,C14946,12
2010,C14947,12
2010,C14948,13
2010,C14949,12
2010,C14950,12
2010,C14951,14
2010,C14952,11
2010,C14953,12
2010,C14954,13
2010,C14955,12
2010,C14956,11
2010,C14957,13
2010,C14958,12
2010,C14965,23
2010,C14966,12
2010,C14967,26
2010,C14968,26
2010,C14969,12
2010,C14970,25
2010,C14971,12
2010,C14972,12
2010,C14973,39
2010,C14974,10
2010,C14975,12
2010,C14976,4
2010,C14977,51
2010,C14978,10
2010,C14979,24
2010,C14980,39
2010,C14981,12
2010,C14982,10
2010,C14983,12
2010,C14984,12
2010,C14985,12
2010,C14986,12
2010,C14987,13
2010,C14988,13
2010,C14989,12
2010,C14990,13
2010,C14991,12
2010,C14992,12
2010,C14993,12
2010,C14994,12
2010,C14995,24
2010,C14996,10
2010,C14997,12
2010,C14998,12
2010,C14999,12
2010,C15000,12
2010,C15001,70
2010,C15002,38
2010,C15003,12
2010,C15004,15
2010,C15005,36
2010,C15006,26
2010,C15007,25
2010,C15008,27
2010,C15009,13
2010,C15010,24
2010,C15011,12
2010,C15012,12
2010,C15013,24
2010,C15014,14
2010,C15015,12
2010,C15016,25
2010,C15017,12
2010,C15018,12
2010,C15019,13
2010,C15020,12
2010,C15021,10
2010,C15022,12
2010,C15023,37
2010,C15024,39
2010,C15025,13
2010,C15026,13
2010,C15027,8
2010,C15028,13
2010,C15029,38
2010,C15030,20
2010,C15031,22
2010,C15032,12
2010,C15033,12
2010,C15034,24
2010,C15035,13
2010,C15036,12
2010,C15037,25
2010,C15038,13
2010,C15039,12
2010,C15040,46
2010,C15041,12
2010,C15042,12
2010,C15043,38
2010,C15044,13
2010,C15045,11
2010,C15046,15
2010,C15047,52
2010,C15048,13
2010,C15049,26
2010,C15050,26
2010,C15051,10
2010,C15052,12
2010,C15053,39
2010,C15054,12
2010,C15055,12
2010,C15056,12
2010,C15057,27
2010,C15058,14
2010,C15059,39
2010,C15060,6
2010,C15061,12
2010,C15062,12
2010,C15063,12
2010,C15064,13
2010,C15065,13
2010,C15066,12
2010,C15067,25
