マンガ作品ID,マンガ各話ID,掲載日,掲載位置,アニメ化,マンガ雑誌名
C110925,CE176691,2014-10-08,0.2467248908296943,False,週刊少年サンデー
C110925,CE176766,2014-10-22,0.9934497816593888,False,週刊少年サンデー
C110925,CE176794,2014-10-29,0.993801652892562,False,週刊少年サンデー
C110925,CE176823,2014-11-05,0.99402390438247,False,週刊少年サンデー
C110925,CE176878,2014-11-19,0.9938775510204082,False,週刊少年サンデー
C110926,CE177549,2014-10-06,0.00625,False,週刊少年ジャンプ
C110926,CE177575,2014-10-13,0.1964285714285714,False,週刊少年ジャンプ
C110926,CE177600,2014-10-20,0.2670682730923694,False,週刊少年ジャンプ
C110926,CE177634,2014-10-27,0.5494736842105263,False,週刊少年ジャンプ
C110926,CE177653,2014-11-03,0.3831967213114754,False,週刊少年ジャンプ
C110926,CE177681,2014-11-10,0.5382978723404256,False,週刊少年ジャンプ
C110926,CE177709,2014-11-17,0.7884615384615384,False,週刊少年ジャンプ
C110926,CE177734,2014-11-24,0.898406374501992,False,週刊少年ジャンプ
C110927,CE177552,2014-10-06,0.24375,False,週刊少年ジャンプ
C110927,CE177607,2014-10-20,0.5,False,週刊少年ジャンプ
C110927,CE177629,2014-10-27,0.3557894736842105,False,週刊少年ジャンプ
C110927,CE177648,2014-11-03,0.1782786885245901,False,週刊少年ジャンプ
C110927,CE177672,2014-11-10,0.1808510638297872,False,週刊少年ジャンプ
C110927,CE178410,2015-03-09,0.6294736842105263,False,週刊少年ジャンプ
C110927,CE178579,2015-05-04,0.5155925155925156,False,週刊少年ジャンプ
C110927,CE178788,2015-07-20,0.2824742268041237,False,週刊少年ジャンプ
C110940,CE178045,2014-10-23,0.0304449648711943,False,週刊少年チャンピオン
C110940,CE178073,2014-10-30,0.3681710213776722,False,週刊少年チャンピオン
C110940,CE178096,2014-11-06,0.5106888361045131,False,週刊少年チャンピオン
C110940,CE178118,2014-11-13,0.5194508009153318,False,週刊少年チャンピオン
C110940,CE178140,2014-11-20,0.5918367346938775,False,週刊少年チャンピオン
C110940,CE178165,2014-11-27,0.7188208616780045,False,週刊少年チャンピオン
C110940,CE181836,2014-12-04,0.7084282460136674,False,週刊少年チャンピオン
C110940,CE181858,2014-12-11,0.5617715617715617,False,週刊少年チャンピオン
C110942,CE178069,2014-10-30,0.2541567695961995,False,週刊少年チャンピオン
C110942,CE178070,2014-10-30,0.2684085510688836,False,週刊少年チャンピオン
C110942,CE178099,2014-11-06,0.672209026128266,False,週刊少年チャンピオン
C110942,CE178115,2014-11-13,0.4096109839816934,False,週刊少年チャンピオン
C110942,CE178139,2014-11-20,0.5827664399092971,False,週刊少年チャンピオン
C110942,CE178162,2014-11-27,0.6099773242630385,False,週刊少年チャンピオン
C110942,CE181827,2014-12-04,0.3029612756264236,False,週刊少年チャンピオン
C110942,CE181848,2014-12-11,0.2634032634032634,False,週刊少年チャンピオン
C110947,CE177151,2014-10-15,0.3844444444444444,False,週刊少年マガジン
C110947,CE177152,2014-10-15,0.42,False,週刊少年マガジン
C110947,CE177182,2014-10-22,0.6495535714285714,False,週刊少年マガジン
C110947,CE177199,2014-10-29,0.2822222222222222,False,週刊少年マガジン
C110947,CE177234,2014-11-05,0.7745535714285714,False,週刊少年マガジン
C110947,CE177251,2014-11-12,0.4976851851851852,False,週刊少年マガジン
C110947,CE177273,2014-11-19,0.3851351351351351,False,週刊少年マガジン
