マンガ作品ID,マンガ各話ID,掲載日,掲載位置,アニメ化,マンガ雑誌名,話数
C110925,CE176823,2014-11-05,0.99402390438247,False,週刊少年サンデー,7
C110925,CE176878,2014-11-19,0.9938775510204082,False,週刊少年サンデー,8
C110926,CE177549,2014-10-06,0.00625,False,週刊少年ジャンプ,1
C110926,CE177575,2014-10-13,0.1964285714285714,False,週刊少年ジャンプ,2
C110926,CE177600,2014-10-20,0.2670682730923694,False,週刊少年ジャンプ,3
C110926,CE177634,2014-10-27,0.5494736842105263,False,週刊少年ジャンプ,4
C110926,CE177653,2014-11-03,0.3831967213114754,False,週刊少年ジャンプ,5
C110926,CE177681,2014-11-10,0.5382978723404256,False,週刊少年ジャンプ,6
C110926,CE177709,2014-11-17,0.7884615384615384,False,週刊少年ジャンプ,7
C110926,CE177734,2014-11-24,0.898406374501992,False,週刊少年ジャンプ,8
C110927,CE177552,2014-10-06,0.24375,False,週刊少年ジャンプ,1
C110927,CE177607,2014-10-20,0.5,False,週刊少年ジャンプ,2
C110927,CE177629,2014-10-27,0.3557894736842105,False,週刊少年ジャンプ,3
C110927,CE177648,2014-11-03,0.1782786885245901,False,週刊少年ジャンプ,4
C110927,CE177672,2014-11-10,0.1808510638297872,False,週刊少年ジャンプ,5
C110927,CE178410,2015-03-09,0.6294736842105263,False,週刊少年ジャンプ,6
C110927,CE178579,2015-05-04,0.5155925155925156,False,週刊少年ジャンプ,7
C110927,CE178788,2015-07-20,0.2824742268041237,False,週刊少年ジャンプ,8
C110940,CE178045,2014-10-23,0.0304449648711943,False,週刊少年チャンピオン,1
C110940,CE178073,2014-10-30,0.3681710213776722,False,週刊少年チャンピオン,2
C110940,CE178096,2014-11-06,0.5106888361045131,False,週刊少年チャンピオン,3
C110940,CE178118,2014-11-13,0.5194508009153318,False,週刊少年チャンピオン,4
C110940,CE178140,2014-11-20,0.5918367346938775,False,週刊少年チャンピオン,5
C110940,CE178165,2014-11-27,0.7188208616780045,False,週刊少年チャンピオン,6
C110940,CE181836,2014-12-04,0.7084282460136674,False,週刊少年チャンピオン,7
C110940,CE181858,2014-12-11,0.5617715617715617,False,週刊少年チャンピオン,8
C110942,CE178069,2014-10-30,0.2541567695961995,False,週刊少年チャンピオン,1
C110942,CE178070,2014-10-30,0.2684085510688836,False,週刊少年チャンピオン,2
C110942,CE178099,2014-11-06,0.672209026128266,False,週刊少年チャンピオン,3
C110942,CE178115,2014-11-13,0.4096109839816934,False,週刊少年チャンピオン,4
C110942,CE178139,2014-11-20,0.5827664399092971,False,週刊少年チャンピオン,5
C110942,CE178162,2014-11-27,0.6099773242630385,False,週刊少年チャンピオン,6
C110942,CE181827,2014-12-04,0.3029612756264236,False,週刊少年チャンピオン,7
C110942,CE181848,2014-12-11,0.2634032634032634,False,週刊少年チャンピオン,8
C110947,CE177151,2014-10-15,0.3844444444444444,False,週刊少年マガジン,1
C110947,CE177152,2014-10-15,0.42,False,週刊少年マガジン,2
C110947,CE177182,2014-10-22,0.6495535714285714,False,週刊少年マガジン,3
C110947,CE177199,2014-10-29,0.2822222222222222,False,週刊少年マガジン,4
C110947,CE177234,2014-11-05,0.7745535714285714,False,週刊少年マガジン,5
C110947,CE177251,2014-11-12,0.4976851851851852,False,週刊少年マガジン,6
C110947,CE177273,2014-11-19,0.3851351351351351,False,週刊少年マガジン,7
C110947,CE177288,2014-11-19,0.9617117117117115,False,週刊少年マガジン,8
C110950,CE177216,2014-11-05,0.0200892857142857,False,週刊少年マガジン,1
C110950,CE177244,2014-11-12,0.1736111111111111,False,週刊少年マガジン,2
C110950,CE177272,2014-11-19,0.295045045045045,False,週刊少年マガジン,3
C110950,CE177301,2014-11-26,0.4884259259259259,False,週刊少年マガジン,4
C110950,CE177330,2014-12-03,0.6627906976744186,False,週刊少年マガジン,5
C110950,CE177343,2014-12-10,0.2060185185185185,False,週刊少年マガジン,6
C110950,CE177344,2014-12-10,0.2523148148148148,False,週刊少年マガジン,7
C110950,CE179239,2015-01-01,0.6704035874439462,False,週刊少年マガジン,8
C110958,CE178174,2015-01-01,0.0179640718562874,False,週刊少年ジャンプ,1
C110958,CE178199,2015-01-08,0.1820040899795501,False,週刊少年ジャンプ,2
C110958,CE178223,2015-01-15,0.2720156555772994,False,週刊少年ジャンプ,3
C110958,CE178245,2015-01-21,0.3213572854291417,False,週刊少年ジャンプ,4
C110958,CE178277,2015-01-28,0.2770137524557957,False,週刊少年ジャンプ,5
C110958,CE178301,2015-02-02,0.3513513513513513,False,週刊少年ジャンプ,6
C110958,CE178327,2015-02-09,0.4989648033126294,False,週刊少年ジャンプ,7
C110958,CE178346,2015-02-16,0.348643006263048,False,週刊少年ジャンプ,8
C110975,CE178108,2014-11-13,0.0068649885583524,False,週刊少年チャンピオン,1
C110975,CE178134,2014-11-20,0.3151927437641723,False,週刊少年チャンピオン,2
C110975,CE178160,2014-11-27,0.5192743764172335,False,週刊少年チャンピオン,3
C110975,CE181828,2014-12-04,0.3120728929384966,False,週刊少年チャンピオン,4
C110975,CE181847,2014-12-11,0.2121212121212121,False,週刊少年チャンピオン,5
C110975,CE181873,2014-12-25,0.2290249433106576,False,週刊少年チャンピオン,6
C110975,CE181897,2015-01-08,0.3286052009456264,False,週刊少年チャンピオン,7
C110975,CE181917,2015-01-15,0.2589073634204275,False,週刊少年チャンピオン,8
C110976,CE178129,2014-11-20,0.0068027210884353,False,週刊少年チャンピオン,1
C110976,CE178158,2014-11-27,0.3922902494331066,False,週刊少年チャンピオン,2
C110976,CE181832,2014-12-04,0.489749430523918,False,週刊少年チャンピオン,3
C110976,CE181860,2014-12-11,0.6596736596736597,False,週刊少年チャンピオン,4
C110976,CE181883,2014-12-25,0.6643990929705216,False,週刊少年チャンピオン,5
C110976,CE181908,2015-01-08,0.7825059101654847,False,週刊少年チャンピオン,6
C110976,CE181929,2015-01-15,0.8052256532066508,False,週刊少年チャンピオン,7
C110976,CE181948,2015-01-22,0.7040572792362768,False,週刊少年チャンピオン,8
C110978,CE178152,2014-11-27,0.0340136054421768,False,週刊少年チャンピオン,1
C110978,CE181823,2014-12-04,0.0888382687927107,False,週刊少年チャンピオン,2
C110978,CE181857,2014-12-11,0.5151515151515151,False,週刊少年チャンピオン,3
C110978,CE181882,2014-12-25,0.6145124716553289,False,週刊少年チャンピオン,4
C110978,CE181903,2015-01-08,0.574468085106383,False,週刊少年チャンピオン,5
C110978,CE181921,2015-01-15,0.4156769596199525,False,週刊少年チャンピオン,6
C110978,CE181938,2015-01-22,0.2553699284009546,False,週刊少年チャンピオン,7
C110978,CE181974,2015-01-29,0.7494089834515366,False,週刊少年チャンピオン,8
C110985,CE180446,2014-12-03,0.0334645669291338,False,週刊少年サンデー,1
C110985,CE180474,2014-12-10,0.1524390243902439,False,週刊少年サンデー,2
C110985,CE180504,2014-12-24,0.3315217391304347,False,週刊少年サンデー,3
C110985,CE180531,2015-01-07,0.1988847583643122,False,週刊少年サンデー,4
C110985,CE180558,2015-01-14,0.1219008264462809,False,週刊少年サンデー,5
C110985,CE180594,2015-01-21,0.2710084033613445,False,週刊少年サンデー,6
C110985,CE180618,2015-01-28,0.074,False,週刊少年サンデー,7
C110985,CE180651,2015-02-04,0.1957364341085271,False,週刊少年サンデー,8
C110987,CE180473,2014-12-10,0.0304878048780487,False,週刊少年サンデー,1
C110987,CE180501,2014-12-24,0.1793478260869565,False,週刊少年サンデー,2
C110987,CE180532,2015-01-07,0.2360594795539033,False,週刊少年サンデー,3
C110987,CE180567,2015-01-14,0.365702479338843,False,週刊少年サンデー,4
C110987,CE180595,2015-01-21,0.3130252100840336,False,週刊少年サンデー,5
C110987,CE180629,2015-01-28,0.442,False,週刊少年サンデー,6
C110987,CE180653,2015-02-04,0.2732558139534883,False,週刊少年サンデー,7
C110987,CE180698,2015-02-11,0.7151639344262295,False,週刊少年サンデー,8
C110989,CE180499,2014-12-24,0.0452898550724637,False,週刊少年サンデー,1
C110989,CE180528,2015-01-07,0.0762081784386617,False,週刊少年サンデー,2
C110989,CE180559,2015-01-14,0.1632231404958677,False,週刊少年サンデー,3
C110989,CE180588,2015-01-21,0.0735294117647058,False,週刊少年サンデー,4
C110989,CE180621,2015-01-28,0.158,False,週刊少年サンデー,5
C110989,CE180647,2015-02-04,0.0562015503875969,False,週刊少年サンデー,6
C110989,CE180688,2015-02-11,0.3463114754098361,False,週刊少年サンデー,7
C110989,CE180719,2015-02-18,0.4216101694915254,False,週刊少年サンデー,8
C110993,CE179274,2015-01-15,0.0185185185185185,False,週刊少年マガジン,1
C110993,CE179302,2015-01-22,0.0852534562211981,False,週刊少年マガジン,2
C110993,CE179335,2015-01-29,0.4638009049773756,False,週刊少年マガジン,3
C110993,CE179350,2015-02-04,0.0919282511210762,False,週刊少年マガジン,4
C110993,CE179386,2015-02-11,0.3941441441441441,False,週刊少年マガジン,5
C110993,CE179424,2015-02-18,0.9004629629629629,False,週刊少年マガジン,6
C110993,CE179438,2015-02-25,0.46,False,週刊少年マガジン,7
C110993,CE179439,2015-02-25,0.5088888888888888,False,週刊少年マガジン,8
C110995,CE181913,2015-01-15,0.01187648456057,False,週刊少年チャンピオン,1
C110995,CE181937,2015-01-22,0.198090692124105,False,週刊少年チャンピオン,2
C110995,CE181968,2015-01-29,0.4657210401891253,False,週刊少年チャンピオン,3
C110995,CE181986,2015-02-05,0.269689737470167,False,週刊少年チャンピオン,4
C110995,CE182020,2015-02-12,0.7708830548926014,False,週刊少年チャンピオン,5
C110995,CE182041,2015-02-19,0.7314148681055156,False,週刊少年チャンピオン,6
C110995,CE182061,2015-02-26,0.52,False,週刊少年チャンピオン,7
C110995,CE182078,2015-03-05,0.2887828162291169,False,週刊少年チャンピオン,8
C110998,CE181964,2015-01-29,0.3806146572104019,False,週刊少年チャンピオン,1
C110998,CE181965,2015-01-29,0.3900709219858156,False,週刊少年チャンピオン,2
C110998,CE181966,2015-01-29,0.3995271867612293,False,週刊少年チャンピオン,3
C110998,CE181987,2015-02-05,0.3174224343675417,False,週刊少年チャンピオン,4
C110998,CE182015,2015-02-12,0.5608591885441527,False,週刊少年チャンピオン,5
C110998,CE182028,2015-02-19,0.1510791366906475,False,週刊少年チャンピオン,6
C110998,CE182054,2015-02-26,0.3176470588235294,False,週刊少年チャンピオン,7
C110998,CE182091,2015-03-05,0.8568019093078759,False,週刊少年チャンピオン,8
C111000,CE181995,2015-02-05,0.6372315035799523,False,週刊少年チャンピオン,1
C111000,CE182023,2015-02-12,0.8997613365155132,False,週刊少年チャンピオン,2
C111000,CE182047,2015-02-19,0.947242206235012,False,週刊少年チャンピオン,3
C111000,CE182069,2015-02-26,0.9152941176470588,False,週刊少年チャンピオン,4
C111000,CE182090,2015-03-05,0.8090692124105012,False,週刊少年チャンピオン,5
C111000,CE182117,2015-03-12,0.9477434679334916,False,週刊少年チャンピオン,6
C111000,CE182138,2015-03-19,0.8859857482185273,False,週刊少年チャンピオン,7
C111000,CE182159,2015-03-26,0.9477434679334916,False,週刊少年チャンピオン,8
C111002,CE182005,2015-02-12,0.0119331742243436,False,週刊少年チャンピオン,1
C111002,CE182033,2015-02-19,0.3525179856115107,False,週刊少年チャンピオン,2
C111002,CE182063,2015-02-26,0.6141176470588235,False,週刊少年チャンピオン,3
C111002,CE182083,2015-03-05,0.513126491646778,False,週刊少年チャンピオン,4
C111002,CE182107,2015-03-12,0.5676959619952494,False,週刊少年チャンピオン,5
C111002,CE182125,2015-03-19,0.344418052256532,False,週刊少年チャンピオン,6
C111002,CE182152,2015-03-26,0.5961995249406176,False,週刊少年チャンピオン,7
C111002,CE182173,2015-04-02,0.645083932853717,False,週刊少年チャンピオン,8
C111004,CE180533,2015-01-07,0.2769516728624535,False,週刊少年サンデー,1
C111004,CE180534,2015-01-07,0.2918215613382899,False,週刊少年サンデー,2
C111004,CE180561,2015-01-14,0.2334710743801653,False,週刊少年サンデー,3
C111004,CE180562,2015-01-14,0.25,False,週刊少年サンデー,4
C111004,CE180606,2015-01-21,0.6869747899159664,False,週刊少年サンデー,5
C111004,CE180607,2015-01-21,0.7037815126050421,False,週刊少年サンデー,6
C111004,CE180633,2015-01-28,0.63,False,週刊少年サンデー,7
C111004,CE180664,2015-02-04,0.625968992248062,False,週刊少年サンデー,8
C111005,CE180557,2015-01-14,0.006198347107438,False,週刊少年サンデー,1
C111005,CE180593,2015-01-21,0.1995798319327731,False,週刊少年サンデー,2
C111005,CE180623,2015-01-28,0.23,False,週刊少年サンデー,3
C111005,CE180650,2015-02-04,0.1453488372093023,False,週刊少年サンデー,4
C111005,CE180690,2015-02-11,0.3995901639344262,False,週刊少年サンデー,5
C111005,CE180708,2015-02-18,0.0656779661016949,False,週刊少年サンデー,6
C111005,CE180741,2015-02-25,0.2035573122529644,False,週刊少年サンデー,7
C111005,CE180775,2015-03-04,0.4004237288135593,False,週刊少年サンデー,8
C111006,CE180592,2015-01-21,0.1743697478991596,False,週刊少年サンデー,1
C111006,CE180628,2015-01-28,0.43,False,週刊少年サンデー,2
C111006,CE180649,2015-02-04,0.1337209302325581,False,週刊少年サンデー,3
C111006,CE180689,2015-02-11,0.3872950819672131,False,週刊少年サンデー,4
C111006,CE180712,2015-02-18,0.2012711864406779,False,週刊少年サンデー,5
C111006,CE180756,2015-02-25,0.7569169960474308,False,週刊少年サンデー,6
C111006,CE180789,2015-03-04,0.8665254237288136,False,週刊少年サンデー,7
C111006,CE180817,2015-03-11,0.7589641434262948,False,週刊少年サンデー,8
C111010,CE180795,2015-03-11,0.0059760956175298,False,週刊少年サンデー,1
C111010,CE180827,2015-03-18,0.0637065637065637,False,週刊少年サンデー,2
C111010,CE180861,2015-03-25,0.1540084388185654,False,週刊少年サンデー,3
C111010,CE180890,2015-04-01,0.1118143459915611,False,週刊少年サンデー,4
C111010,CE180919,2015-04-08,0.1036585365853658,False,週刊少年サンデー,5
C111010,CE180953,2015-04-15,0.2975708502024291,False,週刊少年サンデー,6
C111010,CE180977,2015-04-22,0.0711538461538461,False,週刊少年サンデー,7
C111010,CE181007,2015-04-29,0.0208333333333333,False,週刊少年サンデー,8
C111020,CE178361,2015-02-23,0.0196936542669584,False,週刊少年ジャンプ,1
C111020,CE178382,2015-03-02,0.2651356993736952,False,週刊少年ジャンプ,2
C111020,CE178407,2015-03-09,0.4905263157894737,False,週刊少年ジャンプ,3
C111020,CE178429,2015-03-16,0.5723014256619144,False,週刊少年ジャンプ,4
C111020,CE178448,2015-03-23,0.4630021141649049,False,週刊少年ジャンプ,5
C111020,CE178474,2015-03-30,0.6645702306079665,False,週刊少年ジャンプ,6
C111020,CE178490,2015-04-06,0.3836477987421384,False,週刊少年ジャンプ,7
C111020,CE178511,2015-04-13,0.3427991886409736,False,週刊少年ジャンプ,8
C111023,CE178379,2015-03-02,0.0062630480167014,False,週刊少年ジャンプ,1
C111023,CE178402,2015-03-09,0.2631578947368421,False,週刊少年ジャンプ,2
C111023,CE178426,2015-03-16,0.4378818737270876,False,週刊少年ジャンプ,3
C111023,CE178452,2015-03-23,0.6194503171247357,False,週刊少年ジャンプ,4
C111023,CE178469,2015-03-30,0.3962264150943396,False,週刊少年ジャンプ,5
C111023,CE178492,2015-04-06,0.4675052410901467,False,週刊少年ジャンプ,6
C111023,CE178508,2015-04-13,0.2210953346855984,False,週刊少年ジャンプ,7
C111023,CE178537,2015-04-20,0.4777562862669245,False,週刊少年ジャンプ,8
C111025,CE178419,2015-03-16,0.0061099796334012,False,週刊少年ジャンプ,1
C111025,CE178443,2015-03-23,0.2093023255813953,False,週刊少年ジャンプ,2
C111025,CE178467,2015-03-30,0.3039832285115304,False,週刊少年ジャンプ,3
C111025,CE178495,2015-04-06,0.6477987421383647,False,週刊少年ジャンプ,4
C111025,CE178513,2015-04-13,0.4320486815415821,False,週刊少年ジャンプ,5
C111025,CE178544,2015-04-20,0.8181818181818182,False,週刊少年ジャンプ,6
C111025,CE178561,2015-04-27,0.6204690831556503,False,週刊少年ジャンプ,7
C111025,CE178584,2015-05-04,0.7463617463617463,False,週刊少年ジャンプ,8
C111032,CE179390,2015-02-11,0.5382882882882883,False,週刊少年マガジン,1
C111032,CE179418,2015-02-18,0.7060185185185185,False,週刊少年マガジン,2
C111032,CE179443,2015-02-25,0.6555555555555556,False,週刊少年マガジン,3
C111032,CE179470,2015-03-04,0.6581395348837209,False,週刊少年マガジン,4
C111032,CE179493,2015-03-11,0.672093023255814,False,週刊少年マガジン,5
C111032,CE179520,2015-03-18,0.8263888888888888,False,週刊少年マガジン,6
C111032,CE179549,2015-03-25,0.8595238095238096,False,週刊少年マガジン,7
C111032,CE179556,2015-04-01,0.1794258373205741,False,週刊少年マガジン,8
C111048,CE179558,2015-04-01,0.2607655502392344,False,週刊少年マガジン,1
C111048,CE179559,2015-04-01,0.2799043062200957,False,週刊少年マガジン,2
C111048,CE179560,2015-04-01,0.2942583732057416,False,週刊少年マガジン,3
C111048,CE179585,2015-04-08,0.3940092165898617,False,週刊少年マガジン,4
C111048,CE179586,2015-04-08,0.4078341013824885,False,週刊少年マガジン,5
C111048,CE179606,2015-04-15,0.1700680272108843,False,週刊少年マガジン,6
C111048,CE179607,2015-04-15,0.1836734693877551,False,週刊少年マガジン,7
C111048,CE179636,2015-04-22,0.3819444444444444,False,週刊少年マガジン,8
C111051,CE182141,2015-03-26,0.0166270783847981,False,週刊少年チャンピオン,1
C111051,CE182167,2015-04-02,0.3381294964028777,False,週刊少年チャンピオン,2
C111051,CE182195,2015-04-09,0.6359338061465721,False,週刊少年チャンピオン,3
C111051,CE182218,2015-04-16,0.6926713947990544,False,週刊少年チャンピオン,4
C111051,CE182239,2015-04-23,0.6579572446555819,False,週刊少年チャンピオン,5
C111051,CE182257,2015-05-07,0.4726840855106888,False,週刊少年チャンピオン,6
C111051,CE182283,2015-05-14,0.672209026128266,False,週刊少年チャンピオン,7
C111051,CE182301,2015-05-21,0.4682352941176471,False,週刊少年チャンピオン,8
C111053,CE182178,2015-04-02,0.8800959232613909,False,週刊少年チャンピオン,1
C111053,CE182196,2015-04-09,0.6973995271867612,False,週刊少年チャンピオン,2
C111053,CE182224,2015-04-16,0.9763593380614656,False,週刊少年チャンピオン,3
C111053,CE182245,2015-04-23,0.9239904988123516,False,週刊少年チャンピオン,4
C111053,CE182263,2015-05-07,0.7719714964370546,False,週刊少年チャンピオン,5
C111053,CE182289,2015-05-14,0.9334916864608076,False,週刊少年チャンピオン,6
C111053,CE182305,2015-05-21,0.6564705882352941,False,週刊少年チャンピオン,7
C111053,CE182329,2015-05-28,0.9239904988123516,False,週刊少年チャンピオン,8
C111058,CE180918,2015-04-08,0.0101626016260162,False,週刊少年サンデー,1
C111058,CE180948,2015-04-15,0.0870445344129554,False,週刊少年サンデー,2
C111058,CE180980,2015-04-22,0.1596153846153846,False,週刊少年サンデー,3
C111058,CE181012,2015-04-29,0.2481060606060606,False,週刊少年サンデー,4
C111058,CE181046,2015-05-13,0.2912423625254582,False,週刊少年サンデー,5
C111058,CE181074,2015-05-20,0.1632231404958677,False,週刊少年サンデー,6
C111058,CE181107,2015-05-27,0.3395061728395062,False,週刊少年サンデー,7
C111058,CE181132,2015-06-03,0.2315573770491803,False,週刊少年サンデー,8
C111059,CE180476,2014-12-10,0.2276422764227642,False,週刊少年サンデー,1
C111059,CE180506,2014-12-24,0.4021739130434782,False,週刊少年サンデー,2
C111059,CE180530,2015-01-07,0.1933085501858736,False,週刊少年サンデー,3
C111059,CE180566,2015-01-14,0.359504132231405,False,週刊少年サンデー,4
C111059,CE180590,2015-01-21,0.1512605042016806,False,週刊少年サンデー,5
C111059,CE184975,2015-12-23,0.6674107142857143,False,週刊少年サンデー,6
C111059,CE184996,2016-01-06,0.4953488372093023,False,週刊少年サンデー,7
C111059,CE185023,2016-01-20,0.5154867256637168,False,週刊少年サンデー,8
C111062,CE180925,2015-04-08,0.3211382113821138,False,週刊少年サンデー,1
C111062,CE180956,2015-04-15,0.4331983805668016,False,週刊少年サンデー,2
C111062,CE180982,2015-04-22,0.2615384615384615,False,週刊少年サンデー,3
C111062,CE181018,2015-04-29,0.4583333333333333,False,週刊少年サンデー,4
C111062,CE181068,2015-05-13,0.9979633401221996,False,週刊少年サンデー,5
C111062,CE181071,2015-05-20,0.0867768595041322,False,週刊少年サンデー,6
C111062,CE181108,2015-05-27,0.3868312757201646,False,週刊少年サンデー,7
C111062,CE181133,2015-06-03,0.2704918032786885,False,週刊少年サンデー,8
C111063,CE179630,2015-04-22,0.0254629629629629,False,週刊少年マガジン,1
C111063,CE179658,2015-04-29,0.0902777777777777,False,週刊少年マガジン,2
C111063,CE179692,2015-05-13,0.4334677419354839,False,週刊少年マガジン,3
C111063,CE179720,2015-05-20,0.4144736842105263,False,週刊少年マガジン,4
C111063,CE179754,2015-05-27,0.6921397379912664,False,週刊少年マガジン,5
C111063,CE179769,2015-06-03,0.2356828193832599,False,週刊少年マガジン,6
C111063,CE179770,2015-06-03,0.2797356828193832,False,週刊少年マガジン,7
C111063,CE179809,2015-06-10,0.8406113537117904,False,週刊少年マガジン,8
C111076,CE181011,2015-04-29,0.168560606060606,False,週刊少年サンデー,1
C111076,CE181043,2015-05-13,0.164969450101833,False,週刊少年サンデー,2
C111076,CE181076,2015-05-20,0.2417355371900826,False,週刊少年サンデー,3
C111076,CE181105,2015-05-27,0.2654320987654321,False,週刊少年サンデー,4
C111076,CE181136,2015-06-03,0.3504098360655737,False,週刊少年サンデー,5
C111076,CE181168,2015-06-10,0.4323770491803279,False,週刊少年サンデー,6
C111076,CE181196,2015-06-17,0.2883817427385892,False,週刊少年サンデー,7
C111076,CE181232,2015-06-24,0.4654471544715447,False,週刊少年サンデー,8
C111077,CE178612,2015-05-25,0.0062111801242236,False,週刊少年ジャンプ,1
C111077,CE178635,2015-06-01,0.2565656565656565,False,週刊少年ジャンプ,2
C111077,CE178661,2015-06-08,0.5149105367793241,False,週刊少年ジャンプ,3
C111077,CE178679,2015-06-15,0.3108910891089109,False,週刊少年ジャンプ,4
C111077,CE178703,2015-06-22,0.281947261663286,False,週刊少年ジャンプ,5
C111077,CE178726,2015-06-29,0.2957746478873239,False,週刊少年ジャンプ,6
