パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名,価格%1000,メーカー名
M727693,1986-11-21,4900.0,ファミリーコンピュータ,900.0,任天堂
M727692,1986-11-26,3900.0,ファミリーコンピュータ,900.0,任天堂
M727691,1986-11-27,4500.0,ファミリーコンピュータ,500.0,任天堂
M727690,1986-11-28,4900.0,ファミリーコンピュータ,900.0,任天堂
M727688,1986-12-05,5500.0,ファミリーコンピュータ,500.0,任天堂
M727689,1986-12-05,4900.0,ファミリーコンピュータ,900.0,任天堂
M727686,1986-12-10,5300.0,ファミリーコンピュータ,300.0,任天堂
M727687,1986-12-10,3900.0,ファミリーコンピュータ,900.0,任天堂
M727685,1986-12-11,5000.0,ファミリーコンピュータ,0.0,任天堂
M727684,1986-12-13,2980.0,ファミリーコンピュータ,980.0,任天堂
M727683,1986-12-16,3900.0,ファミリーコンピュータ,900.0,任天堂
M727682,1986-12-18,5300.0,ファミリーコンピュータ,300.0,任天堂
M727680,1986-12-19,3400.0,ファミリーコンピュータ,400.0,任天堂
M727681,1986-12-19,2600.0,ファミリーコンピュータ,600.0,任天堂
M727678,1986-12-24,5500.0,ファミリーコンピュータ,500.0,任天堂
M727677,1986-12-25,2980.0,ファミリーコンピュータ,980.0,任天堂
M727676,1986-12-25,4900.0,ファミリーコンピュータ,900.0,任天堂
M727675,1986-12-26,4900.0,ファミリーコンピュータ,900.0,任天堂
M727660,1987-01-04,5300.0,ファミリーコンピュータ,300.0,任天堂
M727659,1987-01-07,4900.0,ファミリーコンピュータ,900.0,任天堂
M727658,1987-01-07,4900.0,ファミリーコンピュータ,900.0,任天堂
M727657,1987-01-14,2600.0,ファミリーコンピュータ,600.0,任天堂
M727656,1987-01-26,5500.0,ファミリーコンピュータ,500.0,任天堂
M727655,1987-02-14,5500.0,ファミリーコンピュータ,500.0,任天堂
M727654,1987-02-26,5800.0,ファミリーコンピュータ,800.0,任天堂
M727653,1987-02-27,5500.0,ファミリーコンピュータ,500.0,任天堂
M727652,1987-03-05,3100.0,ファミリーコンピュータ,100.0,任天堂
M727651,1987-03-06,5300.0,ファミリーコンピュータ,300.0,任天堂
M727650,1987-03-14,4900.0,ファミリーコンピュータ,900.0,任天堂
M727649,1987-03-18,5300.0,ファミリーコンピュータ,300.0,任天堂
M727648,1987-03-27,3500.0,ファミリーコンピュータ,500.0,任天堂
M727647,1987-04-02,4900.0,ファミリーコンピュータ,900.0,任天堂
M727646,1987-04-10,4200.0,ファミリーコンピュータ,200.0,任天堂
M727645,1987-04-14,5500.0,ファミリーコンピュータ,500.0,任天堂
M727644,1987-04-14,5500.0,ファミリーコンピュータ,500.0,任天堂
M727643,1987-04-17,5300.0,ファミリーコンピュータ,300.0,任天堂
M727642,1987-04-24,3300.0,ファミリーコンピュータ,300.0,任天堂
M727641,1987-04-24,2980.0,ファミリーコンピュータ,980.0,任天堂
M727640,1987-04-29,5000.0,SEGAマーク3,0.0,セガ
M727639,1987-06-05,5500.0,ファミリーコンピュータ,500.0,任天堂
M727638,1987-06-12,5300.0,ファミリーコンピュータ,300.0,任天堂
M727637,1987-06-19,2900.0,ファミリーコンピュータ,900.0,任天堂
M727636,1987-06-26,5000.0,ファミリーコンピュータ,0.0,任天堂
M727635,1987-06-26,5500.0,ファミリーコンピュータ,500.0,任天堂
M727634,1987-06-27,5800.0,ファミリーコンピュータ,800.0,任天堂
M727633,1987-06-27,5800.0,ファミリーコンピュータ,800.0,任天堂
M727632,1987-06-30,5500.0,ファミリーコンピュータ,500.0,任天堂
M727630,1987-07-10,2980.0,ファミリーコンピュータ,980.0,任天堂
M728031,1987-07-17,4900.0,ファミリーコンピュータ,900.0,任天堂
M727629,1987-07-20,5300.0,ファミリーコンピュータ,300.0,任天堂
M727628,1987-07-30,7500.0,ファミリーコンピュータ,500.0,任天堂
M727627,1987-07-31,4900.0,ファミリーコンピュータ,900.0,任天堂
M727626,1987-08-10,5500.0,ファミリーコンピュータ,500.0,任天堂
M727624,1987-08-11,3900.0,ファミリーコンピュータ,900.0,任天堂
M727625,1987-08-11,2500.0,ファミリーコンピュータ,500.0,任天堂
M727623,1987-08-28,2980.0,ファミリーコンピュータ,980.0,任天堂
M727622,1987-09-04,2600.0,ファミリーコンピュータ,600.0,任天堂
M727621,1987-09-11,4900.0,ファミリーコンピュータ,900.0,任天堂
M727620,1987-10-09,5900.0,ファミリーコンピュータ,900.0,任天堂
M727619,1987-10-20,5300.0,ファミリーコンピュータ,300.0,任天堂
M727618,1987-10-21,2980.0,ファミリーコンピュータ,980.0,任天堂
M727617,1987-10-26,5800.0,ファミリーコンピュータ,800.0,任天堂
M727616,1987-10-30,3900.0,ファミリーコンピュータ,900.0,任天堂
M727612,1987-11-06,4900.0,ファミリーコンピュータ,900.0,任天堂
M727613,1987-11-06,3900.0,ファミリーコンピュータ,900.0,任天堂
M727611,1987-11-16,5900.0,ファミリーコンピュータ,900.0,任天堂
M727609,1987-11-27,4900.0,ファミリーコンピュータ,900.0,任天堂
M727608,1987-11-29,2980.0,ファミリーコンピュータ,980.0,任天堂
M727606,1987-12-04,5300.0,ファミリーコンピュータ,300.0,任天堂
M727605,1987-12-04,5300.0,ファミリーコンピュータ,300.0,任天堂
M727604,1987-12-04,4900.0,ファミリーコンピュータ,900.0,任天堂
M727603,1987-12-09,5500.0,ファミリーコンピュータ,500.0,任天堂
M727601,1987-12-11,5500.0,ファミリーコンピュータ,500.0,任天堂
M727600,1987-12-11,5300.0,ファミリーコンピュータ,300.0,任天堂
M727602,1987-12-11,3900.0,ファミリーコンピュータ,900.0,任天堂
M727598,1987-12-12,4900.0,ファミリーコンピュータ,900.0,任天堂
M727597,1987-12-16,7980.0,ファミリーコンピュータ,980.0,任天堂
M727596,1987-12-18,5500.0,ファミリーコンピュータ,500.0,任天堂
M727595,1987-12-18,5900.0,ファミリーコンピュータ,900.0,任天堂
M727593,1987-12-22,3900.0,ファミリーコンピュータ,900.0,任天堂
M727592,1987-12-22,5500.0,ファミリーコンピュータ,500.0,任天堂
M727591,1987-12-22,5300.0,ファミリーコンピュータ,300.0,任天堂
M727590,1987-12-25,5500.0,ファミリーコンピュータ,500.0,任天堂
M727589,1987-12-26,5500.0,ファミリーコンピュータ,500.0,任天堂
M727563,1988-01-06,3900.0,ファミリーコンピュータ,900.0,任天堂
M727562,1988-01-07,5900.0,ファミリーコンピュータ,900.0,任天堂
M727559,1988-02-10,5900.0,ファミリーコンピュータ,900.0,任天堂
M727558,1988-02-16,3300.0,ファミリーコンピュータ,300.0,任天堂
M727557,1988-02-18,9800.0,ファミリーコンピュータ,800.0,任天堂
M727556,1988-02-26,5500.0,ファミリーコンピュータ,500.0,任天堂
M727555,1988-03-04,5500.0,ファミリーコンピュータ,500.0,任天堂
M727553,1988-03-17,5500.0,ファミリーコンピュータ,500.0,任天堂
M727552,1988-03-18,5500.0,ファミリーコンピュータ,500.0,任天堂
M727551,1988-03-18,9800.0,ファミリーコンピュータ,800.0,任天堂
M727549,1988-03-26,5700.0,ファミリーコンピュータ,700.0,任天堂
M727548,1988-03-28,5800.0,ファミリーコンピュータ,800.0,任天堂
M727547,1988-03-30,5800.0,ファミリーコンピュータ,800.0,任天堂
M727546,1988-04-05,5500.0,ファミリーコンピュータ,500.0,任天堂
M727545,1988-04-08,5800.0,ファミリーコンピュータ,800.0,任天堂
M727544,1988-04-15,5500.0,ファミリーコンピュータ,500.0,任天堂
M727543,1988-04-15,3300.0,ファミリーコンピュータ,300.0,任天堂
M727542,1988-04-22,3200.0,ファミリーコンピュータ,200.0,任天堂
M727540,1988-04-28,5500.0,ファミリーコンピュータ,500.0,任天堂
M727539,1988-04-28,5500.0,ファミリーコンピュータ,500.0,任天堂
M727538,1988-05-13,5900.0,ファミリーコンピュータ,900.0,任天堂
M727536,1988-05-27,5900.0,ファミリーコンピュータ,900.0,任天堂
M727535,1988-05-27,5300.0,ファミリーコンピュータ,300.0,任天堂
M727534,1988-05-27,5900.0,ファミリーコンピュータ,900.0,任天堂
M727532,1988-06-24,4900.0,ファミリーコンピュータ,900.0,任天堂
M727530,1988-06-27,5800.0,ファミリーコンピュータ,800.0,任天堂
M727528,1988-07-15,5800.0,ファミリーコンピュータ,800.0,任天堂
M727527,1988-07-15,5800.0,ファミリーコンピュータ,800.0,任天堂
M727525,1988-07-21,5900.0,ファミリーコンピュータ,900.0,任天堂
M727524,1988-07-22,3900.0,ファミリーコンピュータ,900.0,任天堂
M727523,1988-07-26,5800.0,ファミリーコンピュータ,800.0,任天堂
M727522,1988-07-29,6900.0,ファミリーコンピュータ,900.0,任天堂
M727521,1988-08-12,5800.0,ファミリーコンピュータ,800.0,任天堂
M727520,1988-08-12,5200.0,ファミリーコンピュータ,200.0,任天堂
M727518,1988-08-12,5500.0,ファミリーコンピュータ,500.0,任天堂
M727519,1988-08-12,5800.0,ファミリーコンピュータ,800.0,任天堂
M727516,1988-08-26,5500.0,ファミリーコンピュータ,500.0,任天堂
M727513,1988-09-21,5800.0,ファミリーコンピュータ,800.0,任天堂
M727510,1988-10-11,5900.0,ファミリーコンピュータ,900.0,任天堂
M727508,1988-10-21,4900.0,ファミリーコンピュータ,900.0,任天堂
M727507,1988-10-23,6500.0,ファミリーコンピュータ,500.0,任天堂
M727506,1988-10-29,5800.0,メガドライブ,800.0,セガ
M749502,1988-10-29,5800.0,メガドライブ,800.0,セガ
M727505,1988-10-30,9800.0,ファミリーコンピュータ,800.0,任天堂
M727503,1988-11-10,5800.0,ファミリーコンピュータ,800.0,任天堂
M727501,1988-11-25,4900.0,ファミリーコンピュータ,900.0,任天堂
M727500,1988-11-27,5800.0,メガドライブ,800.0,セガ
M727499,1988-12-02,5800.0,ファミリーコンピュータ,800.0,任天堂
M727495,1988-12-16,5500.0,ファミリーコンピュータ,500.0,任天堂
M727493,1988-12-16,5900.0,ファミリーコンピュータ,900.0,任天堂
M727494,1988-12-16,5500.0,ファミリーコンピュータ,500.0,任天堂
M727491,1988-12-17,6500.0,ファミリーコンピュータ,500.0,任天堂
M727490,1988-12-20,4900.0,ファミリーコンピュータ,900.0,任天堂
M727489,1988-12-22,4900.0,ファミリーコンピュータ,900.0,任天堂
M746329,1988-12-24,5500.0,メガドライブ,500.0,セガ
M727486,1988-12-24,6800.0,ファミリーコンピュータ,800.0,任天堂
M727465,1989-01-20,5900.0,ファミリーコンピュータ,900.0,任天堂
M727464,1989-01-27,5900.0,ファミリーコンピュータ,900.0,任天堂
M727463,1989-01-30,6500.0,ファミリーコンピュータ,500.0,任天堂
M727462,1989-02-09,4900.0,ファミリーコンピュータ,900.0,任天堂
M745178,1989-02-10,5500.0,メガドライブ,500.0,セガ
M727460,1989-02-11,5900.0,ファミリーコンピュータ,900.0,任天堂
M727459,1989-02-15,6500.0,ファミリーコンピュータ,500.0,任天堂
M727458,1989-02-17,6900.0,ファミリーコンピュータ,900.0,任天堂
M727457,1989-02-21,6500.0,ファミリーコンピュータ,500.0,任天堂
M727455,1989-02-28,5900.0,ファミリーコンピュータ,900.0,任天堂
M727453,1989-03-03,5900.0,ファミリーコンピュータ,900.0,任天堂
M727449,1989-03-17,5900.0,ファミリーコンピュータ,900.0,任天堂
M727450,1989-03-17,5900.0,ファミリーコンピュータ,900.0,任天堂
M727445,1989-03-21,8800.0,メガドライブ,800.0,セガ
M727442,1989-03-28,5800.0,ファミリーコンピュータ,800.0,任天堂
M727440,1989-03-31,5800.0,ファミリーコンピュータ,800.0,任天堂
M727439,1989-03-31,5900.0,ファミリーコンピュータ,900.0,任天堂
M727441,1989-03-31,9800.0,ファミリーコンピュータ,800.0,任天堂
M727433,1989-04-18,6500.0,ファミリーコンピュータ,500.0,任天堂
M727432,1989-04-20,9800.0,ファミリーコンピュータ,800.0,任天堂
M727427,1989-04-21,2600.0,ゲームボーイ,600.0,任天堂
M727431,1989-04-21,2600.0,ゲームボーイ,600.0,任天堂
M727430,1989-04-21,2600.0,ゲームボーイ,600.0,任天堂
M727426,1989-04-22,5800.0,メガドライブ,800.0,セガ
M727425,1989-04-25,5900.0,ファミリーコンピュータ,900.0,任天堂
M727424,1989-04-27,5200.0,ファミリーコンピュータ,200.0,任天堂
M727422,1989-04-29,6800.0,メガドライブ,800.0,セガ
M727421,1989-05-01,6000.0,ファミリーコンピュータ,0.0,任天堂
M727420,1989-05-19,5900.0,ファミリーコンピュータ,900.0,任天堂
M727419,1989-05-19,5900.0,ファミリーコンピュータ,900.0,任天堂
M727417,1989-05-26,5900.0,ファミリーコンピュータ,900.0,任天堂
M727416,1989-05-29,2600.0,ゲームボーイ,600.0,任天堂
M751832,1989-06-14,2600.0,ゲームボーイ,600.0,任天堂
M727413,1989-06-15,6800.0,メガドライブ,800.0,セガ
M727411,1989-06-23,5500.0,ファミリーコンピュータ,500.0,任天堂
M727409,1989-06-25,6800.0,ファミリーコンピュータ,800.0,任天堂
M727408,1989-06-27,4900.0,ファミリーコンピュータ,900.0,任天堂
M765822,1989-07-01,6000.0,メガドライブ,0.0,セガ
M727402,1989-07-14,5800.0,ファミリーコンピュータ,800.0,任天堂
M727401,1989-07-14,5900.0,ファミリーコンピュータ,900.0,任天堂
M727399,1989-07-18,5900.0,ファミリーコンピュータ,900.0,任天堂
M727398,1989-07-21,6800.0,ファミリーコンピュータ,800.0,任天堂
M727397,1989-07-21,4900.0,ファミリーコンピュータ,900.0,任天堂
M727396,1989-07-25,5800.0,ファミリーコンピュータ,800.0,任天堂
M727393,1989-07-28,4900.0,ファミリーコンピュータ,900.0,任天堂
