mcname,ccname,cename,four_colored
週刊少年マガジン,DRAGON VOICE,FIRST STEP,True
週刊少年マガジン,Get Backers 奪還屋,無限城“IL”奪還作戦!,True
週刊少年マガジン,SAMURAI DEEPER KYO,死闘・玖の太刀,True
週刊少年マガジン,RAVE,永遠の絆,True
週刊少年マガジン,RAVE,番外編前編 ナイツ・オブ・キングダム,True
週刊少年マガジン,スノードルフィン,決戦,True
週刊少年マガジン,ラブひな,ひなた荘、最後の日!?,True
週刊少年マガジン,IDATEN,往来へ,True
週刊少年マガジン,金田一少年の事件簿,金田一少年の決死行,True
週刊少年マガジン,突撃め!第二少年工科学校,少年と少女の過去・未来/突撃め!国尾守!!,True
週刊少年マガジン,RAVE,憎しみの果てに,True
週刊少年マガジン,RAVE,第1回キャラ人気投票結果発表!,True
週刊少年マガジン,Hot Shot,因縁の始まり,True
週刊少年マガジン,Hot Shot,集中力,True
週刊少年マガジン,勝負師伝説 哲也 雀聖と呼ばれた男,その時何を感じた,True
週刊少年マガジン,GTO,蝉日記,True
週刊少年マガジン,サイコメトラーEIJI,罪と罰,True
週刊少年マガジン,はじめの一歩,倒れない理由,True
週刊少年マガジン,勝負師伝説 哲也 雀聖と呼ばれた男,逆転のポーカーフェイス,True
週刊少年マガジン,金田一少年の事件簿,ＴＨＥ　ＬＡＳＴ　ＣＡＳＥ　金田一少年の決死行　1,True
週刊少年マガジン,SAMURAI DEEPER KYO,其之五十八　戦友との再会,True
週刊少年マガジン,PEAK,ＰＩＴＣＨ．1　山屋の血,True
週刊少年マガジン,将太の寿司 全国大会編,第149話　そして未来へ!!　最終回,True
週刊少年マガジン,魁!!クロマティ高校,第一話　「不良上等」,True
週刊少年マガジン,勝負師伝説哲也－雀聖と呼ばれた男－　新宿激闘編,第138話◎プロの腕,True
週刊少年マガジン,ゴッドハンド輝,,True
週刊少年マガジン,勝負師伝説哲也－雀聖と呼ばれた男－　新宿激闘編,第137話◎玄人のいない新宿,True
週刊少年マガジン,RAVE,ＲＡＶＥ：50　結界の都,True
週刊少年マガジン,ラブひな,ＨＩＮＡＴＡ73．　萌えよ剣～その2～突然Ｈｏｌｄ　ｏｎ　ｍｅ,True
週刊少年マガジン,空の昴,,True
週刊少年マガジン,雷神 RISING,,True
週刊少年マガジン,金田一少年の事件簿,7〈解答編1〉,True
週刊少年マガジン,はじめの一歩,Ｒｏｕｎｄ481　英雄と奸雄,True
週刊少年マガジン,空の昴,ゴルフ・アスリート・ストーリー,True
週刊少年マガジン,SAMURAI DEEPER KYO,其之四十四　奥の手,True
週刊少年マガジン,勝負師伝説 哲也　～雀聖と呼ばれた男～,第130話◎海峡雀士,True
週刊少年マガジン,伊達グルーヴ,Ｇｒｏｏｖｅ1　初めての告白❤,True
週刊少年マガジン,RAVE,ＲＡＶＥ：38　運命のさざなみ,True
週刊少年マガジン,RAVE,特別番外編　プルーの特攻日記?,True
週刊少年マガジン,Get Backers 奪還屋,Ａｃｔ．6　無限城“ＩＬ”奪還作戦!　12,True
週刊少年マガジン,BOYS BE… L co-op,Report.1 L CO-OPしようよ!,True
週刊少年マガジン,無頼伝 涯,第1話　包囲網,True
週刊少年マガジン,シュート! 新たなる伝説,新たなる伝説スタート,True
週刊少年マガジン,スノードルフィン,Ｓｕｐｕｒ16　最終コーナー、回る,True
週刊少年マガジン,Get Backers 奪還屋,Ａｃｔ．6　無限城“ＩＬ”奪還作戦!8,True
週刊少年マガジン,泣くよ うぐいす,第25話　飛べ、うぐいす!?,True
週刊少年マガジン,銀の鼓動,第1話：幻のメルセデス,True
週刊少年マガジン,カメレオン,第430話　ＹＡＺＡＷＡ－ヤザワは続くよ、どこまでも!,True
週刊少年マガジン,GTO,Ｌｅｓｓｏｎ．124　世界で一番孤独なココロ,True
週刊少年マガジン,SAMURAI DEEPER KYO,其之三十二　三鬼神降臨,True
週刊少年マガジン,龍馬へ,第1話　母との約束,True
週刊少年マガジン,むしまろ!,第1匹　むしまろの旅立ち　／　弱肉強食メルヘン　,True
週刊少年マガジン,RAVE,ＲＡＶＥ：20　世界で一番冷たい雨,True
週刊少年マガジン,スノードルフィン,Ｓｐｕｒ．1　白馬の蒼き疾風,True
週刊少年マガジン,泣くよ うぐいす,第13話　炸裂!　幕一クリーンナップ,True
週刊少年マガジン,TEL ME TERUMI TELL ME,第一話：テルミ、地獄門に立つ!?,True
週刊少年マガジン,金田一少年の事件簿,露西亜人形殺人事件1　〈Ｃａｓｅ　5〉,True
週刊少年マガジン,はじめの一歩,Ｒｏｕｎｄ455　100％のフェイク,True
週刊少年マガジン,釣りに行こうぜ!!,第1話　伝説のモンスター・ゲッター,True
週刊少年マガジン,泣くよ うぐいす,第1話　うぐいす、号泣!!,True
週刊少年マガジン,勝負師伝説 哲也　～雀聖と呼ばれた男～,第95話◎鎌田の暗闇,True
週刊少年マガジン,RAVE,ＲＡＶＥ：1　ひらかれた地図,True
週刊少年マガジン,MMR,Ｔｈｅ　Ｌａｓｔ　Ｒｅｓｅａｒｃｈ　Ｃｏｕｎｔ．10　発覚,True
週刊少年マガジン,ラブひな,ＨＩＮＡＴＡ30．　決戦!　プリクラ男ＶＳ土偶娘,True
週刊少年マガジン,Get Backers 奪還屋,Ａｃｔ．3　奪還屋ＶＳ運び屋!　2,True
週刊少年マガジン,SAMURAI DEEPER KYO,其之一　壬生　京史郎,True
週刊少年マガジン,キムンカムイ,第2話　落伍する,True
週刊少年マガジン,ラブひな,ＨＩＮＡＴＡ13．夢の中へ,True
週刊少年マガジン,サイコメトラーEIJI,Ｂｒｅａｋ　26　ときめき大捜査線～Ｔｈｅ　Ｍａｎｇａ～[後編],True
週刊少年マガジン,High Life,STEP.1 カムイ,True
週刊少年マガジン,HARLEM　BEAT,■Ｓｔ．201　Ｗｈｏ　ｉｓ“Ｊ”?,True
週刊少年マガジン,MMR,緊急報告　第101の予言,True
週刊少年マガジン,POLICEMAN,第25話　Ｔｈｅ　Ｅｎｄ　Ｄａｒｋｎｅｓｓ1　抗争勃発,True
週刊少年マガジン,ラブひな,HINATA.1　ようこそ!ひなた荘へ,True
週刊少年マガジン,シュート! ～熱き挑戦～,,True
週刊少年マガジン,金田一少年の事件簿,Case3　天草財宝伝説殺人事件　1,True
週刊少年マガジン,MMR,1999第5の選択,True
週刊少年マガジン,人間凶器 カツオ!,ケンカ殺法その〔○37〕ワクワク温泉修行!!,True
週刊少年マガジン,G・HARD,第2部序章・悪霊の棲む山,True
週刊少年マガジン,勝負師伝説 哲也　～雀聖と呼ばれた男～,第48話　黒い敵意,True
週刊少年マガジン,Bigwaver,HEAT.1　謎のハワイアン・ボーイ,True
週刊少年マガジン,蒼き神話マルス,PERFECT BLUE1,True
週刊少年マガジン,POLICEMAN,第1話　美しき森の記憶①　少年とイヌワシ,True
週刊少年マガジン,MMR,1999年への秒読み前編,True
週刊少年マガジン,MAX太田,第1球　MAX無限大,True
週刊少年マガジン,DoctorK,Karte68　アメリカ決戦,True
週刊少年マガジン,Jドリーム 完全燃焼編,第1話　戦いの火蓋,True
週刊少年マガジン,シュート! ～熱き挑戦～,,True
週刊少年マガジン,サイコメトラーEIJI,CASE.8 屍の街6,True
週刊少年マガジン,G・HARD,序章 G・ゴースト・,True
週刊少年マガジン,MMR,海底遺跡の謎を追え!!前編,True
週刊少年マガジン,永遠の詩,第1話 ”蒼ざめた”スピード,True
週刊少年マガジン,BOYS BE… 2nd Season,Report.49 触感・快感Cooking　／　小さなしあわせカレンダー付き　／　通算300回突破記念!!ヒロイン大発表!!,True
週刊少年マガジン,人間凶器 カツオ!,ケンカ殺法その1 人間凶器誕生!!,True
週刊少年マガジン,シュート! ～熱き挑戦～,,True
週刊少年マガジン,はじめの一歩,Round.368 憤激,True
週刊少年マガジン,Jドリーム,番外編 1st Half 会いたい気持ち,True
週刊少年マガジン,金田一少年の事件簿,速水玲香誘拐殺人事件 解答編1,True
週刊少年マガジン,勝負師伝説 哲也　～雀聖と呼ばれた男～,第11話 勝負のアヤ,True
週刊少年マガジン,POLICEMAN,前編,True
週刊少年マガジン,真・中華一番,第三十六話 超点心大激突!,True
週刊少年マガジン,Shake Down,第1話 入学式,True
週刊少年マガジン,サイコメトラーEIJI,CASE.6 ユダの黙示録9,True
週刊少年マガジン,新・コータローまかりとおる! 柔道編,,True
週刊少年マガジン,シュート! ～蒼きめぐり逢い～,,True
週刊少年マガジン,サイコメトラーEIJI,CASE.6 ユダの黙示録5,True
週刊少年マガジン,BOYS BE… 2nd Season,Report.33 THE 僕たちのこだわり(ビーチ編),True
週刊少年マガジン,勝負師伝説 哲也　～雀聖と呼ばれた男～,第1話 岐れ道,True
週刊少年マガジン,ガチンコッ!,第7番 あ・うん〔○〕,True
週刊少年マガジン,HARLEM　BEAT,St.137 たとえ10%の確率でも,True
週刊少年マガジン,はじめの一歩,Round349 焦燥の連打,True
週刊少年マガジン,ガチンコッ!,第1番 その男、虚弱につき。,True
週刊少年マガジン,上を向いて歩こう,第1話  再会のマウンド,True
週刊少年マガジン,MMR,人類は自滅する!! 前編,True
週刊少年マガジン,GTO,,True
週刊少年マガジン,真・中華一番,第1話・ 夢を継ぐ者,True
週刊少年マガジン,将太の寿司,第197話 大年寺VS 将太、大詰め!!,True
週刊少年マガジン,金田一少年の事件簿,黒死蝶殺人事件10 解答編1,True
週刊少年マガジン,シュート! ～蒼きめぐり逢い～,番外編 蒼きめぐり逢い,True
週刊少年マガジン,蒼き神話マルス,第1話 軍神降誕,True
週刊少年マガジン,釣りに行こうよ,Cast.1 初めて会ったアイツ!,True
週刊少年マガジン,将太の寿司,第187話 カキを探せ!!,True
週刊少年マガジン,Dreams,第1話 最後のセレクション,True
週刊少年マガジン,サイコメトラーEIJI,CASE.2 時計仕掛けのリンゴ3,True
週刊少年マガジン,湘南純愛組!,番外編 BAD COMPANY2,True
週刊少年マガジン,DESPERADO,Chapter.1 Boy Meet a Guiter.,True
週刊少年マガジン,MMR,忍び寄る魔のテクノロジーとは!? 前編,True
週刊少年マガジン,サイコメトラーEIJI,CASE.1 殺人鬼メビウス1,True
週刊少年マガジン,1000年の疾風,第1話 秘伝書との出会い,True
週刊少年マガジン,金田一少年の事件簿,墓場島殺人事件 〈ファイル14〉 解答編1,True
週刊少年マガジン,HARLEM　BEAT,St.73 パスプラン,True
週刊少年マガジン,シュート!,,True
週刊少年マガジン,Jドリーム 飛翔編,第1話 パシリ屋登場,True
週刊少年マガジン,MMR,人類絶滅病原体あらわる!! 前編,True
週刊少年マガジン,ベストイレブン,GET1 超ストライカー・キスケ!!,True
週刊少年マガジン,HARLEM　BEAT,St.65 Fighting Spirit,True
週刊少年マガジン,心霊調査室 OFFICE麗,プロローグ 天使が家にやってきた!,True
週刊少年マガジン,湘南純愛組!,第236話・ マリアの胃袋,True
週刊少年マガジン,中華一番!,第一話 菊下楼を救え!!,True
週刊少年マガジン,将太の寿司,,True
週刊少年マガジン,金田一少年の事件簿,蝋人形城殺人事件12 解答編3,True
週刊少年マガジン,愛しているのに,二人羽織　／　パトラッシー　／　青春の汗　／　ガメラーズ　／　ライダー登場　／　整形する女　／　ちょっとBoys Be・・・　／　テロリスト　／　ガメラーズⅡ,True
週刊少年マガジン,ねむる前の悪夢,三丁目の海賊　／　ハワイかぶれの幽霊　／　牛乳バー　／　親切なヒグマ　／　仕事帰りのセイウチさん　／　お昼寝コウモリ　／　ネコの威嚇　／　あしかのサッカー　／　あんこうの安眠　／　なかよしカニ　／　美女とワニ　／　三丁目の海賊その2　／　やまあらし親子の愛　／　カンガルーの挑戦,True
週刊少年マガジン,湘南純愛組!,第220話 海神の宿るボード,True
週刊少年マガジン,FLIP!,,True
週刊少年マガジン,将太の寿司,第131話 締めの一品!!,True
週刊少年マガジン,新・コータローまかりとおる! 柔道編,常識やぶりの5枚表紙登場だ!!,True
週刊少年マガジン,Dr.Noguchi,常識やぶりの5枚表紙登場だ!!　／　第70話 酔っ払いの正体,True
週刊少年マガジン,マラソンマン,常識やぶりの5枚表紙登場だ!!　／　第93話 全日本大学駅伝開始!!,True
週刊少年マガジン,HARLEM　BEAT,常識やぶりの5枚表紙登場だ!!　／　St.40 LAST FIGHT,True
週刊少年マガジン,金田一少年の事件簿,タロット山荘殺人事件11,True
週刊少年マガジン,MMR,前編 悪魔の全人類改造計画とは!?,True
週刊少年マガジン,シバいたれタカ!,ゴング・1 タカ動く!!,True
週刊少年マガジン,イクミの秘密 潜在能力伝説!,第1話 潜在能力・・!,True
週刊少年マガジン,へなちょこ大作戦Z,表紙がもう1枚あるぞ!!　／　最強ネイキッドマシン　／　新製品　／　名人戦 第5局　／　新番組 冬将軍 対 はぶ,True
週刊少年マガジン,Let'sぬぷぬぷっ,驚異の3枚表紙　／　新デキナイ君　／　カニ電話の苦悩　／　不思議少女マリモちゃん　／　タクシーネコ　／　続タクシーネコ,True
週刊少年マガジン,シュート!,,True
週刊少年マガジン,スーパードクターＫ,カルテ327 突然変異,True
週刊少年マガジン,新・コータローまかりとおる! 柔道編,,True
週刊少年マガジン,MMR,前編 よみがえる1999ノストラダモス暗黒新予言!!　,True
週刊少年マガジン,魂の剣,血戦・壱 伝説の少年,True
週刊少年マガジン,金田一少年の事件簿,金田一少年の殺人1,True
週刊少年マガジン,日曜はダメよ かおるの小部屋,よくいるヤツ　／　転校生・牛子Ⅰ　／　転校生・牛子Ⅱ　／　手品　／　金魚,True
週刊少年マガジン,秘石戦記ストーンバスター!,No.7 復讐の狼,True
週刊少年マガジン,MMR,前編 1994神聖大予言　地球はすでに死滅している!?　,True
週刊少年マガジン,頭がビッグバン!!,第1話 アパートがビッグバン!!　,True
週刊少年マガジン,将太の寿司,第96話 藤吉、出る!!　,True
週刊少年マガジン,シュート!,番外編 久保義晴の伝説Ⅳ,True
週刊少年マガジン,秘石戦記ストーンバスター!,No.1 ふたりの少年ふたつの秘石,True
週刊少年マガジン,HARLEM　BEAT,St.1 You are the hero!　,True
週刊少年マガジン,BOYS BE…,Report.124 夏のプールは2人+1で!?,True
週刊少年マガジン,MAYA-真夜中の少女-,第1章 瞳のなかの未来,True
週刊少年マガジン,人間だってアニモー,NATURE.1 ロシアから来た男!!　,True
週刊少年マガジン,MMR,前編 地底王国からの破滅の囁きとは!?,True
週刊少年マガジン,学校の怖い噂,第6話 謎のRPGの噂（前編）,True
週刊少年マガジン,将太の寿司,第78話  マグロ・トロ勝負,True
週刊少年マガジン,A・Iが止まらない,"Program,1 呼ばれて、飛び出て、ジャンジャカジャ～ン",True
週刊少年マガジン,学校の怖い噂,第1話 デビットの噂,True
週刊少年マガジン,シュート!,番外編 久保義晴の伝説Ⅲ,True
週刊少年マガジン,MMR,前編 1999戦慄の占星術大予言とは!?　,True
週刊少年マガジン,金田一少年の事件簿,函館 異人館ホテル殺人事件1,True
週刊少年マガジン,Dr.Noguchi,第1話 東北の地にて,True
週刊少年マガジン,金田一少年の事件簿,悲恋湖伝説殺人事件1　,True
週刊少年マガジン,覇王伝説驍 不死鳥編,第1話 恐怖の世ふたたび!　,True
週刊少年マガジン,コータローまかりとおる!,,True
週刊少年マガジン,MMR,前編 心霊現象が警告する悪夢とは!?　,True
週刊少年マガジン,金田一少年の事件簿,秘宝島殺人事件4　,True
週刊少年マガジン,カメレオン,第159話 YAZAWA・マイトガイ,True
週刊少年マガジン,だからキミにKiss!!,Ep.1 16歳の誕生日,True
週刊少年マガジン,MMR,前編 ムー大陸が警告する世紀末破局とは!?　,True
週刊少年マガジン,将太の寿司,第39話 妹想い,True
週刊少年マガジン,マラソンマン,第1話 父ちゃんの秘密,True
週刊少年マガジン,名門!第三野球部,飛翔編 最終話 ずっと野球が大好きだ!,True
週刊少年マガジン,強く成り上がれ! 空手アホ一代目,,True
週刊少年マガジン,HI 5!,ショット1 待ち人来たる,True
週刊少年マガジン,MMR,前編 小惑星が地球に激突する!?　,True
週刊少年マガジン,将太の寿司,第28話 シンコだって一人前!,True
週刊少年マガジン,将太の寿司,第21話 アナゴ勝負!!,True
週刊少年マガジン,金田一少年の事件簿,異人館村殺人事件6　,True
週刊少年マガジン,事件列島ブル,第一話 今晩は古橋義人です,True
週刊少年マガジン,Jドリーム,第1話 足の値段,True
週刊少年マガジン,強く成り上がれ! 空手アホ一代目,前編,True
週刊少年マガジン,コータローまかりとおる!,,True
週刊少年マガジン,カメレオン,第126話 YAZAWA・キラーコンビ,True
週刊少年マガジン,シュート!,番外編 久保義晴の伝説,True
週刊少年マガジン,金田一少年の事件簿,ファイル1 オペラ座館殺人事件1,True
週刊少年マガジン,将太の寿司,第8話 玉子の思い出,True
週刊少年マガジン,激烈バカ,第204話 とにかく200回突破!!!　／　第一話 九月はセプテンバー!!!　／　第二話 ピイイイ!!!　／　第三話 おふくろ!!!　／　第四話 おあそび!!!　／　第五話 『打倒!ドクター中末コーナー』（Vol.4.エンピツ）　／　第六話 「ああ団栗一家!」（激烈キャンプの巻）　／　第七話 ヒ!ヒ!ヒ!,True
週刊少年マガジン,将太の寿司,第1話 全力の親孝行,True
週刊少年マガジン,破壊王ノリタカ!,第68話 沢村は3回死ぬ!?,True
週刊少年マガジン,激烈バカ,第197話 激夏の奴ら!!　／　第一話 激噴!なんちゃって野郎!!　／　第二話 スーパー・エキストラ!!!　／　第三話 不良の鉄則1　／　第四話 不良の鉄則2　／　第五話霊の鉄則!!　／　第六話 ナンパの鉄則!!　／　第七話 「欲求ふ・マン」（第57話 ワイドショー野郎）　／　第八話 モリくん!!!　／　第九話 復讐の鉄則!!　／　第十話『青春の主張』その七　／　第十一話 風邪の鉄則!!,True
週刊少年マガジン,湘南純愛組!,第85話 I Love Youはひとりごと,True
週刊少年マガジン,BOYS BE…,Report.45 恋人はナイチンゲール,True
週刊少年マガジン,パラレル☆バスター,Buster.1 史上最弱の救世主誕生!!,True
週刊少年マガジン,トウショウライオン,第1号HR 日本一ヘタクソな清原!?　,True
週刊少年マガジン,カメレオン,第103話 YAZAWA・死の償い,True
週刊少年マガジン,かましたらんかい!!,第1R ゴールは俺や!,True
週刊少年マガジン,シュート!,,True
週刊少年マガジン,名門!第三野球部,飛翔編 第31話 情に応える采配,True
週刊少年マガジン,名門!第三野球部,飛翔編 第27話 桑本復活!,True
週刊少年マガジン,SPLASH!!,第5話 ファースト・デート,True
週刊少年マガジン,はじめの一歩,Round111 チャンプとの遭遇,True
週刊少年マガジン,風のシルフィード,第114話 話題のデビュー,True
週刊少年マガジン,SPLASH!!,第1話 memory,True
週刊少年マガジン,将,〔□1〕,True
週刊少年マガジン,BOYS BE…,Report.18 忘れられないBirthday,True
週刊少年マガジン,激烈バカ,第167話 ひとみちゃん!フィーバー　／　第一話 かっぱらいギャル!　／　第二話 かっとびギャル!!　／　第三話 感動ギャル!!!　／　第四話 そんな奴はいない!!　／　第五話 活用!　　／　第六話 「ああ団栗一家」（北海道からこんにちはの巻）　／　第七話 良い子!　／　第八話 「欲求ふ・マン」（第45話 アウトドア野郎!）　／　第九話 降参!!!,True
週刊少年マガジン,カメレオン,第81話 YAZAWA・タレコミ!?,True
週刊少年マガジン,Theオタッキーホラーショー,第二幕 東京百ストーリー,True
週刊少年マガジン,コータローまかりとおる!,,True
週刊少年マガジン,覇王伝説驍,第1話 故国存亡!,True
週刊少年マガジン,風のシルフィード,第101話 1200mー有馬記念④,True
週刊少年マガジン,湘南純愛組!,第47話 もう止まらない!!　,True
週刊少年マガジン,ビバ!柔道愚連隊,第34話 勝ち進め、単高学園!,True
週刊少年マガジン,破壊王ノリタカ!,第20話 泉谷高第一次 格闘戦争勃発!?,True
週刊少年マガジン,横浜名物〔○男〕片山組!,成りあがり編,True
週刊少年マガジン,BOYS BE…,Report.1 91年夏、南の島にて・・・,True
週刊少年マガジン,反逆のモビィ・ディック,,True
週刊少年マガジン,キャプテンキッド,■Voyage.1 キッドを捜す男たち,True
週刊少年マガジン,湘南純愛組!,第37話 湘南LOVE STORY-想い出にかわるまで-,True
週刊少年マガジン,疾風伝説 特攻の拓,第1話 浅川拓16歳転校す,True
週刊少年マガジン,あした天気になあれ,,True
週刊少年マガジン,ビバ!柔道愚連隊,第21話 校長先生の教え子たち,True
週刊少年マガジン,カメレオン,第56話 YAZAWA・ハラキリ!?,True
週刊少年マガジン,はじめの一歩,Round78 東日本新人王決勝,True
週刊少年マガジン,コンバット★ハイスクール,Command1 入隊!,True
週刊少年マガジン,THE STAR,祝・200回達成!,True
週刊少年マガジン,ロスタイム,,True
週刊少年マガジン,ビバ!柔道愚連隊,第14話 対決、風野高校,True
週刊少年マガジン,破壊王ノリタカ!,,True
週刊少年マガジン,WARASHI,,True
週刊少年マガジン,はじめの一歩,Round65 久しぶりの休養日,True
週刊少年マガジン,シュート!,,True
週刊少年マガジン,オフサイド,第199話 川高の対戦相手は・・・・,True
週刊少年マガジン,激烈バカ,連載3周年記念巻頭カラー　／　第124話 激年の祭　／　第一話 新年の悟り!!!　／　第二話 激角!なんちゃって野郎!!!　／　第三話 新年の大空へ!!!　／　第四話 新年へのシュート!!!　／　第五話 魔法の言葉!!　／　第六話 大変だ!!!　／　第七話 ああ!なめたい!!!　／　第八話 秘密情報部隊CIBの陰謀　／　第九話 秘密情報部隊CIBの陰謀　／　第十話サイドシートに君を!!!　／　第十一話シリーズ「炎の形容動詞Vol.8」　／　第十二話 想いでの渚!!!　／　第十三話 手作りの味!!!　／　第十四話 原因!!!,True
週刊少年マガジン,ビバ!柔道愚連隊,第1話 とんでもないぜ柔道部,True
週刊少年マガジン,湘南純愛組!,第11話 狼になりたい,True
週刊少年マガジン,シュート!,,True
週刊少年マガジン,横浜名物〔○男〕片山組!,成りあがり編,True
週刊少年マガジン,飛びだせスチュワーデス!,フライト.8 飛ぶのがコワイ!?　,True
週刊少年マガジン,湘南純愛組!,第5話 OVER HEAT NIGHT!,True
週刊少年マガジン,コータローまかりとおる!,連載400回プラス2回!!,True
週刊少年マガジン,カメレオン,第28話 YAZAWA・愛の救世主!?,True
週刊少年マガジン,湘南純愛組!,第1話 リゾ・ラバ～与論島編,True
週刊少年マガジン,はっけよい,,True
週刊少年マガジン,飛びだせスチュワーデス!,フライト.1 ドキドキ!初搭乗,True
週刊少年マガジン,オフサイド,第179話 何が何でも!!,True
週刊少年マガジン,シュート!,,True
週刊少年マガジン,WARASHI,壱:水妖 蛟,True
週刊少年マガジン,ガリ勉番長,,True
週刊少年マガジン,はっさく!twins,No.1 これでも双子!?の巻,True
週刊少年マガジン,どぶてけし,,True
週刊少年マガジン,激烈バカ,第100話 激祝!連載100回!!!　／　第一話 激祝!なんちゃって野郎!!　／　第二話 激烈ファミリー・ドラマ「ああ団栗一家」（ハッピー・バースデイの巻）　／　第三話 「欲求ふ・マン」（第10話 あ!いや!やめて野郎!）,True
週刊少年マガジン,風のシルフィード,第33話 「タローにユメのせて!」,True
週刊少年マガジン,猫でごめん!,第11話 かみら再び?,True
週刊少年マガジン,死のホワイトマジック,Card.1 12占星の秘密,True
週刊少年マガジン,カメレオン,第1話 YAZAWA・登場,True
週刊少年マガジン,スポーツヒーロー列伝,江夏豊 豪球伝説 管理野球をぶっとばせ!,True
週刊少年マガジン,はじめの一歩,Round22 突然、サウスポー,True
週刊少年マガジン,猫でごめん!,第1話 「この少女、猫につき・・・・!?」,True
週刊少年マガジン,オフサイド,第154話 疑惑・抗議・爆発,True
週刊少年マガジン,彼女はデリケート!,第16話 あの娘もデリケート!?,True
週刊少年マガジン,スポーツヒーロー列伝,究極のライダー 片山敬済!,True
週刊少年マガジン,はじめの一歩,Round16 C級ライセンス,True
週刊少年マガジン,金のフライパン,,True
週刊少年マガジン,FREEDOM,,True
週刊少年マガジン,キラキラ!,,True
週刊少年マガジン,はじめの一歩,Round8 会長のシゴキ,True
週刊少年マガジン,横浜名物〔○男〕片山組!,,True
週刊少年マガジン,スポーツヒーロー列伝,燃える男 長嶋茂雄の伝説,True
週刊少年マガジン,釘師サブやん,第3章〈3〉 死なばもろとも 穴市勝負!,True
週刊少年マガジン,オフサイド,第139話 戦いすんで・・・・,True
週刊少年マガジン,はじめの一歩,,True
週刊少年マガジン,HARD COP,,True
週刊少年マガジン,風のシルフィード,第1話 「サザンの息子」,True
週刊少年マガジン,横浜名物〔○男〕片山組!,,True
週刊少年マガジン,THE STAR,,True
週刊少年マガジン,アルバトロス,,True
週刊少年マガジン,From M,ACT.1大統領到着,True
週刊少年マガジン,名門!第三野球部,第89話 新たなる戦いに向けて　,True
週刊少年マガジン,スポーツヒーロー列伝,豪速球 江川卓の伝説!!,True
週刊少年マガジン,彼女はデリケート!,Chart.27ジャブの秘密!?,True
週刊少年マガジン,名門!第三野球部,第84話 カッコマン集団、聖誓高校,True
週刊少年マガジン,スポーツヒーロー列伝,友へのチェッカーフラッグ!～平忠彦物語～,True
週刊少年マガジン,横浜名物〔○男〕片山組!,,True
週刊少年マガジン,艶姿純情BOY,第1話 LADYになりたい,True
週刊少年マガジン,THE STAR,,True
週刊少年マガジン,彼女はデリケート!,Lesson18 激闘バースデー決戦!!,True
週刊少年マガジン,オフサイド,第113話 それともサドンデス　,True
週刊少年マガジン,名門!第三野球部,第73話 第三野球部、大チャンス,True
週刊少年マガジン,はっぴい亀亀,新連載一挙2本立て!No.1 変態兄弟の入学式の巻,True
週刊少年マガジン,横浜名物〔○男〕片山組!,,True
週刊少年マガジン,TVジャッカー,,True
週刊少年マガジン,スポーツヒーロー列伝,メキシコの得点王～釜本邦茂物語～,True
週刊少年マガジン,ブレイクショット,,True
週刊少年マガジン,オフサイド,第105話 「ネバーギブアップ!」,True
週刊少年マガジン,あいつはアインシュタイン,第6話◎女王の素顔,True
週刊少年マガジン,名門!第三野球部,第62話 因縁の木バット,True
週刊少年マガジン,キラキラ!,,True
週刊少年マガジン,あいつはアインシュタイン,第1話ストラディバリウスの調べ,True
週刊少年マガジン,彼女はデリケート!,Lesson① 彼女いますか?の巻,True
週刊少年マガジン,名門!第三野球部,第56話 延長戦突入,True
週刊少年マガジン,ミスター味っ子,第112話 再対決!味皇GP,True
週刊少年マガジン,オフサイド,第93話 ぼくたちのゴール,True
週刊少年マガジン,SHOT!ダン,,True
週刊少年マガジン,名門!第三野球部,第51話 第三野球部100%全開,True
週刊少年マガジン,ブレイクショット,第70話◆水晶のドクロ,True
週刊少年マガジン,THE STAR,,True
週刊少年マガジン,名門!第三野球部,第48話 エース桑本!絶好調,True
週刊少年マガジン,NON STOP!恭兵,,True
週刊少年マガジン,ヒーロー,Vol.1 11人目の男,True
週刊少年マガジン,明王伝レイ,祓ノ16 難陀龍王の宝玉,True
週刊少年マガジン,おがみ松吾郎,,True
週刊少年マガジン,スターロード,,True
週刊少年マガジン,オフサイド,第81話 伸びのびサッカー,True
週刊少年マガジン,拳!天使,★Vol.1/天才少女あらわる!,True
週刊少年マガジン,いけないDayDream,第1話アダルトビデオを作っちゃえ!!,True
週刊少年マガジン,THE STAR,,True
週刊少年マガジン,名門!第三野球部,第34話0の攻防,True
週刊少年マガジン,オフサイド,第73話特別めにゅーの意味,True
週刊少年マガジン,スーパードクターＫ,カルテ11◆人間の幸福,True
週刊少年マガジン,ブレイクショット,第50話◆燃えろ、伸介!!,True
週刊少年マガジン,明王伝レイ,第1話　呪首怨王,True
週刊少年マガジン,THE STAR,,True
週刊少年マガジン,名門!第三野球部,第27話　穴に隠された秘密,True
週刊少年マガジン,ホワイトアルバム,第1章「よせあつめのビー玉」,True
週刊少年マガジン,ミスター味っ子,第82話　七色の具,True
週刊少年マガジン,オフサイド,第63話　強豪の底力,True
週刊少年マガジン,SHOGUN,第1話　晋作父に会う!,True
週刊少年マガジン,スーパードクターＫ,カルテ1　炎の中の救出劇,True
週刊少年マガジン,コータローまかりとおる!,,True
週刊少年マガジン,名門!第三野球部,第18話　監督の秘密,True
週刊少年マガジン,NON STOP!恭兵,,True
