マンガ作品名,ccid,掲載年,各話数,count,mean,掲載形態
弱虫ペダル,C95531,2013,20.0,51.0,0.39215686274509803,4色カラー
弱虫ペダル,C95531,2013,31.0,51.0,0.607843137254902,モノクロ
こちら葛飾区亀有公園前派出所,C88675,2013,1.0,48.0,0.020833333333333332,4色カラー
こちら葛飾区亀有公園前派出所,C88675,2013,47.0,48.0,0.9791666666666666,モノクロ
ONE PIECE,C87818,2014,7.0,41.0,0.17073170731707318,4色カラー
ONE PIECE,C87818,2014,34.0,41.0,0.8292682926829268,モノクロ
弱虫ペダル,C95531,2014,21.0,49.0,0.42857142857142855,4色カラー
弱虫ペダル,C95531,2014,28.0,49.0,0.5714285714285714,モノクロ
こちら葛飾区亀有公園前派出所,C88675,2014,2.0,50.0,0.04,4色カラー
こちら葛飾区亀有公園前派出所,C88675,2014,48.0,50.0,0.96,モノクロ
ONE PIECE,C87818,2015,7.0,40.0,0.175,4色カラー
ONE PIECE,C87818,2015,33.0,40.0,0.825,モノクロ
弱虫ペダル,C95531,2015,14.0,50.0,0.28,4色カラー
弱虫ペダル,C95531,2015,36.0,50.0,0.72,モノクロ
こちら葛飾区亀有公園前派出所,C88675,2015,2.0,50.0,0.04,4色カラー
こちら葛飾区亀有公園前派出所,C88675,2015,48.0,50.0,0.96,モノクロ
ONE PIECE,C87818,2016,10.0,41.0,0.24390243902439024,4色カラー
ONE PIECE,C87818,2016,31.0,41.0,0.7560975609756098,モノクロ
弱虫ペダル,C95531,2016,15.0,49.0,0.30612244897959184,4色カラー
弱虫ペダル,C95531,2016,34.0,49.0,0.6938775510204082,モノクロ
こちら葛飾区亀有公園前派出所,C88675,2016,5.0,42.0,0.11904761904761904,4色カラー
こちら葛飾区亀有公園前派出所,C88675,2016,37.0,42.0,0.8809523809523809,モノクロ
ONE PIECE,C87818,2017,4.0,26.0,0.15384615384615385,4色カラー
ONE PIECE,C87818,2017,22.0,26.0,0.8461538461538461,モノクロ
弱虫ペダル,C95531,2017,7.0,25.0,0.28,4色カラー
弱虫ペダル,C95531,2017,18.0,25.0,0.72,モノクロ
ドカベン,,1982,0.0,,0.0,4色カラー
ドカベン,,1982,0.0,,0.0,モノクロ
ドカベン,,1983,0.0,,0.0,4色カラー
ドカベン,,1983,0.0,,0.0,モノクロ
ドカベン,,1984,0.0,,0.0,4色カラー
ドカベン,,1984,0.0,,0.0,モノクロ
ドカベン,,1985,0.0,,0.0,4色カラー
ドカベン,,1985,0.0,,0.0,モノクロ
ドカベン,,1986,0.0,,0.0,4色カラー
ドカベン,,1986,0.0,,0.0,モノクロ
ドカベン,,1987,0.0,,0.0,4色カラー
ドカベン,,1987,0.0,,0.0,モノクロ
ドカベン,,1988,0.0,,0.0,4色カラー
ドカベン,,1988,0.0,,0.0,モノクロ
ドカベン,,1989,0.0,,0.0,4色カラー
ドカベン,,1989,0.0,,0.0,モノクロ
ドカベン,,1990,0.0,,0.0,4色カラー
ドカベン,,1990,0.0,,0.0,モノクロ
ドカベン,,1992,0.0,,0.0,4色カラー
ドカベン,,1992,0.0,,0.0,モノクロ
ドカベン,,1993,0.0,,0.0,4色カラー
ドカベン,,1993,0.0,,0.0,モノクロ
ドカベン,,1994,0.0,,0.0,4色カラー
ドカベン,,1994,0.0,,0.0,モノクロ
ドカベン,,2000,0.0,,0.0,4色カラー
ドカベン,,2000,0.0,,0.0,モノクロ
ドカベン,,2001,0.0,,0.0,4色カラー
ドカベン,,2001,0.0,,0.0,モノクロ
ドカベン,,2003,0.0,,0.0,4色カラー
ドカベン,,2003,0.0,,0.0,モノクロ
ドカベン,,2004,0.0,,0.0,4色カラー
ドカベン,,2004,0.0,,0.0,モノクロ
ドカベン,,2005,0.0,,0.0,4色カラー
ドカベン,,2005,0.0,,0.0,モノクロ
ドカベン,,2006,0.0,,0.0,4色カラー
ドカベン,,2006,0.0,,0.0,モノクロ
ドカベン,,2008,0.0,,0.0,4色カラー
ドカベン,,2008,0.0,,0.0,モノクロ
ドカベン,,2009,0.0,,0.0,4色カラー
ドカベン,,2009,0.0,,0.0,モノクロ
ドカベン,,2011,0.0,,0.0,4色カラー
ドカベン,,2011,0.0,,0.0,モノクロ
ドカベン,,2012,0.0,,0.0,4色カラー
ドカベン,,2012,0.0,,0.0,モノクロ
ドカベン,,2013,0.0,,0.0,4色カラー
ドカベン,,2013,0.0,,0.0,モノクロ
ドカベン,,2014,0.0,,0.0,4色カラー
ドカベン,,2014,0.0,,0.0,モノクロ
ドカベン,,2015,0.0,,0.0,4色カラー
ドカベン,,2015,0.0,,0.0,モノクロ
ドカベン,,2016,0.0,,0.0,4色カラー
ドカベン,,2016,0.0,,0.0,モノクロ
ドカベン,,2017,0.0,,0.0,4色カラー
ドカベン,,2017,0.0,,0.0,モノクロ
こちら葛飾区亀有公園前派出所,,1972,0.0,,0.0,4色カラー
こちら葛飾区亀有公園前派出所,,1972,0.0,,0.0,モノクロ
こちら葛飾区亀有公園前派出所,,1973,0.0,,0.0,4色カラー
こちら葛飾区亀有公園前派出所,,1973,0.0,,0.0,モノクロ
こちら葛飾区亀有公園前派出所,,1974,0.0,,0.0,4色カラー
こちら葛飾区亀有公園前派出所,,1974,0.0,,0.0,モノクロ
こちら葛飾区亀有公園前派出所,,1975,0.0,,0.0,4色カラー
こちら葛飾区亀有公園前派出所,,1975,0.0,,0.0,モノクロ
こちら葛飾区亀有公園前派出所,,2017,0.0,,0.0,4色カラー
こちら葛飾区亀有公園前派出所,,2017,0.0,,0.0,モノクロ
ONE PIECE,,1972,0.0,,0.0,4色カラー
ONE PIECE,,1972,0.0,,0.0,モノクロ
ONE PIECE,,1973,0.0,,0.0,4色カラー
ONE PIECE,,1973,0.0,,0.0,モノクロ
ONE PIECE,,1974,0.0,,0.0,4色カラー
ONE PIECE,,1974,0.0,,0.0,モノクロ
ONE PIECE,,1975,0.0,,0.0,4色カラー
ONE PIECE,,1975,0.0,,0.0,モノクロ
ONE PIECE,,1976,0.0,,0.0,4色カラー
ONE PIECE,,1976,0.0,,0.0,モノクロ
ONE PIECE,,1977,0.0,,0.0,4色カラー
ONE PIECE,,1977,0.0,,0.0,モノクロ
ONE PIECE,,1978,0.0,,0.0,4色カラー
ONE PIECE,,1978,0.0,,0.0,モノクロ
ONE PIECE,,1979,0.0,,0.0,4色カラー
ONE PIECE,,1979,0.0,,0.0,モノクロ
ONE PIECE,,1980,0.0,,0.0,4色カラー
ONE PIECE,,1980,0.0,,0.0,モノクロ
ONE PIECE,,1981,0.0,,0.0,4色カラー
ONE PIECE,,1981,0.0,,0.0,モノクロ
ONE PIECE,,1982,0.0,,0.0,4色カラー
ONE PIECE,,1982,0.0,,0.0,モノクロ
ONE PIECE,,1983,0.0,,0.0,4色カラー
ONE PIECE,,1983,0.0,,0.0,モノクロ
ONE PIECE,,1984,0.0,,0.0,4色カラー
ONE PIECE,,1984,0.0,,0.0,モノクロ
ONE PIECE,,1985,0.0,,0.0,4色カラー
ONE PIECE,,1985,0.0,,0.0,モノクロ
ONE PIECE,,1986,0.0,,0.0,4色カラー
ONE PIECE,,1986,0.0,,0.0,モノクロ
ONE PIECE,,1987,0.0,,0.0,4色カラー
ONE PIECE,,1987,0.0,,0.0,モノクロ
ONE PIECE,,1988,0.0,,0.0,4色カラー
ONE PIECE,,1988,0.0,,0.0,モノクロ
ONE PIECE,,1989,0.0,,0.0,4色カラー
ONE PIECE,,1989,0.0,,0.0,モノクロ
ONE PIECE,,1990,0.0,,0.0,4色カラー
ONE PIECE,,1990,0.0,,0.0,モノクロ
ONE PIECE,,1991,0.0,,0.0,4色カラー
ONE PIECE,,1991,0.0,,0.0,モノクロ
ONE PIECE,,1992,0.0,,0.0,4色カラー
ONE PIECE,,1992,0.0,,0.0,モノクロ
ONE PIECE,,1993,0.0,,0.0,4色カラー
ONE PIECE,,1993,0.0,,0.0,モノクロ
ONE PIECE,,1994,0.0,,0.0,4色カラー
ONE PIECE,,1994,0.0,,0.0,モノクロ
ONE PIECE,,1995,0.0,,0.0,4色カラー
ONE PIECE,,1995,0.0,,0.0,モノクロ
