プラットフォーム名,weekday,パブリッシャー名,パッケージ数,曜日
3DO,0,株式会社ワープ,2,月
3DO,2,株式会社マイクロキャビン,1,水
3DO,2,株式会社マイクロネット,2,水
3DO,2,株式会社リバーヒルソフト,1,水
3DO,3,イマジニア株式会社,1,木
3DO,3,エレクトロニック・アーツ・ビクター株式会社,1,木
3DO,3,ジャレコ,1,木
3DO,3,マイクロキャビン,1,木
3DO,3,株式会社タイトー,1,木
3DO,3,株式会社ワープ,1,木
3DO,3,株式会社光栄,1,木
3DO,4,BMGビクター株式会社,1,金
3DO,4,BMGビクター株式会社 [発売],1,金
3DO,4,The 3DO Company,1,金
3DO,4,アミューズ,1,金
3DO,4,イマジニア株式会社,1,金
3DO,4,イマ・カンパニー,1,金
3DO,4,エレクトロニック・アーツ・ビクター株式会社,6,金
3DO,4,"クリスタルダイナミックスInc.,BMGビクター株式会社",1,金
3DO,4,コナミ,1,金
3DO,4,コピアシステム,1,金
3DO,4,サン電子株式会社,1,金
3DO,4,セタ,1,金
3DO,4,タイトー,1,金
3DO,4,ティーアンドイーソフト,2,金
3DO,4,"ティーアンドイーソフト,松下電器産業株式会社",1,金
3DO,4,テクモ株式会社,1,金
3DO,4,ナツメ株式会社,1,金
3DO,4,ナムコ,1,金
3DO,4,バイス,1,金
3DO,4,バンタンインターナショナル電脳工場,1,金
3DO,4,バンダイ,1,金
3DO,4,バンダイビジュアル株式会社,1,金
3DO,4,"パック・イン・ビデオ,松下電器産業株式会社",1,金
3DO,4,ヒューマン株式会社,1,金
3DO,4,ビクターエンタテインメント株式会社,1,金
3DO,4,フジテレビジョン,1,金
3DO,4,フューチャー・パイレーツ株式会社,2,金
3DO,4,"マイクロキャビン,松下電器産業株式会社",1,金
3DO,4,マルチソフト株式会社,1,金
3DO,4,"ユニバーサル インタラクティブ スタジオ,松下電器産業株式会社",1,金
3DO,4,"リバーヒルソフト,松下電器産業株式会社",1,金
3DO,4,ワープ,1,金
3DO,4,光栄,3,金
3DO,4,加賀テック株式会社,5,金
3DO,4,博報堂 マルチメディアソフト事業室,1,金
3DO,4,"博報堂,松下電器産業株式会社",1,金
3DO,4,徳間書店,1,金
3DO,4,"日本データワークス株式会社,松下電器産業株式会社",1,金
3DO,4,株式会社アスキー,1,金
3DO,4,株式会社カプコン,2,金
3DO,4,株式会社ココナッツジャパンエンターテイメント,1,金
3DO,4,株式会社セタ,1,金
3DO,4,株式会社ティーアンドイーソフト,2,金
3DO,4,株式会社テレビ朝日,1,金
3DO,4,株式会社トミー,1,金
3DO,4,株式会社バンダイ,1,金
3DO,4,株式会社パック・イン・ビデオ,2,金
3DO,4,株式会社フジテレビジョン,1,金
3DO,4,株式会社ポニーキャニオン,1,金
3DO,4,株式会社メディアエンターテイメント,1,金
3DO,4,株式会社ワープ,1,金
3DO,4,株式会社光栄,2,金
3DO,4,株式会社小学館,1,金
3DO,5,"M・A・C ハミングバードソフト,松下電器産業株式会社",1,土
3DO,5,アスキー,1,土
3DO,5,アスク講談社,1,土
3DO,5,エレクトロニック・アーツ・ビクター株式会社,2,土
3DO,5,オフィスクリエイト,1,土
3DO,5,シナジー幾何学,1,土
3DO,5,"シンキングラビット,松下電器産業株式会社",1,土
3DO,5,ティーアンドイーソフト,1,土
3DO,5,バイス,3,土
3DO,5,"パック・イン・ビデオ,松下電器産業株式会社",1,土
3DO,5,ビクターエンタテインメント株式会社,1,土
3DO,5,ポニーキャニオン,1,土
3DO,5,メディアヴィジョン,1,土
3DO,5,三栄書房,2,土
3DO,5,株式会社ティーアンドイーソフト,4,土
3DO,5,株式会社マイクロキャビン,3,土
3DO,5,株式会社マイクロネット,1,土
3DO,6,"ティーアンドイーソフト,松下電器産業株式会社",1,日
3DO,6,フューチャー・パイレーツ株式会社,1,日
3DO,6,"マイクロキャビン,松下電器産業株式会社",1,日
3DO,6,"日本データワークス株式会社,松下電器産業株式会社",1,日
3DO,6,株式会社バンダイ,1,日
3DO,6,株式会社パック・イン・ビデオ,1,日
64DD,1,任天堂株式会社,1,火
64DD,4,任天堂株式会社,1,金
ClassicMacOS,0,SME・インターメディア,1,月
ClassicMacOS,2,ソニー・ミュージックエンタテインメント,2,水
ClassicMacOS,3,SME・インターメディア,1,木
ClassicMacOS,3,ソニー・ミュージックエンタテインメント,1,木
ClassicMacOS,4,SME・インターメディア,4,金
ClassicMacOS,4,"エヌ・アイ・シー株式会社,メディアカイト",1,金
ClassicMacOS,5,ソニー・ミュージックエンタテインメント,2,土
ClassicMacOS,6,SME・インターメディア,1,日
MSX,4,アスキー,1,金
MSX2,2,アスキー,1,水
MSX2,3,マイクロキャビン,1,木
MSX2,5,ウェンディマガジン,1,土
MSX2,6,光栄,1,日
MicrosoftWindows,0,SME・インターメディア,1,月
MicrosoftWindows,0,TWOFIVE,1,月
MicrosoftWindows,0,キッド,1,月
MicrosoftWindows,0,コーエー,1,月
MicrosoftWindows,0,サクセス,1,月
MicrosoftWindows,0,"サクセス,オーツー",2,月
MicrosoftWindows,0,スクウェア・エニックス,1,月
MicrosoftWindows,0,美蕾,1,月
MicrosoftWindows,1,アクアハウス,2,火
MicrosoftWindows,1,コーエー,2,火
MicrosoftWindows,1,コーエーテクモゲームス,5,火
MicrosoftWindows,1,セガ,1,火
MicrosoftWindows,1,マグノリア,1,火
MicrosoftWindows,1,マッグガーデン,1,火
MicrosoftWindows,2,Tennenouji,1,水
MicrosoftWindows,2,うさぎ倶楽部,1,水
MicrosoftWindows,2,"アートムーヴ,アートムーヴ",1,水
MicrosoftWindows,2,インナーブレイン株式会社,1,水
MicrosoftWindows,2,エクスペリエンス,1,水
MicrosoftWindows,2,エフアンドシー株式会社,1,水
MicrosoftWindows,2,エレクトロニック・アーツ株式会社,3,水
MicrosoftWindows,2,エレクトロニック・アーツ株式会社; スクウェア,1,水
MicrosoftWindows,2,エンターブレイン,1,水
MicrosoftWindows,2,"エンターブレイン,デジキューブ",1,水
MicrosoftWindows,2,カプコン,4,水
MicrosoftWindows,2,コーエー,10,水
MicrosoftWindows,2,コーエーテクモゲームス,3,水
MicrosoftWindows,2,スクウェア・エニックス,3,水
MicrosoftWindows,2,セガ・エンタープライゼス,1,水
MicrosoftWindows,2,ソニー・ミュージックエンタテインメント,5,水
MicrosoftWindows,2,ソニー・ミュージックディストリビューション,17,水
MicrosoftWindows,2,テクノブレイン,1,水
MicrosoftWindows,2,ホビボックス株式会社,1,水
MicrosoftWindows,2,ポニーキャニオン,3,水
MicrosoftWindows,2,メディアカイト,1,水
MicrosoftWindows,2,ヴィアール・ワン,1,水
MicrosoftWindows,2,光栄,1,水
MicrosoftWindows,2,日本クリエイト株式会社,1,水
MicrosoftWindows,3,"Airtight Games,スクウェア・エニックス",1,木
MicrosoftWindows,3,"Black Isle Studios,セガ",1,木
MicrosoftWindows,3,"El Dia,RED FLAGSHIP",1,木
MicrosoftWindows,3,"Megafolly Entertainment Inc,メディアカイト",1,木
MicrosoftWindows,3,NECインターチャネル株式会社,2,木
MicrosoftWindows,3,SME・インターメディア,1,木
MicrosoftWindows,3,SME・ビジュアルワークス; ソニー・ミュージックディストリビューション,1,木
MicrosoftWindows,3,Ubisoft株式会社,1,木
MicrosoftWindows,3,あんく,1,木
MicrosoftWindows,3,アイドス・インタラクティブ株式会社,2,木
MicrosoftWindows,3,"アクアシステム,ツクダシナジー株式会社",1,木
MicrosoftWindows,3,"アクアシステム,メディアカイト",1,木
MicrosoftWindows,3,アクアシステム; メディアカイト,1,木
MicrosoftWindows,3,アクティマインド; コナミ,2,木
MicrosoftWindows,3,アリスソフト,1,木
MicrosoftWindows,3,アンバランス,2,木
MicrosoftWindows,3,ウィル,1,木
MicrosoftWindows,3,エフアンドシー株式会社,1,木
MicrosoftWindows,3,エレクトロニクス・アーツ・スクウェア株式会社,5,木
MicrosoftWindows,3,エレクトロニック・アーツ・スクウェア株式会社,3,木
MicrosoftWindows,3,エレクトロニック・アーツ株式会社,26,木
MicrosoftWindows,3,エレクトロニック・アーツ株式会社; スクウェア,8,木
MicrosoftWindows,3,オメガビジョン,1,木
MicrosoftWindows,3,オルセン,1,木
MicrosoftWindows,3,カプコン,12,木
MicrosoftWindows,3,キッド,1,木
MicrosoftWindows,3,"クロムシックス,エレクトロニック・アーツ株式会社",1,木
MicrosoftWindows,3,コナミ株式会社,1,木
MicrosoftWindows,3,コーエー,7,木
MicrosoftWindows,3,コーエーテクモゲームス,6,木
MicrosoftWindows,3,"コーエーテクモゲームス,ソースネクスト株式会社",1,木
MicrosoftWindows,3,サイバーフロント,1,木
MicrosoftWindows,3,システムソフト・アルファー株式会社,2,木
MicrosoftWindows,3,"システムソフト・アルファー株式会社,エレクトロニック・アーツ株式会社",2,木
MicrosoftWindows,3,スクウェア・エニックス,7,木
MicrosoftWindows,3,スタジオ・エゴ,1,木
MicrosoftWindows,3,セガ,4,木
MicrosoftWindows,3,セガゲームス,2,木
MicrosoftWindows,3,ソニー・ミュージックエンタテインメント,3,木
MicrosoftWindows,3,ソフパル,4,木
MicrosoftWindows,3,"ダブ,シンフォレスト",1,木
MicrosoftWindows,3,ディースリー・パブリッシャー,1,木
MicrosoftWindows,3,ニトロプラス,1,木
MicrosoftWindows,3,バンダイナムコゲームス,1,木
MicrosoftWindows,3,フロム・ソフトウェア,1,木
MicrosoftWindows,3,フロントウィング,1,木
MicrosoftWindows,3,フロントウイング,1,木
MicrosoftWindows,3,"ボーステック株式会社,エレクトロニックアーツ・スクウェア株式会社",1,木
MicrosoftWindows,3,メビウス,3,木
MicrosoftWindows,3,ユービーアイソフト,1,木
MicrosoftWindows,3,リジェット株式会社,3,木
MicrosoftWindows,3,"日本クリエイト株式会社,メディアカイト",1,木
MicrosoftWindows,3,日本ファルコム株式会社,5,木
MicrosoftWindows,3,月下氷人,1,木
MicrosoftWindows,3,講談社,2,木
MicrosoftWindows,4,"ACE Team,W-Russell",1,金
MicrosoftWindows,4,AIC,1,金
MicrosoftWindows,4,"BATTLEFRONT.COM,ドライブ",1,金
MicrosoftWindows,4,"BLACK SEA,ライブドア",1,金
MicrosoftWindows,4,"BlueMoon,アスガルド",1,金
MicrosoftWindows,4,D・ファクトリー,2,金
MicrosoftWindows,4,Etoiles,2,金
MicrosoftWindows,4,"FROZENBYTE,W-Russell",1,金
MicrosoftWindows,4,"Fire Grow Games,イーフロンティア",1,金
MicrosoftWindows,4,Holicworks 株式会社,1,金
MicrosoftWindows,4,INTERHEART,1,金
MicrosoftWindows,4,JADE,2,金
MicrosoftWindows,4,JANIS,4,金
MicrosoftWindows,4,"KEY,ビジュアルアーツ",1,金
MicrosoftWindows,4,"Key,ビジュアルアーツ",1,金
MicrosoftWindows,4,Le.Chocolat,1,金
MicrosoftWindows,4,LucasArts Entertainment Company LCC; エレクトロニック・アーツ・スクウェア株式会社,1,金
MicrosoftWindows,4,"MSD-JAPAN,Inc.; SALVA Corporation",2,金
MicrosoftWindows,4,Meta-Doll,1,金
MicrosoftWindows,4,N.I.C.; メディアカイト,1,金
MicrosoftWindows,4,"N.I.C.株式会社,メディアカイト",1,金
MicrosoftWindows,4,N.I.C.株式会社; メディアカイト,1,金
MicrosoftWindows,4,NECインターチャネル株式会社,7,金
MicrosoftWindows,4,Navel,1,金
MicrosoftWindows,4,"NiVAL INTERACTIVE,フロンティアグルーヴ株式会社",1,金
MicrosoftWindows,4,Petit Forest,2,金
MicrosoftWindows,4,SME・インターメディア,4,金
MicrosoftWindows,4,"SPHINX INTERNATIONAL,メディアカイト",1,金
MicrosoftWindows,4,"SPHINX INTERNATIONAL.,メディアカイト",1,金
MicrosoftWindows,4,STACK Software,1,金
MicrosoftWindows,4,Ubisoft株式会社; イーフロンティア,1,金
MicrosoftWindows,4,"VALVE,サイバーフロント",1,金
MicrosoftWindows,4,"VividColor,オデッサプロジェクト",1,金
MicrosoftWindows,4,VividColor; オデッサプロジェクト,1,金
MicrosoftWindows,4,XERO,1,金
MicrosoftWindows,4,ZEPHER,2,金
MicrosoftWindows,4,"honeybee,アスガルド",1,金
MicrosoftWindows,4,minori,1,金
MicrosoftWindows,4,ういんどみる,1,金
MicrosoftWindows,4,ぱじゃまソフト,3,金
MicrosoftWindows,4,ぱれっと,1,金
MicrosoftWindows,4,ぺんしる,1,金
MicrosoftWindows,4,まどか,1,金
MicrosoftWindows,4,アアル,2,金
MicrosoftWindows,4,アクレイムジャパン,1,金
MicrosoftWindows,4,"アクレイムジャパン,ツクダシナジー株式会社",1,金
MicrosoftWindows,4,アスキー,3,金
MicrosoftWindows,4,アリスソフト,2,金
MicrosoftWindows,4,アリスブルー,1,金
MicrosoftWindows,4,アレス,3,金
MicrosoftWindows,4,アンバランス,8,金
MicrosoftWindows,4,アージュ,1,金
MicrosoftWindows,4,アーベル,1,金
MicrosoftWindows,4,インターハート,1,金
MicrosoftWindows,4,インタープログ,1,金
MicrosoftWindows,4,イーアンツ有限会社; SANDALDASH,1,金
MicrosoftWindows,4,ウィズ,1,金
MicrosoftWindows,4,ウィル,1,金
MicrosoftWindows,4,ウィルプラス,1,金
MicrosoftWindows,4,エコールソフトウェア,1,金
MicrosoftWindows,4,エス・オー・エフ・ティー,3,金
MicrosoftWindows,4,エニックス,2,金
MicrosoftWindows,4,"エヌ・アイ・シー株式会社,メディアカイト",1,金
MicrosoftWindows,4,エフアンドシー,1,金
MicrosoftWindows,4,エフアンドシー株式会社,9,金
MicrosoftWindows,4,"エム・エス・ディ ジャパン,ツクダシナジー株式会社",1,金
MicrosoftWindows,4,エム・エス・ディー・ジャパン,3,金
MicrosoftWindows,4,オペラハウス,2,金
MicrosoftWindows,4,オメガビジョン,2,金
MicrosoftWindows,4,"オービット,ルーツ",1,金
MicrosoftWindows,4,カプコン,1,金
MicrosoftWindows,4,ガイナックス,1,金
MicrosoftWindows,4,"キッズステーション,カプコン",1,金
MicrosoftWindows,4,"キッズステーション,ライブドア",2,金
MicrosoftWindows,4,キャラメルBOX,1,金
MicrosoftWindows,4,クラウド,1,金
MicrosoftWindows,4,クリアブルーコミュニケーションズ,1,金
MicrosoftWindows,4,クリアレーヴ,1,金
MicrosoftWindows,4,グローブ,1,金
MicrosoftWindows,4,コットンソフト,1,金
MicrosoftWindows,4,コナミ,1,金
MicrosoftWindows,4,コンプリーツ,1,金
MicrosoftWindows,4,コーエー,56,金
MicrosoftWindows,4,"コーエー,ソースネクスト株式会社",2,金
MicrosoftWindows,4,コーエー; ズー,1,金
MicrosoftWindows,4,コーエーテクモゲームス,12,金
MicrosoftWindows,4,"コーエーテクモゲームス,ソースネクスト株式会社",2,金
MicrosoftWindows,4,"サイクロゼ,ビーアイコミュニケーションズ",1,金
MicrosoftWindows,4,サイバーフロント,2,金
MicrosoftWindows,4,サクセス,1,金
MicrosoftWindows,4,"サクセス,オーツー",1,金
MicrosoftWindows,4,"サンダルダッシュ,イーアンツ有限会社",1,金
MicrosoftWindows,4,"サン電子株式会社,メディアカイト",2,金
MicrosoftWindows,4,サーカス,2,金
MicrosoftWindows,4,ザウス,2,金
MicrosoftWindows,4,シグマ,1,金
MicrosoftWindows,4,システムソフト・アルファー株式会社,2,金
MicrosoftWindows,4,"システムソフト・アルファー株式会社,エレクトロニック・アーツ株式会社",1,金
MicrosoftWindows,4,シルバースタージャパン,1,金
MicrosoftWindows,4,シーズウェア,2,金
MicrosoftWindows,4,ジェネラル・サポート,2,金
MicrosoftWindows,4,スタジオ・エゴ,2,金
MicrosoftWindows,4,スタックソフトウェア,1,金
MicrosoftWindows,4,ストーンヘッズ,1,金
MicrosoftWindows,4,"スパイク,メディアカイト",1,金
MicrosoftWindows,4,"ズー,エムスリイエンタテインメント株式会社",1,金
MicrosoftWindows,4,"ズー,フロンティアグルーヴ株式会社",2,金
MicrosoftWindows,4,ズー; フロンティアグルーヴ,1,金
MicrosoftWindows,4,セガ,1,金
MicrosoftWindows,4,"セガ,メディアカイト",1,金
MicrosoftWindows,4,ソースネクスト株式会社,7,金
MicrosoftWindows,4,タクティクス,1,金
MicrosoftWindows,4,"ダズ,メディアカイト",1,金
MicrosoftWindows,4,チャンピオンソフト,1,金
MicrosoftWindows,4,チュンソフト,1,金
MicrosoftWindows,4,ツーファイブ,3,金
MicrosoftWindows,4,"ティラミスヴィラ,イーアンツ有限会社",3,金
MicrosoftWindows,4,テリオス,1,金
MicrosoftWindows,4,ディスカバリー,1,金
MicrosoftWindows,4,"ドラキュー,イーフロンティア",1,金
MicrosoftWindows,4,ドラス,1,金
MicrosoftWindows,4,"ニトロプラス,ホビボックス株式会社",3,金
MicrosoftWindows,4,ニトロプラス; ホビボックス株式会社,1,金
MicrosoftWindows,4,"ネクステック,メディアカイト",1,金
MicrosoftWindows,4,ネクストン,1,金
MicrosoftWindows,4,"ネットビレッジ株式会社,デジキューブ",1,金
MicrosoftWindows,4,バンプレスト,1,金
MicrosoftWindows,4,ビジネスパートナー,2,金
MicrosoftWindows,4,ビジュアルアーツ,14,金
MicrosoftWindows,4,ビーアイコミュニケーションズ,2,金
MicrosoftWindows,4,"ビーアイコミュニケーションズ,コーエー",1,金
MicrosoftWindows,4,ピースソフト,2,金
MicrosoftWindows,4,フロンティアグルーヴ株式会社,1,金
MicrosoftWindows,4,ブレストアップ,1,金
MicrosoftWindows,4,ブロッコリー,2,金
MicrosoftWindows,4,ホビボックス,1,金
MicrosoftWindows,4,ホビボックス株式会社,3,金
MicrosoftWindows,4,マイクロソフト,2,金
MicrosoftWindows,4,"マイクロマウス株式会社,ツクダシナジー株式会社",1,金
MicrosoftWindows,4,マイナビ,1,金
MicrosoftWindows,4,"マイピック,メディアカイト",1,金
MicrosoftWindows,4,マイピック; メディアカイト,1,金
MicrosoftWindows,4,マグノリア,3,金
MicrosoftWindows,4,"マグノリア,メディアカイト",1,金
MicrosoftWindows,4,メディアカイト,3,金
MicrosoftWindows,4,"メディアカイト,笠倉出版社",2,金
MicrosoftWindows,4,メディアカイト; 工画堂スタジオ,1,金
MicrosoftWindows,4,ラズエル,2,金
MicrosoftWindows,4,ランバ・アミューズ,3,金
MicrosoftWindows,4,ルーツ,1,金
MicrosoftWindows,4,同人サークル大往生/DOJ,1,金
MicrosoftWindows,4,"大海社,オデッサプロジェクト",1,金
MicrosoftWindows,4,小学館プロダクション,1,金
MicrosoftWindows,4,工画堂スタジオ,5,金
MicrosoftWindows,4,"工画堂スタジオ,メディアカイト",1,金
MicrosoftWindows,4,彩文館出版,2,金
MicrosoftWindows,4,戯画,1,金
MicrosoftWindows,4,拓洋興業,4,金
MicrosoftWindows,4,日本ファルコム,1,金
MicrosoftWindows,4,日本ファルコム株式会社,2,金
MicrosoftWindows,4,林組,1,金
MicrosoftWindows,4,笠倉出版社; メディアカイト,1,金
MicrosoftWindows,4,美蕾,1,金
MicrosoftWindows,5,JOINAC,1,土
MicrosoftWindows,5,Triangle,1,土
MicrosoftWindows,5,アートムーヴ,1,土
MicrosoftWindows,5,コーエー,1,土
MicrosoftWindows,5,ソニー・ミュージックエンタテインメント,2,土
MicrosoftWindows,5,ヤングコーポレーション; オリエンタル・シネ・サービス,1,土
MicrosoftWindows,5,日本ファルコム株式会社,1,土
MicrosoftWindows,6,SME・インターメディア,1,日
MicrosoftWindows,6,はるかぜ,1,日
MicrosoftWindows,6,サークルMATYLA,1,日
MicrosoftWindows,6,チームグリグリ,2,日
MicrosoftWindows,6,美蕾,1,日
NINTENDO64,0,任天堂株式会社,2,月
NINTENDO64,1,任天堂株式会社,2,火
NINTENDO64,1,株式会社メディアファクトリー,1,火
NINTENDO64,2,コナミ株式会社,2,水
NINTENDO64,2,任天堂株式会社,4,水
NINTENDO64,2,東京エレクトロンデバイス株式会社,1,水
NINTENDO64,2,株式会社カプコン,1,水
NINTENDO64,2,株式会社ランドネットDD,1,水
NINTENDO64,3,カルチャーブレーン,1,木
NINTENDO64,3,ゲームバンク株式会社,1,木
NINTENDO64,3,コナミ株式会社,15,木
NINTENDO64,3,ハドソン,1,木
NINTENDO64,3,ビデオシステム株式会社,1,木
NINTENDO64,3,任天堂株式会社,3,木
NINTENDO64,3,株式会社コーエー,1,木
NINTENDO64,3,株式会社スパイク,1,木
NINTENDO64,3,株式会社タイトー,1,木
NINTENDO64,3,株式会社ハドソン,1,木
NINTENDO64,4,GAMEBANK,1,金
NINTENDO64,4,アスミック・エース エンタテインメント株式会社,2,金
NINTENDO64,4,アテナ,1,金
NINTENDO64,4,イマジニア株式会社,10,金
NINTENDO64,4,エニックス,1,金
NINTENDO64,4,エレクトロニック・アーツ・スクウェア株式会社,1,金
NINTENDO64,4,エレクトロニック・アーツ・ビクター株式会社,1,金
NINTENDO64,4,エレクトロニック・アーツ株式会社,1,金
NINTENDO64,4,コナミ株式会社,2,金
NINTENDO64,4,ハドソン,3,金
NINTENDO64,4,バンプレスト,1,金
NINTENDO64,4,ヒューマン株式会社,1,金
NINTENDO64,4,ビクターインタラクティブソフトウェア,1,金
NINTENDO64,4,ビデオシステム株式会社,1,金
NINTENDO64,4,ボトムアップ,2,金
NINTENDO64,4,ユービーアイソフト株式会社,1,金
NINTENDO64,4,任天堂株式会社,12,金
NINTENDO64,4,株式会社アクレイムジャパン,3,金
NINTENDO64,4,株式会社アスキー,2,金
NINTENDO64,4,株式会社アスキーサムシンググッド,1,金
NINTENDO64,4,株式会社アスミック,1,金
NINTENDO64,4,株式会社アテナ,2,金
NINTENDO64,4,株式会社アルトロン,1,金
NINTENDO64,4,株式会社エポック社,3,金
NINTENDO64,4,株式会社カプコン,1,金
NINTENDO64,4,株式会社カルチャーブレーン,4,金
NINTENDO64,4,株式会社コトブキシステム,6,金
NINTENDO64,4,株式会社コンパイル,1,金
NINTENDO64,4,株式会社ショウエイシステム,1,金
NINTENDO64,4,株式会社セタ,4,金
NINTENDO64,4,株式会社タイトー,4,金
NINTENDO64,4,株式会社タカラ,4,金
NINTENDO64,4,株式会社ティーアンドイーソフト,1,金
NINTENDO64,4,株式会社ハドソン,7,金
NINTENDO64,4,株式会社バンダイ,3,金
NINTENDO64,4,株式会社バンプレスト,1,金
NINTENDO64,4,株式会社ビクターインタラクティブソフトウェア,2,金
NINTENDO64,4,株式会社ビスコ,1,金
NINTENDO64,4,株式会社ビック東海,1,金
NINTENDO64,4,株式会社ボトムアップ,2,金
NINTENDO64,4,株式会社光栄,1,金
NINTENDO64,4,株式会社日本システムサプライ,2,金
NINTENDO64,4,株式会社日本テレネット,1,金
NINTENDO64,5,イマジニア株式会社,1,土
NINTENDO64,5,ゲームバンク株式会社,1,土
NINTENDO64,5,コナミ株式会社,2,土
NINTENDO64,5,任天堂株式会社,7,土
NINTENDO64,5,株式会社ハドソン,1,土
NINTENDO64,6,SETA,1,日
NINTENDO64,6,任天堂株式会社,4,日
NINTENDO64,6,株式会社ハドソン,1,日
NintendoSwitch,1,Angry Mob Games,1,火
NintendoSwitch,1,DotEmu SAS.,1,火
NintendoSwitch,1,Psyonix Inc.,1,火
NintendoSwitch,1,Raw Fury,1,火
NintendoSwitch,1,"Yacht Club Games, LLC",1,火
NintendoSwitch,1,aeiowu LLC,1,火
NintendoSwitch,1,カヤック,1,火
NintendoSwitch,1,ハムスター,1,火
NintendoSwitch,1,ユービーアイソフト株式会社,1,火
NintendoSwitch,2,シティコネクション,1,水
NintendoSwitch,2,セガゲームス,1,水
NintendoSwitch,2,テイクツー・インタラクティブ・ジャパン合同会社,1,水
NintendoSwitch,2,ハムスター,2,水
NintendoSwitch,2,ワーナー ブラザース ジャパン合同会社,2,水
NintendoSwitch,3,3goo,2,木
NintendoSwitch,3,Adult Swim Games,1,木
NintendoSwitch,3,Annapurna Interactive,1,木
NintendoSwitch,3,Asteroid Base,1,木
NintendoSwitch,3,Bulbware Sp. z o.o.,1,木
NintendoSwitch,3,CIRCLE Ent.,1,木
NintendoSwitch,3,Chorus Worldwide Games Limited,1,木
NintendoSwitch,3,Collavier,2,木
NintendoSwitch,3,Devolver Digital,1,木
NintendoSwitch,3,Drool LLC,1,木
NintendoSwitch,3,Dry Cactus,1,木
NintendoSwitch,3,FDG Entertainment,1,木
NintendoSwitch,3,Frozenbyte,1,木
NintendoSwitch,3,GameTrust Games,1,木
NintendoSwitch,3,Grey Box,1,木
NintendoSwitch,3,Harmonix,1,木
NintendoSwitch,3,Headup Games,2,木
NintendoSwitch,3,Hypersect,1,木
NintendoSwitch,3,INSIDE SYSTEM,1,木
NintendoSwitch,3,Kitfox Games,1,木
NintendoSwitch,3,MAGES.,1,木
NintendoSwitch,3,MUTAN,1,木
NintendoSwitch,3,OVER FENCE,1,木
NintendoSwitch,3,Panic Button,1,木
NintendoSwitch,3,Pikii合同会社,1,木
NintendoSwitch,3,PlayEveryWare,1,木
NintendoSwitch,3,Plug In Digital,2,木
NintendoSwitch,3,QuantumAstroGuild,2,木
NintendoSwitch,3,ROCKSTAR GAMES,1,木
NintendoSwitch,3,Raw Fury,1,木
NintendoSwitch,3,Raw Fury AB,1,木
NintendoSwitch,3,Rising Star Games,3,木
NintendoSwitch,3,Shin’en Multimedia,1,木
NintendoSwitch,3,Team17,1,木
NintendoSwitch,3,Thomas Happ Games LLC,1,木
NintendoSwitch,3,UNTIES,2,木
NintendoSwitch,3,Vertex Pop Inc.,1,木
NintendoSwitch,3,Vivid Helix,1,木
NintendoSwitch,3,Wired Productions,1,木
NintendoSwitch,3,Young Fun Studio,1,木
NintendoSwitch,3,Zen Studios,2,木
NintendoSwitch,3,flow,1,木
NintendoSwitch,3,tinyBuild LLC,1,木
NintendoSwitch,3,アメージング,1,木
NintendoSwitch,3,アークシステムワークス株式会社,5,木
NintendoSwitch,3,インティ・クリエイツ,6,木
NintendoSwitch,3,インテンス,1,木
NintendoSwitch,3,オインクゲームズ,1,木
NintendoSwitch,3,オーイズミ・アミュージオ,1,木
NintendoSwitch,3,カプコン,5,木
NintendoSwitch,3,ケムコ,3,木
NintendoSwitch,3,コトブキソリューション,1,木
NintendoSwitch,3,コラビエ,1,木
NintendoSwitch,3,コーエーテクモゲームス,28,木
NintendoSwitch,3,シティコネクション,1,木
NintendoSwitch,3,シルバースタージャパン,6,木
NintendoSwitch,3,ジェイコンテンツ,1,木
NintendoSwitch,3,ジュピター,1,木
NintendoSwitch,3,スクウェア・エニックス,11,木
NintendoSwitch,3,スターサイン,2,木
NintendoSwitch,3,スマイルアクス,1,木
NintendoSwitch,3,セガゲームス,3,木
NintendoSwitch,3,ゼロディブ,3,木
NintendoSwitch,3,ソリッドスフィア株式会社,1,木
NintendoSwitch,3,テヨンジャパン合同会社,2,木
NintendoSwitch,3,トイディア,1,木
NintendoSwitch,3,ハップ,1,木
NintendoSwitch,3,ハムスター,42,木
NintendoSwitch,3,バンダイナムコエンターテインメント,7,木
NintendoSwitch,3,フライハイワークス株式会社,17,木
NintendoSwitch,3,ブループリント,1,木
NintendoSwitch,3,ポイソフト,1,木
NintendoSwitch,3,マーベラス,3,木
NintendoSwitch,3,メディアスケープ株式会社,1,木
NintendoSwitch,3,メディアファイブ,1,木
NintendoSwitch,3,メビウス,4,木
NintendoSwitch,3,ユービーアイソフト株式会社,2,木
NintendoSwitch,3,レイニーフロッグ合同会社,11,木
NintendoSwitch,3,ロックスター・ゲームス,1,木
NintendoSwitch,3,ワーナー,2,木
NintendoSwitch,3,ワーナー ブラザース ジャパン合同会社,2,木
NintendoSwitch,3,ワーナーブラザースジャパン合同会社,2,木
NintendoSwitch,3,日本コロムビア株式会社,3,木
NintendoSwitch,3,日本一ソフトウェア,1,木
NintendoSwitch,4,Mojang,1,金
NintendoSwitch,4,SPRINGLOADED,1,金
NintendoSwitch,4,アークシステムワークス株式会社,2,金
NintendoSwitch,4,インティ・クリエイツ,1,金
NintendoSwitch,4,エレクトロニック・アーツ株式会社,2,金
NintendoSwitch,4,カプコン,4,金
