acid,アニメ作品名,アニメ各話数,放送日数,声優数
C10247,Rahxephon,26,26,18.0
C10248,超重神 グラヴィオン,13,10,11.0
C10250,ゴールド マッスル,4,4,12.0
C10252,週刊ポケモン放送局,16,16,12.0
C10254,アソボット戦記 五九,52,52,7.0
C10256,攻殻機動隊 STAND ALONE COMPLEX,26,13,7.0
C10258,スパイラル ―推理の絆―,25,25,13.0
C10260,花田少年史,25,25,9.0
C10262,ヒートガイジェイ,25,25,14.0
C10264,ボンバーマン ジェッターズ,52,52,
C10267,PLATONIC CHAIN,24,24,3.0
C10272,機動戦士 ガンダムSEED,50,50,14.0
C10274,ゲットバッカーズ 奪還屋,49,49,11.0
C10276,カスミン［第2期］,26,26,14.0
C10278,真・女神転生 D[デビル]チルドレン ライト＆ダーク,52,52,6.0
C10280,ギャラクシーエンジェル[A] [第3期],26,26,
C10282,Kiddy Grade,24,19,7.0
C10284,灰羽連盟,13,9,9.0
C10286,デュエル・マスターズ,32,31,14.0
C10288,巨人の星 【特別篇】 猛虎 花形満 ～『巨人の星』全182話より特別編集～,13,4,3.0
C10290,神世紀伝マーズ,13,13,10.0
C10292,piano,10,10,9.0
C10294,シスター・プリンセス ～リピュア～,13,13,12.0
C10296,NARUTO,221,210,
C10298,Kanon,13,8,14.0
C10300,ヘイ!ヘイ! シュルーム,73,73,
C10302,幻魔大戦 ―神話前夜の章―,13,13,12.0
C10304,おジャ魔女どれみドッカ～ン!,51,50,12.0
C10306,ギャラクシー エンジェル ［第2期］,18,9,9.0
C10308,キックオフ 2002,26,26,15.0
C10312,ロックマンエグゼ,56,56,13.0
C10314,GUN FRONTIER,13,13,4.0
C10318,りぜるまいん,12,12,8.0
C10320,.hack// SIGN,26,26,8.0
C10322,モカイヌ,13,13,
C10324,ベイベー ばぁちゃん,53,53,11.0
C10326,十二国記,45,45,16.0
C10330,東京アンダーグラウンド,26,26,13.0
C10332,HAPPY★ LESSON,13,13,10.0
C10334,おじゃる丸[第5期］,90,90,11.0
C10336,ちょびっツ,26,26,11.0
C10338,天地無用! GXP,26,26,16.0
C10340,アベノ橋魔法☆商店街,13,13,13.0
C10342,爆闘宣言ダイガンダー,39,39,14.0
C10344,東京ミュウミュウ,52,52,15.0
C10346,フォルツァ! ひでまる,26,26,12.0
C10348,満月をさがして,52,52,8.0
C10350,わがまま☆フェアリー ミルモでポン!,52,52,
C10352,デジモンフロンティア,50,50,9.0
C10354,電光超特急 ヒカリアン,53,52,14.0
C10356,天使な小生意気,50,50,15.0
C10358,ぴたテン,26,26,13.0
C10360,あずまんが大王 THE ANIMATION,26,26,12.0
C10362,藍より青し,24,20,9.0
C10364,あたしンち,668,333,17.0
C10366,ワイルド7 another 謀略運河,13,13,11.0
C10368,ナッチョとポム,39,39,
C10370,ホイッスル!,40,39,16.0
C10372,王ドロボウ JING,13,13,10.0
C10374,リリパット王国,82,82,3.0
C10376,最終兵器彼女,14,14,15.0
C10378,SAMURAI DEEPER KYO,26,26,17.0
C10380,G-onらいだーす❤,13,13,14.0
C10382,Witch Hunter ロビン,26,26,12.0
C10384,朝霧の巫女,26,26,11.0
C10386,ドラゴンドライブ,38,38,15.0
C10388,ふぉうちゅんドッグす,39,39,6.0
C10390,円盤皇女 ワるきゅーレ,12,12,12.0
C10392,陸上防衛隊まおちゃん,26,26,
C10398,プリンセスチュチュ,41,41,10.0
C10400,キ・ファイター テラン,26,26,12.0
C10402,魔王 ダンテ,13,13,9.0
C10404,ハングリーハート WILD STRIKER,50,50,9.0
C10406,アクエリアンエイジ Sign for Evolution,13,12,15.0
C10408,まほろまてぃっく Automatic Maiden ～もっと美しいもの～,15,15,
C10410,OVERMAN キングゲイナー,27,27,17.0
C10412,ぷちぷり* ユーシィ,26,25,9.0
C10415,冒険者 THE MAN WAS FROM SPAIN,26,17,
C10417,釣りバカ日誌,36,34,7.0
C10419,ワンダーベビルくん,30,30,
C10421,獣兵衛忍風帖NINJA * SCROLL龍宝玉篇,13,13,4.0
C10423,探偵学園Q,47,46,15.0
C10426,げんきげんきノンタン,15,15,6.0
C10428,奇鋼仙女 ロウラン,28,28,14.0
C10430,ポケットモンスター アドバンスジェネレーション,192,190,14.0
C10432,Weｉβ kreuz Glühen,14,13,6.0
C10436,バロムワン,14,14,12.0
C10438,［おどれ!タイポ］［第2期］,6,6,
C10440,忍たま乱太郎［第10期］,82,82,18.0
C10444,らいむいろ戦奇譚明治日本、乙女 防人ス。,13,13,16.0
C10446,L/RLicensed by Royal,13,12,8.0
C10448,.hack//黄昏の腕輪伝説,12,12,15.0
C10450,ななか6/17,12,12,14.0
C10452,THEビッグオー[第2期],13,13,12.0
C10454,STRATOS4,13,13,18.0
C10456,WOLF'SRAIN,26,26,8.0
C10458,東京ムービー劇場梅四エッキス,13,13,
C10460,SUBMARINESUPER 99,13,13,8.0
C10462,SaintBeast 四聖獣 ～聖獣降臨編～,8,8,18.0
C10464,ウルトラマニアック,26,26,18.0
