acid,アニメ作品名,アニメ各話数,放送日数,声優数
C11215,闘牌伝説 アカギ 闇に舞い降りた天才,26,25,9.0
C11217,ARIA The ANIMATION,13,13,8.0
C11219,IGPX Immortal Grand Prix,26,25,16.0
C11221,こてんこてんこ,106,52,9.0
C11223,灼眼のシャナ,25,25,11.0
C11225,冒険王ビィト エクセリオン BEET THE VANDEL BUSTER,25,25,4.0
C11227,BLACK CAT,24,23,11.0
C11229,舞-乙HiME［マイオトメ］,26,25,13.0
C11231,BLOOD+,52,50,11.0
C11233,ラムネ,12,12,9.0
C11235,ノエイン もうひとりの君へ,24,24,16.0
C11237,Paradise kiss,12,12,9.0
C11239,Rozen Maiden träumend,12,12,9.0
C11241,蟲師,27,26,5.0
C11243,銀牙伝説WEED,26,26,14.0
C11245,かりん,24,24,8.0
C11247,ガイキング REGEND OF DAIKU-MARYU,39,39,9.0
C11253,南の島の小さな飛行機バーディー[第1期],14,14,
C11257,モリゾーとキッコロ ［第2期］,26,19,5.0
C11259,サムライチャンプルー［セカンドシーズン］,9,9,3.0
C11261,こちら葛飾区 亀有公園前 派出所 [スペシャル] 走れ! 両津式チンチン電車 ～思い出の大次郎号～,1,1,14.0
C11265,こちら葛飾区 亀有公園前 派出所 [スペシャル] 両津の 浅草リニューアル 大作戦!! ～あぁ 思い出の花やしき～,1,1,14.0
C11267,Hello Kittyりんごの森のミステリー,13,13,4.0
C11269,恋する天使 アンジェリーク ～かがやきの明日～,12,12,17.0
C11273,SHUFFLE!memories,12,12,9.0
C11275,MASTER of EPIC The AnimationAge,12,12,11.0
C11277,東京魔人學園剣風帖 龍*,14,14,14.0
C11279,京四郎と永遠の空,12,12,11.0
C11281,Saint October,26,26,17.0
C11283,デルトラクエスト,65,65,17.0
C11286,らき☆すた,24,24,16.0
C11288,怪物王女,25,25,8.0
C11290,風のスティグマ[風の聖痕],24,24,15.0
C11292,おおきく振りかぶって,25,25,18.0
C11296,アニ*クリ15,27,15,9.0
C11298,爆丸バトルブローラーズ,51,51,13.0
C11300,Romeo×Juliet,25,25,18.0
C11302,かみちゃまかりん,26,26,11.0
C11304,鋼鉄三国志,25,25,14.0
C11306,DARKER THANBLACK黒の契約者,25,25,15.0
C11308,ぼくらの,25,25,19.0
C11309,電脳コイルCOIL A CIRCLE OF CHILDREN,29,29,11.0
C11310,風の少女エミリー,26,26,9.0
C11312,精霊の守り人,27,26,17.0
C11314,sola,13,13,10.0
C11316,地球[テラ]へ・・・,26,24,14.0
C11318,BLUE DRAGON,52,52,3.0
C11320,ラブ★コンLOVELY★COMPLEX,25,25,11.0
C11322,機動戦士ガンダム00,26,26,14.0
C11324,しゅごキャラ!,51,51,19.0
C11326,まめうしくん,52,52,11.0
C11328,ef -a tale of memories.,12,12,10.0
C11330,キミキスpure rouge,25,25,12.0
C11333,Yes!プリキュア5,49,49,18.0
C11335,古代王者恐竜キングDキッズ・アドベンチャー,49,49,12.0
C11337,ロケットガール,12,12,9.0
C11339,一騎当千Dragon Destiny,13,13,17.0
C11341,MOONLIGHTMILE1stシーズンLift off,14,13,12.0
C11343,REIDEEN,26,26,15.0
C11345,ひとひら,12,12,6.0
C11347,おねがいマイメロディすっきり♪,52,52,8.0
C11349,ロビー＆[と]ケロビー,52,52,9.0
C11353,SUGAR BUNNIES,26,26,9.0
C11355,桃華月憚,26,26,15.0
C11357,SaintBeast光陰叙事詩天使譚,13,13,12.0
C11359,やさいのようせいN.Y. SALAD,26,13,6.0
C11361,Shining Tears X Wind,13,13,6.0
C11365,スパイダーライダーズよみがえる太陽,27,26,13.0
C11367,英國戀物語 エマ 第ニ幕,12,12,15.0
C11369,スカルマン,13,13,14.0
C11371,ゲゲゲの鬼太郎[第5作],100,100,17.0
C11373,天元突破グレンラガン,27,27,16.0
C11375,ハヤテのごとく!Hayate the combat butler,52,52,18.0
C11377,瀬戸の花嫁,26,26,19.0
C11379,ヒロイック・エイジ,26,26,15.0
C11381,魔法少女リリカルなのはStrikerS,26,26,14.0
C11383,アイドルマスターXENOGLOSSIA,26,26,18.0
C11385,エル・カザドEL CAZADOR DE LA BRUJA,26,26,8.0
C11387,OverDrive,26,26,6.0
C11389,大江戸ロケット,26,26,18.0
C11391,キスダムENGAGE planet,26,26,15.0
C11393,CLAYMORE,26,26,15.0
C11395,この青空に約束を─～ようこそつぐみ寮へ～,13,13,8.0
C11397,神曲奏界ポリフォニカ,12,12,9.0
C11399,機神大戦ギガンティック・フォーミュラ,26,26,19.0
C11401,鋼鉄神ジーグ,13,13,17.0
C11403,ながされて藍蘭島,26,26,9.0
C11406,トレジャーガウスト,5,5,8.0
C11408,Devil May Cry,13,13,7.0
C11410,湾岸MIDNIGHT,26,14,9.0
C11412,鉄子の旅,14,14,5.0
C11414,CODE-E,12,12,9.0
C11416,ドージンワーク,12,12,7.0
C11418,はぴはぴクローバー,13,13,14.0
C11424,ななついろ★ドロップスFirst love that encompasses you,12,12,9.0
C11426,ケンコー全裸系水泳部ウミショー,13,13,16.0
C11428,School Days,12,12,6.0
C11430,ZOMBIE-LOAN,11,11,10.0
C11432,BUZZER BEATER,13,13,18.0
C11434,スカイガールズ,26,26,16.0
C11436,ひぐらしのなく頃に解,24,24,15.0
C11438,ムシウタ Dreamer's hopeless and intense desire.,12,12,12.0
C11440,ぽてまよ,12,12,15.0
C11442,さよなら絶望先生,12,12,13.0
C11444,ゼロの使い魔双月の騎士,12,12,14.0
C11446,もえたん,13,13,14.0
C11448,モノノ怪,12,12,2.0
C11450,シグルイ,13,13,10.0
C11452,BACCANO!,13,13,14.0
C11464,シャンプー王子,12,12,6.0
C11466,D.C.Ⅱ～ダ・カーポⅡ～,13,13,14.0
C11468,Hello Kitty りんごの森とパラレルタウン,26,26,12.0
C11470,デュエル・マスターズゼロ,25,25,1.0
C11472,天才?Dr.ハマックス,12,12,3.0
C11474,やっとかめ探偵団,14,14,10.0
C11476,PRISM ARK,12,12,15.0
C11478,こどものじかん,12,12,6.0
C11480,サンリオぽこあぽこ,13,13,1.0
C11483,一期一会恋バナ友バナ,13,13,2.0
C11485,スケッチブック～full color'S～,13,13,18.0
C11487,バンブーブレード,26,26,18.0
C11489,BLUE DROP 天使達の戯曲,13,13,14.0
C11491,逆境無頼カイジUltimate Survivor,26,26,7.0
C11493,素敵探偵ラビリンス,25,25,12.0
C11495,ナイトウィザードThe ANIMATION,13,13,7.0
C11498,Myself;Yourself,13,13,10.0
C11500,魔人探偵脳噛ネウロ,25,25,6.0
C11502,もっけ,24,24,13.0
C11504,ご愁傷さま二ノ宮くん,12,12,11.0
C11506,DRAGONAUT-THE RESONANCE-,25,25,15.0
C11508,CLANNAD,23,23,17.0
C11510,灼眼のシャナ Ⅱ[Second],24,24,17.0
C11512,逮捕しちゃうぞフルスロットル,23,23,5.0
C11514,はたらキッズ マイハム組,50,50,14.0
C11516,ぷるるんっ! しずくちゃん あはっ☆,51,51,16.0
C11521,ペンギン の問題,102,102,8.0
C11523,Rocket!ぼくらを月につれてって新・月世界旅行,5,5,5.0
C11525,家電漫才ジョンテレビSHOW,25,25,
C11527,はっけん たいけんだいすき!しまじろう,108,102,4.0
C11529,ファイアボール,13,13,3.0
C11531,秘密[トップシークレット]The Revelation,26,26,14.0
C11533,カイバ,12,12,10.0
C11536,ヴァンパイア騎士[ナイト]Guilty,13,13,
C11538,紅 KURENAI,12,12,14.0
C11540,ToLOVEる,26,26,16.0
C11542,あまつき,13,13,9.0
C11544,SUGAR BUNNIESショコラ!,26,26,9.0
C11547,あやまるアニマル,18,18,
C11549,ef-a tale of melodies.,13,13,11.0
C11551,Disneyスティッチ!,26,24,15.0
C11553,伯爵と妖精,12,12,12.0
C11555,Maple Story,25,25,13.0
C11557,獣神演武 HERO TALES,26,26,15.0
C11559,みなみけ,13,13,14.0
C11561,レンタル×マギカ,24,24,8.0
C11563,げんしけん2,12,12,10.0
C11565,もやしもんTALES OF AGRICULTURE,11,11,9.0
C11567,しおんの王The Powers of Hard Blood,22,22,11.0
C11569,神霊狩/GHOST HOUND,23,23,6.0
C11571,ボノロン～不思議な森のいいつたえ～,26,25,1.0
C11575,流星のロックマントライブ,21,21,2.0
C11577,エレキングthe Animation,13,13,6.0
C11579,金田一少年の事件簿 SP[スペシャル],2,2,16.0
C11581,20th Anniversaryああっ女神さまっ闘う翼,2,1,9.0
C11583,AYAKASHI,12,12,8.0
C11587,おしゃべりなちゅどんズ,26,26,1.0
C11591,H2O～FOOTPRINTS IN THE SAND～,12,12,8.0
C11593,全力ウサギ,52,52,6.0
C11595,破天荒遊戯,10,10,12.0
C11599,attacked kuma3[第1期],11,11,
C11601,君が主で執事が俺でThey are my noble Masters,13,13,12.0
C11603,シゴフミ,12,12,12.0
C11605,true tears,14,14,13.0
C11607,のらみみ,12,12,17.0
C11609,教えて! 土管くん,5,5,
C11611,onちゃん[第1期],26,26,11.0
C11613,ロザリオとバンパイア,13,13,17.0
C11615,【俗・】さよなら絶望先生,13,13,15.0
C11617,ポルフィの長い旅,52,52,16.0
C11619,みなみけ おかわり,13,13,
C11621,ARIAThe ORIGINATION,13,13,10.0
C11623,GUNSLINGER GIRL.IL TEATRINO,18,17,13.0
C11625,狼と香辛料,13,13,9.0
C11627,墓場鬼太郎,11,11,18.0
C11631,ヤッターマン,63,63,9.0
C11635,古代王者 恐竜キング Dキッズ・アドベンチャー 翼竜伝説,30,30,12.0
C11637,Mnemosyne-ムネモシュネの娘たち─,18,18,9.0
C11641,Yes!プリキュア5 Go Go!,48,48,14.0
C11643,BUS GAMER,3,3,6.0
C11645,増田こうすけ劇場ギャグマンガ日和3,13,13,7.0
C11647,チーズスイートホーム,104,104,3.0
C11649,リトル・チャロ,54,54,
C11652,かのこん,12,12,12.0
C11654,デュエル・マスターズ クロス,102,102,17.0
C11655,忍者玉丸,26,26,3.0
C11656,Qファイターズ!チョロQデッキシステム,5,5,5.0
C11658,Mission E,12,12,12.0
C11660,天体戦士サンレッド,26,26,4.0
C11662,イナズマイレブン,127,125,18.0
C11664,THE UNKNOWN GIRL FRIENDケメコデラックス!,12,12,13.0
C11666,とある魔術の禁書目録[インデックス],24,24,13.0
C11668,ライブオンCARDLIVER 翔[かける],51,51,13.0
C11670,喰霊-零-,12,12,15.0
C11672,今日の5の2,13,13,10.0
C11674,スキップ・ビート!,25,25,11.0
C11676,まかでみWAっしょい!,12,12,17.0
C11677,東のエデン Air Communication,12,12,16.0
C11679,初恋限定。[ハツコイリミテッド],13,13,12.0
C11681,遊☆戯☆王5D'S,154,152,13.0
C11683,アリソンとリリア,26,26,16.0
C11684,のだめカンタービレ巴里編,11,11,16.0
C11686,純情ロマンチカ2,12,12,2.0
C11687,戦国BASARA,12,12,18.0
C11689,けいおん!,13,13,10.0
C11691,バスカッシュ!,26,26,16.0
C11693,PandoraHearts,25,25,12.0
C11695,Phantom Requiem for the Phantom,26,26,13.0
C11697,聖剣の刀鍛冶[ブラックスミス],12,12,15.0
C11699,そらのおとしもの,13,13,15.0
C11701,チェブラーシカあれれ?,18,17,6.0
C11703,リストランテ・パラディーゾ,11,10,12.0
C11706,xxxHOLiC◆継[ケイ],13,13,16.0
C11708,マクロスF[フロンティア],27,26,13.0
C11710,THE ANIMATIONドルアーガの塔the Aegis of URUK,12,12,13.0
C11712,BLUE DRAGON天界の七竜,51,51,16.0
C11714,おねがい マイメロディ きららっ★,52,52,15.0
C11716,仮面のメイドガイ,12,12,14.0
C11718,コードギアス反逆のルルーシュ R2,26,26,18.0
C11720,絶対可憐チルドレン,52,52,17.0
C11722,D.C.Ⅱ S.S.,13,13,13.0
C11724,ネットゴーストPIPOPA,51,51,17.0
C11726,BLASSREITER,25,25,15.0
C11728,S・Aスペシャル・エー,25,25,11.0
C11730,SOUL・EATER,52,52,17.0
C11732,隠の王,26,26,18.0
C11734,Neo AngeliqueAbyss,13,13,17.0
C11736,我が家のお稲荷さま。,24,24,14.0
C11738,ヴァンパイア騎士[ナイト],13,13,12.0
C11740,うちの3姉妹,102,102,6.0
C11742,モノクローム・ファクター,24,24,12.0
C11744,RD 潜脳調査室,26,26,14.0
C11746,CRYSTAL BLAZE,12,12,13.0
C11748,純情ロマンチカ,12,12,8.0
C11750,図書館戦争,12,12,10.0
C11752,ゴルゴ13,50,50,4.0
C11754,狂乱家族日記,26,26,18.0
C11756,二十面相の娘,22,22,12.0
C11760,RoBoDz風雲篇,26,26,11.0
C11762,一騎当千Great Guardians,12,12,15.0
C11764,テレパシー少女❤蘭,26,26,7.0
C11766,ULTRAVIOLETCode 044,13,13,9.0
C11768,スケアクロウマンSCARECROWMAN THE ANIMATION,26,26,6.0
C11772,ゼロの使い魔三美姫の輪舞[プリンセッセ][ロンド],12,12,18.0
C11774,WORLDDESTRUCTION世界撲滅の六人,13,13,9.0
C11776,恋姫†無双,12,12,18.0
C11778,無限の住人BLADEOF THE IMMORTAL,13,13,10.0
C11780,いじいじくん,20,20,1.0
C11782,セキレイ,12,12,19.0
C11784,スレイヤーズREVOLUTION,13,13,11.0
C11786,魔法遣いに大切なこと～夏のソラ～,12,12,12.0
C11788,ストライクウィッチーズ,12,12,10.0
C11790,西洋骨董洋菓子店～アンティーク～,12,12,5.0
C11792,ひだまりスケッチ×365,13,13,11.0
C11794,鉄腕バーディーDECODE,13,13,9.0
C11796,薬師寺涼子の怪奇事件簿,13,13,11.0
C11798,Neo Angelique Abyss Second Age,13,13,1.0
C11800,夏目友人帳,14,14,12.0
C11802,乃木坂春香の秘密,13,12,14.0
C11810,バトルスピリッツ少年突破バシン,50,49,14.0
C11812,のらみみ2,12,12,16.0
C11814,開運 大便小僧,26,25,1.0
C11816,熱走!亀1グランプリ,13,13,5.0
C11818,ネットミラクルショッピング[第1期],7,4,
C11820,カン・ゴローの四字熟語な生活,22,17,
C11822,絶対やれるギリシャ神話,13,13,7.0
C11824,黒塚 KUROZUKA,13,13,11.0
C11826,純愛コスメティックアニメ美肌一族,12,12,8.0
C11828,魍魎の匣,13,13,15.0
C11830,"ONE OUTS Nobody wins,but I!",25,25,21.0
C11832,カオス;ヘッド,12,12,15.0
C11834,ねぎぼうずのあさたろう,48,48,10.0
C11838,キャシャーンSins,24,24,7.0
C11840,屍姫赫,13,13,15.0
C11842,とらドラ!,25,25,12.0
C11844,ヒャッコ,13,12,16.0
C11846,ロザリオとバンパイア CAPU 2[チュ～]❤,13,13,6.0
C11848,あかね色に染まる坂,12,12,11.0
C11850,CLANNAD ～AFTER STORY～,24,24,4.0
C11852,黒執事,26,26,15.0
C11854,TALES OF THE ABYSS,26,25,12.0
C11856,北斗の拳 ラオウ外伝 天の覇王,13,13,12.0
C11858,夜桜四重奏[カルテット],12,12,15.0
C11860,かんなぎCrazy Shrine Maidens,13,13,10.0
C11862,鉄のラインバレル,24,24,17.0
C11864,地獄少女 三鼎,27,27,10.0
C11866,しゅごキャラ!! どきっ,51,51,20.0
C11868,TYTANIA,26,22,16.0
C11871,DARKER THAN BLACK 流星の双子,12,12,14.0
C11873,はなまる 幼稚園,12,12,15.0
C11875,刀語[カタナガタリ],12,12,16.0
C11877,ハートキャッチプリキュア!,49,49,17.0
C11879,ミチコとハッチン,22,18,1.0
C11881,お茶犬緑[リョク]っとものがたり,13,13,
C11883,おねがい!ポクポン,13,13,2.0
C11887,聖闘士星矢冥王 ハーデスエリシオン編,6,3,16.0
C11890,屍 姫 玄,12,12,15.0
C11892,アキカン!,12,12,10.0
C11894,WHITE ALBUM[第1期],13,13,13.0
C11896,まりあ†ほりっく,12,12,18.0
C11898,VIPER'S CREED,13,13,15.0
C11900,はじめの 一歩 THE FIGHTING! NewChallenger,26,26,18.0
C11902,明日のよいち!,12,12,17.0
C11904,黒神The Animation,24,24,19.0
C11906,THE ANIMATIONドルアーガの塔the Sword of URUK,12,12,18.0
C11908,クプ～!!まめゴマ!,51,51,14.0
C11910,エグザムライ戦国,25,25,8.0
C11912,スレイヤーズEVOLUTION-R,13,13,13.0
C11914,源氏物語千年紀Genji,11,11,13.0
C11916,マリア様がみてる[第4期],13,13,17.0
C11918,みなみけおかえり,13,13,17.0
C11920,続夏目友人帳,13,13,10.0
C11922,宇宙[そら]をかける少女,26,26,15.0
C11924,獣の奏者 エリン,60,60,17.0
C11926,鉄腕バーディーDECODE:02,13,13,17.0
C11928,鋼殻のレギオス,24,24,13.0
C11930,RIDEBACK,12,12,16.0
C11932,空を見上げる少女の瞳に映る世界,9,9,13.0
C11934,フレッシュプリキュア!,50,50,15.0
C11936,金色のコルダsecondo passo,2,2,16.0
C11938,クッキンアイドルアイ!マイ!まいん!,80,80,18.0
C11940,チーズスイートホームあたらしいおうち,104,103,6.0
C11944,マリー＆ガリー,40,40,8.0
C11948,キャラディのジョ～クな毎日,397,365,2.0
C11950,QUEEN'S BLADE 流浪の戦士,12,12,18.0
C11952,涼宮ハルヒの憂鬱[第2期],14,14,9.0
C11954,ヒゲぴよ,39,37,12.0
C11955,こんにちは アン before green gables,39,39,16.0
C11957,咲Saki,25,25,20.0
C11959,ティアーズ・トゥ・ティアラ,26,26,13.0
C11963,SUGAR BUNNIES フルール,26,26,11.0
C11965,07-GHOST,25,25,20.0
C11969,毎日かあさん,142,141,13.0
C11971,アスラクライン,13,13,17.0
C11973,アラド戦記スラップアップパーティー,26,26,16.0
C11975,極上!! めちゃモテ 委員長,53,53,18.0
C11976,QUEEN'S BLADE 玉座を継ぐ者,12,12,16.0
C11978,バトルスピリッツ 少年激覇ダン,50,50,13.0
C11983,爆丸 バトルブローラーズ ニューヴェストロイア,54,53,16.0
C11988,デジモン クロスウォーズ,30,29,10.0
C11990,ぬらりひょんの孫,25,25,19.0
C11992,Hello Kitty りんごの森のファンタジー,13,13,1.0
C11994,アニメ 冬のソナタ,27,27,
C11996,ひだまりスケッチ×365[特別編],4,2,10.0
C11998,まほろまてぃっくAutomatic Maidenただいま◇おかえり,2,2,13.0
C12000,アスラ クライン 2,13,13,4.0
C12002,マリー ＆ ガリー Ver[ばーじょん].2.0,32,32,8.0
C12004,一騎当千 XTREME XECUTOR,12,12,18.0
C12005,セキレイ Pure Engagement,12,12,18.0
C12007,世紀末 オカルト学院,13,13,17.0
C12009,真マジンガー衝撃! Z編on television,26,26,16.0
C12013,GUIN SAGA,26,26,19.0
C12015,クロス×ゲーム,50,50,18.0
C12017,ジュエルペット,52,52,14.0
C12019,神曲奏界ポリフォニカcrimson S,12,12,12.0
C12021,戦場のヴァルキュリアVALKYRIA・CHRONICLES,26,26,13.0
C12023,DRAGON BALL KAI,97,97,17.0
C12025,鋼の錬金術師 FULLMETAL ALCHEMIST,65,63,12.0
C12027,花咲ける 青少年,45,45,19.0
C12029,メタルファイトベイブレード,51,51,20.0
C12031,シャングリ・ラ,24,24,19.0
C12033,タユタマkissonmyDeity,12,12,14.0
C12035,夏のあらし!,13,13,9.0
C12037,蒼天航路,26,26,19.0
C12039,うんこさん,13,13,1.0
C12043,ヴァイス・サヴァイヴ,16,16,6.0
C12045,うみものがたり～あなたがいてくれたコト～,12,12,12.0
C12047,ファイト一発!充電ちゃん!!,12,12,17.0
C12049,青い花 Sweet Blue Flowers,11,11,18.0
C12051,NEEDLESS,23,23,17.0
C12053,【懺・】さよなら絶望先生,13,13,16.0
C12055,プリンセスラバー!,12,12,14.0
C12057,GA 芸術科アートデザインクラス,12,12,12.0
C12059,狼と香辛料Ⅱ,12,12,11.0
C12061,よくわかる現代魔法,13,13,11.0
C12063,うみねこのなく頃に,26,26,15.0
C12065,大正野球娘。,12,12,18.0
C12067,化物語,13,13,10.0
C12069,エレメントハンター,39,37,17.0
C12071,CANAAN,13,13,14.0
C12072,アニメ くるねこ[第1期],50,50,
C12074,かなめも,13,13,9.0
C12076,宙[そら]のまにまに,12,12,17.0
C12078,東京マグニチュード8.0,12,12,17.0
C12082,炬燵猫,26,26,4.0
C12084,しゅご キャラ!!! どっきどきっ,25,25,1.0
C12086,しゅご キャラ! ぷっち ぷち,25,25,19.0
C12089,空中ブランコ,11,11,12.0
C12090,けんぷファー,12,12,13.0
C12092,戦う司書 The Book of Bantorra,28,28,18.0
C12094,にゃんこい!,12,12,16.0
C12096,生徒会の一存 碧陽学園生徒会議事録,12,12,8.0
C12098,テガミバチ,25,25,11.0
C12100,とある科学の 超電磁砲[レールガン],24,24,16.0
C12102,犬夜叉 完結編,26,26,16.0
C12104,夢色 パティシエール,50,50,16.0
C12106,あにゃまる探偵 キルミン ずぅ,50,49,12.0
C12108,真 恋姫†無双,12,12,18.0
C12110,夏のあらし! 春夏冬中[あきないちゅう],13,13,
C12112,ミラクル☆トレイン～大江戸線へようこそ～,13,13,13.0
C12114,こばと。,24,23,18.0
C12116,乃木坂春香の 秘密 ぴゅあ れっつぁ♪,12,12,17.0
C12118,11eyes,12,12,14.0
C12120,君に届け,25,25,17.0
C12122,秘密結社鷹の爪カウントダウン,11,11,1.0
C12124,ささめきこと,13,13,12.0
C12126,ご姉弟物語,32,32,14.0
C12128,青い文学,12,10,15.0
C12130,たまごっち!,144,143,9.0
C12132,FAIRY TAIL,175,175,17.0
C12134,怪談レストラン,23,23,8.0
C12135,Disney スティッチ! いたずらエイリアンの大冒険,29,26,17.0
C12137,KIDDY GIRL-AND,24,24,15.0
C12141,ヴァイス* サヴァイヴR,12,12,6.0
C12143,ハヤテのごとく!!Hayate the combat batler2nd season,25,25,18.0
C12144,COBRA THE ANIMATION,13,13,17.0
C12146,ちゅーぶら!!,12,12,14.0
C12150,れでぃ×ぱと! Ladies versus Butlers!,12,12,15.0
C12152,怪盗レーニャ,12,12,5.0
C12156,のだめカンタービレ　フィナーレ,12,12,14.0
C12158,ソ・ラ・ノ・ヲ・ト,12,12,15.0
C12160,増田こうすけ劇場 ギャグ マンガ 日和 +[プラス],13,13,7.0
C12162,おまもりひまり,12,12,13.0
C12164,ダンス イン ザ ヴァンパイアバンド,13,13,17.0
C12166,バカとテスト と召喚獣,13,13,16.0
C12168,おおかみかくし,12,12,16.0
C12170,デュラララ!!,24,24,17.0
C12172,ひだまり スケッチ × ☆☆☆[ほしみっつ],12,12,14.0
C12174,聖痕の クェイサー,24,24,18.0
C12176,フラカッパー,104,78,5.0
C12178,エア・ギア,25,25,8.0
C12179,祝福のカンパネラ,12,12,15.0
C12181,生徒会 役員共,13,13,14.0
C12183,屍鬼,22,22,17.0
C12185,戦国 BASARA弐,12,12,18.0
C12189,あまえ ないでよっ!! 喝!!,13,13,7.0
C12191,鍵姫物語永久アリス輪舞曲［ロンド］,13,13,9.0
C12193,マジカノ,13,13,10.0
C12196,NANA,55,54,12.0
C12198,桜蘭高校ホスト部,26,26,8.0
C12201,はなかっぱ,75,75,16.0
C12203,リトル・チャロ2 英語に恋する物語,37,37,3.0
C12205,真 恋姫†無双 ～乙女大乱～,12,12,18.0
C12209,B型H系,12,12,14.0
C12211,リングにかけろ 1 影道編[SHADOW],6,3,16.0
C12213,Angel Beats!,13,13,19.0
C12215,ジュエルペット　てぃんくる☆,52,52,16.0
C12217,デュエル・マスターズ クロス ショック,51,51,17.0
C12221,GIANT KILLING,26,26,17.0
C12223,ひめ チェン! おとぎちっくアイドル リルぷりっ,51,51,15.0
C12225,Kiss × sis,12,12,11.0
C12227,しまじろう ヘソカ,105,101,18.0
C12231,まじっく快斗 KID THE PHANTOM THIEF 第1話 「蘇る怪盗」,1,1,5.0
C12233,HEROMAN,26,26,16.0
C12235,おおきく 振りかぶって ～夏の大会編～,13,13,18.0
C12237,会長は メイド様!,26,26,19.0
C12239,いちばんうしろの 大魔王,12,12,18.0
C12241,SD ガンダム 三国伝 Brave Battle Warriors,51,50,14.0
C12243,極上!! めちゃモテ 委員長 Second Collection,51,51,18.0
C12245,薄桜鬼 新選組 奇譚,12,12,17.0
C12247,メタルファイト ベイブレード 爆,51,51,18.0
C12249,WORKING!!,12,12,13.0
C12251,荒川アンダー ザ ブリッジ,13,13,15.0
C12253,閃光のナイトレイド,14,14,11.0
C12255,迷い猫 オーバーラン!,13,13,13.0
C12257,けいおん!!,26,26,13.0
C12259,RAINBOW 二舎六房の七人,26,26,13.0
C12261,裏切りは 僕の名前を知っている,24,24,17.0
C12263,さらい屋 五葉,13,12,13.0
C12265,四畳半神話大系,11,11,10.0
C12267,オオカミさんと 七人の仲間たち,12,12,10.0
C12269,黒執事Ⅱ,12,12,15.0
C12271,みつ どもえ,13,13,14.0
C12273,学園黙示録 HIGH SCHOOL OF THE DEAD,12,12,17.0
C12275,女子高生 “GIRL'S-HIGH”,12,12,9.0
C12277,Strawberry Panic,26,26,11.0
C12279,ガラスの艦隊 La legende du vent de l'univers,26,24,17.0
C12282,TOKKÔ 特公,15,14,11.0
C12284,もっと兼本さん宅,16,16,
C12286,TAMA＆FRIENDS 探せ! 魔法のプニプニストーン,26,26,3.0
C12288,機神咆吼デモンベイン,12,12,12.0
C12290,神様家族,13,13,6.0
C12292,蛙男劇場,59,57,1.0
C12295,DiSNEY スティッチ! ずっと最高のトモダチ,29,29,17.0
C12297,ストライク ウィッチーズ2,12,12,11.0
C12299,あそびに いくヨ!,12,12,17.0
C12301,アマガミ SS,25,25,16.0
C12303,伝説の勇者の伝説,25,25,14.0
C12305,キン肉マンⅡ世 ULTIMATE MUSCLE 2,13,13,17.0
C12307,落語天女おゆい,12,12,8.0
C12309,Fate/stay night,24,24,7.0
C12311,LEMON ANGEL PROJECT,13,13,8.0
C12313,ワンワンセレプー それゆけ! 徹之進,51,51,13.0
C12315,陰からマモル!,12,11,6.0
C12317,タクティカルロア,13,13,10.0
C12319,爆球HIT! クラッシュビーダマン,50,50,9.0
C12321,よみがえる空 ──RESCUE WINGS,13,12,9.0
C12323,おろしたてミュージカル 練馬大根ブラザーズ,12,12,5.0
C12325,プレイボール 2nd,13,12,8.0
C12327,Funny Pets [第1期],12,12,
C12329,かしまし ～ガール・ミーツ・ガール～,12,12,8.0
C12331,怪 ～ayakashi～ JAPANESE CLASSIC HORROR,11,11,
C12333,半分の月がのぼる空,6,6,8.0
C12335,お茶犬 ～「ほっ」とものがたり～,13,13,1.0
C12337,吟遊黙示録マイネリーベ wieder,13,13,12.0
C12339,Kin-Qキッズ ★ おたすK隊,12,12,5.0
C12341,びんちょうタン,12,11,9.0
C12343,REC,10,10,5.0
C12345,ふたりは プリキュアSplash★Star,49,49,10.0
C12347,パピヨンローゼ New Season,6,6,9.0
C12349,Ergo Proxy,25,25,9.0
C12351,しにがみのバラッド。 Momo the girl god of death,6,6,2.0
C12355,学園ヘヴン BOY'S LOVE HYPER!,13,13,14.0
C12357,ふしぎ星の★ふたご姫 Gyu!,52,52,10.0
C12359,ぽかぽか森のラスカル,52,52,8.0
C12361,妖怪人間ベム［新］,26,26,9.0
C12363,おねがいマイメロディ くるくるシャッフル!,52,52,2.0
C12365,格闘美神 武龍[ウーロン] REBIRTH,25,25,2.0
C12367,牙 TV ANIMATION SERIES,51,51,19.0
C12369,Soul Link,13,13,11.0
C12371,デジモンセイバーズ,48,48,12.0
C12373,吉永さん家のガーゴイル,13,13,11.0
C12375,アクビ Girl,26,26,4.0
C12377,ARIA The NATURAL,30,26,8.0
C12379,School Rumble 二学期,26,25,9.0
C12381,涼宮ハルヒの憂鬱,14,14,10.0
C12383,ぜんまいざむらい,176,173,8.0
C12385,GEKIFU 妖逆門,51,51,9.0
C12387,味楽る! ミミカ [第1期],15,15,9.0
C12389,うたわれるもの,26,26,11.0
C12391,銀魂,201,194,11.0
C12393,SIMOUN,26,26,9.0
C12394,スパイダーライダーズ オラクルの勇者たち,26,26,12.0
C12396,とっとこ ハム太郎 は～い!,78,78,10.0
C12398,ひぐらしのなく頃に,26,26,8.0
C12400,恋する天使 アンジェリーク ～心のめざめる時～,13,13,10.0
C12402,となグラ!,13,13,6.0
