プラットフォーム名,パッケージ名,ゲームパッケージの価格,年代
ドリームキャスト,サカつく特大号2 J.LEAGUE プロサッカークラブをつくろう!,4800.0,2000
ニンテンドーゲームキューブ,シャーマンキング ソウルファイト バンダイ ザ・ベスト,3800.0,2000
プレイステーション2,THE はじめてのRPG ～伝説の継承者～,2100.0,2000
プレイステーション,焼肉奉行 Best of Best,2000.0,2000
プレイステーション,Hello Kitty イラストパズル,1500.0,2000
プレイステーション,シーバス1-2-3 DESTINY! 運命を変える者!,5800.0,2000
ゲームボーイアドバンス,サンサーラナーガ1x2,4980.0,2000
ネオジオポケット,ソニック・ザ・ヘッジホッグ ポケットアドベンチャー,3800.0,2000
ゲームボーイアドバンス,学園アリス ～ドキドキ★不思議たいけん～,5040.0,2000
プレイステーション2,兎 -野性の闘牌-,5040.0,2000
ゲームボーイ,雀級生 ～コスプレ★パラダイス～,4800.0,2000
プレイステーション,眠る繭,5800.0,2000
プレイステーション2,バスランディング3,7140.0,2000
プレイステーション2,撞球 ビリヤードマスター2 低価格版,1500.0,2000
MicrosoftWindows,Artificial Mermaid SILVER CHAOS 2,6800.0,2000
MicrosoftWindows,ふぉ～りんLOVE,8800.0,2000
ゲームボーイアドバンス,ロックマンエグゼ4 トーナメント ブルームーン アクセスセットSP,17300.0,2000
プレイステーション2,実戦パチスロ必勝法! 獣王 DXパック,6800.0,2000
プレイステーション,実況パワフルプロ野球 2000決定版,,2000
プレイステーション2,ボボボーボ・ボーボボ ハジけ祭,6090.0,2000
プレイステーション2,グランド・セフト・オート・バイスシティ,7140.0,2000
ドリームキャスト,PowerSmash,5800.0,2000
プレイステーション2,オペレーターズサイド PlayStation2® the Best,3150.0,2000
プレイステーション,ポポロクロイス物語2 PlayStation® the Best,2800.0,2000
プレイステーション2,カナリア ～この想いを歌に乗せて～,5229.0,2000
MicrosoftWindows,SiM PEOPLE バケーション! データセット 日本語版,1980.0,2000
ドリームキャスト,餓狼 MARK OF THE WOLVES SNK BEST BUY,2800.0,2000
ゲームボーイ,合格ボーイシリーズ □い頭を○くする 常識の書,3800.0,2000
ゲームボーイアドバンス,アンジェリーク,5800.0,2000
ゲームボーイアドバンス,リトルパティシエ ケーキのお城,5040.0,2000
ゲームボーイアドバンス,ポケットモンスターリーフグリーン ワイヤレスアダプタ同梱版,4800.0,2000
MicrosoftWindows,The おえかきパズル 1,1500.0,2000
ドリームキャスト,エルドラドゲート 第1巻,2800.0,2000
ネオジオポケット,目指せ! 漢字王,3980.0,2000
MicrosoftWindows,炎の蜃気楼 mirage of blaze digital collection,3800.0,2000
MicrosoftWindows,大戦略 マスターコンバット2,2000.0,2000
プレイステーション,サラリーマン金太郎 THE GAME,3800.0,2000
macOS,マネースマート TYPE R,4800.0,2000
ゲームボーイアドバンス,学校の怪談～百妖箱の封印～,5040.0,2000
Xbox,ミスト3: エグザイル,6800.0,2000
Xbox,R: RACING EVOLUTION 初回限定版,6800.0,2000
ドリームキャスト,ネッパチ 4  @VPACHI ～CR嗚呼!! 花の応援団3～,4800.0,2000
プレイステーション,The Maestromusic,2800.0,2000
ゲームボーイ,漢字deパズル,4200.0,2000
プレイステーション,キッズステーション 美少女戦士セーラームーンワールド ちびうさとたのしいまいにち キッズステーションコントローラセット,5800.0,2000
ドリームキャスト,セガガガ ドリコレ,2800.0,2000
プレイステーション2,SEGA AGES 2500 シリーズ Vol. 1 ファンタシースターgeneration: 1 初回限定版,2500.0,2000
プレイステーション,遙かなる時空の中で 盤上遊戯,4800.0,2000
ゲームボーイアドバンス,新日本プロレスリング闘魂列伝アドバンス,5800.0,2000
ドリームキャスト,シーマン ～禁断のペット～ 2001年対応版,6800.0,2000
プレイステーション,SuperLite 1500 シリーズ まわってムーチョ!,1500.0,2000
プレイステーション,れでぃ☆めいど,6800.0,2000
ニンテンドーゲームキューブ,ニード・フォー・スピード アンダーグラウンド2,7140.0,2000
プレイステーション,Dr.リンにきいてみて! ～恋のハッピーフォーシーズン～,4800.0,2000
プレイステーション2,強襲機甲部隊 攻撃ヘリコプター戦記,7140.0,2000
ゲームボーイアドバンス,風のクロノアG2 ドリームチャンプ・トーナメント,4800.0,2000
ワンダースワン,デジモンアドベンチャー アノードテイマー デジモンスペシャルカラー本体セット,6800.0,2000
プレイステーション2,NHK 天才ビットくん グラモンバトル,6090.0,2000
プレイステーション,JELLY FISH The Healing Friend,4800.0,2000
macOS,ESCAPE CD-ROM ハイブリッド版,5900.0,2000
MicrosoftWindows,Canvas ～セピア色のモチーフ～,8800.0,2000
プレイステーション,GUNBALINA,5800.0,2000
ニンテンドーゲームキューブ,ソニック メガコレクション,5800.0,2000
ClassicMacOS,撃沈!,500.0,2000
プレイステーション2,SNOW 初回限定版,7200.0,2000
プレイステーション,GUITAR FREAKS APPEND 2nd MIX,2800.0,2000
Xbox,斬 歌舞伎,6800.0,2000
プレイステーション2,EA SPORTS FIFA 2003 ヨーロッパサッカー,7140.0,2000
MicrosoftWindows,提督の決断4withパワーアップキット,13800.0,2000
プレイステーション,悠久のエデン アスキー・カジュアルコレクション,2000.0,2000
ドリームキャスト,スーパーロボット大戦 α: for Dreamcast,7800.0,2000
ニンテンドーゲームキューブ,魔法のパンプキン ～アンとグレッグの大冒険～,6800.0,2000
プレイステーション2,SIMPLE 2000 シリーズ Ultimate Vol. 5 ラブ ★ マージャン!,2100.0,2000
プレイステーション2,レガイア デュエルサーガ PlayStation2 the Best,3150.0,2000
ゲームボーイアドバンス,ヨッシーの万有引力,4800.0,2000
プレイステーション,東京ミュウミュウ 登場新ミュウミュウ! みんないっしょにご奉仕するにゃん♥,4980.0,2000
プレイステーション2,ヤンヤ カバジスタ ～featuring Gawoo～,7140.0,2000
プレイステーション2,インターネットオセロ オセロワールド24,6090.0,2000
プレイステーション2,SMash COURT PRO TOURNAMENT 2,7140.0,2000
ゲームボーイ,金田一少年の事件簿 ～10年目の招待状～,3980.0,2000
ゲームボーイアドバンス,GREATEST NINE グレイテストナイン,5800.0,2000
ゲームボーイアドバンス,おしゃれワンコ,4800.0,2000
ゲームボーイアドバンス,SIMPLE 2960ともだち シリーズ Vol. 2 THE ブロックくずし,2960.0,2000
プレイステーション,北斗の拳 世紀末救世主伝説,5800.0,2000
プレイステーション2,The MARK OF KRI,6800.0,2000
プレイステーション,カードキャプターさくら クロウカードマジック,4800.0,2000
プレイステーション2,爆封スラッシュ! キズナ嵐,4725.0,2000
ドリームキャスト,ETERNAL ARCADIA LIMITED BOX［初回限定版］,9800.0,2000
ドリームキャスト,THE KING OF FIGHTERS 2000 ドリコレ,2800.0,2000
プレイステーション2,超・バトル封神＆真・三國無双2 猛将伝 プレミアムパック アクションセット,7800.0,2000
プレイステーション,Major Wave シリーズ 蒼穹紅蓮隊,1500.0,2000
プレイステーション,タツノコファイト THE BEST タカラモノ,2000.0,2000
プレイステーション,サガ フロンティア PS one Books,2500.0,2000
プレイステーション2,ギタルマン ワン,1500.0,2000
ゲームボーイ,モン★スタートラベラー,4300.0,2000
プレイステーション2,FIRE FIGHTER F.D.18,7329.0,2000
プレイステーション,SuperLite Gold シリーズ みんなの将棋上級編,1800.0,2000
プレイステーション2,SOCOM 2 : U.S.NAVY SEALs,7140.0,2000
プレイステーション,PUZZNIC,4800.0,2000
Xbox,GUNVALKYRIE,6800.0,2000
Xbox,ミッドタウン マッドネス3,6800.0,2000
プレイステーション2,Love Songs♪ アイドルがクラスメ～ト 初回限定版 瀬戸・観月バージョン,9800.0,2000
プレイステーション,シネマ英会話シリーズ インターセプター 廉価版,3800.0,2000
プレイステーション,ZOIDS 帝国vs共和国 ～メカ生体の遺伝子～,5800.0,2000
プレイステーション2,天誅 紅,7140.0,2000
ゲームボーイ,サクラ大戦GB2 サンダーボルト作戦,5800.0,2000
プレイステーション,SuperLite 3in1 シリーズ おえかきパズル集,2800.0,2000
ゲームボーイアドバンス,ピンキーモンキータウン,4800.0,2000
ゲームボーイアドバンス,ケロロ軍曹 対決! 激走ケロンプリ大作戦であります!!,5040.0,2000
ドリームキャスト,21-Two One- 初回限定版,6800.0,2000
MicrosoftWindows,コーエー25周年記念パック Vol.4,4500.0,2000
NINTENDO64,ハムスター物語 64,6480.0,2000
プレイステーション2,セ・パ2001,7140.0,2000
プレイステーション2,熱チュー! プロ野球2003 秋のナイターまつり,6090.0,2000
ドリームキャスト,井上涼子 ～ラストシーン～,4800.0,2000
プレイステーション,SLOT! PRO 大江戸桜吹雪2,2900.0,2000
プレイステーション,THE キックボクシング,1500.0,2000
Xbox,サイヴァリア2 エクステンドエディション,4800.0,2000
プレイステーション2,ポイニーポイン,6090.0,2000
ゲームボーイアドバンス,F-ZERO FOR GAMEBOY ADVANCE,4800.0,2000
プレイステーション2,SIMPLE 2000 シリーズ Vol. 42 THE 異種格闘技 ボクシングVSキックVS空手VSプロレスVS柔術VS…,2100.0,2000
ドリームキャスト,Pia キャロットへようこそ!! 2.5,7200.0,2000
ニンテンドーゲームキューブ,ペーパーマリオRPG,5800.0,2000
ゲームボーイ,タイトーメモリアル チェイスH.Q.,3980.0,2000
プレイステーション2,TBS オールスター感謝祭 Vol. 1 超豪華! クイズ決定版,5229.0,2000
ワンダースワン,リング∞ 初回限定版,5200.0,2000
プレイステーション,犬の飼い方 ～世界の犬カタログ～,1500.0,2000
プレイステーション2,くりクリミックス,6090.0,2000
プレイステーション2,SIMPLE 2000 シリーズ Ultimate Vol. 7 最強! 白バイキング SECURITY POLICE,2100.0,2000
プレイステーション,SuperLite 1500 シリーズ SPIDER-MAN,1500.0,2000
ニンテンドーゲームキューブ,エターナルアルカディア レジェンド お買い得版,2800.0,2000
プレイステーション,VIRTUA PACHI-SLOT7,4800.0,2000
ゲームボーイ,なかよしペットシリーズ5 かわいいハムスター2,4200.0,2000
プレイステーション2,ネットでボンバーマン,3990.0,2000
プレイステーション2,ダーククロニクル,6090.0,2000
MicrosoftWindows,r.p.m. 瞳の中の想い出,8800.0,2000
プレイステーション2,ハドソンセレクション Vol. 4 高橋名人の冒険島,3150.0,2000
プレイステーション,VICTORY BOXING,5800.0,2000
プレイステーション2,A列車で行こう2001 パーフェクトセット,6800.0,2000
プレイステーション2,真・三國無双2,7140.0,2000
MicrosoftWindows,AIが止まらない! 新装版 0⇒9,3800.0,2000
プレイステーション2,ハイパーストリートファイター2  ～アニバーサリーエディション～,3990.0,2000
ゲームボーイ,DXモノポリーGB,3980.0,2000
プレイステーション2,THE 地球侵略郡 スペースレイダース,2100.0,2000
プレイステーション2,はっぴ～ぶり～でぃんぐ ～Cheerful party～,7140.0,2000
MicrosoftWindows,モンスターダンジョン,1000.0,2000
プレイステーション2,魔界戦記 ディスガイア PlayStation2 the Best,2800.0,2000
ワンダースワン,名探偵コナン 夕暮れの皇女,3980.0,2000
ネオジオ,レイジ・オブ・ザ・ドラゴンズ,39800.0,2000
プレイステーション2,SIMPLE 2000 シリーズ Vol. 38 漢のためのバイブル THE 友情アドベンチャー ～炎多留・魂～,2000.0,2000
ドリームキャスト,花組対戦コラムス2- サクラ大戦-,,2000
ドリームキャスト,CAPCOM VS. SNK 2 MILLIONAIRE FIHGTING 2001,6800.0,2000
プレイステーション2,カルドセプト セカンド エキスパンション PlayStation2 the Best,3150.0,2000
プレイステーション2,爆走! マンハッタン ～ランナバウト3neoAGE～,2000.0,2000
ドリームキャスト,サクラ大戦 3 巴里は燃えているか,7800.0,2000
ゲームボーイアドバンス,ボンバーマンマックス2 マックスバージョン,4800.0,2000
プレイステーション2,ウィザードリィ エンパイア3  ～覇王の系譜～ Good Price 限定版,3990.0,2000
プレイステーション,バーチャル競艇2000,6800.0,2000
プレイステーション2,ボンバーマンランドシリーズ ボンバーマンカートDX,6279.0,2000
MicrosoftWindows,Floralia +,5800.0,2000
ニンテンドーゲームキューブ,ポケモンボックスルビー&サファイア お買い得GBAケーブルパック,2800.0,2000
プレイステーション2,DEAD OR ALIVE2 初回限定版,6000.0,2000
プレイステーション,プレイで覚えるTOEIC TEST語句でるでる1700,2800.0,2000
プレイステーション2,爆走マウンテンバイカーズ,6090.0,2000
プレイステーション,名探偵コナン 3人の名推理 BANDAI THE BEST,2800.0,2000
ドリームキャスト,HHEAVY METAL Geomatrix,5800.0,2000
MicrosoftWindows,FIFA2003ヨーロッパサッカー,7980.0,2000
プレイステーション,SuperLite 1500 シリーズ Neo ATLAS,1500.0,2000
ドリームキャスト,RECORD OF LODOSS WAR The Advent of Cardice ロードス島戦記 邪神降臨 ドリコレ,2800.0,2000
プレイステーション,SuperLite 1500 シリーズ よしもと麻雀倶楽部DELUX,1500.0,2000
プレイステーション,まぼろし月夜 月夜野綺譚,5800.0,2000
プレイステーション2,A列車で行こう2001,7140.0,2000
プレイステーション2,BLOOD THE LAST VAMPIRE 上巻,6090.0,2000
プレイステーション,Major Wave シリーズ リフレインラブ ～あなたに逢いたい～,1500.0,2000
ゲームボーイ,牧場物語GB3 ボーイ・ミーツ・ガール,4200.0,2000
ゲームボーイアドバンス,テイルズ オブ ザ ワールド ～サモナーズ リネージ～,4800.0,2000
プレイステーション,ロックマン6 史上最大の戦い! ? PS one Books,1800.0,2000
Xbox,ハンター: ザ レコニング リディーマー （Xbox ワールドコレクション）,4800.0,2000
ゲームボーイ,冒険!! ドンドコ島,4300.0,2000
ドリームキャスト,白詰草話 EPISODE OF THE CLOVERS 初回限定版,7900.0,2000
ニンテンドーDS,ザ・アーブズ シムズ・イン・ザ・シティ,5040.0,2000
プレイステーション,SuperLite 1500 シリーズ エミーリア,1500.0,2000
MicrosoftWindows,ウルトラクイズ スポーツ・芸能篇,2000.0,2000
ドリームキャスト,シェンムー2 ドリコレ,2800.0,2000
プレイステーション,三國志英傑伝 コーエー定番シリーズ,1500.0,2000
ゲームボーイアドバンス,爆転シュートベイブレード2002 いくぜ! 爆闘! 超磁力バトル!!,4800.0,2000
プレイステーション2,PANZER FRONT Ausf.B eb! コレ,3990.0,2000
ゲームボーイアドバンス,ディズニー・ピクサーのファインディング・ニモ 新たなる冒険,5040.0,2000
プレイステーション2,THE ブロックくずし HYPER,2000.0,2000
プレイステーション,プラネタリウム,1500.0,2000
プレイステーション2,ホースブレーカー,6800.0,2000
ゲームボーイ,ドラえもんのスタディボーイ かんじよみかきマスター,3980.0,2000
ゲームボーイ,ポケットキング,4500.0,2000
プレイステーション,シャーマンキング スピリット オブ シャーマンズ,5800.0,2000
プレイステーション2,EVERBLUE,6800.0,2000
プレイステーション,マジカルドロップ3 +ワンダホー!,2800.0,2000
プレイステーション2,michigan（ミシガン）,7140.0,2000
MicrosoftWindows,スター・ウォーズ バトルフロント,7980.0,2000
ニンテンドーゲームキューブ,レッスルマニア19 プレミアムBOX,8800.0,2000
プレイステーション2,セブンブレイズ コナミザベスト,2800.0,2000
プレイステーション2,将棋4 バリュー2000シリーズ,2100.0,2000
プレイステーション,ザ・心理ゲーム6,1500.0,2000
ドリームキャスト,NFL 2K2 Dreamcast DIRECT,5800.0,2000
ゲームボーイアドバンス,スーパーマリオボール,4800.0,2000
プレイステーション2,おとなのギャル雀 ～きみにハネ満! ～,5040.0,2000
プレイステーション2,EX人生ゲーム 2,7140.0,2000
プレイステーション,ぱずるまにあ2 Major Wave シリーズ,1500.0,2000
プレイステーション,V-RALLY 2 CHAMPIONSHIP EDITION,5800.0,2000
プレイステーション2,パチスロ完全攻略 ～ギガゾーン～,3675.0,2000
プレイステーション2,ギルティギア ゼクス Plus PlayStation2 the Best,2800.0,2000
ワンダースワン,ギルティギア プチ 2,4800.0,2000
プレイステーション,カプコン ジェネレーション ～第3集 ここに歴史始まる～ カプコレ,2800.0,2000
プレイステーション,シネマ英会話シリーズ 嵐が丘 廉価版,3800.0,2000
Xbox,ビストロ・きゅーぴっと,5800.0,2000
ドリームキャスト,Mercurius Pretty end of the century,6800.0,2000
プレイステーション2,パチスロアルゼ王国6,5800.0,2000
プレイステーション2,此花パック 3つの事件簿,2100.0,2000
プレイステーション2,ファーストKiss☆物語 スペシャルCD同梱版,8800.0,2000
プレイステーション,THE 花札2,1500.0,2000
プレイステーション2,A列車で行こう6,6800.0,2000
プレイステーション,ポケットデジモンワールド,2800.0,2000
プレイステーション2,山佐Digiワールド4,7140.0,2000
ゲームボーイ,合格ボーイシリーズ □い頭を○くする 常識の書 スペシャルエディション,4800.0,2000
プレイステーション,霊刻 池田貴族心霊研究所 PS one Books,2200.0,2000
ゲームボーイアドバンス,SHINING SOUL,5800.0,2000
ワンダースワン,リング∞,3800.0,2000
ゲームボーイアドバンス,クルクルランド,2000.0,2000
プレイステーション2,FINAL FANTASY 10 MEGA HITS!,4800.0,2000
Xbox,GUNGRIFFON Allied Strike,6800.0,2000
ゲームボーイアドバンス,ミスタードリラー2,4800.0,2000
ドリームキャスト,水月～迷心～,6800.0,2000
ゲームボーイアドバンス,ファミコンミニ ディスクシステムセレクション25 リンクの冒険,2000.0,2000
プレイステーション2,Tales of Reverse,7140.0,2000
MicrosoftWindows,Pain,8800.0,2000
Xbox,ギャラクシーエンジェル,6800.0,2000
プレイステーション2,ジョジョの奇妙な冒険 黄金の旋風,6800.0,2000
プレイステーション,お仕事式人生ゲーム めざせ職業王,4800.0,2000
プレイステーション2,ディズニーゴルフクラシック,5229.0,2000
プレイステーション2,SIMPLE 2000 シリーズ Vol. 1 THE テーブルゲーム ～麻雀・囲碁・将棋・カード・花札・リバーシ・五目ならべ～,2100.0,2000
ゲームボーイアドバンス,シスター・プリンセス ～RePure～,4800.0,2000
プレイステーション2,学園ヘヴン BOY'S LOVE SCRAMBLE! Type B,7140.0,2000
プレイステーション2,ハリー・ポッター クィディッチ ワールドカップ,5800.0,2000
プレイステーション2,.hack//感染拡大 Vol. 1,5800.0,2000
Xbox,ジョッキーズ ロード,6800.0,2000
プレイステーション2,SIMPLE 2000 シリーズ Vol. 30 THE ストリートバスケ 3on3,2100.0,2000
プレイステーション,チンギスハーン 蒼き狼と白き牝鹿4 コーエー・ザ・ベスト,2800.0,2000
プレイステーション,BELTLOGGER9 PS one Books,1800.0,2000
MicrosoftWindows,三國志8withパワーアップキット,13800.0,2000
ゲームボーイアドバンス,ツインシリーズ3 ムシモン王者決定戦 昆虫モンスター/スーパーチャイニーズラビリンス,5040.0,2000
ゲームボーイアドバンス,冒険遊記プラスターワールド ～プラストオンGP～ スターターセット,5800.0,2000
ゲームボーイアドバンス,黒ひげのくるっとジントリ,4800.0,2000
プレイステーション,パチスロ帝王 ビッグウエーブ・ピカ野郎・BBジャンキー7 Best of Best,2800.0,2000
MicrosoftWindows,ローマ トータルウォー,9800.0,2000
プレイステーション,Monster Farm Battle Card,5800.0,2000
プレイステーション,DX人生ゲーム5,5800.0,2000
プレイステーション2,EVERBLUE2,6800.0,2000
プレイステーション2,君が望む永遠 Rumbling hearts,6800.0,2000
プレイステーション,ペルソナ2 罰,6800.0,2000
ドリームキャスト,ダビつく- ダービー馬をつくろう!-,6800.0,2000
ニンテンドーゲームキューブ,バトル封神,6800.0,2000
ニンテンドーゲームキューブ,ロード・オブ・ザ・リング/中つ国第三紀,7140.0,2000
プレイステーション2,FIFA TOTAL FOOTBALL 2,3129.0,2000
プレイステーション2,パックマンワールド2,6090.0,2000
プレイステーション,コリン・マクレー・ザ・ラリー スパイクライブラリー＃002,2800.0,2000
ワンダースワン,ポケットの中のDoraemon,4500.0,2000
プレイステーション,WTC ～ワールド・ツーリングカー・チャンピオンシップ～ PS one Books,1800.0,2000
ゲームボーイアドバンス,TETRIS WORLD,3980.0,2000
プレイステーション2,Chain Dive,6090.0,2000
プレイステーション2,機甲武装Gブレイカー レジェンド オブ クラウディア,7140.0,2000
プレイステーション,ウィザードリィ エンパイア ～古の王女 Good Price,2800.0,2000
ゲームボーイアドバンス,アレックボードンアドベンチャー タワー＆シャフト アドバンス,5040.0,2000
プレイステーション2,DRIVING EMOTION TYPE-S,6800.0,2000
ドリームキャスト,ビックリマン2000 ビバ! フェスチバァ!,4800.0,2000
MicrosoftWindows,太平洋の嵐 3,2000.0,2000
ドリームキャスト,ミス・ムーンライト ドリコレ,2800.0,2000
MicrosoftWindows,信長の野望嵐世記,11800.0,2000
ドリームキャスト,探偵紳士DASH! 初回限定版,6800.0,2000
Xbox,幻魔 鬼武者,6800.0,2000
プレイステーション2,ギャラクシーエンジェル ムーンリットラヴァーズ,7140.0,2000
ニンテンドーゲームキューブ,ハリー・ポッターと賢者の石,5800.0,2000
プレイステーション2,SIREN（サイレン）,6090.0,2000
ニンテンドーゲームキューブ,MUTSUとのほほん,6800.0,2000
プレイステーション2,SMASH COURT PRO TOURNAMENT,7140.0,2000
プレイステーション2,サイドワインダー F Fight Force 同梱版,12800.0,2000
プレイステーション,キッズステーション それいけ! アンパンマン2 アンパンマンとだいぼうけん! キッズステーションコントローラセット,5800.0,2000
プレイステーション2,バスランディング3 サミーベスト（つりコン2+同梱版）,7980.0,2000
MicrosoftWindows,NBA live 2005 (EA sports),7980.0,2000
ワンダースワン,XI [sai] Little,3800.0,2000
プレイステーション,メモリアル☆シリーズ SUNSOFT Vol. 3,1500.0,2000
MicrosoftWindows,ADVANCED 大戦略 2001,9800.0,2000
プレイステーション2,チュウリップ,7140.0,2000
プレイステーション2,桃太郎電鉄11 ～ブラックボンビー出現! の巻～,7140.0,2000
ニンテンドーゲームキューブ,ピクミン,6800.0,2000
プレイステーション,キッズステーション ひとりでできるもん!,3800.0,2000
プレイステーション,Major Wave シリーズ 日本一麻雀 創龍,1575.0,2000
プレイステーション,GRANDIA PlayStation the Best,2800.0,2000
ドリームキャスト,MISSING PARTS 3 the TANTEI stories,4800.0,2000
プレイステーション2,アーマード・コア ネクサス,8190.0,2000
プレイステーション2,狂走! 単車キング 喝斗美! 罵離罵離伝説,2100.0,2000
プレイステーション2,ちゅ～かな雀士 てんほー牌娘,7140.0,2000
プレイステーション2,戦国無双 猛将伝 プレミアムパック,10290.0,2000
プレイステーション2,ハイヒート・メジャーリーグ・ベースボール 2003 THE BEST タカラモノ,3129.0,2000
ワンダースワン,超兄貴 男の魂札,3980.0,2000
ゲームボーイアドバンス,トータルサッカー アドバンス,4800.0,2000
Xbox,O・TO・GI ～百鬼討伐絵巻～ Xbox プラチナコレクション,2800.0,2000
MicrosoftWindows,SiM PEOPLE 完全版 日本語版,5980.0,2000
ゲームボーイアドバンス,コロッケ 3 グラニュー王国の謎,4980.0,2000
プレイステーション2,決戦,6800.0,2000
プレイステーション2,ぷよぷよフィーバー,5229.0,2000
プレイステーション2,WRC 2 EXTREME スパイクザベスト,3150.0,2000
ドリームキャスト,さくらももこ劇場 コジコジ,6800.0,2000
プレイステーション2,スーパーロボット大戦 IMPACT,7980.0,2000
プレイステーション,Dancing Stage featuring Dreams Come True,4980.0,2000
プレイステーション2,SEGA AGES 2500 シリーズ Vol. 1 ファンタシースターgeneration: 1,2625.0,2000
ゲームボーイアドバンス,まわるメイドインワリオ,4800.0,2000
NINTENDO64,がんばれ! ニッポン! オリンピック2000,7800.0,2000
ドリームキャスト,GIANT GRAM 2000: 全日本プロレス3 栄光の勇者達,5800.0,2000
ドリームキャスト,ZERO GUNNER 2,5800.0,2000
Xbox,マッドダッシュレーシング,6800.0,2000
プレイステーション2,スペクトラルフォース ラジカルエレメンツ 限定版,9240.0,2000
ドリームキャスト,After… 忘れえぬ絆 初回限定版,7800.0,2000
ニンテンドーゲームキューブ,スーパーモンキーボール 2,5800.0,2000
ニンテンドーゲームキューブ,FIFA 2002 ロード・トゥ・FIFAワールドカップ,6800.0,2000
ワンダースワン,ポケットファイター,3800.0,2000
ゲームボーイ,スペースネット コスモブルー,4500.0,2000
ゲームボーイ,メダロット5 すすたけ村の転校生 クワガタ,4800.0,2000
ドリームキャスト,タコのマリネ ドリコレ,2800.0,2000
プレイステーション2,すいすいSweet ～あまい恋のみつけ方～,7140.0,2000
プレイステーション2,ブラボミュジック Christmas Edition,2940.0,2000
ゲームボーイアドバンス,シャーマンキング 超・占事略決3,5800.0,2000
プレイステーション2,恋愛アドベンチャー メモリーズオフデュエット,2100.0,2000
プレイステーション2,ゼロヨンチャンプシリーズ ドリフトチャンプ,7140.0,2000
プレイステーション,syphon filter,2800.0,2000
ゲームボーイアドバンス,F-ZERO CLIMAX,4800.0,2000
ゲームボーイアドバンス,SLOT! PROアドバンス ～宝船＆大江戸桜吹雪2～,4800.0,2000
ゲームボーイアドバンス,サイバードライブゾイド 機獣の戦士ヒュウ 玩具同梱版,9980.0,2000
ゲームボーイアドバンス,ファミコンミニ ディスクシステムセレクション24 光神話 パルテナの鏡,2000.0,2000
MicrosoftWindows,ひとがたルイン,9240.0,2000
プレイステーション2,SuperLite 2000 釣り ビックバス ～バス釣り完全攻略～,2100.0,2000
ゲームボーイ,うちゅう人田中太郎でRPGツクールGB2,5200.0,2000
ニンテンドーゲームキューブ,エッグマニア,4800.0,2000
ゲームボーイアドバンス,ロードランナー,4800.0,2000
プレイステーション2,FORMULA ONE 2002,6090.0,2000
ゲームボーイアドバンス,ドラゴンボールZ THE LEGACY OF GOKU2  INTERNATIONAL,5040.0,2000
ドリームキャスト,メタルウルフ 初回限定版,7800.0,2000
プレイステーション2,NBAライブ 2004,6800.0,2000
MicrosoftWindows,キャンペーン版大戦略2,2000.0,2000
プレイステーション,仮面ライダーアギト BANDAI THE BEST,2800.0,2000
プレイステーション,BRAVE FENCER 武蔵伝 スクウェアミレニアムコレクション,3800.0,2000
ニンテンドーゲームキューブ,レッスルマニアXIX,6800.0,2000
プレイステーション2,GetBackers 奪還屋 奪還だヨ! 全員集合!!,7140.0,2000
ゲームボーイアドバンス,モンスターファームアドバンス,5800.0,2000
プレイステーション2,リーヴェルファンタジア ～マリエルと妖精物語～ Victor BEST,3150.0,2000
ゲームボーイアドバンス,ロード・オブ・ザ・リング 中つ国第三紀,5040.0,2000
プレイステーション2,ESPN NATIONAL HOCKEY NIGHT,7329.0,2000
プレイステーション2,愛蔵版 アンジェリーク トロワ KOB The Best,3990.0,2000
プレイステーション2,牧場物語3 ハートに火をつけて PlayStation2 the Best,2800.0,2000
プレイステーション2,モンスターファーム,6800.0,2000
ゲームボーイ,名探偵コナン 呪われた航路,4500.0,2000
ドリームキャスト,グランディア2 ドリコレ,2800.0,2000
プレイステーション,クラッシュ・バンディク～ カ～ニバル,5800.0,2000
プレイステーション,SDガンダム GGENERATION-F LIMITED EDITION LIMITED EDITION,9980.0,2000
プレイステーション2,日米間プロ野球 FINAL LEAGUE,7140.0,2000
ドリームキャスト,サクラ大戦 3 巴里は燃えているか メモリアルパック,5800.0,2000
プレイステーション,Tactical Armor Custom ガサラキ,5800.0,2000
MicrosoftWindows,とらいあんぐるハート ラブラブおもちゃ箱,5300.0,2000
プレイステーション,キッズステーション 仮面ライダーヒーローズ キッズステーションコントローラセット,5800.0,2000
macOS,AIが止まらない! 新装版 0⇒9 新装版,3800.0,2000
ゲームボーイアドバンス,こいぬちゃんのはじめてのおさんぽ ～子犬のこころ育成ゲーム～,4800.0,2000
ワンダースワン,シャーマンキング 未来への意思,4500.0,2000
ゲームボーイ,ウィザードリィ2  リルガミンの遺跡,4500.0,2000
プレイステーション2,対戦ホットギミック コスプレ雀,6279.0,2000
NINTENDO64,TOP GEAR HYPER-BIKE,6980.0,2000
ニンテンドーDS,ぷよぷよフィーバー,5040.0,2000
プレイステーション2,山佐DigiワールドSP 海一番R ベスト オブ ベスト,2940.0,2000
プレイステーション,天空のレストラン Hello! Project Ver.,4980.0,2000
ニンテンドーゲームキューブ,桃太郎電鉄11 ～ブラックボンビー出現! の巻～,6800.0,2000
プレイステーション2,探偵 神宮寺三郎 Innocent Black ワークジャムベストコレクション,2940.0,2000
プレイステーション2,SPAWN 運命の鎖,7140.0,2000
プレイステーション,ロックマン PS one Books,1800.0,2000
