アニメ作品ID,アニメ作品名,放送曜日,合計話数
C12947,ハムハムとボク,月,44
C14824,がんばれ! ルル ロロ TINY★TWIN★BEARS,月,5
C15876,斉木楠雄のΨ難,月,14
C10782,ROBONIMAL パンダーゼット THE ROBONIMATION,月,31
C10784,じゃがいぬくん,月,2
C12179,祝福のカンパネラ,月,12
C12951,ぱずりーず,月,1
C8323,ご近所物語,月,1
C12209,B型H系,月,12
C9082,忍たま乱太郎 第2期,月,24
C10730,まっすぐにいこう。［第2期］,月,1
C9348,花より男子,月,1
C15523,すすめ! キッチン戦隊 クックルン[第2期],月,14
C13475,Robin with his 100 friends,月,13
C8522,チロリン村物語,月,34
C15521,The Sushitown あるスシのくらし,月,36
C14636,きょうの料理 ビギナーズ[第4期],月,19
C15518,Go!Go! 家電男子[第2期],月,5
C15852,最弱無敗の 神装機竜 UNDEFEATED BAHAMUT CHRONICLE,月,12
C8504,それいけ！アンパンマン,月,2
C12261,裏切りは 僕の名前を知っている,月,24
C12939,ミニモニ。じゃてーびぃー,月,3
C12251,荒川アンダー ザ ブリッジ,月,13
C14803,アニメ　おしりかじり虫[第2期],月,25
C14804,AMNESIA,月,12
C15516,ぐでたま,月,85
C13467,リタと ナントカ,月,5
C10699,B-伝説［ビーレジェンド］! バトルビーダマン,月,52
C12239,いちばんうしろの 大魔王,月,12
C12227,しまじろう ヘソカ,月,105
C12225,Kiss × sis,月,12
C9341,こちら葛飾区亀有公園前派出所,月,2
C9344,The Adventure of STRAY SHEEP ストレイシープの大冒険,月,1
C12943,絶体絶命 でんぢゃらす じーさん ［第1期］,月,25
C13449,Peeping Life,月,7
C16106,笑ゥせぇるすまんNEW,月,24
C13396,スッキリ!!・クロラ,月,4
C15476,キュートランスフォーマー さらなる人気者への道,月,12
C10795,今日から 〔○マ〕王![第1期],月,1
C16094,鬼平 ONIHEI,月,1
C9392,春庭家の3人目,月,9
C12983,ゴキブリ ちゃん,月,8
C13374,モリゾー・キッコロと フルービー 守れ!みんなの水の惑星,月,3
C15887,三者三葉,月,12
C9762,南海奇皇[第2期],月,1
C12112,ミラクル☆トレイン～大江戸線へようこそ～,月,13
C12110,夏のあらし! 春夏冬中[あきないちゅう],月,13
C12108,真 恋姫†無双,月,12
C13372,やさいのようせいN.Y. SALAD[第2期],月,6
C12106,あにゃまる探偵 キルミン ずぅ,月,50
C9756,イソップ ワールド,月,8
C12104,夢色 パティシエール,月,1
C9754,ArcTheLad,月,26
C10882,エルフェン リート,月,1
C15444,放課後のプレアデス,月,12
C12100,とある科学の 超電磁砲[レールガン],月,24
C16093,ガヴリールドロップアウト,月,12
C13370,Domo,月,1
C10890,蒼穹のファフナー Dead Aggressor,月,26
C14252,這いよれ! ニャル子さんW,月,12
C9080,親子クラブ,月,444
C9752,おじゃる丸[第2期],月,18
C10847,ちぃちゃんとヒゲおじさん,月,6
C12130,たまごっち!,月,143
C8849,クレヨンしんちゃん,月,613
C10841,デュエル・マスターズ チャージ,月,7
C12176,フラカッパー,月,7
C14629,EDDIE THE FAST BREAK,月,4
C10797,ケロロ軍曹,月,50
