アニメ作品ID,アニメ作品名,放送曜日,合計話数
C14889,びじゅチューン!,火,17
C16185,ロクでなし魔術講師と 禁忌教典,火,12
C14905,ポケットモンスター XY,火,1
C12805,タイニー トゥーンズ,火,2
C8825,しましまとらの しまじろう,火,2
C13673,おじゃる丸[第14期],火,18
C15501,To LOVEる ダークネス2nd,火,12
C15793,ほのぼのログ honobono log,火,2
C10732,ヒットをねらえ!,火,8
C15496,てーきゅう[第5期],火,12
C8817,ドンラゴン,火,11
C9563,ふたり暮らし,火,9
C14096,ゴクジョッ。 ～極楽院女子高寮物語～,火,12
C14098,となりの 怪物 くん,火,13
C8837,七つの海のティコ,火,1
C8842,新 天地無用!,火,26
C10768,神魂合体ゴーダンナー!! SECOND SEASON,火,13
C10239,フルメタル・パニック!,火,24
C10730,まっすぐにいこう。［第2期］,火,1
C8844,手塚治虫の 旧約聖書物語 In The Beginning,火,5
C13675,おはよう忍者隊 ガッチャマン,火,97
C10778,ぷぎゅる,火,12
C9790,宇宙海賊 ミトの大冒険 2人の女王様❤,火,13
C10784,じゃがいぬくん,火,2
C9925,銀装騎攻 オーディアン,火,24
C15876,斉木楠雄のΨ難,火,12
C8328,ヨーヨーの猫つまみ,火,24
C10788,恋風,火,1
C9927,幻想魔伝 最遊*記,火,50
C10223,よばれてとびでて! アクビちゃん,火,13
C13396,スッキリ!!・クロラ,火,4
C10795,今日から 〔○マ〕王![第1期],火,1
C15474,おまかせ! みらくるキャット団,火,32
C10776,GANTZ ～the first stage～,火,11
C15473,OVERLORD,火,13
C10728,妄想代理人,火,23
C10726,ふたりはプリキュア,火,1
C15523,すすめ! キッチン戦隊 クックルン[第2期],火,12
C9909,ファーブル先生は 名探偵,火,26
C15518,Go!Go! 家電男子[第2期],火,30
C14039,輪廻の ラグランジェ Flower declaration of your heart season2,火,13
C10669,F-ZERO ファルコン伝説,火,51
C10671,Gilgamesh,火,25
C10673,わがまま★フェアリーミルモでポン! ごおるでん,火,24
C8338,超電動ロボ 鉄人28号FX,火,23
C15517,Go!Go! 家電男子[第1期],火,4
C13859,聖痕の クェイサーⅡ,火,12
C13467,リタと ナントカ,火,5
C15516,ぐでたま,火,88
C10256,攻殻機動隊 STAND ALONE COMPLEX,火,6
C9804,COLORFUL,火,3
C10254,アソボット戦記 五九,火,52
C15853,PRINCE OF STRIDE ALTERNATIVE BOYS SPRINT TO THE END OF SUMMER,火,12
C14043,アラタカンガタリ 革神語,火,12
C13463,onちゃん[第2期],火,26
C8814,STRaNGE DaWN,火,5
C15512,WORKING!!!,火,13
C15510,ミリオンドール,火,13
C15508,枕男子[まくらのだんし],火,12
C10252,週刊ポケモン放送局,火,16
C13457,それゆけ! 外道乙女隊[あかほり外道アワー らぶげ],火,11
C8815,うちのショコラ,火,48
C10248,超重神 グラヴィオン,火,13
C10718,超変身コス∞プレイヤー,火,8
C10720,BURN-UP SCRAMBLE,火,12
C10684,まぶらほ,火,24
C8808,藤子不二雄Ⓐのさすらいくん,火,14
C14138,IXION SAGA Dimension Transfer イクシオン サーガ DT,火,1
C10221,格闘料理伝説ビストロレシピ,火,26
C13370,Domo,火,2
C13840,侵略!?　イカ娘　The Invader　comes from the　bottom of the sea!,火,12
C9752,おじゃる丸[第2期],火,18
C8853,あしたへフリーキック,火,25
C14254,Courtesy of ZETTAI KAREN CHILDREN THE UNLIMITED 兵部京介,火,12
C15436,忍たま 乱太郎[第23期],火,13
C14260,私がモテないのは どう考えても お前らが悪い!,火,12
C10930,みどりのくにの こえだちゃん,火,51
C15698,BAR 嫌われ野菜,火,13
C10932,サムライガン,火,12
C13358,いない いない ばあっ! [第13期],火,22
C15429,高宮なすのです! てーきゅうスピンオフ,火,12
C10938,Legend of DUO,火,1
C15446,ミカグラ学園組曲,火,12
C9732,カードキャプター さくら[第2期],火,29
C7163,鉄腕アトム,火,53
C8706,藤子不二雄Ⓐの 笑ゥせぇるすまん［第2期］,火,51
C15633,本当にあった 動物影絵館,火,5
C9728,やんちゃる モンちゃ,火,6
C10195,ヒカルの碁,火,1
C10972,School Rumble,火,25
C10974,砂ぼうず,火,24
C15419,キュートランスフォーマー 帰ってきたコンボイの謎*,火,13
C14529,殿といっしょ 1分間劇場,火,12
C10988,ToHeart2,火,14
C13354,おじゃる丸[第11期],火,18
C10993,月詠 MOON PHASE,火,25
C10995,ファンタジック チルドレン,火,25
C9730,十兵衛ちゃん ラブリー眼帯の秘密,火,13
C9784,パパと踊ろう,火,6
C10874,GIRLSブラボー first season,火,11
C13372,やさいのようせいN.Y. SALAD[第2期],火,5
C15880,うさかめ USAKAME High School,火,13
C15881,ワガママ ハイスペック,火,12
C15466,アニメ 怪獣酒場 カンパーイ!,火,13
C10811,じゃがいぬくん［シリーズ］,火,2
C14140,ガールズ ＆ パンツァー,火,12
C10217,こげぱん,火,2
C13386,なぜ? どうして? がおがおぶーっ!,火,5
C15462,聖剣使いの 禁呪詠唱[ワールドブレイク],火,2
C10818,ななみちゃん,火,3
C14144,ロンゴマックス　論語MAX,火,3
C9929,ドキドキ❤伝説 魔法陣グルグル,火,38
C10830,わがまま★フェアリーミルモでポン! わんだほう,火,46
C13384,ニコニコ♪コニーちゃん,火,1
C9756,イソップ ワールド,火,5
C10832,MADLAX,火,26
C15884,ばくおん!!,火,12
C15697,猫嫌いの家に 生まれた猫好きが 猫と暮らす絵日記,火,2
C9935,グラップラー刃牙,火,24
C10845,LOVE❤LOVE?,火,9
C9937,地球少女アルジュナ,火,12
C13374,モリゾー・キッコロと フルービー 守れ!みんなの水の惑星,火,3
C9762,南海奇皇[第2期],火,24
C10203,カスミン,火,1
C9760,D4プリンセス,火,24
C9758,エデンズボゥイ,火,26
C10864,SAMURAI 7,火,1
C15888,少年 アシベ Go! Go! ゴマちゃん,火,26
C15450,神様 はじめました ◎,火,12
C10834,陸奥圓明流外伝 修羅の刻,火,26
C10997,BLEACH,火,276
C9818,イッパツ危機娘,火,4
C13861,戦国☆ パラダイス 極,火,28
C15601,【オレアレ】,火,1
C15799,ムズムズ18 エイティーン[第1期],火,1
C9865,Di Gi Charat,火,4
C13575,夏目友人帳 参,火,13
C10440,忍たま乱太郎［第10期］,火,16
C13641,花咲く いろは,火,25
C13573,パッコロリン,火,26
C15593,わし*も[第1期],火,2
C13643,快盗天使 ツイン エンジェル キュンキュン★ ときめき パラダイス!!,火,12
C15591,ロマンチカ クロック,火,3
C15586,不思議の国のロンリ劇場,火,9
C10296,NARUTO,火,1
C13971,ふしぎのヤッポ島　プキプキとポイ,火,5
C13964,さくら荘の ペットな彼女,火,24
C9861,ヨシモト ムチッ子物語[CG版],火,16
C10464,ウルトラマニアック,火,26
C15581,ナンダカ ベロニカ,火,2
C10474,おねがい☆ツインズ,火,12
C9897,だぁ!だぁ!だぁ! ［第1期］,火,39
C15578,地下すぎアイドル あかえ ちゃん,火,11
C10482,超ロボット生命体トランスフォーマー マイクロン伝説,火,1
C15574,シュガー** ソルジャー,火,3
C8736,ちいさなおばけアッチ コッチ ソッチ,火,99
C13645,額縁をくぐって物語の中へ　[シリーズ],火,20
C15796,薄桜鬼 御伽草子,火,26
C13973,あの夏で待ってる,火,12
C15572,サムソンの ダジャレDE英単語,火,2
C13557,動物かんきょう会議,火,1
C10456,WOLF'SRAIN,火,26
C9859,101 101匹わんちゃん,火,9
C10426,げんきげんきノンタン,火,5
C10423,探偵学園Q,火,22
C15800,ムズムズ18 エイティーン[第2期],火,1
C9879,POPEE the ぱフォーマー,火,28
C10334,おじゃる丸[第5期］,火,18
C13925,夏目友人帳 肆,火,13
C10332,HAPPY★ LESSON,火,13
C8631,楽しいムーミン一家,火,2
C10360,あずまんが大王 THE ANIMATION,火,26
C15624,ピカイア![シリーズ],火,2
C9869,風雲! 戦国を駆ける武将 ～ アニメ 静岡県史～,火,3
C13590,うちの3姉妹 おかわりぱれたい,火,4
C15621,はなかっぱ[第6期],火,20
C8728,ハローESCARGOT島,火,20
C10376,最終兵器彼女,火,13
C13961,這いよれ! ニャル子さん,火,12
C10378,SAMURAI DEEPER KYO,火,26
C15619,のんのんびより りぴーと,火,15
C15616,どれみ えーる,火,5
C10330,東京アンダーグラウンド,火,26
C13585,おじゃる丸[第13期],火,20
C10326,十二国記,火,39
C15637,夜ノヤッターマン,火,13
C13960,アクエリオン EVOL[AQUARION　EVO*L],火,1
C15604,Good Morning!!! DORONJO,火,12
C10324,ベイベー ばぁちゃん,火,11
C9867,お茶の水博士の 20世紀の贈りもの,火,1
C15602,キョートカクテル Season 2,火,16
C13581,うっかりペネロペ[第2期],火,4
C10421,獣兵衛忍風帖NINJA * SCROLL龍宝玉篇,火,11
C10380,G-onらいだーす❤,火,13
C8522,チロリン村物語,火,34
C10496,かっぱまき,火,26
C13976,男子高校生 の日常,火,9
C15541,野 良 ス コ,火,30
C15540,猫 ピッチャー,火,17
C10571,忍たま乱太郎[第11期],火,17
C9905,ぞうの ババール,火,1
C15844,チア男子!!,火,13
C15536,大怪獣ラッシュ ULTRA FRONTIER[第2期],火,9
C14011,クィーンズブレイド リベリオン,火,12
C15534,DD北斗の拳 2イチゴ味+[プラス],火,24
C8804,宇宙の騎士テッカマンブレード,火,50
C10585,北へ。 Diamond Dust Drops,火,12
C13502,おとめ 妖怪 ざくろ,火,13
C13655,WORKING'!!,火,13
C14013,ゆるめいつ 3でぃ,火,13
C15677,緋弾のアリアAA,火,24
C9827,地球防衛企業 ダイ・ガード,火,26
C9822,鋼鉄 天使 くるみ,火,24
C10598,骸なる星 珠たる子 なるたる,火,13
C10606,まっすぐにいこう。,火,1
C13500,宮西達也劇場 おまえ うまそうだな,火,4
C10616,フルメタル・パニック?ふもっふ,火,11
C10620,PAPUWA,火,26
C13498,たちゅ まる,火,26
C13863,戦国 乙女 “桃色パラドックス”,火,13
C9820,臣士魔法劇場 リスキー★セフティ,火,24
C15524,Go! プリンセスプリキュア,火,1
C13494,侵略! イカ娘 The invader comes from the bottom of the sea!,火,12
C10638,Gungrave,火,25
C10258,スパイラル ―推理の絆―,火,25
C9825,ジバクくん TWELVE WORLD STORY,火,26
C15571,昆虫物語 てんとうむChu! と みつばちハッChu!,火,10
C10569,おじゃる丸[第6期］,火,18
C13999,銀河へ キックオフ!!,火,40
C15568,株式会社きゅーか くさなぎ社長と秘書ロジコマ,火,10
C9901,KakiKakiBook,火,5
C15795,腐男子 高校生活,火,13
C10504,スクラップド・プリンセス,火,24
C13978,輪廻の ラグランジェ Flower declaration of your heart,火,12
C10508,E'S OTHERWISE,火,26
C15562,てーきゅう[第6期],火,26
C15555,もっふり モフ☆モフ,火,25
C15673,- スタミュ -高校星歌劇,火,24
C9857,いつも心に太陽を!,火,4
C13992,ガッ活!,火,1
C15837,D.Gray-man HALLOW,火,13
C9855,ONE PIECE,火,1
C8526,お～い! 竜馬,火,41
C15838,モブサイコ 100,火,1
C15547,迷宮家族Ⅱ,火,30
C10286,デュエル・マスターズ,火,5
C8651,ロビンフッドの大冒険,火,3
C15546,みんなだいすき そらジロー,火,79
C10544,コロッケ!［第1期］,火,2
C10546,キノの旅the Beautiful World,火,13
C10548,DEAR BOYS,火,26
C10550,LASTEXILE,火,26
C10557,クロノクルセイド Mary Magdalene,火,18
C15544,はなかっぱ[第5期],火,18
C9903,へろへろくん,火,26
C9845,週刊ストーリーランド,火,1
C10567,GO!GO! カートくん,火,3
C9853,レレレの 天才バカボン,火,60
C10193,テニスの王子様,火,1
C13356,忍たま乱太郎[第16期],火,20
C9939,地球防衛家族,火,12
C15243,実は私は I am…,火,13
C15241,てーきゅう[第4期],火,12
C15995,忍たま 乱太郎 [第24期],火,14
C10086,ジャングルはいつもハレのちグゥ,火,26
C9970,とっとこハム太郎,火,1
C13213,今日からマ*王![第3期],火,1
C15748,蒼の彼方のフォーリズム,火,12
C8945,疾風!アイアンリーガー,火,52
C15749,JKめし!,火,26
C13207,きょうの料理 ビギナーズ [第2期],火,24
C13729,スイッチ OH! くん,火,4
C8674,八百八町表裏 化粧師,火,17
C9632,サイレントメビウス,火,26
C11353,SUGAR BUNNIES,火,26
C11355,桃華月憚,火,25
C13205,味楽る!ミミカ[第3期],火,1
C15094,バットマン THE ANIMATED SERIES,火,5
C9630,カードキャプターさくら,火,35
C11367,英國戀物語 エマ 第ニ幕,火,12
C14565,X-MEN エボリューション,火,17
C9626,アリスSOS,火,3
C11383,アイドルマスターXENOGLOSSIA,火,26
C11385,エル・カザドEL CAZADOR DE LA BRUJA,火,26
C9983,Di Gi Charat サマースペシャル 20*0*0*,火,2
C13199,Rio -Rainbow Gate!-,火,13
C11393,CLAYMORE,火,1
C13198,ぬらりひょんの孫 ～千年魔京～,火,26
C9648,ふしぎなメルモ リニューアル,火,6
C8696,おばけの…ホーリー,火,43
C14561,ディノブレイカー,火,40
C9650,パニポニ,火,1
C13252,彩雲国物語[第2期],火,1
C16225,オトナの一休さん[第2期],火,13
C13248,巨人の星【特別編】父 一徹,火,13
C10123,学園戦記ムリョウ,火,28
C13246,きょうの料理ビギナーズ,火,25
C13813,レベルE,火,13
C15280,おはよう ハクション 大魔王,火,37
C9661,おじゃる丸,火,19
C11267,Hello Kittyりんごの森のミステリー,火,13
C15275,異能バトルは日常系のなかで,火,10
C13807,ゆるゆり,火,12
C14532,ガーゴイルズ,火,13
C11296,アニ*クリ15,火,4
C13240,南の島の小さな飛行機バーディー（第3期）,火,15
C8941,恐竜惑星,火,15
C15777,ゴー!ゴー! キッチン戦隊 クックルン,火,18
C15741,虹色デイズ,火,25
C14560,スーパーロボット モンキー チーム ハイパー フォース GO!,火,5
C15270,はりきり体育ノ介　[第1期],火,1
C15250,血液型くん! 3,火,24
C11308,ぼくらの,火,17
C13803,もしドラ　もし高校野球の女子マネージャーが　ドラッカーの『マネジメント』を読んだら,火,2
C11309,電脳コイルCOIL A CIRCLE OF CHILDREN,火,1
C9654,浦安鉄筋家族,火,8
C8943,ポコニャン!,火,35
C11318,BLUE DRAGON,火,1
C10090,魔法戦士 リウイ,火,24
C10088,STAR OCEAN EX,火,26
C15726,ゆるゆりさん★ハイ!TV ANIMATION SERIES SEASON THREE,火,24
C15750,てーきゅう［第7期］,火,13
C15752,魔法少女なんて もういいですから。,火,12
C13156,モッタイナイナイ ムッピといっしょ,火,4
C15078,超爆裂異次元メンコバトル ギガントシューターつかさ,火,32
C15998,ゴー!ゴー! キッチン戦隊 クックルン[第2期],火,13
C15762,新あたしンち,火,96
C16216,無責任 ギャラクシー☆タイラー,火,13
C15999,ZIP! presents 朝だよ! 貝社員,火,36
C13140,ななみちゃん[第3期],火,4
C10022,ベイビーフィリックス,火,9
C11536,ヴァンパイア騎士[ナイト]Guilty,火,13
C16000,ジョーカー・ゲーム,火,12
C16001,バディゴ![第1期],火,2
C11544,SUGAR BUNNIESショコラ!,火,26
C11549,ef-a tale of melodies.,火,13
C9993,VANDREAD,火,13
C9592,Petshop of Horrors,火,4
C15054,マンガ家さんと アシスタントさんと THE ANIMATION,火,12
C15053,マジンボーン,火,52
C15767,おそ松さん,火,97
C16208,少年アシベ Go!Go! ゴマちゃん[第2シリーズ],火,16
C16207,終末なにしてますか? 忙しいですか? 救ってもらっていいですか?,火,12
C15049,プリ❤パラ,火,39
C10006,Mr.Digital TOKORO the comical cartoon ［第1期］,火,24
C9578,イケてる2人,火,4
C9574,宇宙海賊ミトの大冒険,火,13
C15048,ブラック･ブレッド [黒の銃弾],火,13
C13120,南の島の小さな飛行機 バーディー[第2期],火,2
C14584,いすのまちのコッシー,火,40
C11495,ナイトウィザードThe ANIMATION,火,13
C15751,血液型くん! 4,火,12
C9989,ハムスター 倶楽部,火,25
C11485,スケッチブック～full color'S～,火,13
C15092,いない いない ばあっ![第5期],火,13
C11406,トレジャーガウスト,火,1
C13189,絶対正義ラブフェロモン[あかほり外道アワー らぶげ],火,13
C11408,Devil May Cry,火,1
C13736,ゆるゆり♪♪,火,12
C10051,激動! 歴史を変える男たち ～ アニメ 静岡県史～,火,3
C15091,いない いない ばあっ![第4期],火,7
C13182,いない いない ばあっ! [第12期],火,22
C10042,ピポパポ パトルくん,火,13
C11424,ななついろ★ドロップスFirst love that encompasses you,火,12
C8957,吸血姫 美夕,火,25
C8959,発明BOYカニパン,火,1
C15996,わしも[第4期],火,22
C14571,ヘラクレス,火,11
C15776,きょうの料理 ビギナーズ [第9期],火,24
C11436,ひぐらしのなく頃に解,火,13
C15997,はなかっぱ[第7期],火,18
C8961,serial experiments laｉn,火,13
C10038,ドッとKONIちゃん,火,4
C8967,ももいろシスターズ,火,5
C10034,機巧奇傳ヒヲウ戦記[カラクリキデンヒヲウセンキ],火,26
C14572,ポピーザぱフォーマーカウントダウンスペシャル,火,5
C13170,ケンちゃんの 晩めし前!,火,75
C9622,忍たま乱太郎[第6期],火,12
C11466,D.C.Ⅱ～ダ・カーポⅡ～,火,13
C11468,Hello Kitty りんごの森とパラレルタウン,火,25
C15081,忍たま 乱太郎［第22期］,火,15
C11487,バンブーブレード,火,26
C11253,南の島の小さな飛行機バーディー[第1期],火,2
C15274,愛天地無用!,火,12
C10129,フィギュア17 つばさ＆ヒカル,火,1
C13316,みんなのうた♪絵本シアター,火,1
C9717,日本一の男の魂,火,11
C11083,だめっこどうぶつ,火,5
C8891,ノンタンと いっしょ,火,69
C14535,漂流家族　昭和パンダ物語[第1期],火,1
C13826,君と僕。,火,13
C11089,モンチッチ,火,26
C15357,目玉焼きの黄身、いつつぶす？,火,1
C15966,灼熱の 卓球娘,火,12
C11095,こみっくパーティーRevolution,火,13
C14554,WONDER GABBY,火,6
C15352,ウサビッチ[シーズン3],火,13
C11105,わがまま☆フェアリー ミルモでポン! ちゃあみんぐ,火,22
C14536,漂流家族　昭和パンダ物語[第2期],火,1
C9701,夢で逢えたら,火,4
C11114,エレメンタル ジェレイド,火,26
C11116,創聖のアクエリオン,火,25
C8901,風の中の少女 金髪のジェニー,火,2
C15351,プロジェクト パポ,火,5
C10169,しあわせソウの オコジョさん,火,51
C15967,〔侍霊演武/SOUL BUSTER〕 將星乱,火,12
C15968,TRICKSTER ――― 江戸川乱歩 「少年探偵団」より ―――,火,12
C15347,GANTZ※,火,1
C15969,WWW.WORKING!!,火,13
C15970,信長の忍び,火,13
C15965,学園ハンサム,火,12
C15362,Calimro カリメロ,火,13
C15964,バディゴ![第2期],火,4
C13320,夢をかなえるゾウ,火,9
C13350,ぴっくみー,火,25
C15398,弱虫ペダル GRANDE ROAD,火,24
C15942,学級王 ヤマザキ[30分版],火,40
C9724,スージーちゃんと マービー,火,26
C11021,焼きたて!! ジャぱん,火,69
C15390,暁のヨナ -The girl standing　 in the blush of dawn-,火,20
C13684,クッキンアイドル アイ!マイ! まいん![第3期],火,15
C9941,ファイナル ファンタジー:アンリミテッド,火,25
C11039,いない いない ばあっ!［第9期］,火,18
C15383,トリニティセブン,火,2
C13832,汐留 ケ～ブル テレビ,火,1
C8704,緊急発進セイバーキッズ,火,50
C8903,カリメロ（新）,火,2
C11041,パンツぱんくろう,火,18
C14533,忍たま 乱太郎[第18期],火,20
C11043,おじゃる丸［第7期］,火,18
C15945,おそ松さん おうまでこばなし,火,10
C11045,忍たま乱太郎［第12期］,火,16
C15787,藤子不二雄Ⓐの 笑ゥせぇるすまん［第3期］,火,13
C13323,ともだち8にん,火,12
C9720,逮捕しちゃうぞ[Special],火,4
C14534,HARD★TALK★CAFE,火,5
C11053,U.H.O. フューチャーレスキュー2061,火,7
C13690,これは×ゾンビ ですか?,火,11
C9954,BOYS BE…,火,13
C15955,うたの☆プリンスさまっ♪ マジ LOVE レジェンドスター,火,13
C15381,こんな私たちがなりゆきでヒロインになった結果www なりヒロ,火,12
C9695,Only・You ビバ! キャバクラ,火,3
C8726,おてんきボーイズ,火,2
C14539,見えるぞ! ニッポン,火,6
C10135,シャーマンキング,火,1
C9669,聖ルミナス女学院,火,12
C11233,ラムネ,火,12
C9673,LET'Sぬぷぬぷっ,火,4
C9671,MASTER KEATON マスターキートン,火,24
C10149,グラップラー刃牙 ―最大トーナメント編―,火,23
C15721,不機嫌な モノノケ庵,火,13
C11205,アニマル横町,火,104
C15330,[サンリオアニメ 世界名作劇場],火,39
C11207,Angel Heart,火,51
C14549,太宰 治　短編小説集　[第3期],火,1
C10167,旋風の用心棒 ～黒澤明監督作品「用心棒」より～,火,8
C9667,セイバーマリオネットJ to X,火,25
C15287,きょうの料理 ビギナーズ [第8期],火,18
C13709,忍たま 乱太郎[第19期],火,18
C9960,うちゅう人 田中太郎,火,18
C15725,WORKING!!! [最終回すぺしゃる],火,2
C15288,きらめけ!! メガネボーイ,火,2
C11209,capeta,火,51
C15718,SHOW BY ROCK!! しょ～と!!,火,12
C10153,筋肉 番付 金剛くんの大冒険!,火,1
C15717,甘々と稲妻,火,12
C10133,あぃまぃみぃ! ストロベリー・エッグ,火,1
C13275,やっこはん姉妹きぬやっこ もめんやっこ,火,1
C11150,パタリロ 西遊記!,火,24
C9689,どっきりドクター,火,1
C16228,忍たま乱太郎[第25期],火,13
C15780,深海 ダイバーズ,火,3
C15341,スパイダーマン [2004年版・合作],火,8
C11172,ガン×ソード,火,26
C13277,ウスペラーズ,火,1
C11174,プレイボール,火,13
C9665,スーパードール★リカちゃん,火,52
C15286,キョートカクテル [第1期],火,16
C15715,ぷれぷれ ぷれあです,火,8
C9962,遊☆戯☆王 デュエルモンスターズ,火,173
C15334,THE CUCUMBERS!,火,2
C10165,くるくるアミー,火,13
C12819,いない いない ばあっ!［第6期］,水,20
C13905,イナズマイレブン GO クロノ・ストーン,水,51
C13630,Steins;Gate,水,24
C12848,ミニモニ。やるのだぴょん,水,13
C9162,ヤンボウ ニンボウ トンボウ,水,39
C13786,マケン姫っ!,水,12
C13634,Teach,水,2
C13756,ひめ チェン! おとぎちっくアイドル リルぷりっ[のりスタ版],水,41
C13684,クッキンアイドル アイ!マイ! まいん![第3期],水,15
C13782,ほんとに あった! 霊媒先生,水,22
C12874,いない いない ばあっ!［第7期］,水,20
C13759,プ～ ねこ,水,11
C14653,東京レイヴンズ,水,24
C12838,だぁ!だぁ!だぁ! ［第2期］,水,1
C12805,タイニー トゥーンズ,水,3
C12825,［ボキャレース］,水,10
C12833,ポキポキ アニメ,水,6
C13761,プ～　ねこ　小劇場　SHOW TIME,水,11
C13709,忍たま 乱太郎[第19期],水,18
C14669,忍たま 乱太郎 [第21期],水,16
C12835,ウキウキ わんちゃんず,水,46
C13832,汐留 ケ～ブル テレビ,水,21
C13637,とびだせ! 土管 くん,水,6
C12813,おじゃる丸[第4期],水,18
C13830,元気!! 江古田ちゃん,水,22
C13903,ダンボール　戦機　W,水,58
C13828,君に届け 2ND SEASON,水,13
C13844,森田さんは無口。2,水,13
C13742,にゃん†ぱいあ The Animation,水,12
C8659,からくり剣豪伝 ムサシロード,水,49
C16182,遊戯王 VRAINS,水,42
C13645,額縁をくぐって物語の中へ　[シリーズ],水,20
C13849,神様ドォルズ,水,13
C8651,ロビンフッドの大冒険,水,3
C9120,空想科学世界ガリバーボーイ,水,2
C13698,だぶる じぇい,水,11
C13675,おはよう忍者隊 ガッチャマン,水,96
C12856,クレヨンまる,水,25
C12815,忍たま乱太郎［第9期］,水,16
C14660,ダンボール 戦機 WARS[ウォーズ],水,37
C13788,ましろ色シンフォニー -The color of lovers-,水,12
C14656,おじゃる丸[第16期],水,14
C13690,これは×ゾンビ ですか?,水,1
C8696,おばけの…ホーリー,水,39
C13819,逆境無頼 カイジ 破戒録篇,水,26
C9160,愛天使伝説ウェディングピーチ,水,51
C13705,ちはやふる,水,25
C13803,もしドラ　もし高校野球の女子マネージャーが　ドラッカーの『マネジメント』を読んだら,水,2
C13750,ハトのおよめさん ハトよめ,水,4
C14664,直球表題 ロボットアニメ,水,12
C16179,ねこねこ日本史［第2シリーズ］,水,16
C8710,絶対無敵ライジンオー,水,51
C13673,おじゃる丸[第14期],水,18
C12840,Mr.Digital TOKORO the comical cartoon [第2期],水,24
C13790,まみむめ もんち,水,4
C9110,サイボーグ花ちゃん,水,3
C14673,いない いない ばあっ![第16期],水,22
C13842,森田さんは無口。,水,13
C12831,いない いない ばあっ!［第10期］,水,18
C13116,理科5年ふしぎワールド,水,19
C8726,おてんきボーイズ,水,2
C9018,とっても!ラッキーマン,水,26
C9016,白雪姫の伝説,水,52
C13258,優しさと感動のこだま,水,50
C13256,ウエルベールの物語Sisters of Wellber,水,13
C13064,コロコロアニマル,水,12
C16198,ナナマルサンバツ,水,12
C14605,探偵Xからの挑戦状![第8話]靴の中の死体-クリスマスの密室-,水,1
C8933,熱血最強ゴウザウラー,水,51
C14553,Rose O Neill Kewpie,水,26
C13066,忍たま 乱太郎[第15期],水,10
C14559,義風堂々! 兼続と慶次,水,25
C13246,きょうの料理ビギナーズ,水,23
C13068,おじゃる丸[第10期],水,18
C13240,南の島の小さな飛行機バーディー（第3期）,水,15
C13070,[おかあさんと あそぼっ!] きょうの おはなし,水,3
C16200,妖怪アパートの 幽雅な日常,水,13
C8941,恐竜惑星,水,15
C13264,タチコマな日々,水,1
C13233,レオナルド博士 と キリン村のなかま でしょ,水,1
C14550,ど～する?　地球のあした,水,6
C14607,どうする? しおん君,水,1
C13323,ともだち8にん,水,16
C13322,ダンボール 戦機,水,44
C14615,NAKED WOLVES,水,2
C13024,絶体絶命でんぢゃらすじーさん～おはスタ夏の特別編～,水,1
C8891,ノンタンと いっしょ,水,66
C14614,忍たま乱太郎[第17期],水,18
C14535,漂流家族　昭和パンダ物語[第1期],水,1
C14536,漂流家族　昭和パンダ物語[第2期],水,1
C16229,ふわふわアワー Pui Pui & Muu Muu,水,1
C8903,カリメロ（新）,水,3
C16228,忍たま乱太郎[第25期],水,13
C13056,ビーンワールド,水,1
C13277,ウスペラーズ,水,1
C13275,やっこはん姉妹きぬやっこ もめんやっこ,水,1
C13058,人形アニメーションリカちゃん,水,2
C14548,太宰 治 短編小説集[第2期] 畜犬談,水,1
C13271,王さまものがたり,水,1
C14549,太宰 治　短編小説集　[第3期],水,1
C13071,ななみちゃんのわくわくどうぶつえん,水,3
C16203,はじめての ギャル,水,10
C8943,ポコニャン!,水,34
C8967,ももいろシスターズ,水,6
C14572,ポピーザぱフォーマーカウントダウンスペシャル,水,2
C13156,モッタイナイナイ ムッピといっしょ,水,3
C14573,ミッドナイト ホラースクール,水,25
C13109,いない いない ばあっ! [第11期],水,18
C13140,ななみちゃん[第3期],水,3
C16214,てーきゅう［9期］,水,12
C13134,ぼてじん,水,14
C14581,PERSONA-- trinity soul --,水,1
C13130,機動戦士 ガンダム S［シード］ DESTINY ［総集編］砕かれた世界,水,1
C8975,彼氏彼女の事情,水,1
C16213,最遊記 RELOAD BLAST,水,12
C13111,パンツ コインちゃん,水,3
C16206,喧嘩番長 乙女 GIRL BEATS BOYS,水,12
C13124,理科6年ふしぎ情報局,水,20
C14585,いない いない ばあっ![第14期],水,23
C13120,南の島の小さな飛行機 バーディー[第2期],水,2
C14587,おじゃる丸[第12期],水,21
C13170,ケンちゃんの 晩めし前!,水,74
C16217,妄想科学ADV Chaos;Child,水,11
C13107,おじゃる丸[第9期],水,18
C14560,スーパーロボット モンキー チーム ハイパー フォース GO!,水,5
C14562,MONSTER[特別編],水,1
C13213,今日からマ*王![第3期],水,1
C13211,U.H.O.フューチャーレスキュー2061U.H.Oレポート,水,5
C13207,きょうの料理 ビギナーズ [第2期],水,23
C13085,ぴよだまり,水,1
C14594,きょうの料理 ビギナーズ[第3期],水,24
C13091,メジャー[第2期],水,1
C14533,忍たま 乱太郎[第18期],水,20
C14565,X-MEN エボリューション,水,2
C16223,ラブ米 -WE LOVE RICE-,水,13
C13191,HUNTER × HUNTER[新],水,51
C16205,ベルセルク［2期］,水,1
C13182,いない いない ばあっ! [第12期],水,22
