pkgid,pkgname,publisher,date,price
M727789,シティ コネクション,JALECO,1985-09-27,4900.0
M727787,ルート16ターボ,サン電子株式会社,1985-10-04,4900.0
M735944,ザ・スクリーマー,ストラットフォード・コンピューターセンター株式会社,1985-10-16,7200.0
M735923,別冊ディスクログイン PC-88 GAME BOOK,株式会社アスキー,1985-10-24,5800.0
M727786,グレートサッカー,セガ・エンタープライゼス,1985-10-27,4300.0
M727785,XEVIOUS,"エニックス,小西六エニックス",1985-11-01,6800.0
M727784,キン肉マン マッスルタッグマッチ,バンダイ,1985-11-08,4500.0
M727783,The SCREAMER 第2刷,ストラットフォード・コンピューターセンター株式会社,1985-11-10,7200.0
M736144,ウィザードリィ,株式会社アスキー,1985-11-15,9800.0
M727782,XANADU PC-8801SR/FR/MR専用,日本ファルコム株式会社,1985-11-15,7800.0
M727781,忍者じゃじゃ丸くん,ジャレコ,1985-11-15,4900.0
M735860,ザナドゥ PC-8801mkIISR版,日本ファルコム㈱,1985-11-21,7800.0
M735861,ザナドゥ,日本ファルコム㈱,1985-11-21,7800.0
M727780,PACHICOM,東芝EMI株式会社,1985-11-21,4900.0
M733977,ウルティマ2,㈱スタークラフト,1985-11-25,14800.0
M727779,ポートピア連続殺人事件,エニックス,1985-11-29,5500.0
M727778,倉庫番,セガ・エンタープライゼス,1985-12-01,4300.0
M727777,Lunar Ball,ポニーキャニオン,1985-12-05,4900.0
M727776,STAR JUSTER,ナムコ,1985-12-06,4900.0
M727775,超時空要塞マクロス,バンダイ,1985-12-10,4500.0
M736562,超時空要塞マクロス カウントダウン,ボーステック株式会社,1985-12-10,6500.0
M735909,三國志,株式会社光栄,1985-12-10,14800.0
M736443,リグラス,株式会社ランダムハウス,1985-12-10,6800.0
M727774,1942,カプコン,1985-12-11,4900.0
M727772,ボコスカウォーズ,アスキー,1985-12-14,5500.0
M727773,頭脳戦艦ガル,デービーソフト,1985-12-14,4900.0
M727771,グレート テニス,セガ・エンタープライゼス,1985-12-15,4300.0
M727770,グレート ベースボール,セガ・エンタープライゼス,1985-12-15,4300.0
M727768,Emmy 2,アスキー,1985-12-18,7800.0
M727766,"THUNDER BALL PC-9801版, ディスク版",アスキー,1985-12-20,6800.0
M727765,超浮遊要塞 EXED EXES,徳間書店,1985-12-21,5200.0
M727764,ロットロット,徳間書店,1985-12-21,5200.0
M727763,ぺんぎんくんWARS,アスキー,1985-12-25,5500.0
M727731,カリグラフコンストラクション,システムソフト,1986-02-01,10000.0
M727730,ゼルダの伝説,任天堂株式会社,1986-02-21,2600.0
M727729,グーニーズ,コナミ株式会社,1986-02-21,4900.0
