アニメ作品ID,アニメ作品名,アニメ作品の合計話数
C10534,ソニックX,52
C10536,デ・ジ・キャラットにょ,52
C10538,成恵の世界,12
C10540,FIRE STORM,26
C10542,妄想科学シリーズ ワンダバスタイル,12
C10544,コロッケ!［第1期］,52
C10546,キノの旅the Beautiful World,13
C10548,DEAR BOYS,26
C10550,LASTEXILE,26
C10552,カスミン[第3期],26
C10553,GAD GUARD,19
C10555,TEXHNOLYZE,20
C10557,クロノクルセイド Mary Magdalene,24
C10559,ふたつの スピカ,20
C10561,ボボボーボ・ ボーボボ,77
C10565,ギャラクシーエンジェルS[第3期][スペシャル],2
C10567,GO!GO! カートくん,12
C10569,おじゃる丸[第6期］,90
C10571,忍たま乱太郎[第11期],82
C10573,トントンあったとにいがたの昔ばなし,13
C10575,カレイドスター 新たなる翼,16
C10577,MEZZO DANGER SERVICE AGENCY,13
C10579,超重神グラヴィオンZwei,12
C10581,ゆめりあ,12
C10583,光と水のダフネ DAPHNE IN THE BRILLIANT BLUE,25
C10585,北へ。 Diamond Dust Drops,12
C10590,Divergence EVE,13
C10592,住めば都のコスモス荘すっとこ大戦ドッコイダー,12
C10594,D.C. ダ・カーポ,26
C10596,高橋留美子劇場,13
C10598,骸なる星 珠たる子 なるたる,13
C10600,ぽぽたん,12
C10602,一騎当千,13
C10606,まっすぐにいこう。,4
C10608,ちっちゃな雪使い　シュガ～　特別編,2
C10616,フルメタル・パニック?ふもっふ,11
C10620,PAPUWA,26
C10622,勇午 交渉人,13
C10628,福島民話館 ねえ みんな…,56
C10630,AVENGER,13
C10632,円盤皇女[ゆーふぉーぷりんせす] ワるきゅーレ 十二月の夜想曲,12
C10634,bpS バトルプログラマーシラセ,15
C10636,お茶犬 ちょこっとものがたり,26
C10638,Gungrave,26
C10640,【真月譚】 月姫,12
C10642,ジェイコブの屋根,10
C10647,神魂合体ゴーダンナー!!,13
C10649,最遊記RELOAD,25
C10651,魁!! クロマティ高校,26
C10653,ヤミと帽子と本の旅人,13
C10655,京極夏彦 巷説百物語,13
C10657,鋼の錬金術師,52
C10659,おもいっきり科学アドベンチャー そーなんだ!,26
C10661,君が望む永遠,14
C10663,銀河鉄道物語,26
C10665,高橋留美子劇場 人魚の森,11
C10667,ポポロクロイス,26
C10669,F-ZERO ファルコン伝説,51
C10671,Gilgamesh,25
C10673,わがまま★フェアリーミルモでポン! ごおるでん,24
C10675,PEACE MAKER 鐵,24
C10677,GUNSLINGER GIRL.,14
C10679,藍より青し ～縁～,12
C10682,愛してるぜベイベ★★,26
C10684,まぶらほ,24
C10686,無人惑星サヴァイヴ,53
C10691,攻殻機動隊 S.A.C. 2nd GIG GHOST IN THE SHELL “STAND ALONE COMPLEX“,27
C10699,B-伝説［ビーレジェンド］! バトルビーダマン,52
C10701,SDガンダムフォース,52
C10703,ごくせん,13
C10705,十兵衛ちゃん② ―シベリア柳生の逆襲―,13
C10707,マリア様がみてる,13
C10709,エリア88,13
C10712,RAGNARÖK THE ANIMATION,26
C10714,トランスフォーマー スーパーリンク,52
C10716,モンキーターン,25
C10718,超変身コス∞プレイヤー,8
C10720,BURN-UP SCRAMBLE,12
C10724,かいけつゾロリ,52
C10726,ふたりはプリキュア,49
C10728,妄想代理人,23
C10730,まっすぐにいこう。［第2期］,5
C10732,ヒットをねらえ!,8
C10734,機動戦士 ガンダムSEED [- 虚空の戦場 -],2
C10736,火の鳥,15
C10739,トリニティ・ブラッド,24
C10741,フルメタル・パニック! TSR［The Second Raid］,14
C10747,AIR ［IN SUMMER］,2
C10751,強殖装甲 ガイバー The Bioboosted Armor,27
C10755,スキマの国のポルタ,13
C10757,ロックマンエグゼBEAST,25
C10762,最遊記RELOAD GUNLOCK,26
C10764,モリゾーとキッコロ［第1期］,26
C10766,絶体絶命 でんぢゃらす じーさん ［第2期］,51
C10768,神魂合体ゴーダンナー!! SECOND SEASON,13
C10770,爆裂天使,24
C10772,忘却の旋律,24
C10774,キン肉マンⅡ世 ULTIMATE MUSCLE,13
C10776,GANTZ ～the first stage～,12
C10778,ぷぎゅる,13
C10780,頭文字［［イニシャル］］D Fourth Stage,25
C10782,ROBONIMAL パンダーゼット THE ROBONIMATION,31
C10784,じゃがいぬくん,26
C10786,絢爛舞踏祭 ザ・マーズ・デイブレイク,26
C10788,恋風,13
C10790,この醜くも 美しい世界,12
C10792,天上天下,24
C10794,とっとこハム太郎 はむはむぱらだいちゅ!,103
C10795,今日から 〔○マ〕王![第1期],50
C10797,ケロロ軍曹,358
C10799,DAN DOH!!,26
C10801,マーメイドメロディー ぴちぴちピッチ ピュア,39
C10803,それいけ! ズッコケ三人組,26
C10805,超ぽじてぃぶ! ファイターズ,34
C10807,マシュマロ通信［タイムズ］,52
C10809,美鳥の日々,13
C10811,じゃがいぬくん［シリーズ］,26
C10813,レジェンズ 甦る竜王伝説,50
C10815,Get Ride! アムドライバー,51
C10816,神無月の巫女,12
C10818,ななみちゃん,12
C10821,VIEWTIFUL JOE,51
C10823,魔法少女リリカルなのは,13
C10826,せんせいの お時間 DOKI DOKI SCHOOL HOURS,13
C10828,花右京メイド隊 La Verite,12
C10830,わがまま★フェアリーミルモでポン! わんだほう,48
C10832,MADLAX,26
C10834,陸奥圓明流外伝 修羅の刻,26
C10836,MONSTER,75
C10837,鉄人28号［第3作］,26
C10839,魔法少女隊アルス,40
C10841,デュエル・マスターズ チャージ,7
C10843,サムライ チャンプルー,17
C10845,LOVE❤LOVE?,9
C10847,ちぃちゃんとヒゲおじさん,10
C10849,Wind -a breath of heart-,13
C10851,東奔西走スクールライフANIMATION 月は東に日は西に ―Operation Sanctuary―,13
C10853,留守電アワー SODANブラザーズ,25
C10857,こいこい7,13
C10859,IZUMO 猛き剣の閃記,12
C10862,ゾイドフューザーズ,26
C10864,SAMURAI 7,26
C10866,KURAU Phantom Memory,24
C10868,おジャ魔女どれみナ・イ・ショ,13
C10870,ポストペット モモ便,24
C10872,モンキーターンV,25
C10874,GIRLSブラボー first season,11
C10876,ニニンが シノブ伝 THE NONSENSE KUNOICHI FICTION,12
C10880,Re❤キューティーハニー,3
C10882,エルフェン リート,14
C10884,機動戦士 ガンダムSEED [- 遥かなる暁 -],2
C10886,アガサ・クリスティーの名探偵ポワロとマープル,39
C10888,マリア様がみてる 春,13
C10890,蒼穹のファフナー Dead Aggressor,26
C10892,お伽草子,26
C10894,ギャラクシーエンジェル［第4期］,13
C10896,DearS,13
C10900,モンキー・パンチ 漫画活動大写真,13
C10904,宇宙交響詩メーテル 銀河鉄道999 外伝,13
C10908,風人物語,14
C10910,カレーの国のコバ～ル,13
C10912,陰陽大戦記,52
C10914,冒険王 ビィト BEET THE VANDEL BUSTER,52
C10916,舞-HiME,26
C10920,To Heart Remember my memories,13
C10922,うた∽かた,12
C10924,W Wish ダブルウィッシュ,13
C10926,Φなる・ あぷろーち,13
C10928,カッパの飼い方,26
C10930,みどりのくにの こえだちゃん,256
C10932,サムライガン,12
C10934,巌窟王,24
C10936,リングにかけろ 1,12
C10938,Legend of DUO,12
C10940,アークエと ガッチンポー,13
C10942,下級生2 ～瞳の中の少女たち～,13
C10944,ロックマンエグゼStream,51
C10946,Sweet Valerian,18
C10947,魔法先生 ネギま!,26
C10949,アークエと ガッチンポーてんこもり,12
C10951,ああっ女神さまっ,25
C10953,ピーチガール,25
C10955,B-伝説［ビーレジェンド］! バトルビーダマン炎魂［ファイヤースピリッツ］!,51
C10957,まほらば Heartful days,26
C10959,BUZZER BEATER,13
C10961,ふたりは プリキュアMax Heart,47
C10963,増田こうすけ劇場 ギャグマンガ日和,12
C10965,まじめにふまじめ かいけつゾロリ,97
C10969,流星戦隊ムスメット　／　流星戦隊オトメット　／　帰ってきた! 流星戦隊ムスメット,13
C10972,School Rumble,26
C10974,砂ぼうず,24
C10976,レ・ミゼラブル 少女コゼット,52
C10978,がくえんゆーとぴあ まなびストレート!,12
C10980,VenusVersusVirus,12
C10982,のだめ カンタービレ,23
C10984,ひだまりスケッチ,14
C10986,月面兎兵器ミーナ,11
C10988,ToHeart2,14
C10990,獣装機攻ダンクーガノヴァ,13
C10992,NARUTO疾風伝,490
C10993,月詠 MOON PHASE,25
C10995,ファンタジック チルドレン,26
C10997,BLEACH,369
C10999,tactics,25
C11001,遙かなる時空のなかで 八葉抄,26
C11003,遊☆戯☆王 デュエルモンスターズ GX,180
C11005,双恋,13
C11007,BECK MONGORIAN CHOP SQUAD,26
C11009,ジパング,26
C11011,Rozen Maiden,12
C11013,機動戦士 ガンダム S［シード］ DESTINy,51
C11017,げんしけん,12
C11019,ブラックジャック,63
C11021,焼きたて!! ジャぱん,69
C11023,グレネーダー ほほえみの閃士,13
C11025,学園アリス,27
C11027,吟遊黙示録 マイネリーベ,13
C11029,メジャー,26
C11033,おれたちイジワルケイ,14
C11037,コロッケ!［第2期］,27
C11039,いない いない ばあっ!［第9期］,89
C11041,パンツぱんくろう,95
C11043,おじゃる丸［第7期］,90
C11045,忍たま乱太郎［第12期］,83
C11047,えいごでいっしょ! WAKU★WAKU ペンギー★ DOKI▼DOKI アドベンチャー,13
C11049,みらくる! ぱんぞう,20
C11051,ぴりっとQ［第2期］,10
C11053,U.H.O. フューチャーレスキュー2061,22
C11055,GANTZ ［地上波未放送篇］,13
C11059,［ぶんちゃかトリオ］,27
C11063,まじかるカナン,13
C11067,Starship Operators,13
C11069,らいむいろ流奇譚 X［cross］ ～恋、教ヘテクダサイ。～,13
C11071,Xenosaga THE ANIMATION,12
C11073,AIR,13
C11075,トランスフォーマー ギャラクシーフォース,52
C11077,ギャラリーフェイク,39
C11079,好きなものは好きだからしｮうがない!!,12
C11081,アルティメットガール,12
C11083,だめっこどうぶつ,26
C11085,GIRLSブラボー second season,13
C11087,NePoS NaPoS,26
C11089,モンチッチ,26
C11091,JINKI:EXTEND,12
C11093,英國戀物語エマ,12
C11095,こみっくパーティーRevolution,13
C11097,LOVELESS,13
C11099,SPEED GRAPHER,24
C11103,バジリスク 甲賀忍法帖,24
C11105,わがまま☆フェアリー ミルモでポン! ちゃあみんぐ,22
C11106,ふしぎ星の★ふたご姫,52
C11108,おねがいマイメロディ,52
C11110,MÄR メルヘヴン MÄRCHEN AWAKENS ROMANCE,102
C11112,うえきの法則,51
C11114,エレメンタル ジェレイド,26
C11116,創聖のアクエリオン,26
C11119,アイシールド21,145
C11121,いちご100％,12
C11123,ガラスの仮面［新］,51
C11125,甲虫王者ムシキング 森の民の伝説,52
C11127,極上生徒会,26
C11129,フタコイ オルタナティブ,13
C11131,おでんくん The Adventure of Oden-kun[第1期],39
C11133,これが私の御主人様,12
C11135,ツバサ・クロニクル　年代記[第1期],26
C11137,ゾイド ジェネシス,50
C11139,ハチミツとクローバー,24
C11141,交響詩篇 エウレカセブン,51
C11143,新釈 戦国英雄伝説 眞田十勇士 ─The Animation─ ［シリーズ］,12
C11146,絶対少年,26
C11148,雪の女王,42
C11150,パタリロ 西遊記!,26
C11152,かみちゅ!,12
C11154,あまえ ないでよっ!!,13
C11156,機動新撰組 萌えよ剣TV,13
C11158,おくさまは 女子高生,13
C11160,FNS地球特捜隊 ダイバスター［スペシャル］,2
C11162,苺ましまろ,12
C11164,シュガシュガルーン,51
C11166,D.C.S.S. ～ダ・カーポ セカンドシーズン～,26
C11168,奥さまは 魔法少女 Bewitched Arnès,13
C11170,ぱにぽにだっしゅ!,26
C11172,ガン×ソード,26
C11174,プレイボール,13
C11176,涼風［すずか］,26
C11178,TIDE-LINE BLUE,12
C11180,SHUFFLE!,24
C11182,ぺとぺとさん,13
C11184,ひまわりっ!!,14
C11187,CLUSTER EDGE,25
C11189,Solty Rei,24
C11191,銀盤 カレイドスコープ,12
C11193,福島民話館 ねぇ みんな…2,48
C11195,韋駄天翔［イダテンジャンプ］,52
C11197,格闘美神 武龍［ウーロン］,25
C11199,魔法少女リリカルなのはA's,13
C11201,Canvas2 キャンバス2～虹色のスケッチ～,24
C11203,はっぴぃセブン ～ざ・テレビまんが～,13
C11205,アニマル横町,104
C11207,Angel Heart,51
C11209,capeta,52
C11211,ガンパレード・オーケストラ,24
C11213,地獄少女,27
C11215,闘牌伝説 アカギ 闇に舞い降りた天才,26
C11217,ARIA The ANIMATION,13
C11219,IGPX Immortal Grand Prix,26
C11221,こてんこてんこ,106
C11223,灼眼のシャナ,25
C11225,冒険王ビィト エクセリオン BEET THE VANDEL BUSTER,25
C11227,BLACK CAT,24
C11229,舞-乙HiME［マイオトメ］,26
C11231,BLOOD+,52
C11233,ラムネ,12
C11235,ノエイン もうひとりの君へ,24
C11237,Paradise kiss,12
C11239,Rozen Maiden träumend,12
C11241,蟲師,27
C11243,銀牙伝説WEED,26
C11245,かりん,24
C11247,ガイキング REGEND OF DAIKU-MARYU,39
C11253,南の島の小さな飛行機バーディー[第1期],14
C11257,モリゾーとキッコロ ［第2期］,26
C11259,サムライチャンプルー［セカンドシーズン］,9
C11261,こちら葛飾区 亀有公園前 派出所 [スペシャル] 走れ! 両津式チンチン電車 ～思い出の大次郎号～,1
C11265,こちら葛飾区 亀有公園前 派出所 [スペシャル] 両津の 浅草リニューアル 大作戦!! ～あぁ 思い出の花やしき～,1
C11267,Hello Kittyりんごの森のミステリー,13
C11269,恋する天使 アンジェリーク ～かがやきの明日～,12
C11273,SHUFFLE!memories,12
C11275,MASTER of EPIC The AnimationAge,12
C11277,東京魔人學園剣風帖 龍*,14
C11279,京四郎と永遠の空,12
C11281,Saint October,26
C11283,デルトラクエスト,65
C11286,らき☆すた,24
C11288,怪物王女,25
C11290,風のスティグマ[風の聖痕],24
C11292,おおきく振りかぶって,25
C11296,アニ*クリ15,27
C11298,爆丸バトルブローラーズ,51
C11300,Romeo×Juliet,25
C11302,かみちゃまかりん,26
C11304,鋼鉄三国志,25
C11306,DARKER THANBLACK黒の契約者,25
C11308,ぼくらの,25
C11309,電脳コイルCOIL A CIRCLE OF CHILDREN,29
C11310,風の少女エミリー,26
C11312,精霊の守り人,27
C11314,sola,13
C11316,地球[テラ]へ・・・,26
C11318,BLUE DRAGON,52
C11320,ラブ★コンLOVELY★COMPLEX,25
C11322,機動戦士ガンダム00,26
C11324,しゅごキャラ!,51
C11326,まめうしくん,52
C11328,ef -a tale of memories.,12
C11330,キミキスpure rouge,25
C11333,Yes!プリキュア5,49
C11335,古代王者恐竜キングDキッズ・アドベンチャー,49
C11337,ロケットガール,12
C11339,一騎当千Dragon Destiny,13
C11341,MOONLIGHTMILE1stシーズンLift off,14
C11343,REIDEEN,26
C11345,ひとひら,12
C11347,おねがいマイメロディすっきり♪,52
C11349,ロビー＆[と]ケロビー,52
C11353,SUGAR BUNNIES,26
C11355,桃華月憚,26
C11357,SaintBeast光陰叙事詩天使譚,13
C11359,やさいのようせいN.Y. SALAD,26
C11361,Shining Tears X Wind,13
C11365,スパイダーライダーズよみがえる太陽,27
C11367,英國戀物語 エマ 第ニ幕,12
C11369,スカルマン,13
C11371,ゲゲゲの鬼太郎[第5作],100
C11373,天元突破グレンラガン,27
C11375,ハヤテのごとく!Hayate the combat butler,52
C11377,瀬戸の花嫁,26
C11379,ヒロイック・エイジ,26
C11381,魔法少女リリカルなのはStrikerS,26
C11383,アイドルマスターXENOGLOSSIA,26
C11385,エル・カザドEL CAZADOR DE LA BRUJA,26
C11387,OverDrive,26
C11389,大江戸ロケット,26
C11391,キスダムENGAGE planet,26
C11393,CLAYMORE,26
C11395,この青空に約束を─～ようこそつぐみ寮へ～,13
C11397,神曲奏界ポリフォニカ,12
C11399,機神大戦ギガンティック・フォーミュラ,26
C11401,鋼鉄神ジーグ,13
C11403,ながされて藍蘭島,26
C11406,トレジャーガウスト,5
C11408,Devil May Cry,13
C11410,湾岸MIDNIGHT,26
C11412,鉄子の旅,14
C11414,CODE-E,12
C11416,ドージンワーク,12
C11418,はぴはぴクローバー,13
C11424,ななついろ★ドロップスFirst love that encompasses you,12
C11426,ケンコー全裸系水泳部ウミショー,13
C11428,School Days,12
C11430,ZOMBIE-LOAN,11
C11432,BUZZER BEATER,13
C11434,スカイガールズ,26
C11436,ひぐらしのなく頃に解,24
C11438,ムシウタ Dreamer's hopeless and intense desire.,12
C11440,ぽてまよ,12
C11442,さよなら絶望先生,12
C11444,ゼロの使い魔双月の騎士,12
C11446,もえたん,13
C11448,モノノ怪,12
C11450,シグルイ,13
C11452,BACCANO!,13
C11464,シャンプー王子,12
C11466,D.C.Ⅱ～ダ・カーポⅡ～,13
C11468,Hello Kitty りんごの森とパラレルタウン,26
C11470,デュエル・マスターズゼロ,25
C11472,天才?Dr.ハマックス,12
C11474,やっとかめ探偵団,14
C11476,PRISM ARK,12
C11478,こどものじかん,12
C11480,サンリオぽこあぽこ,13
C11483,一期一会恋バナ友バナ,13
C11485,スケッチブック～full color'S～,13
C11487,バンブーブレード,26
C11489,BLUE DROP 天使達の戯曲,13
C11491,逆境無頼カイジUltimate Survivor,26
C11493,素敵探偵ラビリンス,25
C11495,ナイトウィザードThe ANIMATION,13
C11498,Myself;Yourself,13
C11500,魔人探偵脳噛ネウロ,25
C11502,もっけ,24
C11504,ご愁傷さま二ノ宮くん,12
C11506,DRAGONAUT-THE RESONANCE-,25
C11508,CLANNAD,23
C11510,灼眼のシャナ Ⅱ[Second],24
C11512,逮捕しちゃうぞフルスロットル,23
C11514,はたらキッズ マイハム組,50
C11516,ぷるるんっ! しずくちゃん あはっ☆,51
C11521,ペンギン の問題,102
C11523,Rocket!ぼくらを月につれてって新・月世界旅行,5
C11525,家電漫才ジョンテレビSHOW,25
C11527,はっけん たいけんだいすき!しまじろう,108
C11529,ファイアボール,13
C11531,秘密[トップシークレット]The Revelation,26
C11533,カイバ,12
C11536,ヴァンパイア騎士[ナイト]Guilty,13
C11538,紅 KURENAI,12
C11540,ToLOVEる,26
C11542,あまつき,13
C11544,SUGAR BUNNIESショコラ!,26
C11547,あやまるアニマル,18
C11549,ef-a tale of melodies.,13
C11551,Disneyスティッチ!,26
C11553,伯爵と妖精,12
C11555,Maple Story,25
C11557,獣神演武 HERO TALES,26
C11559,みなみけ,13
C11561,レンタル×マギカ,24
C11563,げんしけん2,12
C11565,もやしもんTALES OF AGRICULTURE,11
C11567,しおんの王The Powers of Hard Blood,22
C11569,神霊狩/GHOST HOUND,23
C11571,ボノロン～不思議な森のいいつたえ～,26
C11575,流星のロックマントライブ,21
C11577,エレキングthe Animation,13
C11579,金田一少年の事件簿 SP[スペシャル],2
