year,ゲームプラットフォーム名,ゲームパッケージ数,ゲームパブリッシャー数,メーカー名,発売年
1987,プレイステーション,0,0,ソニー,1987-01-01
1987,NINTENDO64,0,0,任天堂,1987-01-01
1987,ドリームキャスト,0,0,セガ,1987-01-01
1987,プレイステーション2,0,0,ソニー,1987-01-01
1987,ゲームボーイアドバンス,0,0,任天堂,1987-01-01
1987,ニンテンドーゲームキューブ,0,0,任天堂,1987-01-01
1987,ニンテンドーDS,0,0,任天堂,1987-01-01
1987,プレイステーション・ポータブル,0,0,ソニー,1987-01-01
1987,Wii,0,0,任天堂,1987-01-01
1987,ゲームアーカイブス,0,0,ソニー,1987-01-01
1987,プレイステーション3,0,0,ソニー,1987-01-01
1987,ニンテンドー3DS,0,0,任天堂,1987-01-01
1987,プレイステーションVita,0,0,ソニー,1987-01-01
1987,WiiU,0,0,任天堂,1987-01-01
1987,プレイステーション4,0,0,ソニー,1987-01-01
1987,NintendoSwitch,0,0,任天堂,1987-01-01
1988,ファミリーコンピュータ,52,31,任天堂,1988-01-01
1988,SC-3000,0,0,セガ,1988-01-01
1988,SG-1000,0,0,セガ,1988-01-01
1988,SEGAマーク3,1,1,セガ,1988-01-01
1988,セガ・マスターシステム,1,1,セガ,1988-01-01
1988,メガドライブ,4,2,セガ,1988-01-01
1988,ゲームボーイ,0,0,任天堂,1988-01-01
1988,ゲームギア,0,0,セガ,1988-01-01
1988,スーパーファミコン,0,0,任天堂,1988-01-01
1988,セガサターン,0,0,セガ,1988-01-01
1988,プレイステーション,0,0,ソニー,1988-01-01
1988,NINTENDO64,0,0,任天堂,1988-01-01
1988,ドリームキャスト,0,0,セガ,1988-01-01
1988,プレイステーション2,0,0,ソニー,1988-01-01
1988,ゲームボーイアドバンス,0,0,任天堂,1988-01-01
1988,ニンテンドーゲームキューブ,0,0,任天堂,1988-01-01
1988,ニンテンドーDS,0,0,任天堂,1988-01-01
1988,プレイステーション・ポータブル,0,0,ソニー,1988-01-01
1988,Wii,0,0,任天堂,1988-01-01
1988,ゲームアーカイブス,0,0,ソニー,1988-01-01
1988,プレイステーション3,0,0,ソニー,1988-01-01
1988,ニンテンドー3DS,0,0,任天堂,1988-01-01
1988,プレイステーションVita,0,0,ソニー,1988-01-01
1988,WiiU,0,0,任天堂,1988-01-01
1988,プレイステーション4,0,0,ソニー,1988-01-01
1988,NintendoSwitch,0,0,任天堂,1988-01-01
1989,ファミリーコンピュータ,61,30,任天堂,1989-01-01
1989,SC-3000,0,0,セガ,1989-01-01
1989,SG-1000,0,0,セガ,1989-01-01
1989,SEGAマーク3,0,0,セガ,1989-01-01
1989,セガ・マスターシステム,0,0,セガ,1989-01-01
1989,メガドライブ,21,5,セガ,1989-01-01
1989,ゲームボーイ,17,11,任天堂,1989-01-01
1989,ゲームギア,0,0,セガ,1989-01-01
1989,スーパーファミコン,0,0,任天堂,1989-01-01
1989,セガサターン,0,0,セガ,1989-01-01
1989,プレイステーション,0,0,ソニー,1989-01-01
1989,NINTENDO64,0,0,任天堂,1989-01-01
1989,ドリームキャスト,0,0,セガ,1989-01-01
1989,プレイステーション2,0,0,ソニー,1989-01-01
1989,ゲームボーイアドバンス,0,0,任天堂,1989-01-01
1989,ニンテンドーゲームキューブ,0,0,任天堂,1989-01-01
1989,ニンテンドーDS,0,0,任天堂,1989-01-01
1989,プレイステーション・ポータブル,0,0,ソニー,1989-01-01
1989,Wii,0,0,任天堂,1989-01-01
1989,ゲームアーカイブス,0,0,ソニー,1989-01-01
1989,プレイステーション3,0,0,ソニー,1989-01-01
1989,ニンテンドー3DS,0,0,任天堂,1989-01-01
1989,プレイステーションVita,0,0,ソニー,1989-01-01
1989,WiiU,0,0,任天堂,1989-01-01
1989,プレイステーション4,0,0,ソニー,1989-01-01
1989,NintendoSwitch,0,0,任天堂,1989-01-01
1990,ファミリーコンピュータ,49,35,任天堂,1990-01-01
1990,SC-3000,0,0,セガ,1990-01-01
1990,SG-1000,0,0,セガ,1990-01-01
1990,SEGAマーク3,0,0,セガ,1990-01-01
1990,セガ・マスターシステム,0,0,セガ,1990-01-01
1990,メガドライブ,52,21,セガ,1990-01-01
1990,ゲームボーイ,88,50,任天堂,1990-01-01
1990,ゲームギア,10,5,セガ,1990-01-01
1990,スーパーファミコン,8,6,任天堂,1990-01-01
1990,セガサターン,0,0,セガ,1990-01-01
1990,プレイステーション,0,0,ソニー,1990-01-01
1990,NINTENDO64,0,0,任天堂,1990-01-01
1990,ドリームキャスト,0,0,セガ,1990-01-01
1990,プレイステーション2,0,0,ソニー,1990-01-01
1990,ゲームボーイアドバンス,0,0,任天堂,1990-01-01
1990,ニンテンドーゲームキューブ,0,0,任天堂,1990-01-01
1990,ニンテンドーDS,0,0,任天堂,1990-01-01
1990,プレイステーション・ポータブル,0,0,ソニー,1990-01-01
1990,Wii,0,0,任天堂,1990-01-01
1990,ゲームアーカイブス,0,0,ソニー,1990-01-01
1990,プレイステーション3,0,0,ソニー,1990-01-01
1990,ニンテンドー3DS,0,0,任天堂,1990-01-01
1990,プレイステーションVita,0,0,ソニー,1990-01-01
1990,WiiU,0,0,任天堂,1990-01-01
1990,プレイステーション4,0,0,ソニー,1990-01-01
1990,NintendoSwitch,0,0,任天堂,1990-01-01
1991,ファミリーコンピュータ,40,25,任天堂,1991-01-01
1991,SC-3000,0,0,セガ,1991-01-01
1991,SG-1000,0,0,セガ,1991-01-01
1991,SEGAマーク3,0,0,セガ,1991-01-01
1991,セガ・マスターシステム,0,0,セガ,1991-01-01
1991,メガドライブ,67,31,セガ,1991-01-01
1991,ゲームボーイ,69,42,任天堂,1991-01-01
1991,ゲームギア,41,17,セガ,1991-01-01
1991,スーパーファミコン,43,31,任天堂,1991-01-01
1991,セガサターン,0,0,セガ,1991-01-01
1991,プレイステーション,0,0,ソニー,1991-01-01
1991,NINTENDO64,0,0,任天堂,1991-01-01
1991,ドリームキャスト,0,0,セガ,1991-01-01
1991,プレイステーション2,0,0,ソニー,1991-01-01
1991,ゲームボーイアドバンス,0,0,任天堂,1991-01-01
1991,ニンテンドーゲームキューブ,0,0,任天堂,1991-01-01
1991,ニンテンドーDS,0,0,任天堂,1991-01-01
1991,プレイステーション・ポータブル,0,0,ソニー,1991-01-01
1991,Wii,0,0,任天堂,1991-01-01
1991,ゲームアーカイブス,0,0,ソニー,1991-01-01
1991,プレイステーション3,0,0,ソニー,1991-01-01
1991,ニンテンドー3DS,0,0,任天堂,1991-01-01
1991,プレイステーションVita,0,0,ソニー,1991-01-01
1991,WiiU,0,0,任天堂,1991-01-01
1991,プレイステーション4,0,0,ソニー,1991-01-01
1991,NintendoSwitch,0,0,任天堂,1991-01-01
1992,ファミリーコンピュータ,19,13,任天堂,1992-01-01
1992,SC-3000,0,0,セガ,1992-01-01
1992,SG-1000,0,0,セガ,1992-01-01
1992,SEGAマーク3,0,0,セガ,1992-01-01
1992,セガ・マスターシステム,0,0,セガ,1992-01-01
1992,メガドライブ,76,33,セガ,1992-01-01
1992,ゲームボーイ,76,33,任天堂,1992-01-01
1992,ゲームギア,23,5,セガ,1992-01-01
1992,スーパーファミコン,143,86,任天堂,1992-01-01
1992,セガサターン,0,0,セガ,1992-01-01
1992,プレイステーション,0,0,ソニー,1992-01-01
1992,NINTENDO64,0,0,任天堂,1992-01-01
1992,ドリームキャスト,0,0,セガ,1992-01-01
1992,プレイステーション2,0,0,ソニー,1992-01-01
1992,ゲームボーイアドバンス,0,0,任天堂,1992-01-01
1992,ニンテンドーゲームキューブ,0,0,任天堂,1992-01-01
1992,ニンテンドーDS,0,0,任天堂,1992-01-01
1992,プレイステーション・ポータブル,0,0,ソニー,1992-01-01
1992,Wii,0,0,任天堂,1992-01-01
1992,ゲームアーカイブス,0,0,ソニー,1992-01-01
1992,プレイステーション3,0,0,ソニー,1992-01-01
1992,ニンテンドー3DS,0,0,任天堂,1992-01-01
1992,プレイステーションVita,0,0,ソニー,1992-01-01
1992,WiiU,0,0,任天堂,1992-01-01
