ceid,cename,ccid,miid,page_start,page_end,pages,page_start_position,two_colored,four_colored,miname,mcid,mcname,date,price,ccname
CE66903,其之三十九 第4試合,C87667,M544036,143.0,157.0,15.0,0.4193548387096774,False,False,週刊少年ジャンプ 1985年 表示号数39,C119459,週刊少年ジャンプ,1985-09-09,170.0,DRAGON　BALL
CE66916,其之三十八 第3試合,C87667,M544037,79.0,93.0,15.0,0.2316715542521994,False,False,週刊少年ジャンプ 1985年 表示号数38,C119459,週刊少年ジャンプ,1985-09-02,170.0,DRAGON　BALL
CE66936,其之三十七 第2試合,C87667,M544038,187.0,201.0,15.0,0.4857142857142857,False,False,週刊少年ジャンプ 1985年 表示号数37,C119459,週刊少年ジャンプ,1985-08-26,180.0,DRAGON　BALL
CE66952,其之三十六 第1試合,C87667,M544039,151.0,165.0,15.0,0.4326647564469914,False,False,週刊少年ジャンプ 1985年 表示号数36,C119459,週刊少年ジャンプ,1985-08-19,170.0,DRAGON　BALL
CE66964,其之三十五 対戦決定!!,C87667,M544040,65.0,79.0,15.0,0.1895043731778425,False,False,週刊少年ジャンプ 1985年 表示号数35,C119459,週刊少年ジャンプ,1985-08-12,170.0,DRAGON　BALL
CE66987,其之三十四 天下無敵!,C87667,M544042,207.0,221.0,15.0,0.6070381231671554,False,False,週刊少年ジャンプ 1985年 表示号数34,C119459,週刊少年ジャンプ,1985-08-05,170.0,DRAGON　BALL
CE66995,其之三十三 修行の威力!!,C87667,M544043,35.0,53.0,19.0,0.1026392961876832,True,False,週刊少年ジャンプ 1985年 表示号数33,C119459,週刊少年ジャンプ,1985-07-29,170.0,DRAGON　BALL
CE67017,其之三十二天下一武道会はじまる!!,C87667,M544044,175.0,189.0,15.0,0.4691689008042895,False,False,週刊少年ジャンプ 1985年 表示号数32,C119459,週刊少年ジャンプ,1985-07-22,180.0,DRAGON　BALL
CE67038,其之三十一亀仙流の厳しい修行,C87667,M544045,257.0,271.0,15.0,0.749271137026239,False,False,週刊少年ジャンプ 1985年 表示号数31,C119459,週刊少年ジャンプ,1985-07-15,170.0,DRAGON　BALL
CE67049,其の三十 牛乳配達,C87667,M544046,145.0,159.0,15.0,0.4227405247813411,False,False,週刊少年ジャンプ 1985年 表示号数30,C119459,週刊少年ジャンプ,1985-07-08,170.0,DRAGON　BALL
