アニメ作品名ID,初出年代,初出曜日,クール数,初出曜日ID,初出年代ID
C11864,2000,土,2クール以上,5,1
C12361,2000,土,2クール以上,5,1
C12565,2000,土,2クール以上,5,1
C12900,2000,土,2クール以上,5,1
C13062,2000,土,2クール以上,5,1
C10529,2000,土,2クール以上,5,1
C11025,2000,土,2クール以上,5,1
C11571,2000,土,2クール以上,5,1
C11655,2000,土,2クール以上,5,1
C12423,2000,土,2クール以上,5,1
C14595,2000,土,2クール以上,5,1
C10764,2000,土,2クール以上,5,1
C11994,2000,土,2クール以上,5,1
C12349,2000,土,2クール以上,5,1
C9911,2000,土,2クール以上,5,1
C9889,2000,土,2クール以上,5,1
C11309,2000,土,2クール以上,5,1
C13370,2000,土,2クール以上,5,1
C13128,2000,土,2クール以上,5,1
C10121,2000,土,2クール以上,5,1
C10410,2000,土,2クール以上,5,1
C12126,2000,土,2クール以上,5,1
C13016,2000,土,2クール以上,5,1
C14581,2000,土,2クール以上,5,1
C10229,2000,土,2クール以上,5,1
C10801,2000,土,2クール以上,5,1
C12069,2000,土,2クール以上,5,1
C13010,2000,土,2クール以上,5,1
C13012,2000,土,2クール以上,5,1
C13390,2000,土,2クール以上,5,1
C10117,2000,土,2クール以上,5,1
C11708,2000,土,2クール以上,5,1
C12489,2000,土,2クール以上,5,1
C13231,2000,土,2クール以上,5,1
C9956,2000,土,2クール以上,5,1
C13103,2000,土,2クール以上,5,1
C12499,2000,土,2クール以上,5,1
C10417,2000,土,2クール以上,5,1
C13132,2000,土,2クール以上,5,1
C11247,2000,土,2クール以上,5,1
C12458,2000,土,2クール以上,5,1
C13000,2000,土,2クール以上,5,1
C11547,2000,土,2クール以上,5,1
C12815,2000,土,2クール以上,5,1
C13252,2000,土,2クール以上,5,1
C10423,2000,土,2クール以上,5,1
C10115,2000,土,2クール以上,5,1
C10207,2000,土,2クール以上,5,1
C10274,2000,土,2クール以上,5,1
C11193,2000,土,2クール以上,5,1
C11231,2000,土,2クール以上,5,1
C11752,2000,土,2クール以上,5,1
C11908,2000,土,2クール以上,5,1
C12987,2000,土,2クール以上,5,1
C10020,2000,土,2クール以上,5,1
C10272,2000,土,2クール以上,5,1
C10278,2000,土,2クール以上,5,1
C10344,2000,土,2クール以上,5,1
C10348,2000,土,2クール以上,5,1
C10350,2000,土,2クール以上,5,1
C10522,2000,土,2クール以上,5,1
C10531,2000,土,2クール以上,5,1
C10795,2000,土,2クール以上,5,1
C10821,2000,土,2クール以上,5,1
C10944,2000,土,2クール以上,5,1
C11013,2000,土,2クール以上,5,1
C11075,2000,土,2クール以上,5,1
C11106,2000,土,2クール以上,5,1
C11164,2000,土,2クール以上,5,1
C11324,2000,土,2クール以上,5,1
C11326,2000,土,2クール以上,5,1
C11593,2000,土,2クール以上,5,1
C11712,2000,土,2クール以上,5,1
C11866,2000,土,2クール以上,5,1
C12313,2000,土,2クール以上,5,1
C12408,2000,土,2クール以上,5,1
C12414,2000,土,2クール以上,5,1
C12914,2000,土,2クール以上,5,1
C13227,2000,土,2クール以上,5,1
C13235,2000,土,2クール以上,5,1
C9995,2000,土,2クール以上,5,1
C12359,2000,土,2クール以上,5,1
C11318,2000,土,2クール以上,5,1
C11944,2000,土,2クール以上,5,1
C11195,2000,土,2クール以上,5,1
C12357,2000,土,2クール以上,5,1
C13174,2000,土,2クール以上,5,1
C11975,2000,土,2クール以上,5,1
C11045,2000,土,2クール以上,5,1
C12416,2000,土,2クール以上,5,1
C13091,2000,土,2クール以上,5,1
C13336,2000,土,2クール以上,5,1
C10205,2000,土,2クール以上,5,1
C12860,2000,土,2クール以上,5,1
C11924,2000,土,2クール以上,5,1
C10145,2000,土,2クール以上,5,1
C11283,2000,土,2クール以上,5,1
C11410,2000,土,2クール以上,5,1
C9907,2000,土,2クール以上,5,1
C12511,2000,土,2クール以上,5,1
C13060,2000,土,2クール以上,5,1
C10183,2000,土,2クール以上,5,1
C10561,2000,土,2クール以上,5,1
C11521,2000,土,2クール以上,5,1
C11654,2000,土,2クール以上,5,1
C10628,2000,土,2クール以上,5,1
C10780,2000,土,2クール以上,5,1
C12292,2000,土,2クール以上,5,1
C10179,2000,土,2クール以上,5,1
C13254,2000,土,2クール以上,5,1
C12404,2000,土,2クール以上,5,1
C10797,2000,土,2クール以上,5,1
C11261,2000,日,1クール以下,6,1
C11265,2000,日,1クール以下,6,1
C11581,2000,日,1クール以下,6,1
C13033,2000,日,1クール以下,6,1
C13164,2000,日,1クール以下,6,1
C13308,2000,日,1クール以下,6,1
C13312,2000,日,1クール以下,6,1
C13346,2000,日,1クール以下,6,1
C14566,2000,日,1クール以下,6,1
C13154,2000,日,1クール以下,6,1
C10747,2000,日,1クール以下,6,1
C11996,2000,日,1クール以下,6,1
C11998,2000,日,1クール以下,6,1
C13026,2000,日,1クール以下,6,1
C13237,2000,日,1クール以下,6,1
C13288,2000,日,1クール以下,6,1
C14579,2000,日,1クール以下,6,1
C10060,2000,日,1クール以下,6,1
C14586,2000,日,1クール以下,6,1
C10306,2000,日,1クール以下,6,1
C14601,2000,日,1クール以下,6,1
C10986,2000,日,1クール以下,6,1
C10538,2000,日,1クール以下,6,1
C10542,2000,日,1クール以下,6,1
C10665,2000,日,1クール以下,6,1
C10679,2000,日,1クール以下,6,1
C10859,2000,日,1クール以下,6,1
C10922,2000,日,1クール以下,6,1
C11079,2000,日,1クール以下,6,1
C11093,2000,日,1クール以下,6,1
C11191,2000,日,1クール以下,6,1
C11328,2000,日,1クール以下,6,1
C11442,2000,日,1クール以下,6,1
C11599,2000,日,1クール以下,6,1
C11603,2000,日,1クール以下,6,1
C11686,2000,日,1クール以下,6,1
C11687,2000,日,1クール以下,6,1
C12019,2000,日,1クール以下,6,1
C12128,2000,日,1クール以下,6,1
C12315,2000,日,1クール以下,6,1
C12468,2000,日,1クール以下,6,1
C12472,2000,日,1クール以下,6,1
C12508,2000,日,1クール以下,6,1
C12512,2000,日,1クール以下,6,1
C12536,2000,日,1クール以下,6,1
C12618,2000,日,1クール以下,6,1
C12902,2000,日,1クール以下,6,1
C10147,2000,日,1クール以下,6,1
C10592,2000,日,1クール以下,6,1
C10082,2000,日,1クール以下,6,1
C10131,2000,日,1クール以下,6,1
C10322,2000,日,1クール以下,6,1
C10454,2000,日,1クール以下,6,1
C10472,2000,日,1クール以下,6,1
C10490,2000,日,1クール以下,6,1
C10518,2000,日,1クール以下,6,1
C10573,2000,日,1クール以下,6,1
C10577,2000,日,1クール以下,6,1
C10596,2000,日,1クール以下,6,1
C10809,2000,日,1クール以下,6,1
C10882,2000,日,1クール以下,6,1
C10888,2000,日,1クール以下,6,1
C10896,2000,日,1クール以下,6,1
C10924,2000,日,1クール以下,6,1
C10926,2000,日,1クール以下,6,1
C11158,2000,日,1クール以下,6,1
C11184,2000,日,1クール以下,6,1
C11199,2000,日,1クール以下,6,1
C11369,2000,日,1クール以下,6,1
C11601,2000,日,1クール以下,6,1
C11615,2000,日,1クール以下,6,1
C11679,2000,日,1クール以下,6,1
C11722,2000,日,1クール以下,6,1
C11796,2000,日,1クール以下,6,1
C11822,2000,日,1クール以下,6,1
C11892,2000,日,1クール以下,6,1
C11894,2000,日,1クール以下,6,1
C12053,2000,日,1クール以下,6,1
C12061,2000,日,1クール以下,6,1
C12317,2000,日,1クール以下,6,1
C12337,2000,日,1クール以下,6,1
C12373,2000,日,1クール以下,6,1
C12402,2000,日,1クール以下,6,1
C12466,2000,日,1クール以下,6,1
C12515,2000,日,1クール以下,6,1
C12994,2000,日,1クール以下,6,1
C12193,2000,日,1クール以下,6,1
C10661,2000,日,2クール以上,6,1
C11474,2000,日,2クール以上,6,1
C12935,2000,日,2クール以上,6,1
C10376,2000,日,2クール以上,6,1
C11033,2000,日,2クール以上,6,1
C12616,2000,日,2クール以上,6,1
C9913,2000,日,2クール以上,6,1
C11450,2000,日,2クール以上,6,1
C14612,2000,日,2クール以上,6,1
C9895,2000,日,2クール以上,6,1
C13447,2000,日,2クール以上,6,1
C15349,2000,日,2クール以上,6,1
C11412,2000,日,2クール以上,6,1
C12557,2000,日,2クール以上,6,1
C13380,2000,日,2クール以上,6,1
C10032,2000,日,2クール以上,6,1
C10946,2000,日,2クール以上,6,1
C12927,2000,日,2クール以上,6,1
C11820,2000,日,2クール以上,6,1
C11567,2000,日,2クール以上,6,1
C11928,2000,日,2クール以上,6,1
C12979,2000,日,2クール以上,6,1
C12375,2000,日,2クール以上,6,1
C11910,2000,日,2クール以上,6,1
C10716,2000,日,2クール以上,6,1
C10853,2000,日,2クール以上,6,1
C10872,2000,日,2クール以上,6,1
C11525,2000,日,2クール以上,6,1
C11754,2000,日,2クール以上,6,1
C11756,2000,日,2クール以上,6,1
C12009,2000,日,2クール以上,6,1
C10001,2000,日,2クール以上,6,1
C10003,2000,日,2クール以上,6,1
C10163,2000,日,2クール以上,6,1
C10280,2000,日,2クール以上,6,1
C10358,2000,日,2クール以上,6,1
C10540,2000,日,2クール以上,6,1
C10594,2000,日,2クール以上,6,1
C10659,2000,日,2クール以上,6,1
C10667,2000,日,2クール以上,6,1
C11166,2000,日,2クール以上,6,1
C11197,2000,日,2クール以上,6,1
C11555,2000,日,2クール以上,6,1
C11718,2000,日,2クール以上,6,1
C11726,2000,日,2クール以上,6,1
C11854,2000,日,2クール以上,6,1
C12013,2000,日,2クール以上,6,1
C12021,2000,日,2クール以上,6,1
C12628,2000,日,2クール以上,6,1
C12850,2000,日,2クール以上,6,1
C12858,2000,日,2クール以上,6,1
C13073,2000,日,2クール以上,6,1
C13368,2000,日,2クール以上,6,1
C14570,2000,日,2クール以上,6,1
C11320,2000,日,2クール以上,6,1
C11322,2000,日,2クール以上,6,1
C10072,2000,日,2クール以上,6,1
C10803,2000,日,2クール以上,6,1
C10862,2000,日,2クール以上,6,1
C11373,2000,日,2クール以上,6,1
C12365,2000,日,2クール以上,6,1
C10663,2000,日,2クール以上,6,1
C10870,2000,日,2クール以上,6,1
C12470,2000,日,2クール以上,6,1
C14643,2000,日,2クール以上,6,1
C15344,2000,日,2クール以上,6,1
C11635,2000,日,2クール以上,6,1
C12846,2000,日,2クール以上,6,1
C11341,2000,日,2クール以上,6,1
C9973,2000,日,2クール以上,6,1
C10751,2000,日,2クール以上,6,1
C12561,2000,日,2クール以上,6,1
C10805,2000,日,2クール以上,6,1
C11241,2000,日,2クール以上,6,1
C10022,2000,日,2クール以上,6,1
C11955,2000,日,2クール以上,6,1
C11077,2000,日,2クール以上,6,1
C10074,2000,日,2クール以上,6,1
C10784,2000,日,2クール以上,6,1
C10811,2000,日,2クール以上,6,1
C10886,2000,日,2クール以上,6,1
C10233,2000,日,2クール以上,6,1
C11049,2000,日,2クール以上,6,1
C12027,2000,日,2クール以上,6,1
C11148,2000,日,2クール以上,6,1
C11137,2000,日,2クール以上,6,1
C11141,2000,日,2クール以上,6,1
C11834,2000,日,2クール以上,6,1
C12509,2000,日,2クール以上,6,1
C12072,2000,日,2クール以上,6,1
C12530,2000,日,2クール以上,6,1
C10056,2000,日,2クール以上,6,1
C10211,2000,日,2クール以上,6,1
C10304,2000,日,2クール以上,6,1
C10352,2000,日,2クール以上,6,1
C10354,2000,日,2クール以上,6,1
C10356,2000,日,2クール以上,6,1
C10492,2000,日,2クール以上,6,1
C10494,2000,日,2クール以上,6,1
C10534,2000,日,2クール以上,6,1
C10536,2000,日,2クール以上,6,1
C10766,2000,日,2クール以上,6,1
C10807,2000,日,2クール以上,6,1
C10813,2000,日,2クール以上,6,1
C10900,2000,日,2クール以上,6,1
C10961,2000,日,2クール以上,6,1
C10976,2000,日,2クール以上,6,1
C11108,2000,日,2クール以上,6,1
C11333,2000,日,2クール以上,6,1
C11335,2000,日,2クール以上,6,1
C11516,2000,日,2クール以上,6,1
C11617,2000,日,2クール以上,6,1
C11641,2000,日,2クール以上,6,1
C11668,2000,日,2クール以上,6,1
C11714,2000,日,2クール以上,6,1
C11720,2000,日,2クール以上,6,1
C11724,2000,日,2クール以上,6,1
C11978,2000,日,2クール以上,6,1
C12015,2000,日,2クール以上,6,1
C12017,2000,日,2クール以上,6,1
C12029,2000,日,2クール以上,6,1
C12345,2000,日,2クール以上,6,1
C12363,2000,日,2クール以上,6,1
C12367,2000,日,2クール以上,6,1
C12371,2000,日,2クール以上,6,1
C9891,2000,日,2クール以上,6,1
C9921,2000,日,2クール以上,6,1
C12104,2000,日,2クール以上,6,1
C10078,2000,日,2クール以上,6,1
C10080,2000,日,2クール以上,6,1
C10129,2000,日,2クール以上,6,1
C10189,2000,日,2クール以上,6,1
C10726,2000,日,2クール以上,6,1
C11347,2000,日,2クール以上,6,1
C11349,2000,日,2クール以上,6,1
C11375,2000,日,2クール以上,6,1
C11514,2000,日,2クール以上,6,1
C11810,2000,日,2クール以上,6,1
C11934,2000,日,2クール以上,6,1
C10231,2000,日,2クール以上,6,1
C12996,2000,日,2クール以上,6,1
C10724,2000,日,2クール以上,6,1
C12025,2000,日,2クール以上,6,1
C10191,2000,日,2クール以上,6,1
C10300,2000,日,2クール以上,6,1
C11649,2000,日,2クール以上,6,1
C9893,2000,日,2クール以上,6,1
C11631,2000,日,2クール以上,6,1
C10965,2000,日,2クール以上,6,1
C11110,2000,日,2クール以上,6,1
C12023,2000,日,2クール以上,6,1
C11371,2000,日,2クール以上,6,1
C11662,2000,日,2クール以上,6,1
C10532,2000,日,2クール以上,6,1
C10430,2000,日,2クール以上,6,1
C13081,2000,日,2クール以上,6,1
C13799,2010,月,1クール以下,0,2
C14552,2010,月,1クール以下,0,2
C16233,2010,月,1クール以下,0,2
C14549,2010,月,1クール以下,0,2
C14536,2010,月,1クール以下,0,2
C14677,2010,月,1クール以下,0,2
C15601,2010,月,1クール以下,0,2
C13969,2010,月,1クール以下,0,2
C15846,2010,月,1クール以下,0,2
C14733,2010,月,1クール以下,0,2
C15581,2010,月,1クール以下,0,2
C15593,2010,月,1クール以下,0,2
C14144,2010,月,1クール以下,0,2
C16022,2010,月,1クール以下,0,2
C13500,2010,月,1クール以下,0,2
C13971,2010,月,1クール以下,0,2
C15774,2010,月,1クール以下,0,2
C13797,2010,月,1クール以下,0,2
C14648,2010,月,1クール以下,0,2
C13467,2010,月,1クール以下,0,2
C14853,2010,月,1クール以下,0,2
C13524,2010,月,1クール以下,0,2
C14739,2010,月,1クール以下,0,2
C14897,2010,月,1クール以下,0,2
C15373,2010,月,1クール以下,0,2
C15378,2010,月,1クール以下,0,2
C15658,2010,月,1クール以下,0,2
C15753,2010,月,1クール以下,0,2
C16013,2010,月,1クール以下,0,2
C16151,2010,月,1クール以下,0,2
C16196,2010,月,1クール以下,0,2
C15588,2010,月,1クール以下,0,2
C16136,2010,月,1クール以下,0,2
C13658,2010,月,1クール以下,0,2
C14918,2010,月,1クール以下,0,2
C11873,2010,月,1クール以下,0,2
C12146,2010,月,1クール以下,0,2
C12179,2010,月,1クール以下,0,2
C12209,2010,月,1クール以下,0,2
C12225,2010,月,1クール以下,0,2
C12239,2010,月,1クール以下,0,2
C12273,2010,月,1クール以下,0,2
C13418,2010,月,1クール以下,0,2
C13496,2010,月,1クール以下,0,2
C13504,2010,月,1クール以下,0,2
C13566,2010,月,1クール以下,0,2
C13592,2010,月,1クール以下,0,2
C13639,2010,月,1クール以下,0,2
C13700,2010,月,1クール以下,0,2
C13734,2010,月,1クール以下,0,2
C13846,2010,月,1クール以下,0,2
C13857,2010,月,1クール以下,0,2
C13877,2010,月,1クール以下,0,2
C14804,2010,月,1クール以下,0,2
C14831,2010,月,1クール以下,0,2
C14908,2010,月,1クール以下,0,2
C14923,2010,月,1クール以下,0,2
C14941,2010,月,1クール以下,0,2
C14946,2010,月,1クール以下,0,2
C14997,2010,月,1クール以下,0,2
C15015,2010,月,1クール以下,0,2
C15017,2010,月,1クール以下,0,2
C15062,2010,月,1クール以下,0,2
C15069,2010,月,1クール以下,0,2
C15248,2010,月,1クール以下,0,2
C15391,2010,月,1クール以下,0,2
C15438,2010,月,1クール以下,0,2
C15444,2010,月,1クール以下,0,2
C15464,2010,月,1クール以下,0,2
C15527,2010,月,1クール以下,0,2
C15559,2010,月,1クール以下,0,2
C15626,2010,月,1クール以下,0,2
C15700,2010,月,1クール以下,0,2
C15744,2010,月,1クール以下,0,2
C15745,2010,月,1クール以下,0,2
C15746,2010,月,1クール以下,0,2
C15747,2010,月,1クール以下,0,2
C15852,2010,月,1クール以下,0,2
C15887,2010,月,1クール以下,0,2
C15898,2010,月,1クール以下,0,2
C15899,2010,月,1クール以下,0,2
C15900,2010,月,1クール以下,0,2
C15912,2010,月,1クール以下,0,2
C15941,2010,月,1クール以下,0,2
C15963,2010,月,1クール以下,0,2
C16012,2010,月,1クール以下,0,2
C16093,2010,月,1クール以下,0,2
C16106,2010,月,1クール以下,0,2
C16124,2010,月,1クール以下,0,2
C16133,2010,月,1クール以下,0,2
C16141,2010,月,1クール以下,0,2
C16155,2010,月,1クール以下,0,2
C16180,2010,月,1クール以下,0,2
C16201,2010,月,1クール以下,0,2
C16211,2010,月,1クール以下,0,2
C16228,2010,月,1クール以下,0,2
C15274,2010,月,1クール以下,0,2
C15675,2010,月,1クール以下,0,2
C12251,2010,月,1クール以下,0,2
C12271,2010,月,1クール以下,0,2
C13475,2010,月,1クール以下,0,2
C13508,2010,月,1クール以下,0,2
C13765,2010,月,1クール以下,0,2
C14252,2010,月,1クール以下,0,2
C14671,2010,月,1クール以下,0,2
C14705,2010,月,1クール以下,0,2
C14726,2010,月,1クール以下,0,2
C14749,2010,月,1クール以下,0,2
C14760,2010,月,1クール以下,0,2
C14761,2010,月,1クール以下,0,2
C14912,2010,月,1クール以下,0,2
C15025,2010,月,1クール以下,0,2
C15026,2010,月,1クール以下,0,2
C15038,2010,月,1クール以下,0,2
C15044,2010,月,1クール以下,0,2
C15083,2010,月,1クール以下,0,2
C15367,2010,月,1クール以下,0,2
C15376,2010,月,1クール以下,0,2
C15386,2010,月,1クール以下,0,2
C15399,2010,月,1クール以下,0,2
C15417,2010,月,1クール以下,0,2
C15435,2010,月,1クール以下,0,2
C15556,2010,月,1クール以下,0,2
C15599,2010,月,1クール以下,0,2
C15613,2010,月,1クール以下,0,2
C15686,2010,月,1クール以下,0,2
C15834,2010,月,1クール以下,0,2
C15868,2010,月,1クール以下,0,2
C15892,2010,月,1クール以下,0,2
C15901,2010,月,1クール以下,0,2
C15902,2010,月,1クール以下,0,2
C15903,2010,月,1クール以下,0,2
C15994,2010,月,1クール以下,0,2
C16117,2010,月,1クール以下,0,2
C16125,2010,月,1クール以下,0,2
C16193,2010,月,1クール以下,0,2
C15476,2010,月,1クール以下,0,2
C15876,2010,月,1クール以下,0,2
C14832,2010,月,1クール以下,0,2
C14954,2010,月,2クール以上,0,2
C15583,2010,月,2クール以上,0,2
C16145,2010,月,2クール以上,0,2
C15995,2010,月,2クール以上,0,2
C13635,2010,月,2クール以上,0,2
C14828,2010,月,2クール以上,0,2
C15572,2010,月,2クール以上,0,2
C16094,2010,月,2クール以上,0,2
C14547,2010,月,2クール以上,0,2
C13709,2010,月,2クール以上,0,2
C15765,2010,月,2クール以上,0,2
C14779,2010,月,2クール以上,0,2
C14933,2010,月,2クール以上,0,2
C12261,2010,月,2クール以上,0,2
C14995,2010,月,2クール以上,0,2
C15545,2010,月,2クール以上,0,2
C16188,2010,月,2クール以上,0,2
C15996,2010,月,2クール以上,0,2
C15034,2010,月,2クール以上,0,2
C16081,2010,月,2クール以上,0,2
C14533,2010,月,2クール以上,0,2
C14787,2010,月,2クール以上,0,2
C14821,2010,月,2クール以上,0,2
C14916,2010,月,2クール以上,0,2
C16057,2010,月,2クール以上,0,2
C16132,2010,月,2クール以上,0,2
C16170,2010,月,2クール以上,0,2
C14803,2010,月,2クール以上,0,2
C14693,2010,月,2クール以上,0,2
C13883,2010,月,2クール以上,0,2
C14770,2010,月,2クール以上,0,2
C14656,2010,月,2クール以上,0,2
C14958,2010,月,2クール以上,0,2
C14911,2010,月,2クール以上,0,2
C14636,2010,月,2クール以上,0,2
C15997,2010,月,2クール以上,0,2
C13673,2010,月,2クール以上,0,2
C14689,2010,月,2クール以上,0,2
C15287,2010,月,2クール以上,0,2
C16195,2010,月,2クール以上,0,2
C13585,2010,月,2クール以上,0,2
C12201,2010,月,2クール以上,0,2
C15998,2010,月,2クール以上,0,2
C15523,2010,月,2クール以上,0,2
C15874,2010,月,2クール以上,0,2
C15999,2010,月,2クール以上,0,2
C15280,2010,月,2クール以上,0,2
C15535,2010,月,2クール以上,0,2
C15436,2010,月,2クール以上,0,2
C15621,2010,月,2クール以上,0,2
C15544,2010,月,2クール以上,0,2
C14775,2010,月,2クール以上,0,2
C16032,2010,月,2クール以上,0,2
C15897,2010,月,2クール以上,0,2
C15776,2010,月,2クール以上,0,2
C14740,2010,月,2クール以上,0,2
C13645,2010,月,2クール以上,0,2
C13684,2010,月,2クール以上,0,2
C14637,2010,月,2クール以上,0,2
C14718,2010,月,2クール以上,0,2
C13824,2010,月,2クール以上,0,2
C14725,2010,月,2クール以上,0,2
C15002,2010,月,2クール以上,0,2
C15029,2010,月,2クール以上,0,2
C15043,2010,月,2クール以上,0,2
C15494,2010,月,2クール以上,0,2
C14627,2010,月,2クール以上,0,2
C14673,2010,月,2クール以上,0,2
C15518,2010,月,2クール以上,0,2
C15777,2010,月,2クール以上,0,2
C15606,2010,月,2クール以上,0,2
C14885,2010,月,2クール以上,0,2
C14776,2010,月,2クール以上,0,2
C14009,2010,月,2クール以上,0,2
C14676,2010,月,2クール以上,0,2
C12227,2010,月,2クール以上,0,2
C13675,2010,月,2クール以上,0,2
C13716,2010,月,2クール以上,0,2
C13323,2010,月,2クール以上,0,2
C15516,2010,月,2クール以上,0,2
C14695,2010,月,2クール以上,0,2
C14727,2010,月,2クール以上,0,2
C13634,2010,月,2クール以上,0,2
C13573,2010,月,2クール以上,0,2
C14649,2010,月,2クール以上,0,2
C15616,2010,火,1クール以下,1,2
C15725,2010,火,1クール以下,1,2
C15945,2010,火,1クール以下,1,2
C14647,2010,火,1クール以下,1,2
C15357,2010,火,1クール以下,1,2
C15800,2010,火,1クール以下,1,2
C16014,2010,火,1クール以下,1,2
C15793,2010,火,1クール以下,1,2
C15574,2010,火,1クール以下,1,2
C15799,2010,火,1クール以下,1,2
C13590,2010,火,1クール以下,1,2
C15591,2010,火,1クール以下,1,2
C15964,2010,火,1クール以下,1,2
C15517,2010,火,1クール以下,1,2
C14534,2010,火,1クール以下,1,2
C14628,2010,火,1クール以下,1,2
C14657,2010,火,1クール以下,1,2
C14856,2010,火,1クール以下,1,2
C14857,2010,火,1クール以下,1,2
C14795,2010,火,1クール以下,1,2
C15286,2010,火,1クール以下,1,2
C15715,2010,火,1クール以下,1,2
C15796,2010,火,1クール以下,1,2
C15568,2010,火,1クール以下,1,2
C15571,2010,火,1クール以下,1,2
C12150,2010,火,1クール以下,1,2
C12158,2010,火,1クール以下,1,2
C12249,2010,火,1クール以下,1,2
C12299,2010,火,1クール以下,1,2
C13494,2010,火,1クール以下,1,2
C13643,2010,火,1クール以下,1,2
C13736,2010,火,1クール以下,1,2
C13807,2010,火,1クール以下,1,2
C13859,2010,火,1クール以下,1,2
C13961,2010,火,1クール以下,1,2
C13973,2010,火,1クール以下,1,2
C13976,2010,火,1クール以下,1,2
C13978,2010,火,1クール以下,1,2
C14011,2010,火,1クール以下,1,2
C14254,2010,火,1クール以下,1,2
C14260,2010,火,1クール以下,1,2
C14529,2010,火,1クール以下,1,2
C14670,2010,火,1クール以下,1,2
C14679,2010,火,1クール以下,1,2
C14698,2010,火,1クール以下,1,2
C14746,2010,火,1クール以下,1,2
C14801,2010,火,1クール以下,1,2
C14809,2010,火,1クール以下,1,2
C14878,2010,火,1クール以下,1,2
C14896,2010,火,1クール以下,1,2
C14985,2010,火,1クール以下,1,2
C14994,2010,火,1クール以下,1,2
C15020,2010,火,1クール以下,1,2
C15039,2010,火,1クール以下,1,2
C15054,2010,火,1クール以下,1,2
C15241,2010,火,1クール以下,1,2
C15250,2010,火,1クール以下,1,2
C15275,2010,火,1クール以下,1,2
C15381,2010,火,1クール以下,1,2
C15429,2010,火,1クール以下,1,2
C15446,2010,火,1クール以下,1,2
C15496,2010,火,1クール以下,1,2
C15508,2010,火,1クール以下,1,2
C15673,2010,火,1クール以下,1,2
C15677,2010,火,1クール以下,1,2
C15717,2010,火,1クール以下,1,2
C15718,2010,火,1クール以下,1,2
C15726,2010,火,1クール以下,1,2
C15748,2010,火,1クール以下,1,2
C15751,2010,火,1クール以下,1,2
C15752,2010,火,1クール以下,1,2
C15853,2010,火,1クール以下,1,2
C15881,2010,火,1クール以下,1,2
C15884,2010,火,1クール以下,1,2
C15965,2010,火,1クール以下,1,2
C15966,2010,火,1クール以下,1,2
C15968,2010,火,1クール以下,1,2
C16000,2010,火,1クール以下,1,2
C16065,2010,火,1クール以下,1,2
C16095,2010,火,1クール以下,1,2
C16096,2010,火,1クール以下,1,2
C16107,2010,火,1クール以下,1,2
C16156,2010,火,1クール以下,1,2
C16157,2010,火,1クール以下,1,2
C16165,2010,火,1クール以下,1,2
C16185,2010,火,1クール以下,1,2
C16207,2010,火,1クール以下,1,2
C13690,2010,火,1クール以下,1,2
C15604,2010,火,1クール以下,1,2
C12007,2010,火,1クール以下,1,2
C12255,2010,火,1クール以下,1,2
C13199,2010,火,1クール以下,1,2
C13502,2010,火,1クール以下,1,2
C13575,2010,火,1クール以下,1,2
C13655,2010,火,1クール以下,1,2
C13813,2010,火,1クール以下,1,2
C13826,2010,火,1クール以下,1,2
C13863,2010,火,1クール以下,1,2
C13925,2010,火,1クール以下,1,2
C14013,2010,火,1クール以下,1,2
C14043,2010,火,1クール以下,1,2
C14098,2010,火,1クール以下,1,2
C14709,2010,火,1クール以下,1,2
C14713,2010,火,1クール以下,1,2
C14736,2010,火,1クール以下,1,2
C14763,2010,火,1クール以下,1,2
C14792,2010,火,1クール以下,1,2
C14813,2010,火,1クール以下,1,2
C14851,2010,火,1クール以下,1,2
C15019,2010,火,1クール以下,1,2
C15048,2010,火,1クール以下,1,2
C15243,2010,火,1クール以下,1,2
C15419,2010,火,1クール以下,1,2
C15450,2010,火,1クール以下,1,2
C15466,2010,火,1クール以下,1,2
C15473,2010,火,1クール以下,1,2
C15510,2010,火,1クール以下,1,2
C15512,2010,火,1クール以下,1,2
C15562,2010,火,1クール以下,1,2
C15578,2010,火,1クール以下,1,2
C15637,2010,火,1クール以下,1,2
C15698,2010,火,1クール以下,1,2
C15721,2010,火,1クール以下,1,2
C15750,2010,火,1クール以下,1,2
C15795,2010,火,1クール以下,1,2
C15837,2010,火,1クール以下,1,2
C15844,2010,火,1クール以下,1,2
C15880,2010,火,1クール以下,1,2
C15955,2010,火,1クール以下,1,2
C15967,2010,火,1クール以下,1,2
C15969,2010,火,1クール以下,1,2
C15970,2010,火,1クール以下,1,2
C16166,2010,火,1クール以下,1,2
C16216,2010,火,1クール以下,1,2
C16225,2010,火,1クール以下,1,2
C15838,2010,火,1クール以下,1,2
C13992,2010,火,1クール以下,1,2
C12253,2010,火,2クール以上,1,2
C13840,2010,火,2クール以上,1,2
C14887,2010,火,2クール以上,1,2
C16071,2010,火,2クール以上,1,2
C15619,2010,火,2クール以上,1,2
C14917,2010,火,2クール以上,1,2
C14785,2010,火,2クール以上,1,2
C15536,2010,火,2クール以上,1,2
C15501,2010,火,2クール以上,1,2
C14667,2010,火,2クール以上,1,2
C15586,2010,火,2クール以上,1,2
C14979,2010,火,2クール以上,1,2
C13729,2010,火,2クール以上,1,2
C14140,2010,火,2クール以上,1,2
C11990,2010,火,2クール以上,1,2
C13964,2010,火,2クール以上,1,2
C15555,2010,火,2クール以上,1,2
C15741,2010,火,2クール以上,1,2
