"number","title","pageid","namespace","length","touched"
"1","水中雅章","3517768","","26812","20230216143319"
"2","会一太郎","1796429","","28922","20230219091720"
"3","佐々木睦","1722295","","24250","20230129005455"
"4","土屋神葉","3455289","","36530","20230208074737"
"5","太田博之","868582","","14133","20230113140627"
"6","新井良平","3185870","","29060","20230212052910"
"7","高橋トオル","1893449","","2206","20190908090358"
"8","小田井涼平","210177","","28440","20230223161226"
"9","武内駿輔","3148334","","129623","20230219142919"
"10","森田了介","2729251","","13169","20230130070333"
"11","浅水健太朗","4229822","","10124","20221009165040"
"12","小西遼生","308346","","41008","20230125022637"
"13","竹内幸輔","320855","","13300","20230107074551"
"14","前田邦宏","2698283","","5127","20211223215900"
"15","野辺健太","3424533","","3381","20220329093548"
"16","高橋冬樹_(俳優)","4008338","","1838","20210320113817"
"17","山崎重","4108130","","3394","20221002145714"
"18","高橋信","345767","","10855","20230221140943"
"19","吉川寛司","1093184","","2100","20210801082357"
"20","浅倉歩","2054978","","3616","20230211001506"
"21","末吉司弥","606688","","4986","20220421103507"
"22","中田譲治","123394","","139946","20230222160431"
"23","郷里大輔","109336","","130133","20230218083231"
"24","日暮哲也","2138906","","2020","20190419180201"
"25","平井貴大","4030033","","10090","20221011152729"
"26","三上哲","814855","","48668","20230217135817"
"27","野田晋市","1481751","","8534","20220917150059"
"28","宮田幸季","133412","","96351","20230215031331"
"29","千々和竜策","572297","","19144","20230214002254"
"30","若林佑","3586305","","25348","20230218203346"
"31","小野友樹","811966","","209687","20230223173251"
"32","竹内春樹","2951727","","3809","20220523140604"
"33","鈴木省吾","439299","","8160","20220330192259"
"34","小薬英斗","4524263","","3111","20221025161213"
"35","石丸謙二郎","171843","","41785","20230214135852"
"36","吉沢久嘉","1510656","","10283","20220921084621"
"37","大沼亮吉","3305532","","3695","20210804142834"
"38","ターキー_(声優)","1830575","","2970","20220420142940"
"39","中崎達也","1835290","","2611","20221022111802"
"40","永井寛孝","1525117","","7127","20221106091401"
"41","笹田貴之","778543","","10855","20220615204019"
"42","南原宏治","1188343","","46365","20230207063259"
"43","山本善寿","4001039","","9632","20230212212131"
"44","渡邉允瑠","4037061","","9873","20221001130533"
"45","田中慎二_(声優)","4381526","","4234","20221014172404"
"46","長田和彦","863258","","3887","20201031022319"
"47","佐藤せつじ","141505","","40929","20230221021847"
"48","仮屋昌伸","904366","","6995","20220114104324"
"49","侍コータロー","2251469","","8147","20221014030905"
"50","小松政夫","140505","","69080","20230216140732"
"51","佐伯洋史","1954067","","1679","20210804013208"
"52","仗桐安","2546555","","24058","20230126033616"
"53","高橋克実","113923","","59672","20230127071540"
"54","上村俊介","2463573","","1339","20210804030750"
"55","大島崚","1751230","","27932","20230213103108"
"56","太宰久雄","220414","","21294","20230207041108"
"57","三戸耕三","874975","","14606","20230218112619"
"58","我妻正崇","873604","","5671","20230221063831"
"59","可知靖之","3050897","","9611","20230209073309"
"60","桜木信介","2049646","","5125","20210607163420"
"61","大田黒武生","4310025","","7646","20221025043521"
"62","安井邦彦","203486","","35337","20230205135756"
"63","村井良大","1172175","","32166","20230216175848"
"64","野宮一範","2034624","","11026","20210919004425"
"65","井上隆之","890947","","7044","20230211141141"
"66","高戸靖広","126485","","47026","20230220140404"
"67","武藤与志則","1346706","","4198","20230212031158"
"68","布施川一寛","2867433","","15396","20230127095725"
"69","岡田達也","325380","","17519","20230221184314"
"70","中林俊史","3464641","","5915","20220506005304"
"71","小林翼","644131","","9145","20220403203537"
"72","マジック_(声優)","2484362","","3934","20200620154854"
"73","流山児祥","700508","","14036","20230219152506"
"74","西野真人","1303849","","4038","20220617072819"
"75","椎橋重","147045","","4943","20230117151401"
"76","杉浦宏策","2992945","","3498","20221105075703"
"77","山本學","277224","","27280","20230220104047"
"78","近藤広務","1452655","","5362","20230211051202"
"79","若松泰弘","2832234","","4742","20210608171911"
"80","池田和良","1643242","","2320","20210324091234"
"81","朝比奈拓見","2049610","","7997","20230212210214"
"82","目黒光祐","250424","","20782","20220802124725"
"83","江原正士","120510","","314490","20230220033637"
"84","津久井教生","142479","","46288","20230222012333"
"85","高野慎平","3376203","","4486","20230221145656"
"86","加藤渉_(声優)","3997818","","12599","20230219085055"
"87","水津浩志","254262","","6039","20230203054642"
"88","茶風林","119345","","110699","20230219092132"
"89","熊澤歩哉","4321407","","10451","20221130150941"
"90","熊谷勇希","3078024","","3063","20210809213605"
"91","林毅史","3090380","","4527","20211209071544"
"92","新垣樽助","287506","","94896","20230222142421"
"93","川田祐","1682067","","16761","20230218153048"
"94","雨宮正武","4482924","","3428","20230206035121"
"95","モリノリ久","205386","","26867","20230130135527"
"96","西川貴教","14973","","95801","20230220111839"
"97","山本泰輔","389127","","7516","20211224080506"
"98","香川照之","72076","","101093","20230223144009"
"99","岡本寛志","411905","","29600","20230221185213"
"100","川島零士","4155547","","18912","20230217150625"
"101","段田安則","74636","","36034","20230221052624"
"102","かねこはりい","704477","","9329","20221208141328"
"103","岩崎了","2047038","","13562","20221123084326"
"104","島英司","2227533","","3439","20211110202729"
"105","内野一","1504926","","3303","20211003024829"
"106","麦人","121202","","133673","20230213151951"
"107","斧アツシ","778532","","33422","20230222141048"
"108","中井重文","2137981","","1189","20180528172717"
"109","羽室満","2773835","","6250","20211226231954"
"110","永田昌康","1108222","","7725","20220205053750"
"111","堀内賢雄","114888","","210229","20230217194111"
"112","東龍一","1665362","","3824","20221104070256"
"113","堀圭一郎","1460687","","1993","20220910081843"
"114","浅沼稲次郎","102871","","31513","20230209120321"
"115","澤田龍一","4055633","","9345","20220815132315"
"116","吉岡琳吾","4504306","","4289","20230108155153"
"117","水谷直樹_(声優)","2046994","","4045","20210416115752"
"118","西岡徳馬","108945","","52875","20230110074613"
"119","池田俊彦_(俳優)","1195919","","1462","20210804115156"
"120","劇団ひとり","422180","","50147","20230217152411"
"121","竹田海渡","3953963","","13321","20230209155232"
"122","吉本修平","2967754","","5523","20210412133050"
"123","吉原光","4707085","","5572","20230120160701"
"124","鍛治本大樹","2647204","","12076","20221206152641"
"125","反町隆史","2617044","","34056","20230205071609"
"126","橘りょう","4444587","","135","20230116122719"
"127","大滝寛","1935836","","16604","20221206041753"
"128","森山栄治","290071","","20513","20221024184416"
"129","津田拓也_(声優)","3581485","","9472","20230103121258"
"130","弦徳","2776332","","7409","20220908102234"
"131","梅津秀行","137653","","80486","20230222222558"
"132","小高三良","1457041","","9894","20220924112243"
"133","津川雅彦","97092","","92002","20230218115411"
"134","根本嘉也","3438705","","6253","20220803065144"
"135","日吉孝明","4068982","","3156","20211030165437"
"136","倒神神倒","4267298","","15474","20220730185635"
"137","八木光生","254125","","16966","20230129053603"
"138","園江治","1040497","","7322","20220708063507"
"139","渋谷慧","4482949","","5413","20230114160013"
"140","筒井巧","534906","","27944","20230212211339"
"141","日野聡","337395","","185118","20230220050715"
"142","ユースケ・サンタマリア","71483","","64390","20230221051706"
"143","陽季想","884831","","3340","20220609090601"
"144","山本尚弘","1425522","","8464","20220925040951"
"145","二瓶正也","512902","","27241","20230120185657"
"146","仲野文梧","2113032","","6840","20220314205349"
"147","坂口候一","228503","","37301","20230124003903"
"148","宮村義人","759179","","5668","20221208143744"
"149","中丸忠雄","356276","","27963","20230208093256"
"150","川原元幸","988541","","11828","20230219034154"
"151","今井昭暢","1482281","","3132","20220810180757"
"152","淺井孝行","2110443","","7121","20220831135250"
"153","池田恭祐","664087","","15905","20220313051506"
"154","山本正之","2890066","","24125","20221223053546"
"155","山本博_(お笑い芸人)","1055866","","35326","20230217074404"
"156","葛城政典","935916","","3303","20230213223610"
"157","楠賢将","4157500","","7330","20220722201100"
"158","山田義晴","222556","","10763","20221220065455"
"159","古沢勇人","4353662","","10921","20220517175251"
"160","田尻浩章","2278776","","20550","20221229062528"
"161","神山卓三","84588","","35742","20230122035633"
"162","村上淳","511596","","31275","20230221000403"
"163","阿部六郎","1987869","","8363","20221115093918"
"164","角田雄二郎","2098312","","11027","20230205092817"
"165","片山福十郎","2998908","","8177","20230120160242"
"166","朝霧友陽","3949041","","11011","20230222092327"
"167","安芸此葉","4554108","","19902","20230201235024"
"168","松田重治","147528","","7906","20230129085851"
"169","西村武純","1420008","","6402","20220704123011"
"170","相楽信頼","2874906","","10186","20221127025406"
"171","本郷奏多","223482","","51398","20230222130458"
"172","好川貴裄","2864244","","3800","20211220102728"
"173","前田賢一朗","1324980","","2960","20210302130315"
"174","白石康介","3644201","","41063","20230210001020"
"175","いんげん","2494138","","4352","20210605203314"
"176","中村秀利","153110","","66421","20230213002403"
"177","薮中亮平","2437369","","4382","20221103093653"
"178","世田壱恵","738615","","10992","20230105134513"
"179","ブラボー小松","1584889","","5458","20220823160618"
"180","増尾興佑","3083057","","5483","20221020201045"
"181","団長安田","374271","","33395","20230124032546"
"182","浜田賢二","144356","","102077","20230206152736"
"183","山下章_(声優)","2321068","","2324","20180608085454"
"184","玉野井直樹","2458796","","25558","20230212210354"
"185","橋本マサキ","2821168","","9167","20210718224337"
"186","石川禅","1264948","","55705","20230124051619"
"187","佐藤竜太郎","1431579","","2020","20210831165345"
"188","安原義人","100119","","88828","20230219060002"
"189","加賀谷純一","1429214","","23754","20221116074347"
"190","山本格","2494313","","34959","20230223151013"
"191","観世智顕","3985924","","16288","20230109124339"
"192","中島ヨシキ","2718833","","118935","20230215174555"
"193","掛川裕彦","96318","","61823","20230115060244"
"194","進藤一宏","816584","","8124","20221007084123"
"195","田代32","243082","","6028","20230211064112"
"196","三輪隆博","2962863","","8171","20221115110044"
"197","粟野志門","2528364","","5164","20220730030635"
