アニメ化,話数,平均掲載位置,平均ページ数,カラー獲得率,作品数,text
False,1,0.15520962610479197,46.352649006622514,0.7698675496688742,1208,1話目
False,2,0.294061517462923,29.05711920529801,0.23096026490066227,1208,2話目
False,3,0.3791182376718753,21.52566225165563,0.10099337748344371,1208,3話目
False,4,0.41808789456393286,18.772350993377483,0.0836092715231788,1208,4話目
False,5,0.4683843709538072,17.968543046357617,0.06788079470198675,1208,5話目
False,6,0.49191053035621474,17.70198675496689,0.048013245033112585,1208,6話目
False,7,0.524554250688194,17.71109271523179,0.054635761589403975,1208,7話目
False,8,0.5710633937894641,17.774834437086092,0.052980132450331126,1208,8話目
True,1,0.14443761001312888,50.57364341085271,0.8449612403100775,129,1話目
True,2,0.2526647933167104,32.01550387596899,0.31007751937984496,129,2話目
True,3,0.33027896399482237,22.96124031007752,0.13178294573643412,129,3話目
True,4,0.34509953047846653,19.852713178294575,0.16279069767441862,129,4話目
True,5,0.38139995711292596,18.953488372093023,0.09302325581395349,129,5話目
True,6,0.4049387203390472,18.75968992248062,0.11627906976744186,129,6話目
True,7,0.39119862383873905,18.899224806201552,0.05426356589147287,129,7話目
True,8,0.3623216139394316,18.5968992248062,0.09302325581395349,129,8話目
