マンガ雑誌巻号名,マンガ作品数,マンガ作者数,合計ページ数,発売日,価格,マンガ雑誌名,マンガ作品数（ジッタリング後）,マンガ作者数（ジッタリング後）,発売年
週刊少年サンデー 1970年 表示号数32,12,14,284.0,1970-08-02,80.0,週刊少年サンデー,12.441013086491916,14.40608634091581,1970
週刊少年サンデー 1970年 表示号数33,12,16,307.0,1970-08-09,90.0,週刊少年サンデー,12.100039302091806,15.84706089658748,1970
週刊少年サンデー 1970年 表示号数34,13,17,314.0,1970-08-16,90.0,週刊少年サンデー,13.244684496026435,16.867957061934135,1970
週刊少年サンデー 1970年 表示号数35,13,17,305.0,1970-08-23,90.0,週刊少年サンデー,13.560223299800365,16.731757844460958,1970
週刊少年サンデー 1970年 表示号数36,13,17,305.0,1970-08-30,90.0,週刊少年サンデー,13.466889497537492,17.21635190733117,1970
週刊少年サンデー 1970年 表示号数37,13,17,303.0,1970-09-06,90.0,週刊少年サンデー,12.755680530030897,16.42461532577993,1970
週刊少年サンデー 1970年 表示号数38,12,16,282.0,1970-09-13,80.0,週刊少年サンデー,12.237522104381398,16.43620294105412,1970
週刊少年サンデー 1970年 表示号数39,12,17,277.0,1970-09-20,80.0,週刊少年サンデー,11.962160697925576,16.809698274776224,1970
週刊少年サンデー 1970年 表示号数40,12,17,270.0,1970-09-27,80.0,週刊少年サンデー,11.97419528705161,17.079759774014274,1970
週刊少年サンデー 1970年 表示号数41,12,17,270.0,1970-10-04,80.0,週刊少年サンデー,12.102649625484593,16.937657406130647,1970
週刊少年サンデー 1970年 表示号数42,11,16,270.0,1970-10-11,80.0,週刊少年サンデー,11.03601089279022,16.365526984261244,1970
週刊少年サンデー 1970年 表示号数43,13,17,276.0,1970-10-18,80.0,週刊少年サンデー,13.363568376740744,16.484964822625585,1970
週刊少年サンデー 1970年 表示号数44,12,16,270.0,1970-10-25,80.0,週刊少年サンデー,12.190259431286748,15.919395698996624,1970
週刊少年サンデー 1970年 表示号数45,12,16,277.0,1970-11-01,80.0,週刊少年サンデー,12.030418754123207,15.903986411332896,1970
週刊少年サンデー 1970年 表示号数46,12,15,274.0,1970-11-08,80.0,週刊少年サンデー,12.110965808186357,15.283442360583859,1970
週刊少年サンデー 1970年 表示号数47,11,15,292.0,1970-11-15,90.0,週刊少年サンデー,11.083418581843567,14.725027183171493,1970
週刊少年サンデー 1970年 表示号数48,12,16,275.0,1970-11-22,90.0,週刊少年サンデー,12.373519768289402,15.95689294811239,1970
週刊少年サンデー 1970年 表示号数49,13,16,275.0,1970-12-01,90.0,週刊少年サンデー,12.94871043405855,15.780535395519657,1970
週刊少年サンデー 1970年 表示号数50,14,18,276.0,1970-12-06,80.0,週刊少年サンデー,14.078266925412725,18.010553436678897,1970
週刊少年サンデー 1970年 表示号数51,13,18,296.0,1970-12-13,90.0,週刊少年サンデー,12.786476065174568,18.145703803428955,1970
週刊少年サンデー 1970年 表示号数52,12,17,270.0,1970-12-20,80.0,週刊少年サンデー,11.36175254604148,16.72484520569677,1970
週刊少年サンデー 1971年 表示号数1,11,16,258.0,1971-01-03,80.0,週刊少年サンデー,11.16340464886009,16.286180927459903,1971
週刊少年サンデー 1971年 表示号数10,14,17,273.0,1971-03-07,80.0,週刊少年サンデー,14.216109049714877,17.2253976801482,1971
週刊少年サンデー 1971年 表示号数11,12,16,265.0,1971-03-14,80.0,週刊少年サンデー,11.81445874489839,16.125623584725467,1971
週刊少年サンデー 1971年 表示号数12,13,17,285.0,1971-03-21,90.0,週刊少年サンデー,13.567438655996902,17.225213987316103,1971
週刊少年サンデー 1971年 表示号数13,12,17,271.0,1971-03-28,80.0,週刊少年サンデー,11.63640858135031,16.829068035206415,1971
週刊少年サンデー 1971年 表示号数14,12,15,273.0,1971-04-04,80.0,週刊少年サンデー,12.011439629325361,14.969277443620339,1971
週刊少年サンデー 1971年 表示号数16,11,15,271.0,1971-04-11,80.0,週刊少年サンデー,10.953204037493542,14.766057641435232,1971
週刊少年サンデー 1971年 表示号数17,11,15,289.0,1971-04-18,80.0,週刊少年サンデー,11.383194803589614,14.933027980093495,1971
週刊少年サンデー 1971年 表示号数18,11,16,274.0,1971-04-25,80.0,週刊少年サンデー,11.36733969247507,16.132588866684547,1971
週刊少年サンデー 1971年 表示号数19,11,16,274.0,1971-05-02,80.0,週刊少年サンデー,11.03873685642423,15.827084812068673,1971
週刊少年サンデー 1971年 表示号数2,12,16,282.0,1971-01-10,90.0,週刊少年サンデー,12.094540629900543,15.900811618286006,1971
週刊少年サンデー 1971年 表示号数20,11,15,279.0,1971-05-09,80.0,週刊少年サンデー,10.778053563092472,14.828206824970101,1971
週刊少年サンデー 1971年 表示号数21,11,16,276.0,1971-05-16,80.0,週刊少年サンデー,10.504800882944018,15.78869858962532,1971
週刊少年サンデー 1971年 表示号数22,12,16,291.0,1971-05-23,90.0,週刊少年サンデー,11.913021962668461,15.832188467290795,1971
週刊少年サンデー 1971年 表示号数23,11,15,266.0,1971-05-30,80.0,週刊少年サンデー,11.039087242275995,14.996833850270274,1971
週刊少年サンデー 1971年 表示号数24,12,16,274.0,1971-06-06,80.0,週刊少年サンデー,12.30757267018193,15.72067241284118,1971
週刊少年サンデー 1971年 表示号数25,12,15,264.0,1971-06-13,80.0,週刊少年サンデー,12.300594962196103,15.058603924454273,1971
週刊少年サンデー 1971年 表示号数26,11,14,286.0,1971-06-20,90.0,週刊少年サンデー,10.903168295648012,14.414950544277467,1971
週刊少年サンデー 1971年 表示号数27,12,15,270.0,1971-06-27,80.0,週刊少年サンデー,11.924424312356166,15.185511040144334,1971
週刊少年サンデー 1971年 表示号数28,11,14,272.0,1971-07-04,80.0,週刊少年サンデー,10.737861758733226,13.952041111909596,1971
週刊少年サンデー 1971年 表示号数29,11,14,268.0,1971-07-11,80.0,週刊少年サンデー,10.644995515705256,13.77809275897879,1971
週刊少年サンデー 1971年 表示号数3,13,17,296.0,1971-01-17,100.0,週刊少年サンデー,12.573432452343747,16.81321042656229,1971
週刊少年サンデー 1971年 表示号数30,12,15,282.0,1971-07-18,90.0,週刊少年サンデー,12.487693848807947,15.423113650256937,1971
週刊少年サンデー 1971年 表示号数31,12,15,271.0,1971-07-25,80.0,週刊少年サンデー,11.872586954562086,15.012701938694008,1971
週刊少年サンデー 1971年 表示号数32,13,16,271.0,1971-08-01,80.0,週刊少年サンデー,12.890481424597203,15.840751088357662,1971
週刊少年サンデー 1971年 表示号数33,14,18,296.0,1971-08-08,90.0,週刊少年サンデー,13.68680115998752,18.047728871166868,1971
週刊少年サンデー 1971年 表示号数34,14,18,297.0,1971-08-15,90.0,週刊少年サンデー,14.194372588957977,18.52506378411971,1971
週刊少年サンデー 1971年 表示号数35,13,17,299.0,1971-08-22,90.0,週刊少年サンデー,12.596525538110512,17.030039738120408,1971
週刊少年サンデー 1971年 表示号数36,12,15,321.0,1971-08-29,100.0,週刊少年サンデー,11.946814929946507,15.154300777426855,1971
週刊少年サンデー 1971年 表示号数37,14,16,298.0,1971-09-05,90.0,週刊少年サンデー,13.77613335970158,16.075042579988956,1971
週刊少年サンデー 1971年 表示号数38,14,18,296.0,1971-09-12,90.0,週刊少年サンデー,14.096725624464815,17.91193753837662,1971
週刊少年サンデー 1971年 表示号数39,13,16,296.0,1971-09-19,90.0,週刊少年サンデー,12.872298715607782,15.714370450494465,1971
週刊少年サンデー 1971年 表示号数4,13,18,294.0,1971-01-24,100.0,週刊少年サンデー,12.704841953969398,17.912664319396782,1971
週刊少年サンデー 1971年 表示号数40,13,16,290.0,1971-09-26,90.0,週刊少年サンデー,12.992954442915336,15.947776441656305,1971
週刊少年サンデー 1971年 表示号数41,13,17,288.0,1971-10-03,90.0,週刊少年サンデー,13.107082967632605,17.14665579779555,1971
週刊少年サンデー 1971年 表示号数42,14,17,286.0,1971-10-10,90.0,週刊少年サンデー,14.016629305595792,17.209745853468625,1971
週刊少年サンデー 1971年 表示号数43,13,17,286.0,1971-10-17,90.0,週刊少年サンデー,13.075617974434945,17.23277552032589,1971
週刊少年サンデー 1971年 表示号数44,12,17,286.0,1971-10-24,90.0,週刊少年サンデー,11.841419476579759,17.071396831313564,1971
週刊少年サンデー 1971年 表示号数45,13,18,286.0,1971-10-31,90.0,週刊少年サンデー,12.909314708503215,18.221285291067684,1971
週刊少年サンデー 1971年 表示号数46,13,18,285.0,1971-11-07,90.0,週刊少年サンデー,12.831884888056011,17.811400514750837,1971
週刊少年サンデー 1971年 表示号数47,14,18,285.0,1971-11-14,90.0,週刊少年サンデー,13.910111709614865,18.31321703880832,1971
週刊少年サンデー 1971年 表示号数48,13,18,283.0,1971-11-21,90.0,週刊少年サンデー,12.796713429488886,18.128232455104502,1971
週刊少年サンデー 1971年 表示号数49,13,18,276.0,1971-11-28,90.0,週刊少年サンデー,12.56842934941708,17.92547679122432,1971
週刊少年サンデー 1971年 表示号数50,13,18,281.0,1971-12-05,90.0,週刊少年サンデー,13.044356535563438,18.122129536634375,1971
週刊少年サンデー 1971年 表示号数51,12,16,280.0,1971-12-12,90.0,週刊少年サンデー,11.899554765947935,15.981107071744736,1971
週刊少年サンデー 1971年 表示号数52,13,18,280.0,1971-12-19,90.0,週刊少年サンデー,12.592450413258488,18.282907346862856,1971
週刊少年サンデー 1971年 表示号数53,13,18,283.0,1971-12-26,90.0,週刊少年サンデー,13.115695563881443,18.379954204105548,1971
週刊少年サンデー 1971年 表示号数6,12,16,272.0,1971-02-07,80.0,週刊少年サンデー,11.773175408904189,16.54639385163329,1971
週刊少年サンデー 1971年 表示号数7,13,22,279.0,1971-02-14,80.0,週刊少年サンデー,13.012986348949035,21.650875916127966,1971
週刊少年サンデー 1971年 表示号数8,12,16,287.0,1971-02-21,90.0,週刊少年サンデー,12.182272640544385,15.638971548642603,1971
週刊少年サンデー 1971年 表示号数9,13,18,274.0,1971-02-28,80.0,週刊少年サンデー,13.032245727689352,17.87388353426339,1971
週刊少年サンデー 1972年 表示号数1,10,13,280.0,1972-01-01,90.0,週刊少年サンデー,10.284850171135826,13.040009267361958,1972
週刊少年サンデー 1972年 表示号数10,12,16,280.0,1972-02-27,90.0,週刊少年サンデー,11.691293544911586,16.219042230279058,1972
週刊少年サンデー 1972年 表示号数11,12,17,277.0,1972-03-05,90.0,週刊少年サンデー,12.100585410294388,17.0789087368104,1972
週刊少年サンデー 1972年 表示号数12,12,17,281.0,1972-03-12,90.0,週刊少年サンデー,11.828797477264922,16.494449696044,1972
週刊少年サンデー 1972年 表示号数13,12,17,280.0,1972-03-19,90.0,週刊少年サンデー,11.78230071270453,16.923448996842907,1972
週刊少年サンデー 1972年 表示号数14,12,16,280.0,1972-03-26,90.0,週刊少年サンデー,11.855287583808897,16.20699366065181,1972
週刊少年サンデー 1972年 表示号数15,11,14,284.0,1972-04-02,90.0,週刊少年サンデー,10.922111866968157,14.057523683841096,1972
週刊少年サンデー 1972年 表示号数16,12,15,284.0,1972-04-09,90.0,週刊少年サンデー,12.014041335557437,15.190502795078006,1972
週刊少年サンデー 1972年 表示号数17,11,14,312.0,1972-04-16,100.0,週刊少年サンデー,10.70871253980416,13.94441796434741,1972
週刊少年サンデー 1972年 表示号数18,12,14,282.0,1972-04-23,90.0,週刊少年サンデー,12.225206621738547,13.9498104827675,1972
週刊少年サンデー 1972年 表示号数19,13,14,280.0,1972-04-30,90.0,週刊少年サンデー,13.116415609932615,14.04664034774707,1972
週刊少年サンデー 1972年 表示号数2,11,14,285.0,1972-01-09,90.0,週刊少年サンデー,10.615939078430694,14.102512911802064,1972
週刊少年サンデー 1972年 表示号数20,13,14,283.0,1972-05-07,90.0,週刊少年サンデー,13.3720630484489,14.049574930031692,1972
週刊少年サンデー 1972年 表示号数21,13,15,312.0,1972-05-14,100.0,週刊少年サンデー,13.473972294007647,15.029752161451865,1972
週刊少年サンデー 1972年 表示号数22,12,14,282.0,1972-05-21,90.0,週刊少年サンデー,12.294694892789913,13.832334428427743,1972
週刊少年サンデー 1972年 表示号数23,13,15,282.0,1972-05-28,90.0,週刊少年サンデー,12.955018791046912,15.09439094658023,1972
週刊少年サンデー 1972年 表示号数24,13,15,280.0,1972-06-04,90.0,週刊少年サンデー,12.732311844622364,15.03045531774786,1972
週刊少年サンデー 1972年 表示号数25,12,14,310.0,1972-06-11,100.0,週刊少年サンデー,12.263612931732784,14.28237097697798,1972
週刊少年サンデー 1972年 表示号数26,14,17,275.0,1972-06-18,90.0,週刊少年サンデー,13.899205763256704,17.299729469975375,1972
週刊少年サンデー 1972年 表示号数27,14,16,278.0,1972-06-25,90.0,週刊少年サンデー,14.305611267595607,16.046289104370985,1972
週刊少年サンデー 1972年 表示号数28,13,15,278.0,1972-07-02,90.0,週刊少年サンデー,13.052068744519215,14.906178762477472,1972
週刊少年サンデー 1972年 表示号数29,13,15,277.0,1972-07-09,90.0,週刊少年サンデー,13.244159759120928,14.840317398136444,1972
週刊少年サンデー 1972年 表示号数3,13,17,314.0,1972-01-16,100.0,週刊少年サンデー,13.089091599293601,17.10587358851603,1972
週刊少年サンデー 1972年 表示号数30,14,16,309.0,1972-07-16,100.0,週刊少年サンデー,14.176643292047988,16.01933501708714,1972
週刊少年サンデー 1972年 表示号数31,13,15,274.0,1972-07-23,90.0,週刊少年サンデー,13.002625005180205,14.914036581107231,1972
週刊少年サンデー 1972年 表示号数32,13,15,279.0,1972-07-30,90.0,週刊少年サンデー,13.446467623476458,15.010899214208562,1972
週刊少年サンデー 1972年 表示号数33,14,16,304.0,1972-08-06,100.0,週刊少年サンデー,14.031728023175905,15.844999789012968,1972
週刊少年サンデー 1972年 表示号数34,13,16,295.0,1972-08-13,100.0,週刊少年サンデー,13.100497340861175,16.174508008518053,1972
週刊少年サンデー 1972年 表示号数35,14,18,297.0,1972-08-20,100.0,週刊少年サンデー,14.470787674264063,17.8882178588035,1972
週刊少年サンデー 1972年 表示号数36,13,16,307.0,1972-08-27,100.0,週刊少年サンデー,12.663060234714388,16.306126926201376,1972
週刊少年サンデー 1972年 表示号数37,13,16,304.0,1972-09-03,100.0,週刊少年サンデー,12.682378750378566,16.1008729104477,1972
週刊少年サンデー 1972年 表示号数39,12,15,302.0,1972-09-10,100.0,週刊少年サンデー,12.242349177039502,15.148394630809268,1972
週刊少年サンデー 1972年 表示号数40,13,18,306.0,1972-09-17,100.0,週刊少年サンデー,12.70671914872146,17.72627203856474,1972
週刊少年サンデー 1972年 表示号数41,13,17,301.0,1972-09-24,100.0,週刊少年サンデー,13.485905296412323,17.042345608264668,1972
週刊少年サンデー 1972年 表示号数42,13,17,301.0,1972-10-01,100.0,週刊少年サンデー,12.896595254810062,17.185139112774067,1972
週刊少年サンデー 1972年 表示号数43,14,18,301.0,1972-10-08,100.0,週刊少年サンデー,13.81313629713981,17.761574849548015,1972
週刊少年サンデー 1972年 表示号数44,14,18,303.0,1972-10-15,100.0,週刊少年サンデー,14.480735506620096,17.933445373499094,1972
週刊少年サンデー 1972年 表示号数45,13,16,296.0,1972-10-22,100.0,週刊少年サンデー,13.370128697858606,16.008153636673338,1972
週刊少年サンデー 1972年 表示号数46,12,15,290.0,1972-10-29,100.0,週刊少年サンデー,12.466889740106643,14.656720669938311,1972
週刊少年サンデー 1972年 表示号数47,12,15,296.0,1972-11-05,100.0,週刊少年サンデー,12.226511164568846,15.078789848010572,1972
週刊少年サンデー 1972年 表示号数48,13,16,298.0,1972-11-12,100.0,週刊少年サンデー,12.784693578736324,16.21154016189626,1972
週刊少年サンデー 1972年 表示号数49,13,16,296.0,1972-11-19,100.0,週刊少年サンデー,13.477516238274758,15.785121014792004,1972
週刊少年サンデー 1972年 表示号数5,12,17,312.0,1972-01-23,100.0,週刊少年サンデー,11.932999157262154,17.087636494666025,1972
週刊少年サンデー 1972年 表示号数50,13,16,305.0,1972-11-26,100.0,週刊少年サンデー,13.2006140989491,15.671929147190642,1972
週刊少年サンデー 1972年 表示号数51,13,16,304.0,1972-12-03,100.0,週刊少年サンデー,13.236812991943436,15.990326122683488,1972
週刊少年サンデー 1972年 表示号数52,14,17,296.0,1972-12-10,100.0,週刊少年サンデー,13.96124747672729,16.596056911324176,1972
週刊少年サンデー 1972年 表示号数53,13,15,298.0,1972-12-17,100.0,週刊少年サンデー,13.15351984258652,15.280354427058915,1972
週刊少年サンデー 1972年 表示号数6,12,17,280.0,1972-01-30,90.0,週刊少年サンデー,12.230551667891632,17.102225134484208,1972
週刊少年サンデー 1972年 表示号数7,12,17,290.0,1972-02-06,90.0,週刊少年サンデー,12.094106382788908,16.993845761031057,1972
週刊少年サンデー 1972年 表示号数8,12,17,283.0,1972-02-13,90.0,週刊少年サンデー,11.72514980235395,16.80620959520771,1972
週刊少年サンデー 1972年 表示号数9,12,17,282.0,1972-02-20,90.0,週刊少年サンデー,12.074559543551514,17.318438982539693,1972
週刊少年サンデー 1973年 表示号数1,13,15,308.0,1973-01-01,100.0,週刊少年サンデー,13.331596474171757,15.491775437313684,1973
週刊少年サンデー 1973年 表示号数10,13,15,296.0,1973-02-25,100.0,週刊少年サンデー,12.826358035067159,14.535504533888313,1973
週刊少年サンデー 1973年 表示号数11,14,17,290.0,1973-03-04,100.0,週刊少年サンデー,13.962591364918083,17.309041007613207,1973
週刊少年サンデー 1973年 表示号数12,13,16,296.0,1973-03-11,100.0,週刊少年サンデー,12.89121161206959,16.40691268828723,1973
週刊少年サンデー 1973年 表示号数13,13,16,298.0,1973-03-18,100.0,週刊少年サンデー,13.462315932119836,16.084502924143617,1973
週刊少年サンデー 1973年 表示号数14,12,16,304.0,1973-03-25,100.0,週刊少年サンデー,12.16807368925311,15.700182991916204,1973
週刊少年サンデー 1973年 表示号数15,13,17,306.0,1973-04-01,100.0,週刊少年サンデー,13.101865459060278,17.215836329386004,1973
週刊少年サンデー 1973年 表示号数16,13,16,306.0,1973-04-08,100.0,週刊少年サンデー,12.80752098138867,15.954769924480463,1973
週刊少年サンデー 1973年 表示号数17,14,18,374.0,1973-04-15,120.0,週刊少年サンデー,14.134812297822954,17.849019843051686,1973
週刊少年サンデー 1973年 表示号数18,14,18,300.0,1973-04-22,100.0,週刊少年サンデー,13.831416834835656,17.69248546608326,1973
週刊少年サンデー 1973年 表示号数19,13,17,306.0,1973-04-29,100.0,週刊少年サンデー,13.007957639568588,17.137634373994054,1973
週刊少年サンデー 1973年 表示号数2,13,15,298.0,1973-01-07,100.0,週刊少年サンデー,12.84103848040528,15.198201716479836,1973
週刊少年サンデー 1973年 表示号数20,13,17,290.0,1973-05-06,100.0,週刊少年サンデー,13.169108323736625,16.844117317580054,1973
週刊少年サンデー 1973年 表示号数21,13,18,290.0,1973-05-13,100.0,週刊少年サンデー,13.144147704153735,18.13014408426834,1973
週刊少年サンデー 1973年 表示号数22,13,17,301.0,1973-05-20,100.0,週刊少年サンデー,12.947925311105502,16.713914652594216,1973
週刊少年サンデー 1973年 表示号数23,13,17,290.0,1973-05-27,100.0,週刊少年サンデー,13.099001678165411,17.200465257967835,1973
週刊少年サンデー 1973年 表示号数24,13,17,290.0,1973-06-03,100.0,週刊少年サンデー,12.726734622817373,17.011641824606038,1973
週刊少年サンデー 1973年 表示号数25,13,17,303.0,1973-06-10,100.0,週刊少年サンデー,12.627185601823598,16.953357557023164,1973
週刊少年サンデー 1973年 表示号数26,13,17,290.0,1973-06-17,100.0,週刊少年サンデー,13.109847925316135,16.974563531867712,1973
週刊少年サンデー 1973年 表示号数27,13,17,292.0,1973-06-24,100.0,週刊少年サンデー,13.041668373843132,17.21722153925147,1973
週刊少年サンデー 1973年 表示号数28,14,19,301.0,1973-07-01,100.0,週刊少年サンデー,14.158757859223027,19.18760290996625,1973
週刊少年サンデー 1973年 表示号数29,13,18,304.0,1973-07-08,100.0,週刊少年サンデー,13.595786193715986,18.13236633108818,1973
週刊少年サンデー 1973年 表示号数3,12,14,359.0,1973-01-14,120.0,週刊少年サンデー,12.236119871747604,14.034425302499347,1973
週刊少年サンデー 1973年 表示号数30,13,17,301.0,1973-07-15,100.0,週刊少年サンデー,12.77179444363896,17.019455281978175,1973
週刊少年サンデー 1973年 表示号数31,13,18,301.0,1973-07-22,100.0,週刊少年サンデー,13.279254072023964,18.15459506549963,1973
週刊少年サンデー 1973年 表示号数32,13,18,288.0,1973-07-29,100.0,週刊少年サンデー,12.67102314737212,18.058123639794683,1973
週刊少年サンデー 1973年 表示号数33,12,16,289.0,1973-08-05,100.0,週刊少年サンデー,11.884603848796322,16.170637851716123,1973
週刊少年サンデー 1973年 表示号数34,13,16,295.0,1973-08-12,100.0,週刊少年サンデー,12.982939598668843,15.922470806620485,1973
週刊少年サンデー 1973年 表示号数35,12,15,344.0,1973-08-19,120.0,週刊少年サンデー,12.428335680412342,14.391290558973216,1973
週刊少年サンデー 1973年 表示号数36,12,15,294.0,1973-08-26,100.0,週刊少年サンデー,11.81381129448789,15.259706150464854,1973
週刊少年サンデー 1973年 表示号数37,13,16,296.0,1973-09-02,100.0,週刊少年サンデー,12.793390365335247,16.546744911743563,1973
週刊少年サンデー 1973年 表示号数38,14,16,345.0,1973-09-09,120.0,週刊少年サンデー,13.975386868893642,16.110341110892147,1973
週刊少年サンデー 1973年 表示号数39,13,14,297.0,1973-09-16,100.0,週刊少年サンデー,12.834130428409473,13.974961191679125,1973
週刊少年サンデー 1973年 表示号数40,13,15,296.0,1973-09-23,100.0,週刊少年サンデー,13.281658980526627,14.965888814025991,1973
週刊少年サンデー 1973年 表示号数41,13,14,297.0,1973-09-30,100.0,週刊少年サンデー,12.730017122909144,13.970236453056298,1973
週刊少年サンデー 1973年 表示号数42,13,14,297.0,1973-10-07,100.0,週刊少年サンデー,12.713132836897225,14.004352352075001,1973
週刊少年サンデー 1973年 表示号数43,14,16,294.0,1973-10-14,100.0,週刊少年サンデー,13.890544988813891,15.719495317813278,1973
週刊少年サンデー 1973年 表示号数44,13,16,330.0,1973-10-21,120.0,週刊少年サンデー,12.875491887326923,15.870726385519943,1973
週刊少年サンデー 1973年 表示号数45,14,16,294.0,1973-10-28,100.0,週刊少年サンデー,14.482383013454246,15.750743293087435,1973
週刊少年サンデー 1973年 表示号数46,14,16,292.0,1973-11-04,100.0,週刊少年サンデー,14.23735520173144,16.06219979034694,1973
週刊少年サンデー 1973年 表示号数47,14,16,294.0,1973-11-11,100.0,週刊少年サンデー,14.021887810346298,15.925839711907285,1973
週刊少年サンデー 1973年 表示号数48,15,18,327.0,1973-11-18,120.0,週刊少年サンデー,14.693641120292458,18.12380283099449,1973
週刊少年サンデー 1973年 表示号数49,14,16,290.0,1973-11-25,100.0,週刊少年サンデー,14.211090744100387,15.956324210064375,1973
週刊少年サンデー 1973年 表示号数5,9,10,309.0,1973-01-28,100.0,週刊少年サンデー,8.74994616315261,10.24658379695531,1973
週刊少年サンデー 1973年 表示号数50,14,17,292.0,1973-12-02,100.0,週刊少年サンデー,13.613807225805598,17.05338347533386,1973
週刊少年サンデー 1973年 表示号数51,13,15,278.0,1973-12-09,100.0,週刊少年サンデー,13.297007448088076,15.547674932242433,1973
週刊少年サンデー 1973年 表示号数52,14,16,276.0,1973-12-16,100.0,週刊少年サンデー,14.079235652981213,15.525909769277227,1973
週刊少年サンデー 1973年 表示号数53,14,17,326.0,1973-12-23,120.0,週刊少年サンデー,14.230214705945205,16.838270827936274,1973
週刊少年サンデー 1973年 表示号数7,12,14,295.0,1973-02-04,100.0,週刊少年サンデー,12.079681913235754,14.225371722912177,1973
週刊少年サンデー 1973年 表示号数8,13,15,299.0,1973-02-11,100.0,週刊少年サンデー,13.214207652975674,15.6320814267016,1973
週刊少年サンデー 1973年 表示号数9,13,15,302.0,1973-02-18,100.0,週刊少年サンデー,12.837243601674963,14.937841305571135,1973
週刊少年サンデー 1974年 表示号数1,14,16,292.0,1974-01-06,100.0,週刊少年サンデー,13.741439289553885,16.010917248294597,1974
週刊少年サンデー 1974年 表示号数10,12,15,247.0,1974-03-03,130.0,週刊少年サンデー,12.170398629570407,14.9434214393716,1974
週刊少年サンデー 1974年 表示号数11,11,14,231.0,1974-03-10,130.0,週刊少年サンデー,10.79914758395654,14.332864278146898,1974
週刊少年サンデー 1974年 表示号数12,12,16,233.0,1974-03-17,130.0,週刊少年サンデー,11.82761255556245,15.928173034130996,1974
週刊少年サンデー 1974年 表示号数13,12,15,233.0,1974-03-24,130.0,週刊少年サンデー,11.886116874120665,15.170017459969527,1974
週刊少年サンデー 1974年 表示号数14,11,16,231.0,1974-03-31,130.0,週刊少年サンデー,11.004369789756264,15.920049600275332,1974
週刊少年サンデー 1974年 表示号数15,10,15,229.0,1974-04-07,130.0,週刊少年サンデー,9.91150152218663,14.681860311188501,1974
週刊少年サンデー 1974年 表示号数16,10,15,234.0,1974-04-14,130.0,週刊少年サンデー,9.656262176645495,15.078386930115858,1974
週刊少年サンデー 1974年 表示号数17,10,15,240.0,1974-04-21,130.0,週刊少年サンデー,9.839095399291777,15.125796203358831,1974
週刊少年サンデー 1974年 表示号数18,10,15,242.0,1974-04-28,130.0,週刊少年サンデー,9.444149211943893,15.323306470633066,1974
週刊少年サンデー 1974年 表示号数19,11,16,234.0,1974-05-05,130.0,週刊少年サンデー,11.156307862756798,15.97238824339567,1974
週刊少年サンデー 1974年 表示号数2,14,16,278.0,1974-01-13,100.0,週刊少年サンデー,13.599485586098313,15.84565948407191,1974
週刊少年サンデー 1974年 表示号数20,10,15,234.0,1974-05-12,130.0,週刊少年サンデー,9.723904165142887,15.140690274154757,1974
週刊少年サンデー 1974年 表示号数21,10,15,234.0,1974-05-19,130.0,週刊少年サンデー,10.013041269815243,15.060184273059432,1974
週刊少年サンデー 1974年 表示号数22,10,15,250.0,1974-05-26,130.0,週刊少年サンデー,9.815109250902172,15.07016626928066,1974
週刊少年サンデー 1974年 表示号数24,10,15,249.0,1974-06-09,130.0,週刊少年サンデー,10.385753648851685,14.98172182406318,1974
週刊少年サンデー 1974年 表示号数25,10,15,249.0,1974-06-16,130.0,週刊少年サンデー,9.676785772569138,15.290084642498442,1974
週刊少年サンデー 1974年 表示号数26,11,16,248.0,1974-06-23,130.0,週刊少年サンデー,11.066762717337296,16.09237317909393,1974
週刊少年サンデー 1974年 表示号数27,11,16,248.0,1974-06-30,130.0,週刊少年サンデー,10.990179295443125,16.476164677085244,1974
週刊少年サンデー 1974年 表示号数28,11,16,248.0,1974-07-07,130.0,週刊少年サンデー,10.7079766255647,16.277764174640126,1974
週刊少年サンデー 1974年 表示号数29,10,15,248.0,1974-07-14,130.0,週刊少年サンデー,10.13081916513294,15.164762449025053,1974
週刊少年サンデー 1974年 表示号数3,13,15,315.0,1974-01-20,120.0,週刊少年サンデー,12.957113417194439,14.593140414845935,1974
週刊少年サンデー 1974年 表示号数30,10,15,250.0,1974-07-21,130.0,週刊少年サンデー,10.192947637803417,15.150579820073908,1974
週刊少年サンデー 1974年 表示号数31,9,14,233.0,1974-07-28,130.0,週刊少年サンデー,9.205876038490933,14.105070550911766,1974
週刊少年サンデー 1974年 表示号数32,10,14,231.0,1974-08-04,130.0,週刊少年サンデー,10.540808987320172,14.202737918200889,1974
週刊少年サンデー 1974年 表示号数33,9,12,234.0,1974-08-11,130.0,週刊少年サンデー,9.334131987359099,12.261110523676814,1974
週刊少年サンデー 1974年 表示号数34,10,14,218.0,1974-08-18,130.0,週刊少年サンデー,9.90770454051439,13.899780452052768,1974
週刊少年サンデー 1974年 表示号数35,11,17,272.0,1974-08-25,150.0,週刊少年サンデー,10.940155205606018,17.206001404612604,1974
週刊少年サンデー 1974年 表示号数36,11,18,246.0,1974-09-01,130.0,週刊少年サンデー,11.274914898971778,17.85942364224523,1974
週刊少年サンデー 1974年 表示号数37,11,17,251.0,1974-09-08,130.0,週刊少年サンデー,11.163815932680649,17.48871951875226,1974
