year,quarter,アニメ作品数,クール
2012,3,115,2012-07-01
2012,4,118,2012-10-01
2013,1,116,2013-01-01
2013,2,108,2013-04-01
2013,3,124,2013-07-01
2013,4,120,2013-10-01
2014,1,126,2014-01-01
2014,2,125,2014-04-01
2014,3,140,2014-07-01
2014,4,133,2014-10-01
2015,1,101,2015-01-01
2015,2,109,2015-04-01
2015,3,119,2015-07-01
2015,4,112,2015-10-01
2016,1,117,2016-01-01
2016,2,132,2016-04-01
2016,3,118,2016-07-01
2016,4,141,2016-10-01
2017,1,47,2017-01-01
2017,2,75,2017-04-01
2017,3,79,2017-07-01
2017,4,5,2017-10-01
