掲載位置,ceid,ccid,mcname,date,グループ名,話数
0.008695652173913,CE69436,C88460,週刊少年ジャンプ,1982-08-02,第1群（合計話数：8-16話）,1
0.63718820861678,CE62732,C88457,週刊少年ジャンプ,1990-05-14,第1群（合計話数：8-16話）,8
0.4963680387409201,CE62769,C88457,週刊少年ジャンプ,1990-04-23,第1群（合計話数：8-16話）,6
0.0465631929046563,CE59267,C88449,週刊少年ジャンプ,1994-01-08,第1群（合計話数：8-16話）,1
0.8292134831460675,CE50443,C88446,週刊少年ジャンプ,2003-02-24,第1群（合計話数：8-16話）,8
0.88470066518847,CE50465,C88446,週刊少年ジャンプ,2003-02-17,第1群（合計話数：8-16話）,7
0.9551122194513716,CE62517,C88441,週刊少年ジャンプ,1990-07-30,第1群（合計話数：8-16話）,8
0.8272506082725061,CE62533,C88441,週刊少年ジャンプ,1990-07-23,第1群（合計話数：8-16話）,7
0.8190255220417634,CE62552,C88441,週刊少年ジャンプ,1990-07-16,第1群（合計話数：8-16話）,6
0.3925925925925926,CE62563,C88441,週刊少年ジャンプ,1990-07-09,第1群（合計話数：8-16話）,5
0.0723192019950124,CE62579,C88441,週刊少年ジャンプ,1990-07-02,第1群（合計話数：8-16話）,4
0.4562647754137116,CE62608,C88441,週刊少年ジャンプ,1990-06-25,第1群（合計話数：8-16話）,3
0.4545454545454545,CE62630,C88441,週刊少年ジャンプ,1990-06-18,第1群（合計話数：8-16話）,2
0.0438799076212471,CE62641,C88441,週刊少年ジャンプ,1990-06-11,第1群（合計話数：8-16話）,1
0.8778135048231511,CE77056,C88437,週刊少年ジャンプ,1972-08-14,第1群（合計話数：8-16話）,8
0.7877813504823151,CE77069,C88437,週刊少年ジャンプ,1972-08-07,第1群（合計話数：8-16話）,7
0.7845659163987139,CE77085,C88437,週刊少年ジャンプ,1972-07-31,第1群（合計話数：8-16話）,6
0.8422939068100358,CE77101,C88437,週刊少年ジャンプ,1972-07-24,第1群（合計話数：8-16話）,5
0.6451612903225806,CE77126,C88437,週刊少年ジャンプ,1972-07-10,第1群（合計話数：8-16話）,4
0.5,CE77138,C88437,週刊少年ジャンプ,1972-07-03,第1群（合計話数：8-16話）,3
0.2508038585209003,CE77150,C88437,週刊少年ジャンプ,1972-06-26,第1群（合計話数：8-16話）,2
0.0627062706270627,CE77163,C88437,週刊少年ジャンプ,1972-06-19,第1群（合計話数：8-16話）,1
0.5549295774647888,CE65932,C88433,週刊少年ジャンプ,1986-11-17,第1群（合計話数：8-16話）,8
0.0097087378640776,CE76397,C88442,週刊少年ジャンプ,1973-06-11,第1群（合計話数：8-16話）,1
0.3838709677419354,CE76385,C88442,週刊少年ジャンプ,1973-06-18,第1群（合計話数：8-16話）,2
0.4469453376205787,CE76369,C88442,週刊少年ジャンプ,1973-06-25,第1群（合計話数：8-16話）,3
0.1768488745980707,CE76348,C88442,週刊少年ジャンプ,1973-07-02,第1群（合計話数：8-16話）,4
0.5926773455377574,CE50479,C88446,週刊少年ジャンプ,2003-02-10,第1群（合計話数：8-16話）,6
0.562363238512035,CE50498,C88446,週刊少年ジャンプ,2003-02-03,第1群（合計話数：8-16話）,5
0.7034068136272545,CE50523,C88446,週刊少年ジャンプ,2003-01-23,第1群（合計話数：8-16話）,4
0.6186612576064908,CE50543,C88446,週刊少年ジャンプ,2003-01-22,第1群（合計話数：8-16話）,3
0.3610503282275711,CE50578,C88446,週刊少年ジャンプ,2003-01-08,第1群（合計話数：8-16話）,2
0.0198675496688741,CE50593,C88446,週刊少年ジャンプ,2003-01-01,第1群（合計話数：8-16話）,1
0.7402597402597403,CE75771,C88443,週刊少年ジャンプ,1974-04-15,第1群（合計話数：8-16話）,8
0.7402597402597403,CE75783,C88443,週刊少年ジャンプ,1974-04-08,第1群（合計話数：8-16話）,7
0.4670487106017192,CE65964,C88433,週刊少年ジャンプ,1986-11-03,第1群（合計話数：8-16話）,6
0.8268398268398268,CE75796,C88443,週刊少年ジャンプ,1974-04-01,第1群（合計話数：8-16話）,6
0.6666666666666666,CE75846,C88443,週刊少年ジャンプ,1974-02-25,第1群（合計話数：8-16話）,4
0.8421052631578947,CE75864,C88443,週刊少年ジャンプ,1974-02-18,第1群（合計話数：8-16話）,3
0.5340501792114696,CE75873,C88443,週刊少年ジャンプ,1974-02-04,第1群（合計話数：8-16話）,2
0.3627118644067796,CE75886,C88443,週刊少年ジャンプ,1974-01-28,第1群（合計話数：8-16話）,1
0.8612903225806452,CE76293,C88442,週刊少年ジャンプ,1973-07-30,第1群（合計話数：8-16話）,8
0.4147909967845659,CE76300,C88442,週刊少年ジャンプ,1973-07-23,第1群（合計話数：8-16話）,7
0.4147909967845659,CE76318,C88442,週刊少年ジャンプ,1973-07-16,第1群（合計話数：8-16話）,6
0.4855305466237942,CE76335,C88442,週刊少年ジャンプ,1973-07-09,第1群（合計話数：8-16話）,5
0.8311688311688312,CE75809,C88443,週刊少年ジャンプ,1974-03-25,第1群（合計話数：8-16話）,5
0.8566308243727598,CE78326,C88955,週刊少年ジャンプ,1970-09-07,第1群（合計話数：8-16話）,7
0.5297450424929179,CE67115,C88565,週刊少年ジャンプ,1985-06-10,第1群（合計話数：8-16話）,4
0.4693877551020408,CE67082,C88565,週刊少年ジャンプ,1985-06-24,第1群（合計話数：8-16話）,6
0.0356394129979035,CE46617,C88881,週刊少年ジャンプ,2007-01-15,第1群（合計話数：8-16話）,1
0.2253968253968254,CE73398,C88869,週刊少年ジャンプ,1977-07-11,第1群（合計話数：8-16話）,8
0.2253968253968254,CE73413,C88869,週刊少年ジャンプ,1977-07-04,第1群（合計話数：8-16話）,7
0.4476190476190476,CE73432,C88869,週刊少年ジャンプ,1977-06-27,第1群（合計話数：8-16話）,6
0.2253968253968254,CE73444,C88869,週刊少年ジャンプ,1977-06-20,第1群（合計話数：8-16話）,5
0.2126984126984127,CE73459,C88869,週刊少年ジャンプ,1977-06-13,第1群（合計話数：8-16話）,4
0.2126984126984127,CE73473,C88869,週刊少年ジャンプ,1977-06-06,第1群（合計話数：8-16話）,3
0.219047619047619,CE73489,C88869,週刊少年ジャンプ,1977-05-30,第1群（合計話数：8-16話）,2
0.346031746031746,CE73506,C88869,週刊少年ジャンプ,1977-05-23,第1群（合計話数：8-16話）,1
0.7595307917888563,CE66909,C88811,週刊少年ジャンプ,1985-09-09,第1群（合計話数：8-16話）,8
0.0967741935483871,CE66914,C88811,週刊少年ジャンプ,1985-09-02,第1群（合計話数：8-16話）,7
0.5844155844155844,CE66938,C88811,週刊少年ジャンプ,1985-08-26,第1群（合計話数：8-16話）,6
0.5415472779369628,CE66954,C88811,週刊少年ジャンプ,1985-08-19,第1群（合計話数：8-16話）,5
