掲載位置,ceid,ccid,mcname,date,グループ名,話数
0.3952991452991453,CE176667,C110913,週刊少年サンデー,2014-10-01,第2群（合計話数：17-31話）,5
0.111353711790393,CE176687,C110913,週刊少年サンデー,2014-10-08,第2群（合計話数：17-31話）,6
0.3010526315789473,CE176720,C110913,週刊少年サンデー,2014-10-15,第2群（合計話数：17-31話）,7
0.1506550218340611,CE176743,C110913,週刊少年サンデー,2014-10-22,第2群（合計話数：17-31話）,8
0.0180722891566265,CE177527,C110920,週刊少年ジャンプ,2014-09-29,第2群（合計話数：17-31話）,1
0.25625,CE177553,C110920,週刊少年ジャンプ,2014-10-06,第2群（合計話数：17-31話）,2
0.367063492063492,CE177579,C110920,週刊少年ジャンプ,2014-10-13,第2群（合計話数：17-31話）,3
0.6004016064257028,CE177610,C110920,週刊少年ジャンプ,2014-10-20,第2群（合計話数：17-31話）,4
0.4989473684210526,CE177633,C110920,週刊少年ジャンプ,2014-10-27,第2群（合計話数：17-31話）,5
0.555327868852459,CE177657,C110920,週刊少年ジャンプ,2014-11-03,第2群（合計話数：17-31話）,6
0.6659574468085107,CE177684,C110920,週刊少年ジャンプ,2014-11-10,第2群（合計話数：17-31話）,7
0.5833333333333334,CE177704,C110920,週刊少年ジャンプ,2014-11-17,第2群（合計話数：17-31話）,8
0.0114942528735632,CE177938,C110923,週刊少年チャンピオン,2014-09-18,第2群（合計話数：17-31話）,1
0.0666666666666666,CE177939,C110923,週刊少年チャンピオン,2014-09-18,第2群（合計話数：17-31話）,2
0.3664302600472813,CE177967,C110923,週刊少年チャンピオン,2014-09-25,第2群（合計話数：17-31話）,3
0.68,CE177995,C110923,週刊少年チャンピオン,2014-10-02,第2群（合計話数：17-31話）,4
0.629976580796253,CE178015,C110923,週刊少年チャンピオン,2014-10-09,第2群（合計話数：17-31話）,5
0.6721311475409836,CE178037,C110923,週刊少年チャンピオン,2014-10-16,第2群（合計話数：17-31話）,6
0.7236533957845434,CE178057,C110923,週刊少年チャンピオン,2014-10-23,第2群（合計話数：17-31話）,7
0.8242280285035629,CE178081,C110923,週刊少年チャンピオン,2014-10-30,第2群（合計話数：17-31話）,8
0.00625,CE177549,C110926,週刊少年ジャンプ,2014-10-06,第2群（合計話数：17-31話）,1
0.1964285714285714,CE177575,C110926,週刊少年ジャンプ,2014-10-13,第2群（合計話数：17-31話）,2
0.2670682730923694,CE177600,C110926,週刊少年ジャンプ,2014-10-20,第2群（合計話数：17-31話）,3
0.5494736842105263,CE177634,C110926,週刊少年ジャンプ,2014-10-27,第2群（合計話数：17-31話）,4
0.3831967213114754,CE177653,C110926,週刊少年ジャンプ,2014-11-03,第2群（合計話数：17-31話）,5
0.5382978723404256,CE177681,C110926,週刊少年ジャンプ,2014-11-10,第2群（合計話数：17-31話）,6
0.7884615384615384,CE177709,C110926,週刊少年ジャンプ,2014-11-17,第2群（合計話数：17-31話）,7
0.898406374501992,CE177734,C110926,週刊少年ジャンプ,2014-11-24,第2群（合計話数：17-31話）,8
0.0304449648711943,CE178045,C110940,週刊少年チャンピオン,2014-10-23,第3群（合計話数：32-81話）,1
0.3681710213776722,CE178073,C110940,週刊少年チャンピオン,2014-10-30,第3群（合計話数：32-81話）,2
0.5106888361045131,CE178096,C110940,週刊少年チャンピオン,2014-11-06,第3群（合計話数：32-81話）,3
0.5194508009153318,CE178118,C110940,週刊少年チャンピオン,2014-11-13,第3群（合計話数：32-81話）,4
0.5918367346938775,CE178140,C110940,週刊少年チャンピオン,2014-11-20,第3群（合計話数：32-81話）,5
0.7188208616780045,CE178165,C110940,週刊少年チャンピオン,2014-11-27,第3群（合計話数：32-81話）,6
0.7084282460136674,CE181836,C110940,週刊少年チャンピオン,2014-12-04,第3群（合計話数：32-81話）,7
