マンガ作品名,掲載位置,ceid,date
ドカベン,0.010204081632653,CE111256,1979-04-02
ドカベン,0.1870748299319728,CE111274,1979-03-26
ドカベン,0.1808873720136518,CE111289,1979-03-19
ドカベン,0.010204081632653,CE111301,1979-03-12
ドカベン,0.1671554252199413,CE111319,1979-03-05
ドカベン,0.2057761732851985,CE111336,1979-02-26
ドカベン,0.0108303249097472,CE111347,1979-02-19
ドカベン,0.1899641577060931,CE111364,1979-02-12
ドカベン,0.1133720930232558,CE111377,1979-02-05
ドカベン,0.0145348837209302,CE111391,1979-01-22
ドカベン,0.2035714285714285,CE111409,1979-01-15
ドカベン,0.0102739726027397,CE111120,1979-06-04
ドカベン,0.0102389078498293,CE111106,1979-06-11
ドカベン,0.1467576791808873,CE111094,1979-06-18
ドカベン,0.0171232876712328,CE111078,1979-06-25
ドカベン,0.1467576791808873,CE110751,1979-12-03
ドカベン,0.0136054421768707,CE110763,1979-11-26
ドカベン,0.1462585034013605,CE110779,1979-11-19
ドカベン,0.119047619047619,CE110792,1979-11-12
ドカベン,0.173469387755102,CE110807,1979-11-05
ドカベン,0.2135593220338983,CE110822,1979-10-29
ドカベン,0.0136986301369863,CE110833,1979-10-22
ドカベン,0.2346938775510204,CE110893,1979-09-24
ドカベン,0.0087209302325581,CE110904,1979-09-17
ドカベン,0.0177304964539007,CE111420,1979-01-01
ドカベン,0.0088235294117647,CE110920,1979-09-10
ドカベン,0.010204081632653,CE110949,1979-08-27
ドカベン,0.2449664429530201,CE110966,1979-08-20
ドカベン,0.127147766323024,CE110979,1979-08-13
ドカベン,0.0102389078498293,CE110992,1979-08-06
ドカベン,0.1462585034013605,CE111008,1979-07-30
ドカベン,0.2020547945205479,CE111023,1979-07-23
ドカベン,0.0101694915254237,CE111034,1979-07-16
ドカベン,0.1815068493150685,CE111051,1979-07-09
ドカベン,0.1262798634812286,CE111065,1979-07-02
ドカベン,0.1331058020477815,CE110936,1979-09-03
