掲載日,掲載位置,作品名,各話名,カラー有無
1974-08-12,,ドカベン,,
1974-08-19,0.1814345991561181,ドカベン,,False
1974-08-26,0.1814345991561181,ドカベン,,False
1974-09-02,0.0168776371308016,ドカベン,,True
1974-09-09,0.3,ドカベン,,False
1974-09-16,0.1814345991561181,ドカベン,,False
1974-09-23,0.0168776371308016,ドカベン,,True
1974-09-30,0.2236286919831223,ドカベン,,False
1974-10-07,0.180672268907563,ドカベン,,False
1974-10-14,0.180672268907563,ドカベン,,False
1974-10-21,0.180672268907563,ドカベン,,False
1974-10-28,0.0168776371308016,ドカベン,,True
1974-11-04,0.2098765432098765,ドカベン,,False
1974-11-11,0.2236286919831223,ドカベン,,False
1974-11-18,0.2236286919831223,ドカベン,,False
1974-11-25,0.0168776371308016,ドカベン,,True
1974-12-02,0.1814345991561181,ドカベン,,False
1974-12-09,0.1814345991561181,ドカベン,,False
1974-12-16,0.1814345991561181,ドカベン,,False
1974-12-23,0.1814345991561181,ドカベン,,False
1975-01-01,0.0168776371308016,ドカベン,,True
1975-01-06,0.1853448275862069,ドカベン,,False
1975-01-13,0.1861471861471861,ドカベン,,False
1975-01-20,0.2217391304347826,ドカベン,,False
1975-01-27,0.0133333333333333,ドカベン,,True
1975-02-10,0.2158590308370044,ドカベン,,False
1975-02-17,0.1877729257641921,ドカベン,,False
1975-02-24,0.1877729257641921,ドカベン,,False
1975-03-03,0.0174672489082969,ドカベン,,True
1975-03-10,0.1861471861471861,ドカベン,,False
1975-03-17,0.1861471861471861,ドカベン,,False
1975-03-24,0.0173160173160173,ドカベン,,True
1975-03-31,0.2034632034632034,ドカベン,,False
1975-04-07,0.2304347826086956,ドカベン,,False
1975-04-14,0.0130434782608695,ドカベン,,True
1975-04-21,0.1869565217391304,ドカベン,,False
1975-04-28,0.0173160173160173,ドカベン,,True
1975-05-05,0.017391304347826,ドカベン,,True
1975-05-12,0.1869565217391304,ドカベン,,False
1975-05-19,0.1869565217391304,ドカベン,,False
1975-05-26,0.2314410480349345,ドカベン,,False
1975-06-02,0.0174672489082969,ドカベン,,True
1975-06-09,0.1861471861471861,ドカベン,,False
1975-06-16,0.1776859504132231,ドカベン,,False
1975-06-23,0.1776859504132231,ドカベン,,False
1975-06-30,0.0173160173160173,ドカベン,,True
1975-07-07,0.1885964912280701,ドカベン,,False
1975-07-14,0.1861471861471861,ドカベン,,False
1975-07-21,0.1861471861471861,ドカベン,,False
1975-07-28,0.1877729257641921,ドカベン,,False
1975-08-04,0.0218340611353711,ドカベン,,True
1975-08-11,0.1861471861471861,ドカベン,,False
1975-08-18,0.1861471861471861,ドカベン,,False
1975-08-25,0.2145454545454545,ドカベン,,False
1975-09-01,0.0174672489082969,ドカベン,,True
1975-09-08,0.2129963898916967,ドカベン,,False
1975-09-15,0.2139737991266375,ドカベン,,False
1975-09-22,0.1861471861471861,ドカベン,,False
1975-09-29,0.1877729257641921,ドカベン,,False
1975-10-06,0.0174672489082969,ドカベン,,True
1975-10-13,0.1877729257641921,ドカベン,,False
1975-10-20,0.1894273127753304,ドカベン,,False
1975-10-27,0.1902654867256637,ドカベン,,False
1975-11-03,0.0145454545454545,ドカベン,,True
1975-11-10,0.1845493562231759,ドカベン,,False
1975-11-17,0.1845493562231759,ドカベン,,False
1975-11-24,,ドカベン,,
1975-12-01,0.0144404332129963,ドカベン,,True
1975-12-08,0.1894273127753304,ドカベン,,False
1975-12-15,0.1894273127753304,ドカベン,,False
1975-12-22,0.1894273127753304,ドカベン,,False
1976-01-01,0.010752688172043,ドカベン,,True
1976-01-05,0.1894273127753304,ドカベン,,False
1976-01-12,0.1894273127753304,ドカベン,,False
1976-01-19,0.1541218637992831,ドカベン,,False
1976-01-26,0.0109090909090909,ドカベン,,True
1976-02-09,0.1885964912280701,ドカベン,,False
1976-02-16,0.1902654867256637,ドカベン,,False
1976-02-23,0.1894273127753304,ドカベン,,False
1976-03-01,0.0144927536231884,ドカベン,,True
1976-03-08,0.2346570397111913,ドカベン,,False
1976-03-15,0.1557971014492753,ドカベン,,False
1976-03-22,0.2436363636363636,ドカベン,,False
1976-03-29,0.0144404332129963,ドカベン,,True
1976-04-05,0.1552346570397112,ドカベン,,False
1976-04-12,0.1552346570397112,ドカベン,,False
1976-04-19,0.1552346570397112,ドカベン,,False
1976-04-26,0.0145985401459854,ドカベン,,True
1976-05-03,0.2057761732851985,ドカベン,,False
1976-05-10,0.1563636363636363,ドカベン,,False
1976-05-17,0.1552346570397112,ドカベン,,False
1976-05-24,0.0144404332129963,ドカベン,,True
1976-05-31,0.1985559566787003,ドカベン,,False
1976-06-07,0.1563636363636363,ドカベン,,False
1976-06-14,0.1913357400722021,ドカベン,,False
1976-06-21,0.0144404332129963,ドカベン,,True
1976-06-28,0.1938775510204081,ドカベン,,False
1976-07-05,0.1546762589928057,ドカベン,,False
1976-07-12,0.1927272727272727,ドカベン,,False
1976-07-19,0.7060702875399361,こちら葛飾区亀有公園前派出所,,False
1976-07-19,0.213768115942029,ドカベン,,False
1976-07-26,,こちら葛飾区亀有公園前派出所,,
1976-07-26,0.2072727272727272,ドカベン,,False
1976-08-02,,こちら葛飾区亀有公園前派出所,,
1976-08-02,0.0144404332129963,ドカベン,,True
1976-08-09,,こちら葛飾区亀有公園前派出所,,
1976-08-09,0.1552346570397112,ドカベン,,False
1976-08-16,0.1942446043165467,ドカベン,,False
1976-08-16,,こちら葛飾区亀有公園前派出所,,
1976-08-23,,こちら葛飾区亀有公園前派出所,,
1976-08-23,0.1335740072202166,ドカベン,,False
1976-08-30,0.014388489208633,ドカベン,,True
1976-08-30,,こちら葛飾区亀有公園前派出所,,
1976-09-06,0.2697841726618705,ドカベン,,False
1976-09-06,,こちら葛飾区亀有公園前派出所,,
1976-09-13,,こちら葛飾区亀有公園前派出所,,
1976-09-13,0.1258992805755395,ドカベン,,False
1976-09-20,,こちら葛飾区亀有公園前派出所,,
1976-09-20,0.1335740072202166,ドカベン,,False
1976-09-27,,こちら葛飾区亀有公園前派出所,,
1976-09-27,0.014388489208633,ドカベン,,True
1976-10-04,,こちら葛飾区亀有公園前派出所,,
1976-10-04,0.0967741935483871,ドカベン,,False
1976-10-11,0.0971223021582733,ドカベン,,False
1976-10-11,,こちら葛飾区亀有公園前派出所,,
1976-10-18,0.4983922829581994,こちら葛飾区亀有公園前派出所,●下町の青年警察官の巻,False
1976-10-18,0.0967741935483871,ドカベン,,False
1976-10-25,0.7252396166134185,こちら葛飾区亀有公園前派出所,●祭りとフータローの巻,False
1976-10-25,0.014388489208633,ドカベン,,True
1976-11-01,0.3429487179487179,こちら葛飾区亀有公園前派出所,●亀有の少年の巻,True
1976-11-01,0.0967741935483871,ドカベン,,False
1976-11-08,0.5271565495207667,こちら葛飾区亀有公園前派出所,気のあうふたり!?の巻,False
1976-11-08,,ドカベン,,
1976-11-15,0.2715654952076677,こちら葛飾区亀有公園前派出所,❤派出所でお茶を…の巻,False
1976-11-15,,ドカベン,,
1976-11-22,0.014336917562724,ドカベン,,True
1976-11-22,0.0095846645367412,こちら葛飾区亀有公園前派出所,■早うち両さん!?の巻,True
1976-11-29,0.232,こちら葛飾区亀有公園前派出所,わたしは殺人犯・・・の巻,False
1976-11-29,0.1321428571428571,ドカベン,,False
1976-12-06,0.1756272401433691,ドカベン,,False
1976-12-13,0.0095846645367412,こちら葛飾区亀有公園前派出所,敵もさるもの!!の巻,True
1976-12-13,0.0967741935483871,ドカベン,,False
1976-12-20,0.2204472843450479,こちら葛飾区亀有公園前派出所,●にくいヤツ!?の巻,False
1976-12-20,0.0967741935483871,ドカベン,,False
1976-12-27,0.1373801916932907,こちら葛飾区亀有公園前派出所,●12月24日雪・・・の巻,False
1977-01-01,0.010752688172043,ドカベン,,True
1977-01-03,0.0967741935483871,ドカベン,,False
1977-01-03,0.1373801916932907,こちら葛飾区亀有公園前派出所,❤タバコ屋の洋子ちゃん・・・の巻,False
1977-01-10,0.1541218637992831,ドカベン,,False
1977-01-10,0.2907348242811501,こちら葛飾区亀有公園前派出所,●ナゾの男・・・・の巻,True
1977-01-17,0.2396166134185303,こちら葛飾区亀有公園前派出所,交剣知愛・・・の巻,False
1977-01-17,0.0971223021582733,ドカベン,,False
1977-01-24,0.0088235294117647,ドカベン,,True
1977-01-24,0.2838196286472148,こちら葛飾区亀有公園前派出所,★撃ちぞめの巻,True
1977-01-31,0.0079575596816976,こちら葛飾区亀有公園前派出所,伊勢神宮参拝の巻,True
1977-02-07,0.0787172011661807,ドカベン,,False
1977-02-14,0.0967741935483871,ドカベン,,False
1977-02-14,0.1373801916932907,こちら葛飾区亀有公園前派出所,●消えた派出所!?の巻,False
1977-02-21,0.1335740072202166,ドカベン,,False
1977-02-21,0.1373801916932907,こちら葛飾区亀有公園前派出所,なめるなよ!!の巻,False
1977-02-28,0.0108303249097472,ドカベン,,True
1977-02-28,0.1373801916932907,こちら葛飾区亀有公園前派出所,しつこさ一番!!の巻,False
1977-03-07,0.1326164874551971,ドカベン,,False
1977-03-07,0.5015974440894568,こちら葛飾区亀有公園前派出所,●再建の日!!の巻,False
1977-03-14,0.3706070287539936,こちら葛飾区亀有公園前派出所,執念の人たち!の巻,False
1977-03-14,0.1552346570397112,ドカベン,,False
1977-03-21,0.0974729241877256,ドカベン,,False
1977-03-21,0.2907348242811501,こちら葛飾区亀有公園前派出所,■この世を華とするために・・・の巻,True
1977-03-28,0.0144927536231884,ドカベン,,True
