代表的なアニメ作品名,アニメシリーズID,放送年,初放送日,合計話数
遊☆戯☆王,C2116,2010,1998-04-04,51
遊☆戯☆王,C2116,2011,1998-04-04,53
遊☆戯☆王,C2116,2012,1998-04-04,50
遊☆戯☆王,C2116,2013,1998-04-04,52
遊☆戯☆王,C2116,2014,1998-04-04,49
遊☆戯☆王,C2116,2015,1998-04-04,50
遊☆戯☆王,C2116,2016,1998-04-04,49
遊☆戯☆王,C2116,2017,1998-04-04,42
おじゃる丸,C2158,1992,1998-10-05,0
おじゃる丸,C2158,1993,1998-10-05,0
おじゃる丸,C2158,1994,1998-10-05,0
おじゃる丸,C2158,1995,1998-10-05,0
おじゃる丸,C2158,1996,1998-10-05,0
おじゃる丸,C2158,1997,1998-10-05,0
おじゃる丸,C2158,1998,1998-10-05,63
おじゃる丸,C2158,1999,1998-10-05,117
おじゃる丸,C2158,2000,1998-10-05,90
おじゃる丸,C2158,2001,1998-10-05,90
おじゃる丸,C2158,2002,1998-10-05,90
おじゃる丸,C2158,2003,1998-10-05,90
おじゃる丸,C2158,2004,1998-10-05,90
おじゃる丸,C2158,2005,1998-10-05,90
おじゃる丸,C2158,2006,1998-10-05,90
おじゃる丸,C2158,2007,1998-10-05,91
おじゃる丸,C2158,2008,1998-10-05,90
おじゃる丸,C2158,2009,1998-10-05,79
おじゃる丸,C2158,2010,1998-10-05,101
おじゃる丸,C2158,2011,1998-10-05,88
おじゃる丸,C2158,2012,1998-10-05,91
おじゃる丸,C2158,2013,1998-10-05,70
おじゃる丸,C2158,2014,1998-10-05,70
おじゃる丸,C2158,2015,1998-10-05,63
おじゃる丸,C2158,2016,1998-10-05,66
おじゃる丸,C2158,2017,1998-10-05,34
ONE PIECE,C2309,1992,1999-10-20,0
ONE PIECE,C2309,1993,1999-10-20,0
ONE PIECE,C2309,1994,1999-10-20,0
ONE PIECE,C2309,1995,1999-10-20,0
ONE PIECE,C2309,1996,1999-10-20,0
ONE PIECE,C2309,1997,1999-10-20,0
ONE PIECE,C2309,1998,1999-10-20,0
ONE PIECE,C2309,1999,1999-10-20,9
ONE PIECE,C2309,2000,1999-10-20,45
ONE PIECE,C2309,2001,1999-10-20,42
ONE PIECE,C2309,2002,1999-10-20,44
ONE PIECE,C2309,2003,1999-10-20,40
ONE PIECE,C2309,2004,1999-10-20,39
ONE PIECE,C2309,2005,1999-10-20,41
ONE PIECE,C2309,2006,1999-10-20,40
ONE PIECE,C2309,2007,1999-10-20,45
ONE PIECE,C2309,2008,1999-10-20,47
ONE PIECE,C2309,2009,1999-10-20,49
ONE PIECE,C2309,2010,1999-10-20,49
ONE PIECE,C2309,2011,1999-10-20,48
ONE PIECE,C2309,2012,1999-10-20,52
ONE PIECE,C2309,2013,1999-10-20,49
ONE PIECE,C2309,2014,1999-10-20,50
ONE PIECE,C2309,2015,1999-10-20,49
ONE PIECE,C2309,2016,1999-10-20,46
ONE PIECE,C2309,2017,1999-10-20,0
親子クラブ,C1640,1992,1999-12-02,0
ポケットモンスター,C1985,1992,1999-12-02,0
親子クラブ,C1640,1993,1999-12-02,0
ポケットモンスター,C1985,1993,1999-12-02,0
親子クラブ,C1640,1994,1999-12-02,0
ポケットモンスター,C1985,1994,1999-12-02,0
親子クラブ,C1640,1995,1999-12-02,0
ポケットモンスター,C1985,1995,1999-12-02,0
親子クラブ,C1640,1996,1999-12-02,0
ポケットモンスター,C1985,1996,1999-12-02,0
親子クラブ,C1640,1997,1999-12-02,0
ポケットモンスター,C1985,1997,1999-12-02,0
親子クラブ,C1640,1998,1999-12-02,0
ポケットモンスター,C1985,1998,1999-12-02,0
親子クラブ,C1640,1999,1999-12-02,8
ポケットモンスター,C1985,1999,1999-12-02,4
親子クラブ,C1640,2000,1999-12-02,98
ポケットモンスター,C1985,2000,1999-12-02,54
親子クラブ,C1640,2001,1999-12-02,93
ポケットモンスター,C1985,2001,1999-12-02,52
親子クラブ,C1640,2002,1999-12-02,90
ポケットモンスター,C1985,2002,1999-12-02,54
親子クラブ,C1640,2003,1999-12-02,99
ポケットモンスター,C1985,2003,1999-12-02,60
親子クラブ,C1640,2004,1999-12-02,104
ポケットモンスター,C1985,2004,1999-12-02,55
親子クラブ,C1640,2005,1999-12-02,102
ポケットモンスター,C1985,2005,1999-12-02,49
親子クラブ,C1640,2006,1999-12-02,108
ポケットモンスター,C1985,2006,1999-12-02,48
親子クラブ,C1640,2007,1999-12-02,94
ポケットモンスター,C1985,2007,1999-12-02,48
親子クラブ,C1640,2008,1999-12-02,105
ポケットモンスター,C1985,2008,1999-12-02,47
親子クラブ,C1640,2009,1999-12-02,103
ポケットモンスター,C1985,2009,1999-12-02,49
親子クラブ,C1640,2010,1999-12-02,99
ポケットモンスター,C1985,2010,1999-12-02,50
親子クラブ,C1640,2011,1999-12-02,100
ポケットモンスター,C1985,2011,1999-12-02,48
親子クラブ,C1640,2012,1999-12-02,108
ポケットモンスター,C1985,2012,1999-12-02,48
親子クラブ,C1640,2013,1999-12-02,52
ポケットモンスター,C1985,2013,1999-12-02,56
ポケットモンスター,C1985,2014,1999-12-02,44
親子クラブ,C1640,2014,1999-12-02,0
ポケットモンスター,C1985,2015,1999-12-02,49
親子クラブ,C1640,2015,1999-12-02,0
ポケットモンスター,C1985,2016,1999-12-02,47
親子クラブ,C1640,2016,1999-12-02,0
親子クラブ,C1640,2017,1999-12-02,0
ポケットモンスター,C1985,2017,1999-12-02,0
それいけ！アンパンマン,C7048,1992,1999-12-03,0
それいけ！アンパンマン,C7048,1993,1999-12-03,0
それいけ！アンパンマン,C7048,1994,1999-12-03,0
それいけ！アンパンマン,C7048,1995,1999-12-03,0
それいけ！アンパンマン,C7048,1996,1999-12-03,0
それいけ！アンパンマン,C7048,1997,1999-12-03,0
それいけ！アンパンマン,C7048,1998,1999-12-03,0
それいけ！アンパンマン,C7048,1999,1999-12-03,3
それいけ！アンパンマン,C7048,2000,1999-12-03,46
それいけ！アンパンマン,C7048,2001,1999-12-03,48
それいけ！アンパンマン,C7048,2002,1999-12-03,49
それいけ！アンパンマン,C7048,2003,1999-12-03,48
それいけ！アンパンマン,C7048,2004,1999-12-03,47
それいけ！アンパンマン,C7048,2005,1999-12-03,47
それいけ！アンパンマン,C7048,2006,1999-12-03,47
それいけ！アンパンマン,C7048,2007,1999-12-03,50
それいけ！アンパンマン,C7048,2008,1999-12-03,50
それいけ！アンパンマン,C7048,2009,1999-12-03,49
それいけ！アンパンマン,C7048,2010,1999-12-03,48
それいけ！アンパンマン,C7048,2011,1999-12-03,54
