ccid,crtid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname,crtname
C87499,CCRT02270,ドン・ボルカン -聖なる男の伝説-,11,2,1,1991-06-24,1991-09-09,C119459,週刊少年ジャンプ,次原隆二
C87500,CCRT01229,ドンマイ主将,2,0,0,1978-05-15,1978-08-07,C119459,週刊少年ジャンプ,夏目恵二
C87501,CCRT00594,ドンマイ!!地球防衛軍,2,0,0,2007-04-02,2007-04-02,C119459,週刊少年ジャンプ,三上龍哉
C87502,CCRT00844,ナイスガイ転校生よしお,1,0,0,2005-11-21,2005-11-21,C119459,週刊少年ジャンプ,伊藤直晃
C87504,CCRT00395,流しそうめん職人,1,0,0,2009-08-31,2009-08-31,C119459,週刊少年ジャンプ,わじまさとし
C87505,CCRT01227,長嶋茂雄物語,1,0,0,1974-12-16,1974-12-16,C119459,週刊少年ジャンプ,夏木信夫
C87505,CCRT02006,長嶋茂雄物語,1,0,0,1974-12-16,1974-12-16,C119459,週刊少年ジャンプ,村上もとか
C87507,CCRT00120,なかよくあそぼう!,1,0,0,1973-03-26,1973-03-26,C119459,週刊少年ジャンプ,おかだしげる
C87508,CCRT03272,流れ拳士,1,0,0,1981-05-25,1981-05-25,C119459,週刊少年ジャンプ,高橋よしひろ
C87510,CCRT02718,泣くな大将,1,0,0,1971-01-11,1971-01-11,C119459,週刊少年ジャンプ,福田達雄
C87512,CCRT02969,なげきの剣士,1,0,0,1970-11-23,1970-11-23,C119459,週刊少年ジャンプ,西沢周平
C87513,CCRT00312,嘆きのボービーマン,1,0,0,1976-07-05,1976-07-05,C119459,週刊少年ジャンプ,ほそかわ春
C87515,CCRT03271,茄子くん,1,0,0,1987-05-25,1987-05-25,C119459,週刊少年ジャンプ,高橋ゆたか
C87516,CCRT00764,謎の悪夢仮面,1,0,0,1977-11-14,1977-11-14,C119459,週刊少年ジャンプ,五島拓也
C87517,CCRT00083,謎の村雨くん,23,0,4,2005-12-12,2006-10-09,C119459,週刊少年ジャンプ,いとうみきお
C87518,CCRT02020,ナックモエ,1,0,1,2005-09-26,2005-09-26,C119459,週刊少年ジャンプ,村瀬克俊
C87520,CCRT03103,夏の朝にキャッチボールを,1,0,0,1999-07-26,1999-07-26,C119459,週刊少年ジャンプ,金重高志
C87521,CCRT02569,夏のジャンプマルチワールド日記,1,0,0,1993-07-12,1993-07-12,C119459,週刊少年ジャンプ,白樺啓
C87522,CCRT03253,なつまん先生,2,0,0,1971-10-25,1972-03-13,C119459,週刊少年ジャンプ,高岡正夫
C87523,CCRT00957,夏休み,1,0,0,2003-08-25,2003-08-25,C119459,週刊少年ジャンプ,冨樫義博
C87527,CCRT00705,何かが起きる!,1,0,0,1970-08-17,1970-08-17,C119459,週刊少年ジャンプ,中沢啓治
C87528,CCRT00610,並木恵美子物語,1,0,0,1972-09-11,1972-09-11,C119459,週刊少年ジャンプ,三晃たける
C87528,CCRT02913,並木恵美子物語,1,0,0,1972-09-11,1972-09-11,C119459,週刊少年ジャンプ,藤あきら
C87531,CCRT02229,006,1,0,1,2010-12-06,2010-12-06,C119459,週刊少年ジャンプ,榎伸晃
C87532,CCRT01036,0からの甲子園,1,0,0,1980-04-28,1980-04-28,C119459,週刊少年ジャンプ,南一平
C87532,CCRT02910,0からの甲子園,1,0,0,1980-04-28,1980-04-28,C119459,週刊少年ジャンプ,蕪木一生
C87533,CCRT02105,0点魔神,1,0,0,1980-08-04,1980-08-04,C119459,週刊少年ジャンプ,架空まさる
C87534,CCRT02270,0の宇宙  ブラックホールの誕生を予言した男,1,0,1,1992-07-20,1992-07-20,C119459,週刊少年ジャンプ,次原隆二
C87535,CCRT03295,100Mジャンパー,1,1,0,1982-03-15,1982-03-15,C119459,週刊少年ジャンプ,高橋陽一
C87537,CCRT02724,110秒の戦士たち,1,1,0,1981-03-16,1981-03-16,C119459,週刊少年ジャンプ,秋本治
C87538,CCRT00460,1・2のアッホ!!,129,23,4,1975-10-27,1978-05-22,C119459,週刊少年ジャンプ,コンタロウ
C87539,CCRT00193,1970たぎり,5,0,0,1970-07-27,1970-08-24,C119459,週刊少年ジャンプ,さわさかえ
C87539,CCRT01041,1970たぎり,5,0,0,1970-07-27,1970-08-24,C119459,週刊少年ジャンプ,南波健二
C87544,CCRT00195,1990年学童大革命,1,0,0,1973-07-02,1973-07-02,C119459,週刊少年ジャンプ,しがしずお
C87549,CCRT01773,2130へ翔べ!,1,0,0,1980-12-08,1980-12-08,C119459,週刊少年ジャンプ,弓一人
C87549,CCRT02910,2130へ翔べ!,1,0,0,1980-12-08,1980-12-08,C119459,週刊少年ジャンプ,蕪木一生
C87551,CCRT00602,２３年後,1,0,0,1976-06-28,1976-06-28,C119459,週刊少年ジャンプ,三国恒平
C87552,CCRT00187,25M,1,0,0,1998-01-31,1998-01-31,C119459,週刊少年ジャンプ,さとうだいすけ
C87554,CCRT01753,31HEROES,1,0,1,2013-10-21,2013-10-21,C119459,週刊少年ジャンプ,平方昌宏
C87555,CCRT02778,3年B組ゴキブリ軍団VS自殺志願少女,1,0,0,1981-06-15,1981-06-15,C119459,週刊少年ジャンプ,米倉宏晃
C87556,CCRT01872,3年奇面組,78,17,4,1980-10-13,1982-04-12,C119459,週刊少年ジャンプ,新沢基栄
C87557,CCRT03162,40の顔を持つ男,1,0,0,1983-01-31,1983-01-31,C119459,週刊少年ジャンプ,関根直子
C87559,CCRT02752,4コママンガ,1,0,0,2014-03-10,2014-03-10,C119459,週刊少年ジャンプ,竹若元博(バッファロー吾郎)
C87562,CCRT00526,4タロウ1ヒメ,15,0,1,1971-05-17,1971-08-23,C119459,週刊少年ジャンプ,バロン吉元
C87568,CCRT02523,80億円強奪作戦,2,0,0,1971-10-04,1971-10-11,C119459,週刊少年ジャンプ,田中善之助
C87576,CCRT02333,８時半の決闘,1,0,0,1977-07-11,1977-07-11,C119459,週刊少年ジャンプ,江口寿史
C87578,CCRT01008,8ミリロック,1,0,1,1979-01-15,1979-01-15,C119459,週刊少年ジャンプ,北原康行
C87578,CCRT02286,8ミリロック,1,0,1,1979-01-15,1979-01-15,C119459,週刊少年ジャンプ,武石正道
C87586,CCRT01329,AKABOSHI-異聞水滸伝-,24,0,2,2009-06-01,2009-11-02,C119459,週刊少年ジャンプ,天野洋一
C87587,CCRT03324,ALIEN X PEKE 宇宙人ペケ,2,0,2,1996-08-26,1996-09-09,C119459,週刊少年ジャンプ,鳥山明
C87589,CCRT00755,American Dream,1,0,0,1995-08-21,1995-08-21,C119459,週刊少年ジャンプ,二橋進吾
C87589,CCRT01016,American Dream,1,0,0,1995-08-21,1995-08-21,C119459,週刊少年ジャンプ,北条司
C87590,CCRT01917,ANAAKI'S,1,0,1,2007-09-10,2007-09-10,C119459,週刊少年ジャンプ,普津澤画乃
C87591,CCRT03043,A・O・M,10,0,2,2002-10-14,2003-01-01,C119459,週刊少年ジャンプ,道元宗紀
C87592,CCRT01067,APPLE,1,0,1,2009-01-21,2009-01-21,C119459,週刊少年ジャンプ,古味直志
C87593,CCRT00276,AT Lady！,11,2,1,1988-07-25,1990-02-26,C119459,週刊少年ジャンプ,のむら剛
C87594,CCRT00413,AX 戦斧王伝説,1,0,0,2003-10-13,2003-10-13,C119459,週刊少年ジャンプ,イワタヒロノブ
C87595,CCRT03214,BABY DEVIL エピルくん,1,0,1,2006-11-06,2006-11-06,C119459,週刊少年ジャンプ,風間克弥
C87596,CCRT00788,BABY FACE,1,0,1,1992-01-13,1992-01-13,C119459,週刊少年ジャンプ,井上雄彦
C87597,CCRT02196,BACHI-ATARI ROCK,1,0,0,1987-11-23,1987-11-23,C119459,週刊少年ジャンプ,森田まさのり
C87598,CCRT00729,BAD SHIELD UNITED,1,0,0,1997-12-01,1997-12-01,C119459,週刊少年ジャンプ,久保宣章
C87599,CCRT01377,BAKUDAN,17,2,1,1994-10-03,1995-02-06,C119459,週刊少年ジャンプ,宮下あきら
C87600,CCRT00271,Base Boys,18,0,2,1998-07-27,1998-11-30,C119459,週刊少年ジャンプ,にわのまこと
C87601,CCRT02889,BASTARD!! 暗黒の破壊神,94,5,7,1988-03-14,2000-08-21,C119459,週刊少年ジャンプ,萩原一至
C87602,CCRT03295,BASUKE,2,0,0,1987-01-15,1987-01-22,C119459,週刊少年ジャンプ,高橋陽一
C87603,CCRT01098,BE A HERO!!,1,0,1,2005-05-09,2005-05-09,C119459,週刊少年ジャンプ,吉川雅之
C87604,CCRT03335,BEAT SWEET,1,0,0,1989-07-10,1989-07-10,C119459,週刊少年ジャンプ,鶴岡伸寿
C87605,CCRT01401,Be Happy 夏とバレーと男と女,1,0,0,1998-07-06,1998-07-06,C119459,週刊少年ジャンプ,宮田栄治
C87606,CCRT03074,BE TAKUTO! ～野蛮なれ～,20,1,2,1996-11-25,1997-04-21,C119459,週刊少年ジャンプ,野口賢
C87607,CCRT00531,Beyooooond! 200％,1,0,0,2009-04-27,2009-04-27,C119459,週刊少年ジャンプ,ビッグ錠
C87608,CCRT03120,BIG1,20,1,2,1977-08-15,1977-12-26,C119459,週刊少年ジャンプ,鈴木雅俊
C87609,CCRT01979,BIG GUN ビッグガン,1,1,0,1976-03-22,1976-03-22,C119459,週刊少年ジャンプ,本宮ひろ志
C87610,CCRT01427,BLACK KNIGHT バット,10,1,1,1985-07-15,1985-09-16,C119459,週刊少年ジャンプ,寺沢武一
C87611,CCRT02615,BLACK CAT,187,0,15,2000-07-24,2004-06-28,C119459,週刊少年ジャンプ,矢吹健太朗
C87612,CCRT00730,BLEACH,715,2,111,2001-08-20,2016-09-05,C119459,週刊少年ジャンプ,久保帯人
C87613,CCRT00730,BLEACH×カラブリ!,1,0,1,2009-01-08,2009-01-08,C119459,週刊少年ジャンプ,久保帯人
C87614,CCRT01512,BLUE DRAGON ラルΩグラド,29,0,6,2007-01-01,2007-07-23,C119459,週刊少年ジャンプ,小畑健
C87614,CCRT03344,BLUE DRAGON ラルΩグラド,29,0,6,2007-01-01,2007-07-23,C119459,週刊少年ジャンプ,鷹野常雄
C87615,CCRT02023,BLUST!,1,0,1,2009-05-18,2009-05-18,C119459,週刊少年ジャンプ,村田雄介
C87616,CCRT00271,BOMBER GIRL,11,1,1,1994-01-31,1994-04-11,C119459,週刊少年ジャンプ,にわのまこと
C87617,CCRT02166,BOY-ボーイ-HARELUYAⅡ,297,19,19,1992-10-12,1999-02-08,C119459,週刊少年ジャンプ,梅澤春人
C87618,CCRT02237,BREAK FREE,1,0,0,1997-10-27,1997-10-27,C119459,週刊少年ジャンプ,樋口大輔
C87619,CCRT02537,BULLET TIME!!,1,0,1,2004-08-16,2004-08-16,C119459,週刊少年ジャンプ,田坂亮
C87620,CCRT01228,BULLET CATCHERS,1,0,0,2004-03-15,2004-03-15,C119459,週刊少年ジャンプ,夏生尚
C87621,CCRT00292,CAN・えぶりでい,12,1,1,1983-03-28,1983-06-13,C119459,週刊少年ジャンプ,ひすわし
C87625,CCRT01062,Cave Of Shine,1,0,0,2014-07-21,2014-07-21,C119459,週刊少年ジャンプ,双刃美
C87628,CCRT03295,CHIBI -チビー,54,5,5,1992-06-29,1993-10-25,C119459,週刊少年ジャンプ,高橋陽一
C87629,CCRT00057,CHILDRAGON,14,0,2,1998-11-02,1999-10-18,C119459,週刊少年ジャンプ,あずまけいしん
C87630,CCRT03324,CHOBIT,1,1,0,1983-02-21,1983-02-21,C119459,週刊少年ジャンプ,鳥山明
C87631,CCRT02276,CHOPPERMAN,1,0,0,2010-11-22,2010-11-22,C119459,週刊少年ジャンプ,武井宏文
C87632,CCRT01599,CHOPPERS!!,1,0,0,1998-04-20,1998-04-20,C119459,週刊少年ジャンプ,山根和俊
C87633,CCRT01016,CITY HUNTER シティ・ハンター,337,35,21,1983-04-18,1991-12-02,C119459,週刊少年ジャンプ,北条司
C87634,CCRT00934,CLAYMORE,4,0,4,2007-07-16,2007-10-22,C119459,週刊少年ジャンプ,八木教広
C87635,CCRT02466,CLUTCH,1,0,1,2007-09-24,2007-09-24,C119459,週刊少年ジャンプ,濱田浩輔
C87636,CCRT01670,COM COP,1,0,1,1991-09-16,1991-09-16,C119459,週刊少年ジャンプ,岩泉舞
C87637,CCRT01670,COM COP 2,1,0,1,1992-02-24,1992-02-24,C119459,週刊少年ジャンプ,岩泉舞
C87638,CCRT01670,COM COP～夢みる佳人～,1,0,0,1993-12-13,1993-12-13,C119459,週刊少年ジャンプ,岩泉舞
C87638,CCRT02012,COM COP～夢みる佳人～,1,0,0,1993-12-13,1993-12-13,C119459,週刊少年ジャンプ,村山由佳
C87639,CCRT01905,Continue,1,0,1,2003-08-04,2003-08-04,C119459,週刊少年ジャンプ,星野桂
C87640,CCRT02979,COOL～RENTAL BODYGUARD～,19,3,1,1997-04-14,1998-01-31,C119459,週刊少年ジャンプ,許斐剛
C87641,CCRT02342,COSMOS,2,0,0,1997-07-07,1999-04-26,C119459,週刊少年ジャンプ,池本幹雄
C87642,CCRT00442,COUNT DOWN ヒーロー21世紀マン,1,0,0,1998-01-15,1998-01-15,C119459,週刊少年ジャンプ,ガモウひろし
C87643,CCRT03324,COWA!,14,0,5,1997-11-10,1998-03-23,C119459,週刊少年ジャンプ,鳥山明
C87644,CCRT02081,CRIMSON KING,1,0,1,2009-03-02,2009-03-02,C119459,週刊少年ジャンプ,松雪ヨウ
C87645,CCRT01478,CROWN!,1,0,1,2009-08-17,2009-08-17,C119459,週刊少年ジャンプ,小林ツトム
C87645,CCRT02727,CROWN!,1,0,1,2009-08-17,2009-08-17,C119459,週刊少年ジャンプ,稲吉慶
C87646,CCRT01329,CROSS BEAT,1,0,0,2002-08-12,2002-08-12,C119459,週刊少年ジャンプ,天野洋一
