マンガ作品名,マンガ雑誌名,初出年代,制作形態,マンガ雑誌名ID
カッパがでてきた日,週刊少年ジャンプ,1970,単独制作,1
カバゴンのアタック教室,週刊少年ジャンプ,1970,単独制作,1
ガミ先生,週刊少年ジャンプ,1970,単独制作,1
ガラガラウマウマ,週刊少年ジャンプ,1970,単独制作,1
からじしぼたん,週刊少年ジャンプ,1970,単独制作,1
カリキュラろぼちゃード・キーン,週刊少年ジャンプ,1970,単独制作,1
ガリバーくん,週刊少年ジャンプ,1970,単独制作,1
華麗なる応援団,週刊少年ジャンプ,1970,単独制作,1
かわいいギャンブラ～,週刊少年ジャンプ,1970,単独制作,1
カンフー用心棒,週刊少年ジャンプ,1970,単独制作,1
巌流島,週刊少年ジャンプ,1970,単独制作,1
キーガール,週刊少年ジャンプ,1970,単独制作,1
傷だらけの春,週刊少年ジャンプ,1970,単独制作,1
北の海,週刊少年ジャンプ,1970,単独制作,1
きまってないのにキメマルくん,週刊少年ジャンプ,1970,単独制作,1
キャー番長,週刊少年ジャンプ,1970,単独制作,1
きゃつら,週刊少年ジャンプ,1970,単独制作,1
キャプテンはだれだ!?,週刊少年ジャンプ,1970,単独制作,1
ギャンブルキッド,週刊少年ジャンプ,1970,単独制作,1
吸血の夜,週刊少年ジャンプ,1970,単独制作,1
局長近藤勇,週刊少年ジャンプ,1970,単独制作,1
巨人たちの伝説,週刊少年ジャンプ,1970,単独制作,1
巨人のベン,週刊少年ジャンプ,1970,単独制作,1
清丸参上!,週刊少年ジャンプ,1970,単独制作,1
霧にむせぶ夜,週刊少年ジャンプ,1970,単独制作,1
霧の柩,週刊少年ジャンプ,1970,単独制作,1
キン肉マン,週刊少年ジャンプ,1970,単独制作,1
グズ六行進曲,週刊少年ジャンプ,1970,単独制作,1
正月休みと仲間たち,週刊少年ジャンプ,1970,単独制作,1
勝負,週刊少年ジャンプ,1970,単独制作,1
女族ふろとかげ,週刊少年ジャンプ,1970,単独制作,1
私立極道高校,週刊少年ジャンプ,1970,単独制作,1
白い夏の日,週刊少年ジャンプ,1970,単独制作,1
スーパータヌキマン,週刊少年ジャンプ,1970,単独制作,1
スキ?こういうの,週刊少年ジャンプ,1970,単独制作,1
すきやき,週刊少年ジャンプ,1970,単独制作,1
スクラップ,週刊少年ジャンプ,1970,単独制作,1
スケ番あらし,週刊少年ジャンプ,1970,単独制作,1
スゴばあちゃん,週刊少年ジャンプ,1970,単独制作,1
すすめ!!パイレーツ,週刊少年ジャンプ,1970,単独制作,1
進め!フィンガー5,週刊少年ジャンプ,1970,単独制作,1
スター誕生!,週刊少年ジャンプ,1970,単独制作,1
スタジオHELP,週刊少年ジャンプ,1970,単独制作,1
スチャラカ地下旅物語,週刊少年ジャンプ,1970,単独制作,1
すっとび石松,週刊少年ジャンプ,1970,単独制作,1
スパルタ快男児,週刊少年ジャンプ,1970,単独制作,1
スマッシュ・ケン,週刊少年ジャンプ,1970,単独制作,1
スモークマン,週刊少年ジャンプ,1970,単独制作,1
ズンバラビン,週刊少年ジャンプ,1970,単独制作,1
青春最前線,週刊少年ジャンプ,1970,単独制作,1
聖なるものども,週刊少年ジャンプ,1970,単独制作,1
征服者ジャパッシュ,週刊少年ジャンプ,1970,単独制作,1
クレージーレース ぼくの弟は怪人,週刊少年ジャンプ,1970,単独制作,1
黒獅子魂,週刊少年ジャンプ,1970,単独制作,1
けんか村の茂,週刊少年ジャンプ,1970,単独制作,1
現約聖書,週刊少年ジャンプ,1970,単独制作,1
恋人ください,週刊少年ジャンプ,1970,単独制作,1
公害坊や,週刊少年ジャンプ,1970,単独制作,1
高校教師,週刊少年ジャンプ,1970,単独制作,1
孔子暗黒伝,週刊少年ジャンプ,1970,単独制作,1
紅紫炎・ダンディ,週刊少年ジャンプ,1970,単独制作,1
心,週刊少年ジャンプ,1970,単独制作,1
子鹿ちゃん,週刊少年ジャンプ,1970,単独制作,1
こじろう,週刊少年ジャンプ,1970,単独制作,1
こちら葛飾区亀有公園前派出所,週刊少年ジャンプ,1970,単独制作,1
子どもハ天使デハナイノデス,週刊少年ジャンプ,1970,単独制作,1
ゴリラの大将,週刊少年ジャンプ,1970,単独制作,1
殺し屋がやってきた!,週刊少年ジャンプ,1970,単独制作,1
ごろんぼ医者,週刊少年ジャンプ,1970,単独制作,1
コンドルの翼,週刊少年ジャンプ,1970,単独制作,1
サーキットの狼,週刊少年ジャンプ,1970,単独制作,1
嵐の海まっただ中,週刊少年ジャンプ,1970,単独制作,1
最後の狙撃兵,週刊少年ジャンプ,1970,単独制作,1
榊原くん地震の巻,週刊少年ジャンプ,1970,単独制作,1
ザ・キッカー,週刊少年ジャンプ,1970,単独制作,1
桜ノ花サイタ?,週刊少年ジャンプ,1970,単独制作,1
ザ・スター,週刊少年ジャンプ,1970,単独制作,1
さすらい騎士道,週刊少年ジャンプ,1970,単独制作,1
さすらいの一匹狼,週刊少年ジャンプ,1970,単独制作,1
さすらいの山んば,週刊少年ジャンプ,1970,単独制作,1
ザ・トチロー,週刊少年ジャンプ,1970,単独制作,1
砂漠の鬼将軍,週刊少年ジャンプ,1970,単独制作,1
さようなら,週刊少年ジャンプ,1970,単独制作,1
さよなら初恋さん,週刊少年ジャンプ,1970,単独制作,1
さわやか万太郎,週刊少年ジャンプ,1970,単独制作,1
3億円事件捜査本部,週刊少年ジャンプ,1970,単独制作,1
三派全ガキ連,週刊少年ジャンプ,1970,単独制作,1
鹿兵のケラケラ日記,週刊少年ジャンプ,1970,単独制作,1
下町弁慶,週刊少年ジャンプ,1970,単独制作,1
実録!神輪会,週刊少年ジャンプ,1970,単独制作,1
始発,週刊少年ジャンプ,1970,単独制作,1
柴又戒厳令,週刊少年ジャンプ,1970,単独制作,1
じゃじゃ馬ミッチー,週刊少年ジャンプ,1970,単独制作,1
ジャンボでごめんなすって,週刊少年ジャンプ,1970,単独制作,1
ジャンボ野郎,週刊少年ジャンプ,1970,単独制作,1
周恩来物語,週刊少年ジャンプ,1970,単独制作,1
受験ワールド,週刊少年ジャンプ,1970,単独制作,1
出発の歌,週刊少年ジャンプ,1970,単独制作,1
新幹線パニック,週刊少年ジャンプ,1970,単独制作,1
侵蝕惑星,週刊少年ジャンプ,1970,単独制作,1
生物都市,週刊少年ジャンプ,1970,単独制作,1
ゼロ戦岬,週刊少年ジャンプ,1970,単独制作,1
ゼロの白鷹,週刊少年ジャンプ,1970,単独制作,1
せんせい,週刊少年ジャンプ,1970,単独制作,1
先生の日,週刊少年ジャンプ,1970,単独制作,1
千年王国,週刊少年ジャンプ,1970,単独制作,1
早朝マラソン大暴走!,週刊少年ジャンプ,1970,単独制作,1
総理条件,週刊少年ジャンプ,1970,単独制作,1
空の城,週刊少年ジャンプ,1970,単独制作,1
タータン大将,週刊少年ジャンプ,1970,単独制作,1
大仮面,週刊少年ジャンプ,1970,単独制作,1
大攻防戦,週刊少年ジャンプ,1970,単独制作,1
大山岳,週刊少年ジャンプ,1970,単独制作,1
大挑戦,週刊少年ジャンプ,1970,単独制作,1
ダイヤモンド大作戦,週刊少年ジャンプ,1970,単独制作,1
太陽に泳げ,週刊少年ジャンプ,1970,単独制作,1
太陽の投手,週刊少年ジャンプ,1970,単独制作,1
太陽惑星イカルス,週刊少年ジャンプ,1970,単独制作,1
ダウンタウン八五郎,週刊少年ジャンプ,1970,単独制作,1
貴ノ花兄弟仁義,週刊少年ジャンプ,1970,単独制作,1
ダチとブチ,週刊少年ジャンプ,1970,単独制作,1
立ち読み厳禁,週刊少年ジャンプ,1970,単独制作,1
殺陣師二代,週刊少年ジャンプ,1970,単独制作,1
たばこの煙,週刊少年ジャンプ,1970,単独制作,1
たびだち,週刊少年ジャンプ,1970,単独制作,1
ダンダラ新選組,週刊少年ジャンプ,1970,単独制作,1
ちいさな命,週刊少年ジャンプ,1970,単独制作,1
ちいさなマジシャン,週刊少年ジャンプ,1970,単独制作,1
誓いのチェッカー,週刊少年ジャンプ,1970,単独制作,1
ちぎれ雲の詩,週刊少年ジャンプ,1970,単独制作,1
父帰る!,週刊少年ジャンプ,1970,単独制作,1
父の魂,週刊少年ジャンプ,1970,単独制作,1
チビ太が行く,週刊少年ジャンプ,1970,単独制作,1
挑戦!!漫画賞,週刊少年ジャンプ,1970,単独制作,1
超肥満ミート刑事,週刊少年ジャンプ,1970,単独制作,1
追跡25000マイル,週刊少年ジャンプ,1970,単独制作,1
ツエルブ TWELVE,週刊少年ジャンプ,1970,単独制作,1
プロレス捜査網,週刊少年ジャンプ,1970,単独制作,1
ぼくの弟は怪人,週刊少年ジャンプ,1970,単独制作,1
ぼくのとうちゃん,週刊少年ジャンプ,1970,単独制作,1
ぼくの動物園日記上野動物園西山登志雄半生記,週刊少年ジャンプ,1970,単独制作,1
ぼくのネエタン,週刊少年ジャンプ,1970,単独制作,1
ぼくはチャンピイ,週刊少年ジャンプ,1970,単独制作,1
ヘッド!牙,週刊少年ジャンプ,1970,単独制作,1
べらんめえホームズ,週刊少年ジャンプ,1970,単独制作,1
ヘンデレヘレンチョくん,週刊少年ジャンプ,1970,単独制作,1
ベンピマン,週刊少年ジャンプ,1970,単独制作,1
吼えろレーサー,週刊少年ジャンプ,1970,単独制作,1
低俗天使,週刊少年ジャンプ,1970,単独制作,1
テクサスから来た男,週刊少年ジャンプ,1970,単独制作,1
出口兄弟恋愛記,週刊少年ジャンプ,1970,単独制作,1
デロリンマン,週刊少年ジャンプ,1970,単独制作,1
天才あかご,週刊少年ジャンプ,1970,単独制作,1
天才アホウ,週刊少年ジャンプ,1970,単独制作,1
天使になれない,週刊少年ジャンプ,1970,単独制作,1
トイレット博士,週刊少年ジャンプ,1970,単独制作,1
東京の青い空,週刊少年ジャンプ,1970,単独制作,1
東大一直線,週刊少年ジャンプ,1970,単独制作,1
とうちゃんのかわいいおヨメさん,週刊少年ジャンプ,1970,単独制作,1
とうちゃん先生,週刊少年ジャンプ,1970,単独制作,1
とうちゃんのぶじ通過,週刊少年ジャンプ,1970,単独制作,1
とうちゃん,週刊少年ジャンプ,1970,単独制作,1
どかたの大将,週刊少年ジャンプ,1970,単独制作,1
ドガチャガ銃士ドタバタ,週刊少年ジャンプ,1970,単独制作,1
ナンセンス劇場,週刊少年ジャンプ,1970,単独制作,1
にいちゃん,週刊少年ジャンプ,1970,単独制作,1
虹よ急げ!,週刊少年ジャンプ,1970,単独制作,1
日本ヒッチャカメッチャカ家族,週刊少年ジャンプ,1970,単独制作,1
忍者とお侍さん,週刊少年ジャンプ,1970,単独制作,1
ヌスット,週刊少年ジャンプ,1970,単独制作,1
熱球水滸伝,週刊少年ジャンプ,1970,単独制作,1
熱球の果てに・・・,週刊少年ジャンプ,1970,単独制作,1
熱球兄弟,週刊少年ジャンプ,1970,単独制作,1
ネッけつ団,週刊少年ジャンプ,1970,単独制作,1
熱風の虎,週刊少年ジャンプ,1970,単独制作,1
残りの一匹,週刊少年ジャンプ,1970,単独制作,1
ノブ=風の季節=,週刊少年ジャンプ,1970,単独制作,1
上り特急はつかり,週刊少年ジャンプ,1970,単独制作,1
灰色高官を追え,週刊少年ジャンプ,1970,単独制作,1
廃人20面チョ,週刊少年ジャンプ,1970,単独制作,1
灰になる少年,週刊少年ジャンプ,1970,単独制作,1
バカチョンくんの冒険,週刊少年ジャンプ,1970,単独制作,1
ばかやろ!ゴン,週刊少年ジャンプ,1970,単独制作,1
バケッタレだあ西部を行く,週刊少年ジャンプ,1970,単独制作,1
ハゲ髪鬼毛毛髪さようんら,週刊少年ジャンプ,1970,単独制作,1
走れ!D51,週刊少年ジャンプ,1970,単独制作,1
走れクンタキンテ!アドリブ・アタック,週刊少年ジャンプ,1970,単独制作,1
はしれ!太郎,週刊少年ジャンプ,1970,単独制作,1
走れ!流れ星,週刊少年ジャンプ,1970,単独制作,1
はだしのゲン,週刊少年ジャンプ,1970,単独制作,1
花の男,週刊少年ジャンプ,1970,単独制作,1
はばたけ!新大関魁傑物語,週刊少年ジャンプ,1970,単独制作,1
ぱぴぷぺポン子ちゃん,週刊少年ジャンプ,1970,単独制作,1
ばらの坂道,週刊少年ジャンプ,1970,単独制作,1
はらへっ太,週刊少年ジャンプ,1970,単独制作,1
はるかなる朝,週刊少年ジャンプ,1970,単独制作,1
春爛漫,週刊少年ジャンプ,1970,単独制作,1
ハレンチ学園,週刊少年ジャンプ,1970,単独制作,1
番長はだれだ!?,週刊少年ジャンプ,1970,単独制作,1
びくびくニャンコ,週刊少年ジャンプ,1970,単独制作,1
びくびくニャンコ 男一匹ニャン次郎,週刊少年ジャンプ,1970,単独制作,1
美女丸,週刊少年ジャンプ,1970,単独制作,1
拍子木の歌,週刊少年ジャンプ,1970,単独制作,1
ピラミッドトラブル,週刊少年ジャンプ,1970,単独制作,1
ピンボケ写太,週刊少年ジャンプ,1970,単独制作,1
ファイト・ファイト,週刊少年ジャンプ,1970,単独制作,1
ファイヤーズ奮戦す!,週刊少年ジャンプ,1970,単独制作,1
ファンタじい,週刊少年ジャンプ,1970,単独制作,1
風来坊バッケ野郎,週刊少年ジャンプ,1970,単独制作,1
ふたごのチンパンジー神戸王子動物園・亀井一成飼育録,週刊少年ジャンプ,1970,単独制作,1
ふたごバンザイ,週刊少年ジャンプ,1970,単独制作,1
ふたりの世界,週刊少年ジャンプ,1970,単独制作,1
ふたりのダービー,週刊少年ジャンプ,1970,単独制作,1
二人はひとり,週刊少年ジャンプ,1970,単独制作,1
ふたりぼっち,週刊少年ジャンプ,1970,単独制作,1
フライボーイ,週刊少年ジャンプ,1970,単独制作,1
ブルーアース,週刊少年ジャンプ,1970,単独制作,1
ブルーシティ,週刊少年ジャンプ,1970,単独制作,1
ブルースを歌う少女,週刊少年ジャンプ,1970,単独制作,1
プレイボール,週刊少年ジャンプ,1970,単独制作,1
星とダイヤモンド,週刊少年ジャンプ,1970,単独制作,1
ホップステップ,週刊少年ジャンプ,1970,単独制作,1
ボロンボ先生,週刊少年ジャンプ,1970,単独制作,1
ボンドくん,週刊少年ジャンプ,1970,単独制作,1
負けるな紀三郎,週刊少年ジャンプ,1970,単独制作,1
まごころリレー,週刊少年ジャンプ,1970,単独制作,1
マジンガーZ,週刊少年ジャンプ,1970,単独制作,1
真直がいく,週刊少年ジャンプ,1970,単独制作,1
真友仁義,週刊少年ジャンプ,1970,単独制作,1
マラソン社長,週刊少年ジャンプ,1970,単独制作,1
マラソン八ちゃん,週刊少年ジャンプ,1970,単独制作,1
マロ,週刊少年ジャンプ,1970,単独制作,1
漫画家日記,週刊少年ジャンプ,1970,単独制作,1
漫画ちゃんという名の少年,週刊少年ジャンプ,1970,単独制作,1
漫画ドリフターズ,週刊少年ジャンプ,1970,単独制作,1
万年雪のみえる家,週刊少年ジャンプ,1970,単独制作,1
ミオとヒロシの週間パトロール,週刊少年ジャンプ,1970,単独制作,1
ミオとヒロシの週間パトロール,週刊少年ジャンプ,1970,単独制作,1
命,週刊少年ジャンプ,1970,単独制作,1
ミスター★レディ,週刊少年ジャンプ,1970,単独制作,1
ミステリオス,週刊少年ジャンプ,1970,単独制作,1
真夜中の戦士,週刊少年ジャンプ,1970,単独制作,1
未来からきた御先祖さま,週刊少年ジャンプ,1970,単独制作,1
麦っ子たち はだしのゲン＝終戦編,週刊少年ジャンプ,1970,単独制作,1
武蔵,週刊少年ジャンプ,1970,単独制作,1
名探偵はいつもスランプ,週刊少年ジャンプ,1970,単独制作,1
めかばわーるど,週刊少年ジャンプ,1970,単独制作,1
目玉博士,週刊少年ジャンプ,1970,単独制作,1
モウちゃんは強かった!,週刊少年ジャンプ,1970,単独制作,1
もえろ!弁天,週刊少年ジャンプ,1970,単独制作,1
モグラのモグちゃん,週刊少年ジャンプ,1970,単独制作,1
もじもじくん,週刊少年ジャンプ,1970,単独制作,1
モンキージャンプ,週刊少年ジャンプ,1970,単独制作,1
約束,週刊少年ジャンプ,1970,単独制作,1
屋台王,週刊少年ジャンプ,1970,単独制作,1
やっちん,週刊少年ジャンプ,1970,単独制作,1
屋根裏のワルたち,週刊少年ジャンプ,1970,単独制作,1
山犬狩り,週刊少年ジャンプ,1970,単独制作,1
山ゆかば!,週刊少年ジャンプ,1970,単独制作,1
闇の戦士,週刊少年ジャンプ,1970,単独制作,1
やめられないとまらない,週刊少年ジャンプ,1970,単独制作,1
ヤングおー!おー!,週刊少年ジャンプ,1970,単独制作,1
ヤングスター劇場山口百恵物語,週刊少年ジャンプ,1970,単独制作,1
ヤングスター劇場桜田淳子物語,週刊少年ジャンプ,1970,単独制作,1
ユーカリの木のもとで,週刊少年ジャンプ,1970,単独制作,1
友情学園,週刊少年ジャンプ,1970,単独制作,1
ユートピア理想郷の戦士,週刊少年ジャンプ,1970,単独制作,1
夢は無情,週刊少年ジャンプ,1970,単独制作,1
夢みる機械,週刊少年ジャンプ,1970,単独制作,1
夜明けのタテガミ,週刊少年ジャンプ,1970,単独制作,1
よい子,週刊少年ジャンプ,1970,単独制作,1
妖怪ハンター,週刊少年ジャンプ,1970,単独制作,1
幼年猿飛佐助,週刊少年ジャンプ,1970,単独制作,1
ヨースケくんの恋,週刊少年ジャンプ,1970,単独制作,1
よくふか頭巾,週刊少年ジャンプ,1970,単独制作,1
よた者,週刊少年ジャンプ,1970,単独制作,1
四谷快談,週刊少年ジャンプ,1970,単独制作,1
世にも不幸な男の話,週刊少年ジャンプ,1970,単独制作,1
弱虫ジャッカル,週刊少年ジャンプ,1970,単独制作,1
四丁目の怪人くん,週刊少年ジャンプ,1970,単独制作,1
ライオンブックス,週刊少年ジャンプ,1970,単独制作,1
ラストワルツ,週刊少年ジャンプ,1970,単独制作,1
乱調ハント学,週刊少年ジャンプ,1970,単独制作,1
リベンジャー 復讐者,週刊少年ジャンプ,1970,単独制作,1
リングで勝て!,週刊少年ジャンプ,1970,単独制作,1
リングにかけろ,週刊少年ジャンプ,1970,単独制作,1
ルーキー悪太郎,週刊少年ジャンプ,1970,単独制作,1
ルーズ!ルーズ!!,週刊少年ジャンプ,1970,単独制作,1
れすらマン,週刊少年ジャンプ,1970,単独制作,1
レミちゃん,週刊少年ジャンプ,1970,単独制作,1
連勝野郎,週刊少年ジャンプ,1970,単独制作,1
ロク郎テレ助サウンド道中記,週刊少年ジャンプ,1970,単独制作,1
ロボット大作戦,週刊少年ジャンプ,1970,単独制作,1
ロロの旅路,週刊少年ジャンプ,1970,単独制作,1
ワースト,週刊少年ジャンプ,1970,単独制作,1
若い嵐,週刊少年ジャンプ,1970,単独制作,1
わが命をみつめて,週刊少年ジャンプ,1970,単独制作,1
わが輩はノラ公,週刊少年ジャンプ,1970,単独制作,1
悪仮面,週刊少年ジャンプ,1970,単独制作,1
悪ジャリ騎士団【ナイツ】,週刊少年ジャンプ,1970,単独制作,1
ワンダー・アイランド,週刊少年ジャンプ,1970,単独制作,1
ワンツーキック,週刊少年ジャンプ,1970,単独制作,1
マウンドの稲妻,週刊少年ジャンプ,1980,共同制作,1
ドラクエ外伝!,週刊少年ジャンプ,1980,共同制作,1
0からの甲子園,週刊少年ジャンプ,1980,共同制作,1
2130へ翔べ!,週刊少年ジャンプ,1980,共同制作,1
CYBERブルー,週刊少年ジャンプ,1980,共同制作,1
DRAGON QUEST ダイの大冒険,週刊少年ジャンプ,1980,共同制作,1
IEAのブンくん!,週刊少年ジャンプ,1980,共同制作,1
MADDOG マッドドッグ,週刊少年ジャンプ,1980,共同制作,1
Mr.ホワイティ,週刊少年ジャンプ,1980,共同制作,1
SUPER POLICE スーパーポリス,週刊少年ジャンプ,1980,共同制作,1
THEファイター FIGHTER JAPAN X STORY,週刊少年ジャンプ,1980,共同制作,1
青空フィッシング,週刊少年ジャンプ,1980,共同制作,1
あした天兵,週刊少年ジャンプ,1980,共同制作,1
あぶないエンジェル,週刊少年ジャンプ,1980,共同制作,1
アルバトロス飛んだ,週刊少年ジャンプ,1980,共同制作,1
ウィニング・ショット WINNING・SHOT,週刊少年ジャンプ,1980,共同制作,1
ウルフにKISS,週刊少年ジャンプ,1980,共同制作,1
黄金のバンタム,週刊少年ジャンプ,1980,共同制作,1
風のシュプール,週刊少年ジャンプ,1980,共同制作,1
カメレオンジェイル,週刊少年ジャンプ,1980,共同制作,1
クラッシュヒーロー,週刊少年ジャンプ,1980,共同制作,1
クレイジーハリー,週刊少年ジャンプ,1980,共同制作,1
笑撃コネクション,週刊少年ジャンプ,1980,共同制作,1
ショーアップハイスクール,週刊少年ジャンプ,1980,共同制作,1
ショットＩＮらぶ,週刊少年ジャンプ,1980,共同制作,1
スーパー巨人,週刊少年ジャンプ,1980,共同制作,1
コスモスストライカー,週刊少年ジャンプ,1980,共同制作,1
魁!!男塾,週刊少年ジャンプ,1980,共同制作,1
北斗の拳,週刊少年ジャンプ,1980,共同制作,1
暴走ハンター,週刊少年ジャンプ,1980,共同制作,1
日ペンの美子ちゃん,週刊少年ジャンプ,1980,共同制作,1
花の慶次 -雲のかなたに-,週刊少年ジャンプ,1980,共同制作,1
はるかかなた,週刊少年ジャンプ,1980,共同制作,1
ビッグガン,週刊少年ジャンプ,1980,共同制作,1
ファインプレイ,週刊少年ジャンプ,1980,共同制作,1
魔剣士,週刊少年ジャンプ,1980,共同制作,1
マリオ THE STRIKER,週刊少年ジャンプ,1980,共同制作,1
ミスター赤ヘル,週刊少年ジャンプ,1980,共同制作,1
機械戦士ギルファー,週刊少年ジャンプ,1980,共同制作,1
滅菌部隊,週刊少年ジャンプ,1980,共同制作,1
燃えよ!!若きライバル,週刊少年ジャンプ,1980,共同制作,1
モンスターハンター,週刊少年ジャンプ,1980,共同制作,1
ロックンロール物語,週刊少年ジャンプ,1980,共同制作,1
ワンマン☆アーミー,週刊少年ジャンプ,1980,共同制作,1
SCRAP三太夫,週刊少年ジャンプ,1980,単独制作,1
特別交通機動隊 SUPER PATROL,週刊少年ジャンプ,1980,単独制作,1
とっても少年探検隊,週刊少年ジャンプ,1980,単独制作,1
とびっきり!,週刊少年ジャンプ,1980,単独制作,1
飛ぶ教室,週刊少年ジャンプ,1980,単独制作,1
ともだち,週刊少年ジャンプ,1980,単独制作,1
とんとんとん丸,週刊少年ジャンプ,1980,単独制作,1
トンプー大冒険,週刊少年ジャンプ,1980,単独制作,1
流れ拳士,週刊少年ジャンプ,1980,単独制作,1
茄子くん,週刊少年ジャンプ,1980,単独制作,1
0点魔神,週刊少年ジャンプ,1980,単独制作,1
100Mジャンパー,週刊少年ジャンプ,1980,単独制作,1
110秒の戦士たち,週刊少年ジャンプ,1980,単独制作,1
3年B組ゴキブリ軍団VS自殺志願少女,週刊少年ジャンプ,1980,単独制作,1
3年奇面組,週刊少年ジャンプ,1980,単独制作,1
40の顔を持つ男,週刊少年ジャンプ,1980,単独制作,1
AT Lady！,週刊少年ジャンプ,1980,単独制作,1
BACHI-ATARI ROCK,週刊少年ジャンプ,1980,単独制作,1
BASTARD!! 暗黒の破壊神,週刊少年ジャンプ,1980,単独制作,1
BASUKE,週刊少年ジャンプ,1980,単独制作,1
BEAT SWEET,週刊少年ジャンプ,1980,単独制作,1
BLACK KNIGHT バット,週刊少年ジャンプ,1980,単独制作,1
CAN・えぶりでい,週刊少年ジャンプ,1980,単独制作,1
CHOBIT,週刊少年ジャンプ,1980,単独制作,1
CITY HUNTER シティ・ハンター,週刊少年ジャンプ,1980,単独制作,1
CYBORGじいちゃんG,週刊少年ジャンプ,1980,単独制作,1
DRAGON　BALL,週刊少年ジャンプ,1980,単独制作,1
Dr.スランプ,週刊少年ジャンプ,1980,単独制作,1
ff【フォルテッシモ】,週刊少年ジャンプ,1980,単独制作,1
GENIUS零男,週刊少年ジャンプ,1980,単独制作,1
GO A HEAD!!,週刊少年ジャンプ,1980,単独制作,1
KAMAKURAヒートコップ,週刊少年ジャンプ,1980,単独制作,1
KANA,週刊少年ジャンプ,1980,単独制作,1
KID,週刊少年ジャンプ,1980,単独制作,1
LIKE A CHILD NO MERCYⅢ,週刊少年ジャンプ,1980,単独制作,1
MADE IN JAPAN,週刊少年ジャンプ,1980,単独制作,1
MAD MATIC,週刊少年ジャンプ,1980,単独制作,1
Mr.愛NG,週刊少年ジャンプ,1980,単独制作,1
OH!GAL,週刊少年ジャンプ,1980,単独制作,1
PANKRA BOY,週刊少年ジャンプ,1980,単独制作,1
POCKY,週刊少年ジャンプ,1980,単独制作,1
ROADRUNNER ロードランナー,週刊少年ジャンプ,1980,単独制作,1
SHAKA,週刊少年ジャンプ,1980,単独制作,1
SHIN-NO-SHIN 愛と憎しみのタイムスリップ,週刊少年ジャンプ,1980,単独制作,1
SONCHOH,週刊少年ジャンプ,1980,単独制作,1
SPACEPIRATES<スペース・パイレーツ>,週刊少年ジャンプ,1980,単独制作,1
THE EDGE,週刊少年ジャンプ,1980,単独制作,1
THE MoMoTARoH ザ・モモタロウ,週刊少年ジャンプ,1980,単独制作,1
THE合衆国日本州,週刊少年ジャンプ,1980,単独制作,1
VENUS症候群,週刊少年ジャンプ,1980,単独制作,1
What's おにゃん子,週刊少年ジャンプ,1980,単独制作,1
WING-MAN ウィングマン,週刊少年ジャンプ,1980,単独制作,1
WIZARD!! -爆炎の征服者-,週刊少年ジャンプ,1980,単独制作,1
嗚呼!桜田門,週刊少年ジャンプ,1980,単独制作,1
嗚呼!!毘沙門高校野球部,週刊少年ジャンプ,1980,単独制作,1
嗚呼!!毘沙門高校柔道部,週刊少年ジャンプ,1980,単独制作,1
嗚呼!!毘沙門高校,週刊少年ジャンプ,1980,単独制作,1
哀愁ヒーロー,週刊少年ジャンプ,1980,単独制作,1
アカテン教師梨本小鉄,週刊少年ジャンプ,1980,単独制作,1
あしがら山スーパー伝説熊元拳,週刊少年ジャンプ,1980,単独制作,1
アシュラ,週刊少年ジャンプ,1980,単独制作,1
アイマル剣士,週刊少年ジャンプ,1980,単独制作,1
あのコはとても…!!!,週刊少年ジャンプ,1980,単独制作,1
あの娘は氷点下,週刊少年ジャンプ,1980,単独制作,1
アビイ・ロード,週刊少年ジャンプ,1980,単独制作,1
雨のカーウォッシュ,週刊少年ジャンプ,1980,単独制作,1
イカロスの拳,週刊少年ジャンプ,1980,単独制作,1
いずみちゃんグラフィティー,週刊少年ジャンプ,1980,単独制作,1
壱応大学付属 ソレナリ中学校,週刊少年ジャンプ,1980,単独制作,1
今源氏物語,週刊少年ジャンプ,1980,単独制作,1
うちの関取,週刊少年ジャンプ,1980,単独制作,1
宇宙空母ガラクター,週刊少年ジャンプ,1980,単独制作,1
宇宙探検隊アオムラサキ号,週刊少年ジャンプ,1980,単独制作,1
ウツボカズラ,週刊少年ジャンプ,1980,単独制作,1
海の戦士,週刊少年ジャンプ,1980,単独制作,1
うわさのBOY,週刊少年ジャンプ,1980,単独制作,1
おおい雲!,週刊少年ジャンプ,1980,単独制作,1
狼なんて怖くない!!,週刊少年ジャンプ,1980,単独制作,1
男坂,週刊少年ジャンプ,1980,単独制作,1
男・新介!純情パンチ,週刊少年ジャンプ,1980,単独制作,1
男の旅立ち WILD ADVENTURE,週刊少年ジャンプ,1980,単独制作,1
おとぼけ茄子先生,週刊少年ジャンプ,1980,単独制作,1
おまけまんがマンガ家先ちゃん,週刊少年ジャンプ,1980,単独制作,1
おみそれ!トラぶりっ娘,週刊少年ジャンプ,1980,単独制作,1
おやおや親父,週刊少年ジャンプ,1980,単独制作,1
おれはサエテル!,週刊少年ジャンプ,1980,単独制作,1
オレンジハウス,週刊少年ジャンプ,1980,単独制作,1
海人ゴンズイ,週刊少年ジャンプ,1980,単独制作,1
街道レーサーGO,週刊少年ジャンプ,1980,単独制作,1
楓パープル,週刊少年ジャンプ,1980,単独制作,1
学園Z・絶人,週刊少年ジャンプ,1980,単独制作,1
ガクエン情報部H.I.P.,週刊少年ジャンプ,1980,単独制作,1
学園ぱじゃまん,週刊少年ジャンプ,1980,単独制作,1
